location,information,sales_price
Nilüfer - Konak Mahallesi,Daire | 3+1 | 2. Kat | 150 m²,35.750 TL
Gürsu - Kurtuluş Mahallesi,Daire | 2+1 | 2. Kat | 110 m²,16.000 TL
Osmangazi - Demirtaş Cumhuriyet Mahallesi,Daire | 1+1 | 13. Kat | 88 m²,24.500 TL
Osmangazi - Demirtaş Cumhuriyet Mahallesi,Daire | 1+1 | 5. Kat | 75 m²,25.000 TL
Yıldırım - Mimarsinan Mahallesi,Daire | 3+1 | 1. Kat | 120 m²,24.000 TL
Osmangazi - Aktarhüssam Mahallesi,Daire | 1+1 | Bodrum Kat | 80 m²,10.000 TL
Osmangazi - Çekirge Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 75 m²,10.000 TL
Nilüfer - Ataevler Mahallesi,Daire | 3+1 | 7. Kat | 160 m²,30.000 TL
Nilüfer - Odunluk Mahallesi,Daire | 2+1 | 6. Kat | 159 m²,45.000 TL
Mustafakemalpaşa - Yüzbaşı Sabribey Mahallesi,Daire | 2+1 | 2. Kat | 75 m²,10.000 TL
İznik - Selçuk Mahallesi,Daire | 1+1 | 2. Kat | 75 m²,13.000 TL
Yıldırım - Erikli Mahallesi,Daire | 3+1 | 3. Kat | 130 m²,18.000 TL
İnegöl - Akhisar Mahallesi,Daire | 3+1 | 6. Kat | 150 m²,27.000 TL
Nilüfer - Akçalar Mahallesi,Daire | 3+1 | 1. Kat | 130 m²,18.000 TL
Osmangazi - İstiklal Mahallesi,Daire | 3+1 | 8. Kat | 298 m²,45.000 TL
Nilüfer - 30 Ağustos Zafer Mahallesi,Daire | 3+1 | 2. Kat | 160 m²,35.000 TL
Nilüfer - Kurtuluş Mahallesi,Daire | 3+1 | 8. Kat | 364 m²,48.000 TL
Mudanya - Hasanbey Mahallesi,Daire | 2+1 | 4. Kat | 110 m²,16.000 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 3+1 | 2. Kat | 150 m²,24.000 TL
Nilüfer - Akçalar Mahallesi,Daire | 3+1 | 4. Kat | 165 m²,18.500 TL
Nilüfer - Görükle Mahallesi,Daire | 2+1 | 1. Kat | 80 m²,12.000 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 2+1 | 1. Kat | 75 m²,16.500 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 2+1 | 2. Kat | 75 m²,18.000 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 1+1 | 3. Kat | 70 m²,11.000 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 2+1 | 1. Kat | 70 m²,13.000 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 1+1 | 1. Kat | 70 m²,14.000 TL
Nilüfer - Görükle Mahallesi,Daire | 2+1 | 1. Kat | 80 m²,12.000 TL
Nilüfer - Görükle Mahallesi,Daire | 2+1 | 3. Kat | 70 m²,15.000 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 2+1 | 1. Kat | 70 m²,13.000 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 1+1 | 1. Kat | 70 m²,14.000 TL
Nilüfer - Görükle Mahallesi,Daire | 2+1 | 1. Kat | 80 m²,12.000 TL
