location,information,sales_price
Osmangazi - Adalet Mahallesi,Daire | 4+1 | 2. Kat | 280 m²,23.500 TL
Nilüfer - Görükle Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,10.000 TL
Nilüfer - Çalı Mahallesi,Daire | 5+1 | Çatı Dubleks | 180 m²,28.000 TL
Gemlik - Kumla Mahallesi,Daire | 2+1 | 2. Kat | 80 m²,16.000 TL
Nilüfer - Balat Mahallesi,Daire | 3+1 | 1. Kat | 160 m²,44.750 TL
Osmangazi - Kocanaip Mahallesi,Daire | 2+1 | 5. Kat | 110 m²,20.000 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 2+1 | 1. Kat | 80 m²,17.000 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 1+1 | 2. Kat | 50 m²,12.000 TL
Osmangazi - Soğanlı Mahallesi,Daire | 2+1 | 3. Kat | 110 m²,13.000 TL
Yıldırım - Emirsultan Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,13.000 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 2+1 | 4. Kat | 60 m²,16.000 TL
Yıldırım - Şirinevler Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 115 m²,13.500 TL
Nilüfer - Üçevler Mahallesi,Daire | 2+1 | 2. Kat | 95 m²,16.000 TL
Gürsu - Kurtuluş Mahallesi,Daire | 3+1 | 3. Kat | 160 m²,20.000 TL
Yıldırım - Emirsultan Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,10.000 TL
Yıldırım - Yeşil Mahallesi,Daire | 1+1 | Yüksek giriş | 65 m²,14.000 TL
Osmangazi - Ebu İshak Mahallesi,Daire | 2+1 | 5. Kat | 85 m²,10.000 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 2+1 | 2. Kat | 95 m²,22.000 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 2+1 | 4. Kat | 95 m²,22.000 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 2+1 | 4. Kat | 95 m²,23.000 TL
Gemlik - Kurşunlu Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,11.000 TL15.000 TL
Yıldırım - Erikli Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 90 m²,12.000 TL
Yenişehir - Yenigün Mahallesi,Daire | 2+1 | 3. Kat | 114 m²,20.000 TL
Osmangazi - Güneştepe Mahallesi,Daire | 2+1 | Yüksek giriş | 100 m²,18.000 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 2+1 | 3. Kat | 60 m²,15.000 TL
Gemlik - Hamidiye Mahallesi,Daire | 3+1 | 3. Kat | 130 m²,22.000 TL
Karacabey - Esentepe Mahallesi,Daire | 1.5+1 | 2. Kat | 75 m²,22.500 TL
Karacabey - Esentepe Mahallesi,Daire | 1.5+1 | 2. Kat | 75 m²,22.500 TL
Osmangazi - İbrahimpaşa Mahallesi,Daire | 3+1 | 3. Kat | 125 m²,20.000 TL
Nilüfer - Üçevler Mahallesi,Daire | 2+1 | 1. Kat | 125 m²,19.000 TL
Nilüfer - Beşevler Mahallesi,Daire | 2+1 | 3. Kat | 110 m²,28.000 TL
Gemlik - Balıkpazarı Mahallesi,Daire | 5+1 | 2. Kat | 180 m²,15.000 TL
Mustafakemalpaşa - Hamidiye Mahallesi,Daire | 3+1 | 4. Kat | 150 m²,20.000 TL
Nilüfer - Konak Mahallesi,Daire | 3+1 | 4. Kat | 125 m²,21.000 TL
Nilüfer - Demirci Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 100 m²,17.000 TL
Osmangazi - Yahşibey Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,19.000 TL
Nilüfer - Cumhuriyet Mahallesi,Daire | 2+1 | 4. Kat | 155 m²,27.000 TL
Gemlik - Cumhuriyet Mahallesi,Daire | 2+1 | 2. Kat | 115 m²,15.000 TL
Mudanya - Güzelyalı Siteler Mahallesi,Daire | 3+1 | 4. Kat | 130 m²,24.000 TL
Osmangazi - Çırpan Mahallesi,Daire | 2+1 | 4. Kat | 90 m²,13.000 TL
Osmangazi - Çırpan Mahallesi,Daire | 2+1 | 1. Kat | 95 m²,30.000 TL
Yıldırım - Çınarönü Mahallesi,Daire | 3+1 | 4. Kat | 149 m²,31.000 TL
Nilüfer - Kızılcıklı Mahallesi,Daire | 1+1 | 2. Kat | 65 m²,17.000 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 2+1 | 1. Kat | 65 m²,15.000 TL
Nilüfer - Ataevler Mahallesi,Daire | 3+1 | 1. Kat | 135 m²,35.000 TL
İnegöl - Sinanbey Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,16.000 TL
İnegöl - Yeni Mahallesi,Daire | 3+1 | Düz Giriş (Zemin) | 115 m²,18.000 TL
İnegöl - Cerrah Mahallesi,Daire | 3+1 | 1. Kat | 115 m²,14.000 TL
İnegöl - Yunusemre Mahallesi,Daire | 3+1 | 4. Kat | 125 m²,16.000 TL
İnegöl - Baykoca Mahallesi,Daire | 2+1 | 7. Kat | 95 m²,14.000 TL
Nilüfer - Balkan Mahallesi,Daire | 2+1 | 5. Kat | 135 m²,25.000 TL
Gemlik - Cihatlı Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,21.000 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 1+1 | 2. Kat | 58 m²,13.000 TL
Nilüfer - Barış Mahallesi,Daire | 3+1 | 5. Kat | 180 m²,32.000 TL
Nilüfer - Barış Mahallesi,Daire | 4+1 | 3. Kat | 200 m²,35.000 TL
Mustafakemalpaşa - Yüzbaşı Sabribey Mahallesi,Daire | 1+1 | 4. Kat | 80 m²,15.000 TL
Yıldırım - Güllük Mahallesi,Daire | 2+1 | 3. Kat | 115 m²,20.000 TL
İnegöl - Yeni Mahallesi,Daire | 3+1 | 3. Kat | 150 m²,25.000 TL
Osmangazi - Elmasbahçeler Mahallesi,Daire | 3+1 | 6. Kat | 240 m²,28.500 TL
Nilüfer - 23 Nisan Mahallesi,Daire | 1+1 | 2. Kat | 95 m²,40.000 TL
Osmangazi - Demirtaş Cumhuriyet Mahallesi,Daire | 3+1 | 2. Kat | 120 m²,18.000 TL
Nilüfer - Akçalar Mahallesi,Daire | 3+1 | 4. Kat | 160 m²,19.000 TL21.000 TL
Nilüfer - Konak Mahallesi,Daire | 2+1 | Bahçe katı | 110 m²,22.000 TL24.000 TL
Osmangazi - Demirtaş Cumhuriyet Mahallesi,Daire | 2+1 | Bahçe katı | 85 m²,11.500 TL12.500 TL
Nilüfer - Beşevler Mahallesi,Daire | 3+1 | 2. Kat | 160 m²,30.000 TL
Osmangazi - Kemerçeşme Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,13.000 TL
Gürsu - İpekyolu Mahallesi,Daire | 3+1 | Düz Giriş (Zemin) | 103 m²,13.500 TL
Gürsu - İpekyolu Mahallesi,Daire | 3+1 | 5. Kat | 120 m²,12.500 TL
Mudanya - Yeni Mahallesi,Daire | 3+1 | 2. Kat | 145 m²,29.500 TL
Mudanya - Güzelyalı Eğitim Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 95 m²,17.000 TL
Nilüfer - Fethiye Mahallesi,Daire | 2+1 | 2. Kat | 110 m²,26.000 TL
Nilüfer - Balkan Mahallesi,Daire | 2+1 | 4. Kat | 80 m²,17.500 TL
Osmangazi - Kükürtlü Mahallesi,Daire | 3+1 | 5. Kat | 150 m²,25.000 TL
Orhangazi - Muradiye Mahallesi,Daire | 5+1 | 5. Kat | 150 m²,32.000 TL
Osmangazi - Yunuseli Mahallesi,Daire | 4+1 | 5. Kat | 250 m²,31.500 TL
Nilüfer - Görükle Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,14.000 TL
Mudanya - Güzelyalı Eğitim Mahallesi,Daire | 2+1 | 1. Kat | 100 m²,30.000 TL
Mudanya - Güzelyalı Siteler Mahallesi,Daire | 3+1 | 1. Kat | 140 m²,20.000 TL
Gürsu - Kurtuluş Mahallesi,Daire | 2+1 | 3. Kat | 120 m²,20.000 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 1+1 | 5. Kat | 65 m²,11.000 TL
Osmangazi - Çırpan Mahallesi,Daire | 2+1 | 4. Kat | 90 m²,13.000 TL
Mudanya - Ömerbey Mahallesi,Daire | 2+1 | 2. Kat | 95 m²,30.000 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 2+1 | 4. Kat | 60 m²,16.000 TL
Gemlik - Dr. Ziya Kaya Mahallesi,Daire | 3+1 | 1. Kat | 145 m²,25.000 TL
Gemlik - Hamidiye Mahallesi,Daire | 2+1 | 4. Kat | 100 m²,19.000 TL
Gemlik - Orhaniye Mahallesi,Daire | 2+1 | 1. Kat | 70 m²,11.000 TL
Nilüfer - Konak Mahallesi,Daire | 3+1 | 2. Kat | 160 m²,30.000 TL
Nilüfer - Görükle Mahallesi,Daire | 2+1 | 1. Kat | 65 m²,14.000 TL
Nilüfer - Görükle Mahallesi,Daire | 1+1 | 4. Kat | 65 m²,13.000 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 2+1 | 4. Kat | 85 m²,15.000 TL
Osmangazi - Selamet Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 85 m²,10.000 TL
Nilüfer - Barış Mahallesi,Daire | 3+1 | 5. Kat | 180 m²,35.000 TL
Osmangazi - Yenikaraman Mahallesi,Daire | 3+1 | 2. Kat | 160 m²,22.000 TL25.500 TL
Osmangazi - Hocaalizade Mahallesi,Daire | 3+1 | 3. Kat | 150 m²,22.500 TL
Nilüfer - Kurtuluş Mahallesi,Daire | 2+1 | 1. Kat | 80 m²,16.000 TL
Nilüfer - Kızılcıklı Mahallesi,Daire | 3+1 | 6. Kat | 138 m²,25.000 TL
İnegöl - Mahmudiye Mahallesi,Daire | 2+1 | 2. Kat | 75 m²,16.000 TL
İnegöl - Cumhuriyet Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 60 m²,12.250 TL
Osmangazi - Hamitler Mahallesi,Daire | 2+1 | 4. Kat | 130 m²,15.000 TL
Nilüfer - Beşevler Mahallesi,Daire | 2+1 | 1. Kat | 85 m²,27.500 TL
Mudanya - Güzelyalı Burgaz Mahallesi,Daire | 5+1 | 4. Kat | 225 m²,30.000 TL
Nilüfer - Görükle Mahallesi,Daire | 2+1 | 3. Kat | 65 m²,14.000 TL
İnegöl - Esentepe Mahallesi,Daire | 3+1 | 5. Kat | 120 m²,26.000 TL
Mudanya - Güzelyalı Yalı Mahallesi,Daire | 2+1 | 3. Kat | 120 m²,18.500 TL
Nilüfer - Kızılcıklı Mahallesi,Daire | 3+1 | 3. Kat | 130 m²,20.000 TL
Nilüfer - Kızılcıklı Mahallesi,Daire | 3+1 | 3. Kat | 130 m²,20.000 TL
Mudanya - Halitpaşa Mahallesi,Daire | 3+1 | 1. Kat | 150 m²,29.500 TL
Orhangazi - Camiikebir Mahallesi,Daire | 3+1 | 1. Kat | 120 m²,15.000 TL
Yıldırım - 152 Evler Mahallesi,Daire | 3+1 | 3. Kat | 126 m²,17.000 TL
Mudanya - Halitpaşa Mahallesi,Daire | 2+1 | 4. Kat | 100 m²,21.500 TL
Osmangazi - Yunuseli Mahallesi,Daire | 2+1 | 5. Kat | 100 m²,22.000 TL25.000 TL
Osmangazi - İbrahimpaşa Mahallesi,Daire | 2+1 | 1. Kat | 85 m²,15.000 TL
Nilüfer - Konak Mahallesi,Daire | 3+1 | 3. Kat | 140 m²,30.000 TL
Osmangazi - Kiremitçi Mahallesi,Daire | 4+1 | 9. Kat | 180 m²,25.500 TL
Nilüfer - Ertuğrul Mahallesi,Daire | 2+1 | 2. Kat | 170 m²,37.500 TL
Yıldırım - Karapınar Mahallesi,Daire | 3+1 | 3. Kat | 130 m²,30.000 TL
Osmangazi - Yunuseli Mahallesi,Daire | 1+1 | 7. Kat | 90 m²,25.000 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 2+1 | 2. Kat | 65 m²,16.000 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 2+1 | 3. Kat | 65 m²,16.500 TL
Osmangazi - İstiklal Mahallesi,Daire | 2+1 | 3. Kat | 185 m²,45.000 TL
Nilüfer - 23 Nisan Mahallesi,Daire | 3+1 | 13. Kat | 260 m²,110.000 TL
Nilüfer - 30 Ağustos Zafer Mahallesi,Daire | 3+1 | Düz Giriş (Zemin) | 141 m²,20.500 TL
Osmangazi - Emek Fatih Sultan Mehmet Mahallesi,Daire | 2+1 | 2. Kat | 120 m²,25.000 TL
Nilüfer - 30 Ağustos Zafer Mahallesi,Daire | 3+1 | 6. Kat | 167 m²,23.500 TL
Nilüfer - Özlüce Mahallesi,Daire | 3+1 | 4. Kat | 175 m²,28.000 TL
Osmangazi - Çekirge Mahallesi,Daire | 3+1 | 2. Kat | 135 m²,15.000 TL
Osmangazi - Bağlarbaşı Mahallesi,Daire | 3+1 | 2. Kat | 105 m²,10.500 TL
Nilüfer - Balkan Mahallesi,Daire | 4+1 | 5. Kat | 275 m²,30.000 TL
Osmangazi - Yunuseli Mahallesi,Daire | 2+1 | 3. Kat | 110 m²,25.000 TL
Karacabey - Drama Mahallesi,Daire | 3+1 | 2. Kat | 140 m²,16.000 TL
Nilüfer - Görükle Mahallesi,Daire | 1+1 | 4. Kat | 55 m²,12.500 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 3+1 | Çatı Dubleks | 100 m²,17.000 TL
Nilüfer - Görükle Mahallesi,Daire | 2+1 | 4. Kat | 95 m²,15.000 TL
Osmangazi - Soğukkuyu Mahallesi,Daire | 2+1 | 8. Kat | 150 m²,37.500 TL
Nilüfer - Üçevler Mahallesi,Daire | 3+1 | 6. Kat | 145 m²,28.000 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 2+1 | 3. Kat | 75 m²,15.000 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 2+1 | 4. Kat | 60 m²,16.500 TL
Kestel - Kale Mahallesi,Daire | 1+1 | 1. Kat | 65 m²,20.000 TL
Osmangazi - Tayakadın Mahallesi,Daire | 2+1 | 1. Kat | 95 m²,23.000 TL
Yıldırım - Namazgah Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,15.000 TL
Nilüfer - Fethiye Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,18.500 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 2+1 | 4. Kat | 90 m²,20.000 TL
Osmangazi - İntizam Mahallesi,Daire | 2+1 | 4. Kat | 100 m²,11.000 TL12.000 TL
Nilüfer - Görükle Mahallesi,Daire | 2+1 | 3. Kat | 60 m²,18.000 TL
Nilüfer - Görükle Mahallesi,Daire | 1+1 | Bahçe katı | 70 m²,11.000 TL
Yıldırım - Namazgah Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,23.000 TL25.000 TL
Osmangazi - Hocahasan Mahallesi,Daire | 2+1 | 5. Kat | 100 m²,14.000 TL
Nilüfer - Cumhuriyet Mahallesi,Daire | 5+1 | 5. Kat | 400 m²,60.000 TL
Gürsu - İpekyolu Mahallesi,Daire | 2+1 | 4. Kat | 65 m²,7.000 TL
Nilüfer - Görükle Mahallesi,Daire | 2+1 | 2. Kat | 65 m²,16.000 TL
Gemlik - Osmaniye Mahallesi,Daire | 3+1 | Çatı Dubleks | 200 m²,22.000 TL
Mustafakemalpaşa - Atatürk Mahallesi,Daire | 2+1 | 5. Kat | 125 m²,14.000 TL
Orhangazi - Camiikebir Mahallesi,Daire | 3+1 | 1. Kat | 120 m²,15.000 TL
Nilüfer - Kültür Mahallesi,Daire | 3+1 | 2. Kat | 120 m²,25.000 TL
Nilüfer - Görükle Mahallesi,Daire | 1+1 | Çatı katı | 55 m²,13.000 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 1+1 | 6. Kat | 55 m²,13.000 TL
Yıldırım - Karaağaç Mahallesi,Daire | 1+1 | 4. Kat | 120 m²,22.000 TL
Nilüfer - Kayapa Mahallesi,Daire | 2+1 | 1. Kat | 105 m²,20.000 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 3+1 | 3. Kat | 90 m²,15.000 TL
Osmangazi - Demirtaş Cumhuriyet Mahallesi,Daire | 4+1 | 3. Kat | 200 m²,24.000 TL26.000 TL
Yıldırım - Bağlaraltı Mahallesi,Daire | 3+1 | 4. Kat | 125 m²,32.000 TL
Nilüfer - Özlüce Mahallesi,Daire | 1+1 | 1. Kat | 70 m²,21.000 TL
Osmangazi - Kavaklı Mahallesi,Daire | 2+1 | 4. Kat | 85 m²,14.000 TL
Osmangazi - Geçit Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 100 m²,25.000 TL
Nilüfer - Görükle Mahallesi,Daire | 1+1 | 4. Kat | 60 m²,10.000 TL
Mustafakemalpaşa - Hamzabey Mahallesi,Daire | 3+1 | 4. Kat | 145 m²,12.000 TL
Nilüfer - Görükle Mahallesi,Daire | 1+1 | 2. Kat | 75 m²,12.000 TL
Osmangazi - Panayır Mahallesi,Daire | 4+2 | 2. Kat | 216 m²,23.000 TL
Orhangazi - Camiikebir Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,20.000 TL
Osmangazi - Hocahasan Mahallesi,Daire | 2+1 | 4. Kat | 85 m²,9.500 TL
Osmangazi - Geçit Mahallesi,Daire | 3+1 | 1. Kat | 150 m²,28.500 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 2+1 | 4. Kat | 65 m²,16.000 TL
Osmangazi - Soğukkuyu Mahallesi,Daire | 2+1 | 2. Kat | 80 m²,18.000 TL
Nilüfer - Kültür Mahallesi,Daire | 3+1 | 2. Kat | 135 m²,32.000 TL
Osmangazi - Soğukkuyu Mahallesi,Daire | 3+1 | 9. Kat | 150 m²,45.000 TL
Nilüfer - Görükle Mahallesi,Daire | 2+1 | 5. Kat | 55 m²,15.000 TL
Yıldırım - Karaağaç Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 70 m²,17.000 TL
Osmangazi - Dikkaldırım Mahallesi,Daire | 3+1 | 3. Kat | 160 m²,28.000 TL
Nilüfer - Beşevler Mahallesi,Daire | 2+1 | 3. Kat | 135 m²,21.000 TL
Osmangazi - Demirtaş Cumhuriyet Mahallesi,Daire | 2+1 | 22. Kat | 159 m²,24.000 TL28.500 TL
Osmangazi - Hürriyet Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,20.000 TL
Nilüfer - Fethiye Mahallesi,Daire | 2+1 | 3. Kat | 105 m²,16.500 TL
Yıldırım - Emirsultan Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,15.000 TL
Gemlik - Osmaniye Mahallesi,Daire | 2+1 | 3. Kat | 100 m²,13.500 TL
Nilüfer - Görükle Mahallesi,Daire | 2+1 | 3. Kat | 65 m²,15.000 TL16.000 TL
Osmangazi - Yenikaraman Mahallesi,Daire | 2+1 | 4. Kat | 110 m²,23.000 TL
Yıldırım - Karapınar Mahallesi,Daire | 2+1 | Yüksek giriş | 130 m²,15.000 TL
Mudanya - Halitpaşa Mahallesi,Daire | 4+2 | 5. Kat | 245 m²,40.000 TL
Mudanya - Halitpaşa Mahallesi,Daire | 3+1 | 1. Kat | 185 m²,80.000 TL
Nilüfer - 29 Ekim Mahallesi,Daire | 1+1 | 3. Kat | 75 m²,23.000 TL
Nilüfer - Karaman Mahallesi,Daire | 2+1 | 1. Kat | 105 m²,15.000 TL
Yıldırım - Namazgah Mahallesi,Daire | 4+1 | Bahçe dublex | 180 m²,22.000 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,13.000 TL
İnegöl - Cuma Mahallesi,Daire | 2+1 | 3. Kat | 140 m²,19.000 TL
Nilüfer - Görükle Mahallesi,Daire | 3+1 | 5. Kat | 115 m²,15.000 TL
Gemlik - Cumhuriyet Mahallesi,Daire | 3+1 | 4. Kat | 145 m²,30.000 TL
Nilüfer - Beşevler Mahallesi,Daire | 3+1 | 4. Kat | 140 m²,22.500 TL
Osmangazi - Soğanlı Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 93 m²,12.750 TL
Osmangazi - Sakarya Mahallesi,Daire | 2+1 | 4. Kat | 80 m²,13.500 TL
Nilüfer - Görükle Mahallesi,Daire | 2+1 | 4. Kat | 60 m²,23.310 TL
Nilüfer - 30 Ağustos Zafer Mahallesi,Daire | 3+1 | 2. Kat | 140 m²,25.750 TL
Nilüfer - Görükle Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,11.900 TL
Yıldırım - Mimarsinan Mahallesi,Daire | 2+1 | 3. Kat | 108 m²,15.000 TL
Osmangazi - Akpınar Mahallesi,Daire | 3+1 | 2. Kat | 195 m²,31.500 TL
Nilüfer - İhsaniye Mahallesi,Daire | 3+1 | 2. Kat | 120 m²,22.000 TL
Nilüfer - Çalı Mahallesi,Daire | 2+1 | 4. Kat | 120 m²,18.800 TL
Nilüfer - Görükle Mahallesi,Daire | 2+1 | 1. Kat | 75 m²,13.000 TL
Nilüfer - İhsaniye Mahallesi,Daire | 3+1 | 3. Kat | 145 m²,31.500 TL
Nilüfer - Balat Mahallesi,Daire | 1+1 | 3. Kat | 55 m²,23.000 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 2+1 | 3. Kat | 65 m²,18.000 TL
Nilüfer - Cumhuriyet Mahallesi,Daire | 3+1 | 4. Kat | 140 m²,36.000 TL
Nilüfer - Kızılcıklı Mahallesi,Daire | 1+1 | 4. Kat | 70 m²,15.000 TL
Nilüfer - Üçevler Mahallesi,Daire | 1+1 | Çatı katı | 110 m²,20.000 TL
Yıldırım - Millet Mahallesi,Daire | 3+1 | 5. Kat | 135 m²,30.000 TL
Yıldırım - Millet Mahallesi,Daire | 3+1 | 1. Kat | 130 m²,25.000 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 2+1 | 1. Kat | 60 m²,16.000 TL
Nilüfer - 23 Nisan Mahallesi,Daire | 3+1 | 4. Kat | 138 m²,60.000 TL
Nilüfer - İhsaniye Mahallesi,Daire | 3+1 | 5. Kat | 170 m²,32.000 TL
Orhangazi - Arapzade Mahallesi,Daire | 3+1 | Düz Giriş (Zemin) | 120 m²,17.000 TL
Nilüfer - Konak Mahallesi,Daire | 3+1 | 3. Kat | 138 m²,24.000 TL
Osmangazi - Dikkaldırım Mahallesi,Daire | 2+1 | 4. Kat | 135 m²,25.500 TL
Yıldırım - Umurbey Mahallesi,Daire | 2+1 | 1. Kat | 85 m²,14.000 TL
Nilüfer - Konak Mahallesi,Daire | 2+1 | 1. Kat | 110 m²,23.500 TL
Osmangazi - Yahşibey Mahallesi,Daire | 2+1 | 4. Kat | 85 m²,15.000 TL
İnegöl - Cumhuriyet Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,10.000 TL
Nilüfer - Görükle Mahallesi,Daire | 1+1 | 3. Kat | 65 m²,13.000 TL
Nilüfer - Görükle Mahallesi,Daire | 2+1 | 2. Kat | 75 m²,14.000 TL
Nilüfer - Akçalar Mahallesi,Daire | 3+1 | 2. Kat | 155 m²,19.000 TL
Nilüfer - Beşevler Mahallesi,Daire | 3+1 | 1. Kat | 170 m²,36.000 TL
Osmangazi - Yunuseli Mahallesi,Daire | 2+1 | 2. Kat | 130 m²,25.000 TL
Nilüfer - Beşevler Mahallesi,Daire | 3+1 | 1. Kat | 150 m²,28.000 TL
Yıldırım - Kurtoğlu Mahallesi,Daire | 2+1 | 3. Kat | 65 m²,10.000 TL12.000 TL
Nilüfer - Kurtuluş Mahallesi,Daire | 3+1 | 4. Kat | 193 m²,28.000 TL
Nilüfer - Görükle Mahallesi,Daire | 3+1 | 5. Kat | 135 m²,22.000 TL
Nilüfer - Esentepe Mahallesi,Daire | 3+1 | 2. Kat | 140 m²,30.000 TL
Mudanya - Güzelyalı Yalı Mahallesi,Daire | 3+1 | 3. Kat | 135 m²,30.000 TL
Mudanya - Güzelyalı Eğitim Mahallesi,Daire | 2+1 | 5. Kat | 110 m²,18.000 TL
Nilüfer - Balat Mahallesi,Daire | 3+1 | 3. Kat | 172 m²,55.000 TL
Yıldırım - Ertuğrulgazi Mahallesi,Daire | 3+1 | 5. Kat | 120 m²,19.000 TL
Nilüfer - Kızılcıklı Mahallesi,Daire | 3+1 | 6. Kat | 145 m²,17.000 TL
Nilüfer - Üçevler Mahallesi,Daire | 2+1 | Bahçe katı | 100 m²,15.500 TL
Osmangazi - İvazpaşa Mahallesi,Daire | 2+1 | 1. Kat | 75 m²,8.500 TL
Osmangazi - İbrahimpaşa Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 125 m²,18.250 TL
Osmangazi - Kükürtlü Mahallesi,Daire | 3+1 | 2. Kat | 150 m²,30.000 TL
Nilüfer - Odunluk Mahallesi,Daire | 3+1 | 2. Kat | 160 m²,45.000 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 2+1 | 3. Kat | 70 m²,15.000 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 2+1 | 1. Kat | 55 m²,16.000 TL
Yıldırım - Değirmenönü Mahallesi,Daire | 3+1 | 7. Kat | 135 m²,25.000 TL
Yıldırım - Sıracevizler Mahallesi,Daire | 2+1 | 3. Kat | 110 m²,14.000 TL
Orhangazi - Arapzade Mahallesi,Daire | 3+1 | 5. Kat | 135 m²,23.000 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 2+1 | 3. Kat | 109 m²,20.000 TL
Osmangazi - Yunuseli Mahallesi,Daire | 2+1 | 3. Kat | 90 m²,25.000 TL
Osmangazi - Demirtaş Dumlupınar Mahallesi,Daire | 2+1 | 1. Kat | 90 m²,14.000 TL
İnegöl - Ertuğrulgazi Mahallesi,Daire | 3+1 | Düz Giriş (Zemin) | 170 m²,21.000 TL
Nilüfer - Altınşehir Mahallesi,Daire | 4+1 | 4. Kat | 182 m²,44.000 TL
Nilüfer - Kayapa Mahallesi,Daire | 2+1 | 3. Kat | 110 m²,21.000 TL
Yıldırım - Bağlaraltı Mahallesi,Daire | 2+1 | 3. Kat | 120 m²,16.000 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 2+1 | 1. Kat | 65 m²,15.750 TL
Orhangazi - Muradiye Mahallesi,Daire | 3+1 | 5. Kat | 160 m²,18.000 TL
Yıldırım - Millet Mahallesi,Daire | 2+1 | 4. Kat | 110 m²,25.000 TL
Yenişehir - Yeni Mahallesi,Daire | 2+1 | 2. Kat | 80 m²,13.500 TL
Osmangazi - Altıparmak Mahallesi,Daire | 2.5+1 | 4. Kat | 120 m²,17.000 TL
Gürsu - Yenidoğan Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,15.500 TL
Mustafakemalpaşa - Barış Mahallesi,Daire | 1+1 | 4. Kat | 50 m²,18.000 TL
Nilüfer - İhsaniye Mahallesi,Daire | 4+1 | Kot 2 (-2). Kat | 200 m²,32.000 TL
Nilüfer - Görükle Mahallesi,Daire | 2+1 | Kot 2 (-2). Kat | 90 m²,17.500 TL
Nilüfer - İhsaniye Mahallesi,Daire | 3+1 | 1. Kat | 125 m²,24.000 TL
Nilüfer - Görükle Mahallesi,Daire | 2+1 | 3. Kat | 70 m²,17.000 TL
Nilüfer - Görükle Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,14.000 TL
Nilüfer - 30 Ağustos Zafer Mahallesi,Daire | 3+1 | Bahçe katı | 155 m²,28.500 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 1+1 | 1. Kat | 60 m²,11.000 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 2+1 | 5. Kat | 65 m²,18.000 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 2+1 | 3. Kat | 80 m²,18.000 TL
Nilüfer - Görükle Mahallesi,Daire | 2+1 | 1. Kat | 85 m²,15.000 TL
