location,information,sales_price
Çerkezköy - Cumhuriyet Mahallesi,Daire | 1+1 | 11. Kat | 60 m²,20.000 TL
Çerkezköy - Fevzi Paşa Mahallesi,Daire | 1+1 | 4. Kat | 55 m²,15.000 TL
Çorlu - Reşadiye Mahallesi,Daire | 2+1 | 3. Kat | 110 m²,19.000 TL
Çorlu - Reşadiye Mahallesi,Daire | 2+1 | 3. Kat | 95 m²,17.000 TL
Çorlu - Reşadiye Mahallesi,Daire | 1+1 | 4. Kat | 85 m²,15.000 TL
Süleymanpaşa - Aydoğdu Mahallesi,Daire | 2+1 | 3. Kat | 105 m²,16.000 TL18.000 TL
Çerkezköy - Kızılpınar Gültepe Mahallesi,Daire | 3+1 | 4. Kat | 140 m²,15.000 TL
Süleymanpaşa - Çınarlı Mahallesi,Daire | 1+1 | Bahçe katı | 70 m²,13.000 TL
Çerkezköy - Bağlık Mahallesi,Daire | 2+1 | Yüksek giriş | 105 m²,12.500 TL
Çerkezköy - Veliköy Mahallesi,Daire | 1+1 | 4. Kat | 60 m²,13.000 TL
Çorlu - Reşadiye Mahallesi,Daire | 2+1 | 4. Kat | 100 m²,20.000 TL
Çerkezköy - İstasyon Mahallesi,Daire | 2+1 | 3. Kat | 110 m²,18.000 TL20.000 TL
Çerkezköy - İstasyon Mahallesi,Daire | 2+1 | 2. Kat | 105 m²,20.000 TL
Çerkezköy - Kızılpınar Atatürk Mahallesi,Daire | 2+1 | 5. Kat | 100 m²,13.000 TL
Muratlı - İstiklal - Kurtpınar Mahallesi,Daire | 2+1 | 4. Kat | 115 m²,15.000 TL
Çerkezköy - Gazi Osman Paşa Mahallesi,Daire | 2+1 | Yüksek giriş | 90 m²,18.000 TL
Çorlu - Şeyh Sinan Mahallesi,Daire | 3+1 | 4. Kat | 140 m²,13.000 TL
Süleymanpaşa - Çiftlikönü Mahallesi,Daire | 1+1 | 1. Kat | 50 m²,18.000 TL
Süleymanpaşa - Cumhuriyet Mahallesi,Daire | 3+1 | 4. Kat | 185 m²,32.000 TL
Süleymanpaşa - Cumhuriyet Mahallesi,Daire | 1+1 | 2. Kat | 43 m²,17.000 TL
Çorlu - Kazımiye Mahallesi,Daire | 2+1 | 1. Kat | 110 m²,21.000 TL
Çorlu - Kazımiye Mahallesi,Daire | 2+1 | 4. Kat | 145 m²,20.000 TL
Çerkezköy - İstasyon Mahallesi,Daire | 3+1 | 3. Kat | 110 m²,15.000 TL
Süleymanpaşa - Hürriyet Mahallesi,Daire | 3+1 | 6. Kat | 135 m²,35.000 TL
Süleymanpaşa - Atatürk Mahallesi,Daire | 2+1 | 4. Kat | 100 m²,26.000 TL
Çorlu - Havuzlar Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 45 m²,13.000 TL15.000 TL
Ergene - Sağlık Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 85 m²,12.000 TL
Çorlu - Nusratiye Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,14.500 TL15.500 TL
Süleymanpaşa - Ortacami Mahallesi,Daire | 2+1 | 1. Kat | 90 m²,18.000 TL
Süleymanpaşa - Atatürk Mahallesi,Daire | 1+1 | 4. Kat | 50 m²,20.000 TL
Süleymanpaşa - Altınova Mahallesi,Daire | 3+1 | 2. Kat | 125 m²,20.000 TL
Çorlu - Hürriyet Mahallesi,Daire | 1+1 | 12. Kat | 55 m²,19.000 TL
Çorlu - Alipaşa Mahallesi,Daire | 3+1 | 3. Kat | 150 m²,20.000 TL
Çerkezköy - Veliköy Mahallesi,Daire | 1+1 | 6. Kat | 75 m²,12.000 TL
Süleymanpaşa - Atatürk Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,25.000 TL
Süleymanpaşa - 100. Yıl Mahallesi,Daire | 3+1 | Düz Giriş (Zemin) | 135 m²,25.000 TL
Çorlu - Nusratiye Mahallesi,Daire | 3+1 | 3. Kat | 150 m²,15.000 TL16.000 TL
Çorlu - Hürriyet Mahallesi,Daire | 1+1 | 4. Kat | 75 m²,20.000 TL
Çorlu - Reşadiye Mahallesi,Daire | 2+1 | 5. Kat | 100 m²,16.000 TL17.000 TL
Çorlu - Havuzlar Mahallesi,Daire | 3+1 | 5. Kat | 160 m²,20.000 TL
Çorlu - Rumeli Mahallesi,Daire | 3+1 | 4. Kat | 150 m²,18.000 TL
Süleymanpaşa - Topağaç Mahallesi,Daire | 3+1 | 3. Kat | 135 m²,15.000 TL19.000 TL
Çorlu - Nusratiye Mahallesi,Daire | 1+1 | 5. Kat | 65 m²,15.000 TL
Çorlu - Hürriyet Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,18.000 TL
Çerkezköy - Gazi Osman Paşa Mahallesi,Daire | 2+1 | 2. Kat | 110 m²,17.500 TL
Çerkezköy - Veliköy Mahallesi,Daire | 2+1 | 3. Kat | 90 m²,20.000 TL
Çerkezköy - Veliköy Mahallesi,Daire | 2+1 | 1. Kat | 95 m²,15.000 TL
Süleymanpaşa - Atatürk Mahallesi,Daire | 2+1 | 5. Kat | 118 m²,30.000 TL
Süleymanpaşa - Hürriyet Mahallesi,Daire | 3+1 | 2. Kat | 140 m²,22.000 TL
Süleymanpaşa - Atatürk Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,20.000 TL
Süleymanpaşa - Cumhuriyet Mahallesi,Daire | 2+1 | 1. Kat | 80 m²,25.000 TL
Çorlu - Şeyh Sinan Mahallesi,Daire | 3+1 | 3. Kat | 140 m²,25.000 TL
Süleymanpaşa - Yavuz Mahallesi,Daire | 2+1 | 3. Kat | 105 m²,27.000 TL
Çorlu - Reşadiye Mahallesi,Daire | 3+1 | 3. Kat | 150 m²,15.000 TL
Çorlu - Zafer Mahallesi,Daire | 1+1 | Yüksek giriş | 55 m²,15.000 TL
Çorlu - Hatip Mahallesi,Daire | 2+1 | 2. Kat | 115 m²,15.000 TL
Süleymanpaşa - Kumbağ Mahallesi,Daire | 2+1 | 2. Kat | 80 m²,17.000 TL
Çorlu - Şeyh Sinan Mahallesi,Daire | 2+1 | 5. Kat | 100 m²,20.000 TL
Saray - Bozoba Mahallesi,Daire | 2+1 | Yüksek giriş | 95 m²,9.000 TL
Süleymanpaşa - Çınarlı Mahallesi,Daire | 3+1 | 1. Kat | 135 m²,16.000 TL
Çorlu - Hürriyet Mahallesi,Daire | 1+1 | 8. Kat | 60 m²,16.000 TL
Süleymanpaşa - Bahçelievler Mahallesi,Daire | 3+1 | Müstakil | 135 m²,30.000 TL
Süleymanpaşa - Atatürk Mahallesi,Daire | 3+1 | 5. Kat | 145 m²,35.000 TL
Çerkezköy - Fatih Mahallesi,Daire | 3+1 | 3. Kat | 135 m²,18.000 TL
Süleymanpaşa - Çiftlikönü Mahallesi,Daire | 2+1 | 4. Kat | 110 m²,21.000 TL
Çerkezköy - Fevzi Paşa Mahallesi,Daire | 2+1 | 2. Kat | 105 m²,17.000 TL
Kapaklı - Bahçelievler Mahallesi,Daire | 2+1 | 8. Kat | 100 m²,14.000 TL
Çorlu - Kemalettin Mahallesi,Daire | 3+1 | 2. Kat | 155 m²,14.000 TL
Çorlu - Şeyh Sinan Mahallesi,Daire | 3+1 | Yüksek giriş | 150 m²,20.000 TL
Süleymanpaşa - Çiftlikönü Mahallesi,Daire | 3+1 | 4. Kat | 185 m²,20.000 TL
Çerkezköy - Cumhuriyet Mahallesi,Daire | 1+1 | 5. Kat | 55 m²,15.000 TL
Süleymanpaşa - Ortacami Mahallesi,Daire | 3+1 | 4. Kat | 130 m²,16.000 TL
Süleymanpaşa - Zafer Mahallesi,Daire | 5+1 | 4. Kat | 180 m²,40.000 TL
Çerkezköy - Fevzi Paşa Mahallesi,Daire | 3+1 | 1. Kat | 145 m²,25.000 TL
Saray - Bozoba Mahallesi,Daire | 2+1 | 6. Kat | 125 m²,10.000 TL11.000 TL
Çorlu - Rumeli Mahallesi,Daire | 1+1 | 2. Kat | 50 m²,14.000 TL
Çorlu - Kemalettin Mahallesi,Daire | 3+1 | 4. Kat | 150 m²,25.000 TL
Süleymanpaşa - Hürriyet Mahallesi,Daire | 2+1 | 3. Kat | 110 m²,38.000 TL
Çorlu - Muhittin Mahallesi,Daire | 3+1 | 3. Kat | 150 m²,22.000 TL
Çerkezköy - Fatih Mahallesi,Daire | 1+1 | 4. Kat | 65 m²,15.000 TL
Çorlu - Alipaşa Mahallesi,Daire | 3+1 | 4. Kat | 155 m²,26.000 TL
Çorlu - Zafer Mahallesi,Daire | 1+1 | 3. Kat | 75 m²,18.000 TL
Çorlu - Esentepe Mahallesi,Daire | 1+1 | 9. Kat | 65 m²,17.500 TL
Çorlu - Esentepe Mahallesi,Daire | 3+1 | 1. Kat | 135 m²,40.000 TL
Çerkezköy - İstasyon Mahallesi,Daire | 2+1 | 5. Kat | 100 m²,16.000 TL
Çorlu - Hürriyet Mahallesi,Daire | 2+1 | 3. Kat | 130 m²,32.000 TL
Çorlu - Hatip Mahallesi,Daire | 1+1 | 4. Kat | 50 m²,13.000 TL
Çorlu - Nusratiye Mahallesi,Daire | 1+1 | Yüksek giriş | 50 m²,15.000 TL
Şarköy - İstiklal Mahallesi,Daire | 2+1 | 2. Kat | 110 m²,22.000 TL
Süleymanpaşa - Değirmenaltı Mahallesi,Daire | 2+1 | 3. Kat | 100 m²,30.000 TL
Süleymanpaşa - Atatürk Mahallesi,Daire | 3+1 | 3. Kat | 145 m²,44.000 TL
Çerkezköy - Cumhuriyet Mahallesi,Daire | 1+1 | 4. Kat | 55 m²,14.000 TL
Çerkezköy - Fevzi Paşa Mahallesi,Daire | 3+1 | 4. Kat | 170 m²,28.000 TL
Süleymanpaşa - Topağaç Mahallesi,Daire | 2+1 | Yüksek giriş | 85 m²,15.000 TL
Süleymanpaşa - Çiftlikönü Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 50 m²,13.000 TL
Çorlu - Hürriyet Mahallesi,Daire | 1+1 | 11. Kat | 70 m²,21.000 TL
Çerkezköy - Veliköy Mahallesi,Daire | 2+1 | 2. Kat | 115 m²,15.000 TL
Süleymanpaşa - Çiftlikönü Mahallesi,Daire | 3+1 | Yüksek giriş | 130 m²,20.000 TL
Çorlu - Cemaliye Mahallesi,Daire | 3+1 | 1. Kat | 140 m²,12.000 TL
Süleymanpaşa - Yavuz Mahallesi,Daire | 3+1 | 2. Kat | 135 m²,18.000 TL
Süleymanpaşa - Değirmenaltı Mahallesi,Daire | 1+1 | 1. Kat | 50 m²,24.000 TL
Çorlu - Havuzlar Mahallesi,Daire | 2+1 | 2. Kat | 95 m²,17.000 TL
Çorlu - Şeyh Sinan Mahallesi,Daire | 2+1 | 6. Kat | 140 m²,28.000 TL
Çorlu - Rumeli Mahallesi,Daire | 3+1 | 2. Kat | 165 m²,16.000 TL17.000 TL
Çorlu - Hatip Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,15.000 TL
Süleymanpaşa - Altınova Mahallesi,Daire | 1+1 | 2. Kat | 80 m²,25.000 TL
Çorlu - Önerler Mahallesi,Daire | 3+1 | Bahçe katı | 150 m²,50.000 TL
Çorlu - Zafer Mahallesi,Daire | 1+1 | Yüksek giriş | 64 m²,17.000 TL
Çorlu - Çobançeşme Mahallesi,Daire | 1+1 | 3. Kat | 45 m²,12.500 TL14.000 TL
Çorlu - Hürriyet Mahallesi,Daire | 3+1 | 2. Kat | 160 m²,31.000 TL
Çorlu - Zafer Mahallesi,Daire | 3+1 | 4. Kat | 131 m²,35.000 TL
Çorlu - Muhittin Mahallesi,Daire | 3+1 | 3. Kat | 175 m²,29.000 TL
Çorlu - Hatip Mahallesi,Daire | 2+1 | 1. Kat | 100 m²,20.000 TL
Süleymanpaşa - Ortacami Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,20.000 TL
Çerkezköy - Fatih Mahallesi,Daire | 1+1 | 1. Kat | 60 m²,15.000 TL
Süleymanpaşa - Hürriyet Mahallesi,Daire | 2+1 | Yüksek giriş | 100 m²,29.000 TL
Kapaklı - İsmet Paşa Mahallesi,Daire | 1+1 | 1. Kat | 65 m²,23.000 TL
Kapaklı - Bahçelievler Mahallesi,Daire | 1+1 | 1. Kat | 60 m²,15.000 TL
Çerkezköy - Kızılpınar Namık Kemal Mahallesi,Daire | 2+1 | 4. Kat | 125 m²,14.000 TL
Çerkezköy - İstasyon Mahallesi,Daire | 2+1 | Yüksek giriş | 125 m²,20.000 TL
Çorlu - Şeyh Sinan Mahallesi,Daire | 3+1 | 5. Kat | 140 m²,15.500 TL
Süleymanpaşa - Kumbağ Mahallesi,Daire | 1+1 | 1. Kat | 60 m²,10.000 TL
Çorlu - Önerler Mahallesi,Daire | 3+1 | 3. Kat | 160 m²,47.500 TL
Çorlu - Havuzlar Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 65 m²,12.500 TL
Çorlu - Kemalettin Mahallesi,Daire | 3+1 | 5. Kat | 155 m²,20.000 TL
Çorlu - Hatip Mahallesi,Daire | 3+1 | 2. Kat | 130 m²,15.000 TL
Süleymanpaşa - Altınova Mahallesi,Daire | 3+1 | 5. Kat | 145 m²,17.500 TL
Süleymanpaşa - Altınova Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 65 m²,18.000 TL
Süleymanpaşa - 100. Yıl Mahallesi,Daire | 3+1 | 5. Kat | 120 m²,18.000 TL
Çorlu - Şeyh Sinan Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 85 m²,13.000 TL
Kapaklı - Cumhuriyet Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,13.000 TL
Çerkezköy - Bağlık Mahallesi,Daire | 2+1 | Yüksek giriş | 90 m²,12.500 TL
Çorlu - Havuzlar Mahallesi,Daire | 1+1 | Yüksek giriş | 65 m²,14.000 TL
Süleymanpaşa - Atatürk Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 42 m²,18.000 TL
Süleymanpaşa - Cumhuriyet Mahallesi,Daire | 2+1 | Bahçe katı | 85 m²,18.000 TL
Çorlu - Havuzlar Mahallesi,Daire | 2+1 | 2. Kat | 110 m²,21.000 TL
Kapaklı - İnönü Mahallesi,Daire | 3+1 | 5. Kat | 130 m²,23.000 TL
Kapaklı - Atatürk Mahallesi,Daire | 1+1 | Yüksek giriş | 70 m²,13.500 TL
Kapaklı - Cumhuriyet Mahallesi,Daire | 2+0 | Yüksek giriş | 85 m²,11.500 TL
Kapaklı - Bahçelievler Mahallesi,Daire | 2+1 | 1. Kat | 105 m²,18.000 TL
Çorlu - Hatip Mahallesi,Daire | 2+1 | 4. Kat | 130 m²,15.000 TL
Ergene - Marmaracık Mahallesi,Daire | 2+1 | 2. Kat | 95 m²,13.000 TL
Kapaklı - Bahçelievler Mahallesi,Daire | 1+1 | Yüksek giriş | 75 m²,9.000 TL
Süleymanpaşa - Hürriyet Mahallesi,Daire | 3+1 | Bahçe katı | 208 m²,49.000 TL
Çerkezköy - İstasyon Mahallesi,Daire | 2+1 | 10. Kat | 135 m²,31.000 TL
Kapaklı - Bahçelievler Mahallesi,Daire | 2+1 | 2. Kat | 110 m²,13.000 TL
Çerkezköy - Cumhuriyet Mahallesi,Daire | 2+2 | 5. Kat | 120 m²,21.000 TL
Çorlu - Kazımiye Mahallesi,Daire | 3+0 | 2. Kat | 140 m²,16.000 TL17.000 TL
Süleymanpaşa - Atatürk Mahallesi,Daire | 2+1 | 4. Kat | 100 m²,30.000 TL
Süleymanpaşa - Hürriyet Mahallesi,Daire | 3+1 | 4. Kat | 150 m²,21.000 TL
Ergene - Sağlık Mahallesi,Daire | 2+1 | Yüksek giriş | 85 m²,14.000 TL15.000 TL
Çorlu - Hürriyet Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,20.000 TL
Süleymanpaşa - Ertuğrul Mahallesi,Daire | 2+1 | 3. Kat | 90 m²,22.000 TL
Süleymanpaşa - Yavuz Mahallesi,Daire | 2+1 | Kot 3 (-3). Kat | 105 m²,25.000 TL27.000 TL
Çorlu - Alipaşa Mahallesi,Daire | 3+1 | 1. Kat | 126 m²,27.000 TL
Süleymanpaşa - 100. Yıl Mahallesi,Daire | 3+1 | 3. Kat | 183 m²,38.000 TL
Çerkezköy - Kızılpınar Gültepe Mahallesi,Daire | 2+1 | 1. Kat | 110 m²,12.000 TL
Süleymanpaşa - Ortacami Mahallesi,Daire | 3+1 | 2. Kat | 120 m²,19.000 TL
Süleymanpaşa - Hürriyet Mahallesi,Daire | 2+1 | 1. Kat | 145 m²,27.000 TL
Kapaklı - Bahçelievler Mahallesi,Daire | 2+1 | 8. Kat | 115 m²,13.500 TL
Çorlu - Hürriyet Mahallesi,Daire | 3+1 | 5. Kat | 150 m²,35.000 TL
Süleymanpaşa - Aydoğdu Mahallesi,Daire | 2+1 | Yüksek giriş | 105 m²,20.000 TL
Çorlu - Muhittin Mahallesi,Daire | 2+1 | 4. Kat | 85 m²,21.000 TL
Süleymanpaşa - Atatürk Mahallesi,Daire | 2+1 | 3. Kat | 90 m²,29.500 TL
Süleymanpaşa - Cumhuriyet Mahallesi,Daire | 3+1 | Düz Giriş (Zemin) | 135 m²,22.000 TL33.000 TL
Süleymanpaşa - Hürriyet Mahallesi,Daire | 3+1 | 3. Kat | 200 m²,46.000 TL
Çorlu - Muhittin Mahallesi,Daire | 2+1 | 2. Kat | 105 m²,14.500 TL
Çerkezköy - Fatih Mahallesi,Daire | 2+1 | 3. Kat | 110 m²,15.000 TL
Süleymanpaşa - Çınarlı Mahallesi,Daire | 2+1 | 3. Kat | 93 m²,25.000 TL
Çorlu - Muhittin Mahallesi,Daire | 3+1 | 3. Kat | 145 m²,25.000 TL
Çorlu - Zafer Mahallesi,Daire | 1+1 | 4. Kat | 70 m²,14.500 TL
Çorlu - Alipaşa Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 90 m²,25.000 TL
Çorlu - Muhittin Mahallesi,Daire | 2+1 | 4. Kat | 135 m²,20.000 TL
Çorlu - Şeyh Sinan Mahallesi,Daire | 3+1 | 5. Kat | 170 m²,23.000 TL
Çorlu - Şeyh Sinan Mahallesi,Daire | 1+1 | Yüksek giriş | 60 m²,15.500 TL
Kapaklı - Bahçelievler Mahallesi,Daire | 2+1 | Yüksek giriş | 95 m²,10.000 TL
Çerkezköy - Kızılpınar Namık Kemal Mahallesi,Daire | 2+1 | Yüksek giriş | 110 m²,12.000 TL13.000 TL
Süleymanpaşa - Ortacami Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 75 m²,16.000 TL
Süleymanpaşa - Ortacami Mahallesi,Daire | 2+1 | 1. Kat | 105 m²,17.000 TL
Kapaklı - Bahçelievler Mahallesi,Daire | 2+1 | 10. Kat | 90 m²,11.000 TL
Kapaklı - Vatan Mahallesi,Daire | 2+1 | 2. Kat | 110 m²,18.000 TL20.000 TL
Çorlu - Kazımiye Mahallesi,Daire | 4+1 | 4. Kat | 180 m²,23.000 TL
Çerkezköy - Fatih Mahallesi,Daire | 1+1 | 2. Kat | 65 m²,19.000 TL
Marmaraereğlisi - Yeniçiftlik Mahallesi,Daire | 3+1 | 2. Kat | 170 m²,80.000 TL
Süleymanpaşa - Atatürk Mahallesi,Daire | 4+1 | 4. Kat | 150 m²,40.000 TL45.000 TL
Çorlu - Şeyh Sinan Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 60 m²,13.000 TL
Süleymanpaşa - Atatürk Mahallesi,Daire | 3+1 | 3. Kat | 140 m²,35.000 TL
Süleymanpaşa - Atatürk Mahallesi,Daire | 2+1 | 3. Kat | 100 m²,30.000 TL
Çorlu - Muhittin Mahallesi,Daire | 3+1 | 5. Kat | 130 m²,28.000 TL
Çerkezköy - Bağlık Mahallesi,Daire | 2+1 | 5. Kat | 95 m²,20.000 TL
Çorlu - Reşadiye Mahallesi,Daire | 2+1 | 4. Kat | 110 m²,15.000 TL17.000 TL
Çerkezköy - Kızılpınar Atatürk Mahallesi,Daire | 3+1 | 4. Kat | 150 m²,15.000 TL16.000 TL
Çorlu - Muhittin Mahallesi,Daire | 3+1 | 1. Kat | 190 m²,18.000 TL
Çerkezköy - Fatih Mahallesi,Daire | 2+1 | 3. Kat | 105 m²,15.000 TL
Çorlu - Zafer Mahallesi,Daire | 1+1 | 3. Kat | 65 m²,15.000 TL
Çorlu - Esentepe Mahallesi,Daire | 1+1 | 7. Kat | 60 m²,15.000 TL
Çorlu - Zafer Mahallesi,Daire | 1+1 | 3. Kat | 60 m²,14.000 TL
Çorlu - Nusratiye Mahallesi,Daire | 1+1 | Bahçe katı | 60 m²,14.000 TL
Çorlu - Zafer Mahallesi,Daire | 1+1 | 3. Kat | 65 m²,15.500 TL
Çorlu - Muhittin Mahallesi,Daire | 3+1 | 3. Kat | 140 m²,22.000 TL
Çorlu - Zafer Mahallesi,Daire | 1+1 | Kot 1 (-1). Kat | 75 m²,13.000 TL
Süleymanpaşa - Kumbağ Mahallesi,Daire | 1+1 | Yüksek giriş | 65 m²,14.000 TL16.000 TL
Şarköy - Cumhuriyet Mahallesi,Daire | 2+1 | 3. Kat | 120 m²,23.000 TL25.000 TL
Süleymanpaşa - Çiftlikönü Mahallesi,Daire | 2+1 | 3. Kat | 110 m²,15.000 TL
Süleymanpaşa - Hürriyet Mahallesi,Daire | 3+1 | 4. Kat | 120 m²,21.000 TL
Süleymanpaşa - 100. Yıl Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,20.000 TL
Süleymanpaşa - Köseilyas Mahallesi,Daire | 1+1 | 3. Kat | 70 m²,25.000 TL
Süleymanpaşa - Kumbağ Mahallesi,Daire | 1+1 | Bahçe katı | 60 m²,15.000 TL
Çorlu - Çobançeşme Mahallesi,Daire | 3+1 | 2. Kat | 145 m²,17.500 TL
Süleymanpaşa - Çınarlı Mahallesi,Daire | 2+1 | Kot 1 (-1). Kat | 80 m²,18.500 TL
Çorlu - Kemalettin Mahallesi,Daire | 3+1 | 1. Kat | 135 m²,18.000 TL
Kapaklı - Atatürk Mahallesi,Daire | 2+1 | Yüksek giriş | 80 m²,10.000 TL
Çorlu - Nusratiye Mahallesi,Daire | 2+1 | 1. Kat | 105 m²,13.000 TL
Süleymanpaşa - Çiftlikönü Mahallesi,Daire | 2+1 | 3. Kat | 85 m²,15.000 TL
Süleymanpaşa - Kumbağ Mahallesi,Daire | 2+1 | Yüksek giriş | 79 m²,35.000 TL
Çorlu - Esentepe Mahallesi,Daire | 1+1 | 5. Kat | 85 m²,25.000 TL
Kapaklı - Atatürk Mahallesi,Daire | 3+1 | 4. Kat | 145 m²,17.000 TL
Süleymanpaşa - Altınova Mahallesi,Daire | 3+1 | 3. Kat | 160 m²,16.500 TL
Çorlu - Muhittin Mahallesi,Daire | 1+1 | Yüksek giriş | 80 m²,15.000 TL
Süleymanpaşa - Atatürk Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,18.000 TL
Ergene - Sağlık Mahallesi,Daire | 2+1 | 2. Kat | 115 m²,17.500 TL
Süleymanpaşa - Barbaros Mahallesi,Daire | 1+1 | Yüksek giriş | 60 m²,18.000 TL
Süleymanpaşa - Ortacami Mahallesi,Daire | 2+1 | Bodrum Kat | 85 m²,14.000 TL
Süleymanpaşa - Ertuğrul Mahallesi,Daire | 2+1 | 3. Kat | 100 m²,25.000 TL
Çorlu - Hürriyet Mahallesi,Daire | 1+1 | 3. Kat | 65 m²,20.000 TL
Çorlu - Nusratiye Mahallesi,Daire | 1+1 | Bahçe katı | 60 m²,16.400 TL
Kapaklı - İnönü Mahallesi,Daire | 2+1 | Yüksek giriş | 100 m²,13.000 TL
Çorlu - Hürriyet Mahallesi,Daire | 1+1 | 11. Kat | 65 m²,14.000 TL
Çorlu - Esentepe Mahallesi,Daire | 1+1 | 3. Kat | 75 m²,17.000 TL
Çorlu - Hürriyet Mahallesi,Daire | 1+1 | 5. Kat | 65 m²,19.000 TL
Çorlu - Zafer Mahallesi,Daire | 1+1 | 2. Kat | 45 m²,14.000 TL
Kapaklı - Atatürk Mahallesi,Daire | 2+0 | Düz Giriş (Zemin) | 75 m²,10.000 TL
Çorlu - Şeyh Sinan Mahallesi,Daire | 2+1 | 1. Kat | 100 m²,20.000 TL
Şarköy - Cumhuriyet Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,25.000 TL
Marmaraereğlisi - Yeniçiftlik Mahallesi,Daire | 3+1 | Bahçe katı | 110 m²,200.000 TL350.000 TL
Kapaklı - Atatürk Mahallesi,Daire | 2+1 | Yüksek giriş | 90 m²,10.000 TL
Çerkezköy - Bağlık Mahallesi,Daire | 1+1 | 3. Kat | 80 m²,15.000 TL
Çorlu - Muhittin Mahallesi,Daire | 2+1 | 1. Kat | 85 m²,14.000 TL15.500 TL
Çerkezköy - Kızılpınar Atatürk Mahallesi,Daire | 2+1 | Yüksek giriş | 95 m²,12.000 TL
Çorlu - Hürriyet Mahallesi,Daire | 1+1 | 2. Kat | 57 m²,23.000 TL
Çorlu - Zafer Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,15.500 TL
Çorlu - Alipaşa Mahallesi,Daire | 1+1 | 9. Kat | 58 m²,21.000 TL
Süleymanpaşa - Yavuz Mahallesi,Daire | 3+1 | 3. Kat | 160 m²,25.000 TL
Kapaklı - Bahçelievler Mahallesi,Daire | 2+1 | 7. Kat | 95 m²,14.000 TL15.000 TL
Süleymanpaşa - Hürriyet Mahallesi,Daire | 3+1 | 2. Kat | 130 m²,25.500 TL
Çorlu - Nusratiye Mahallesi,Daire | 1+1 | Bahçe katı | 50 m²,15.000 TL
Süleymanpaşa - Atatürk Mahallesi,Daire | 3+1 | 1. Kat | 150 m²,35.000 TL
Çorlu - Şeyh Sinan Mahallesi,Daire | 3+1 | 4. Kat | 135 m²,18.000 TL20.000 TL
Süleymanpaşa - Atatürk Mahallesi,Daire | 1+1 | 3. Kat | 55 m²,20.000 TL
Süleymanpaşa - Atatürk Mahallesi,Daire | 3+1 | 3. Kat | 150 m²,35.000 TL
Süleymanpaşa - Atatürk Mahallesi,Daire | 1+1 | 3. Kat | 55 m²,20.000 TL
Süleymanpaşa - Aydoğdu Mahallesi,Daire | 2+1 | 3. Kat | 80 m²,15.000 TL
Kapaklı - Atatürk Mahallesi,Daire | 1+1 | 1. Kat | 85 m²,12.000 TL
Süleymanpaşa - Kumbağ Mahallesi,Daire | 2+1 | 2. Kat | 80 m²,15.000 TL
Çorlu - Zafer Mahallesi,Daire | 1+1 | 2. Kat | 68 m²,19.000 TL
Çorlu - Reşadiye Mahallesi,Daire | 2+1 | 3. Kat | 115 m²,13.000 TL
Süleymanpaşa - Kumbağ Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,55.000 TL150.000 TL
Süleymanpaşa - Altınova Mahallesi,Daire | 2+1 | 1. Kat | 100 m²,20.000 TL
Süleymanpaşa - Altınova Mahallesi,Daire | 3+1 | 1. Kat | 125 m²,25.000 TL
Kapaklı - İnönü Mahallesi,Daire | 1+1 | 5. Kat | 68 m²,16.000 TL
Çerkezköy - İstasyon Mahallesi,Daire | 1+1 | 5. Kat | 60 m²,13.000 TL14.000 TL
Kapaklı - Bahçelievler Mahallesi,Daire | 2+1 | 3. Kat | 95 m²,13.000 TL
Kapaklı - Cumhuriyet Mahallesi,Daire | 2+1 | 4. Kat | 95 m²,12.000 TL
Süleymanpaşa - Çiftlikönü Mahallesi,Daire | 3+1 | 2. Kat | 135 m²,33.000 TL
Kapaklı - Bahçelievler Mahallesi,Daire | 2+1 | 2. Kat | 102 m²,12.000 TL
Süleymanpaşa - Karadeniz Mahallesi,Daire | 2+1 | 3. Kat | 68 m²,15.000 TL16.000 TL
Çorlu - Alipaşa Mahallesi,Daire | 1+1 | 2. Kat | 100 m²,22.000 TL25.000 TL
Çorlu - Hürriyet Mahallesi,Daire | 1+1 | 3. Kat | 57 m²,21.000 TL
