location,information,sales_price
Çerkezköy - Cumhuriyet Mahallesi,Daire | 3+1 | 1. Kat | 173 m²,30.000 TL
Süleymanpaşa - Hürriyet Mahallesi,Daire | 3+1 | 7. Kat | 160 m²,30.000 TL
Süleymanpaşa - Hürriyet Mahallesi,Daire | 2+1 | 5. Kat | 127 m²,41.000 TL
Süleymanpaşa - Kumbağ Mahallesi,Daire | 1+1 | Bahçe katı | 55 m²,22.000 TL
Süleymanpaşa - Hürriyet Mahallesi,Daire | 2+1 | 5. Kat | 133 m²,40.000 TL
Süleymanpaşa - Hürriyet Mahallesi,Daire | 3+1 | 5. Kat | 140 m²,33.000 TL
Çerkezköy - Kızılpınar Atatürk Mahallesi,Daire | 3+1 | 4. Kat | 145 m²,15.000 TL
Çerkezköy - Fevzi Paşa Mahallesi,Daire | 2+1 | 3. Kat | 95 m²,17.000 TL
Çerkezköy - Fevzi Paşa Mahallesi,Daire | 1+1 | Bahçe katı | 75 m²,15.000 TL
Çerkezköy - Gazi Mustafa Kemalpaşa Mahallesi,Daire | 3+1 | 4. Kat | 160 m²,16.000 TL
Çorlu - Şeyh Sinan Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,17.500 TL
Çorlu - Nusratiye Mahallesi,Daire | 1+1 | 1. Kat | 59 m²,23.500 TL
Kapaklı - Karaağaç Mahallesi,Daire | 2+1 | 5. Kat | 110 m²,12.500 TL
Çorlu - Rumeli Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,16.000 TL
Çorlu - Hürriyet Mahallesi,Daire | 3+1 | 8. Kat | 165 m²,25.500 TL
Çorlu - Muhittin Mahallesi,Daire | 2+1 | 1. Kat | 95 m²,20.000 TL
Çorlu - Hatip Mahallesi,Daire | 1+1 | 5. Kat | 50 m²,14.000 TL
Çorlu - Havuzlar Mahallesi,Daire | 1+1 | 2. Kat | 70 m²,16.500 TL
Çorlu - Reşadiye Mahallesi,Daire | 2+1 | 3. Kat | 70 m²,14.000 TL
Çorlu - Alipaşa Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 91 m²,25.000 TL
Kapaklı - Yunus Emre Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 80 m²,10.000 TL
Çerkezköy - Fevzi Paşa Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,17.000 TL
Çerkezköy - Gazi Mustafa Kemalpaşa Mahallesi,Daire | 1+1 | Yüksek giriş | 60 m²,16.000 TL
Çerkezköy - İstasyon Mahallesi,Daire | 3+1 | Yüksek giriş | 135 m²,19.000 TL
Çorlu - Rumeli Mahallesi,Daire | 1+1 | 3. Kat | 60 m²,18.000 TL
Kapaklı - 19 Mayıs Mahallesi,Daire | 2+1 | 7. Kat | 110 m²,20.000 TL
Süleymanpaşa - 100. Yıl Mahallesi,Daire | 3+1 | 5. Kat | 110 m²,18.000 TL
Çorlu - Şeyh Sinan Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 100 m²,19.000 TL
Çorlu - Şeyh Sinan Mahallesi,Daire | 2+1 | 8. Kat | 120 m²,26.000 TL
Çerkezköy - İstasyon Mahallesi,Daire | 3+1 | Yüksek giriş | 135 m²,20.000 TL22.000 TL
Çorlu - Rumeli Mahallesi,Daire | 1+1 | 1. Kat | 60 m²,11.900 TL
Çorlu - Havuzlar Mahallesi,Daire | 2+1 | 1. Kat | 100 m²,20.000 TL
Çerkezköy - Veliköy Mahallesi,Daire | 2+1 | 4. Kat | 110 m²,18.000 TL
Çorlu - Zafer Mahallesi,Daire | 3+1 | 2. Kat | 144 m²,35.000 TL
Çerkezköy - Fatih Mahallesi,Daire | 2+1 | 5. Kat | 105 m²,15.000 TL
Çorlu - Esentepe Mahallesi,Daire | 2+1 | 7. Kat | 120 m²,32.000 TL
Kapaklı - Mevlana Mahallesi,Daire | 2+1 | 1. Kat | 85 m²,13.000 TL
Çerkezköy - İstasyon Mahallesi,Daire | 1+1 | 2. Kat | 65 m²,17.000 TL
Çorlu - Muhittin Mahallesi,Daire | 2+1 | 2. Kat | 110 m²,28.000 TL
Çerkezköy - Yıldırım Beyazıt Mahallesi,Daire | 2+1 | 1. Kat | 110 m²,18.000 TL
Muratlı - Fatih Mahallesi,Daire | 2+1 | Çatı katı | 100 m²,20.000 TL
Çorlu - Şeyh Sinan Mahallesi,Daire | 1+1 | 14. Kat | 100 m²,17.000 TL
Çorlu - Alipaşa Mahallesi,Daire | 1+1 | 6. Kat | 55 m²,17.500 TL
Çorlu - Nusratiye Mahallesi,Daire | 1+1 | Bahçe katı | 70 m²,15.500 TL
Süleymanpaşa - Vatan Mahallesi,Daire | 2+1 | Yüksek giriş | 110 m²,18.000 TL
Süleymanpaşa - Altınova Mahallesi,Daire | 4+1 | 2. Kat | 145 m²,33.000 TL
Kapaklı - Mevlana Mahallesi,Daire | 2+1 | 4. Kat | 105 m²,14.000 TL
Süleymanpaşa - Altınova Mahallesi,Daire | 1+1 | 1. Kat | 70 m²,13.000 TL
Çorlu - Reşadiye Mahallesi,Daire | 2+1 | 3. Kat | 100 m²,22.000 TL
Çorlu - Muhittin Mahallesi,Daire | 3+1 | Yüksek giriş | 120 m²,25.000 TL
Çorlu - Havuzlar Mahallesi,Daire | 2+1 | Yüksek giriş | 90 m²,14.000 TL
Çorlu - Şeyh Sinan Mahallesi,Daire | 3+1 | 4. Kat | 140 m²,25.000 TL
Süleymanpaşa - Çiftlikönü Mahallesi,Daire | 1+1 | 5. Kat | 45 m²,18.000 TL
Süleymanpaşa - Altınova Mahallesi,Daire | 2+1 | Yüksek giriş | 90 m²,18.500 TL
Süleymanpaşa - Altınova Mahallesi,Daire | 2+1 | 3. Kat | 100 m²,24.500 TL
Çorlu - Muhittin Mahallesi,Daire | 1+1 | 3. Kat | 90 m²,17.000 TL
Çerkezköy - İstasyon Mahallesi,Daire | 3+1 | Yüksek giriş | 135 m²,20.000 TL
Çorlu - Şeyh Sinan Mahallesi,Daire | 2+1 | 1. Kat | 90 m²,19.000 TL21.000 TL
Çorlu - Nusratiye Mahallesi,Daire | 1+1 | Yüksek giriş | 50 m²,21.000 TL
Çerkezköy - Veliköy Mahallesi,Daire | 2+1 | Yüksek giriş | 90 m²,12.000 TL
Çerkezköy - Cumhuriyet Mahallesi,Daire | 1+1 | 3. Kat | 60 m²,25.000 TL
Çerkezköy - Cumhuriyet Mahallesi,Daire | 4+1 | 3. Kat | 185 m²,38.500 TL
Süleymanpaşa - Hürriyet Mahallesi,Daire | 1+1 | 4. Kat | 60 m²,29.000 TL
Süleymanpaşa - Hürriyet Mahallesi,Daire | 1+1 | 4. Kat | 75 m²,27.000 TL
Muratlı - Fatih Mahallesi,Daire | 2+1 | 3. Kat | 110 m²,13.000 TL15.000 TL
Çorlu - Hürriyet Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,21.000 TL
Çorlu - Şeyh Sinan Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,19.000 TL
Çerkezköy - Cumhuriyet Mahallesi,Daire | 3+1 | 1. Kat | 160 m²,35.000 TL
Çorlu - Şeyh Sinan Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 90 m²,12.000 TL
Ergene - Marmaracık Mahallesi,Daire | 2+1 | Yüksek giriş | 80 m²,14.000 TL
Çorlu - Reşadiye Mahallesi,Daire | 3+1 | 4. Kat | 130 m²,15.000 TL
Süleymanpaşa - Altınova Mahallesi,Daire | 2+1 | 3. Kat | 105 m²,20.000 TL
Süleymanpaşa - Ortacami Mahallesi,Daire | 3+1 | 3. Kat | 120 m²,18.000 TL
Kapaklı - Atatürk Mahallesi,Daire | 2+1 | 3. Kat | 90 m²,13.000 TL
Çorlu - Esentepe Mahallesi,Daire | 2+1 | 2. Kat | 120 m²,34.000 TL
Süleymanpaşa - Ortacami Mahallesi,Daire | 2+1 | 2. Kat | 110 m²,18.000 TL
Çorlu - Hıdırağa Mahallesi,Daire | 2+1 | 3. Kat | 100 m²,16.000 TL
Süleymanpaşa - Hürriyet Mahallesi,Daire | 3+1 | 2. Kat | 175 m²,50.000 TL
Şarköy - İstiklal Mahallesi,Daire | 2+1 | 4. Kat | 80 m²,15.500 TL
Çorlu - Cemaliye Mahallesi,Daire | 2+1 | 4. Kat | 95 m²,19.500 TL
Kapaklı - Cumhuriyet Mahallesi,Daire | 2+1 | 2. Kat | 95 m²,15.000 TL
Süleymanpaşa - Değirmenaltı Mahallesi,Daire | 3+1 | 3. Kat | 160 m²,45.000 TL
Çerkezköy - İstasyon Mahallesi,Daire | 2+1 | 3. Kat | 115 m²,20.000 TL
Çerkezköy - Yıldırım Beyazıt Mahallesi,Daire | 3+1 | 4. Kat | 150 m²,18.000 TL
Çorlu - Havuzlar Mahallesi,Daire | 2+1 | 3. Kat | 100 m²,16.500 TL
Süleymanpaşa - Hürriyet Mahallesi,Daire | 2+2 | Çatı Dubleks | 220 m²,30.000 TL
Çerkezköy - Kızılpınar Gültepe Mahallesi,Daire | 2+1 | 1. Kat | 110 m²,12.500 TL
Çorlu - Hıdırağa Mahallesi,Daire | 2+1 | 5. Kat | 110 m²,14.000 TL
Çorlu - Hürriyet Mahallesi,Daire | 3+1 | 4. Kat | 190 m²,52.000 TL
Çorlu - Muhittin Mahallesi,Daire | 2+1 | Yüksek giriş | 110 m²,20.000 TL
