location,information,sales_price
Odunpazarı - Arifiye Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,16.500 TL
Odunpazarı - Kırmızıtoprak Mahallesi,Daire | 3+1 | 1. Kat | 130 m²,28.850 TL
Tepebaşı - Yenibağlar Mahallesi,Daire | 1+1 | 4. Kat | 50 m²,13.000 TL
Tepebaşı - Yenibağlar Mahallesi,Daire | 1+1 | 3. Kat | 55 m²,13.900 TL
Tepebaşı - Ertuğrulgazi Mahallesi,Daire | 2+1 | 3. Kat | 90 m²,22.000 TL
Tepebaşı - Şirintepe Mahallesi,Daire | 1+1 | 3. Kat | 60 m²,13.500 TL
Tepebaşı - Şirintepe Mahallesi,Daire | 1+1 | 2. Kat | 50 m²,14.000 TL
Tepebaşı - Sütlüce Mahallesi,Daire | 1+1 | 3. Kat | 60 m²,12.000 TL
Tepebaşı - Şirintepe Mahallesi,Daire | 1+1 | 3. Kat | 80 m²,9.500 TL
Tepebaşı - Yenibağlar Mahallesi,Daire | 1+1 | 1. Kat | 70 m²,19.000 TL
Odunpazarı - Yenidoğan Mahallesi,Daire | 3+1 | 7. Kat | 150 m²,20.000 TL
Tepebaşı - Çamlıca Mahallesi,Daire | 1+1 | 1. Kat | 67 m²,13.500 TL
Odunpazarı - Kurtuluş Mahallesi,Daire | 3+1 | 3. Kat | 135 m²,16.500 TL
Odunpazarı - Yenidoğan Mahallesi,Daire | 3+1 | 1. Kat | 135 m²,18.500 TL
Odunpazarı - Kurtuluş Mahallesi,Daire | 3+1 | 3. Kat | 135 m²,19.500 TL
Tepebaşı - Şirintepe Mahallesi,Daire | 3+1 | 3. Kat | 135 m²,26.000 TL
Odunpazarı - Emek Mahallesi,Daire | 2+1 | 4. Kat | 120 m²,17.500 TL
Tepebaşı - Eskibağlar Mahallesi,Daire | 1+1 | 6. Kat | 55 m²,17.000 TL
Odunpazarı - İstiklal Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,18.500 TL
Tepebaşı - Hoşnudiye Mahallesi,Daire | 2+1 | 1. Kat | 100 m²,18.000 TL
Tepebaşı - Zafer Mahallesi,Daire | 2+1 | 4. Kat | 100 m²,16.500 TL
Tepebaşı - Kumlubel Mahallesi,Daire | 3+1 | 3. Kat | 100 m²,15.500 TL
Odunpazarı - Emek Mahallesi,Daire | 3+1 | 2. Kat | 160 m²,16.500 TL
Tepebaşı - Bahçelievler Mahallesi,Daire | 1+1 | 4. Kat | 65 m²,12.500 TL
Tepebaşı - Yenibağlar Mahallesi,Daire | 1+1 | 2. Kat | 65 m²,18.500 TL
Tepebaşı - Boyacıoğlu Mahallesi,Daire | 3+1 | 2. Kat | 155 m²,29.000 TL
Tepebaşı - Yenibağlar Mahallesi,Daire | 2+1 | 3. Kat | 90 m²,23.500 TL
Odunpazarı - İstiklal Mahallesi,Daire | 2+1 | 5. Kat | 90 m²,17.000 TL
Tepebaşı - Mustafa Kemal Paşa Mahallesi,Daire | 3+1 | 2. Kat | 135 m²,23.500 TL
Tepebaşı - Şirintepe Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,13.000 TL
Odunpazarı - Büyükdere Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,17.000 TL
Tepebaşı - Kumlubel Mahallesi,Daire | 1+1 | 3. Kat | 65 m²,12.000 TL
Odunpazarı - 71 Evler Mahallesi,Daire | 3+1 | 2. Kat | 115 m²,15.000 TL
Odunpazarı - Dede Mahallesi,Daire | 3+1 | 1. Kat | 120 m²,19.000 TL
Tepebaşı - Ömerağa Mahallesi,Daire | 3+1 | 4. Kat | 170 m²,23.000 TL25.000 TL
Tepebaşı - Uluönder Mahallesi,Daire | 1+1 | 2. Kat | 70 m²,22.000 TL
Odunpazarı - 71 Evler Mahallesi,Daire | 2+0 | 1. Kat | 60 m²,12.250 TL
Odunpazarı - Gökmeydan Mahallesi,Daire | 3+1 | 3. Kat | 110 m²,14.000 TL
Tepebaşı - Şirintepe Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,15.500 TL
Odunpazarı - Büyükdere Mahallesi,Daire | 1+1 | 1. Kat | 50 m²,12.000 TL
Tepebaşı - Aşağı Söğütönü Mahallesi,Daire | 3+1 | 3. Kat | 169 m²,39.000 TL
Tepebaşı - Çamlıca Mahallesi,Daire | 1+1 | 1. Kat | 88 m²,14.000 TL
Tepebaşı - Bahçelievler Mahallesi,Daire | 2+1 | 5. Kat | 110 m²,18.000 TL
Odunpazarı - Vişnelik Mahallesi,Daire | 3+1 | 5. Kat | 140 m²,27.000 TL
Tepebaşı - Şirintepe Mahallesi,Daire | 1+1 | 1. Kat | 50 m²,15.000 TL
Odunpazarı - Sümer Mahallesi,Daire | 4+1 | 2. Kat | 180 m²,52.000 TL
Tepebaşı - Zafer Mahallesi,Daire | 2+1 | 4. Kat | 160 m²,20.000 TL
Tepebaşı - Sütlüce Mahallesi,Daire | 1+1 | 2. Kat | 58 m²,12.000 TL
Tepebaşı - Şirintepe Mahallesi,Daire | 1+1 | 1. Kat | 60 m²,13.000 TL
Odunpazarı - Orhangazi Mahallesi,Daire | 2+1 | 1. Kat | 115 m²,13.000 TL
Odunpazarı - Büyükdere Mahallesi,Daire | 1 Oda | 2. Kat | 45 m²,15.000 TL
Tepebaşı - Şirintepe Mahallesi,Daire | 2+1 | 1. Kat | 75 m²,14.000 TL
Tepebaşı - Bahçelievler Mahallesi,Daire | 2+0 | 4. Kat | 60 m²,17.500 TL
Tepebaşı - Yenibağlar Mahallesi,Daire | 2+1 | 1. Kat | 100 m²,20.000 TL
Tepebaşı - Şirintepe Mahallesi,Daire | 3+1 | 1. Kat | 140 m²,18.000 TL
Tepebaşı - Batıkent Mahallesi,Daire | 3+1 | 2. Kat | 135 m²,18.000 TL
Odunpazarı - Vişnelik Mahallesi,Daire | 2+0 | Kot 4 (-4). Kat | 90 m²,28.000 TL
Odunpazarı - Osmangazi Mahallesi,Daire | 2+1 | 4. Kat | 86 m²,18.000 TL
Odunpazarı - Erenköy Mahallesi,Daire | 3+1 | 3. Kat | 145 m²,22.000 TL
Odunpazarı - Gündoğdu Mahallesi,Daire | 3+1 | Bahçe katı | 137 m²,8.000 TL
Tepebaşı - Zincirlikuyu Mahallesi,Daire | 3+1 | 2. Kat | 160 m²,38.000 TL
Odunpazarı - Osmangazi Mahallesi,Daire | 2+1 | 3. Kat | 103 m²,26.000 TL
Tepebaşı - Zafer Mahallesi,Daire | 2+1 | 1. Kat | 100 m²,11.000 TL
Odunpazarı - Gültepe Mahallesi,Daire | 2+1 | 1. Kat | 100 m²,16.000 TL
Odunpazarı - Büyükdere Mahallesi,Daire | 2+1 | 1. Kat | 105 m²,15.000 TL
Tepebaşı - Şirintepe Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,14.000 TL
Tepebaşı - Yenibağlar Mahallesi,Daire | 1+1 | 1. Kat | 60 m²,13.000 TL
Tepebaşı - Bahçelievler Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 85 m²,13.500 TL
Tepebaşı - Zafer Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,18.000 TL
Odunpazarı - Osmangazi Mahallesi,Daire | 2+1 | 2. Kat | 110 m²,30.000 TL
Odunpazarı - Vişnelik Mahallesi,Daire | 2+1 | 2. Kat | 85 m²,25.000 TL
Tepebaşı - Şirintepe Mahallesi,Daire | 1+1 | 3. Kat | 60 m²,13.750 TL
Odunpazarı - Büyükdere Mahallesi,Daire | 1+1 | 1. Kat | 60 m²,16.500 TL
Tepebaşı - Zafer Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,12.500 TL
Tepebaşı - Hoşnudiye Mahallesi,Daire | 2+1 | 6. Kat | 100 m²,20.000 TL
Tepebaşı - Şirintepe Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,12.000 TL
Tepebaşı - Mustafa Kemal Paşa Mahallesi,Daire | 2+1 | 5. Kat | 120 m²,13.000 TL
Tepebaşı - Işıklar Mahallesi,Daire | 2+1 | 5. Kat | 220 m²,20.000 TL
Odunpazarı - Deliklitaş Mahallesi,Daire | 3+1 | 2. Kat | 140 m²,22.000 TL
Odunpazarı - Akarbaşı Mahallesi,Daire | 2+1 | 7. Kat | 110 m²,15.500 TL
