location,information,sales_price
Tepebaşı - Cumhuriye Mahallesi,Daire | 1+1 | 3. Kat | 50 m²,10.000 TL
Odunpazarı - Büyükdere Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 65 m²,10.000 TL
Odunpazarı - Kırmızıtoprak Mahallesi,Daire | 3+1 | 1. Kat | 160 m²,38.000 TL
Odunpazarı - Kırmızıtoprak Mahallesi,Daire | 3+1 | 2. Kat | 115 m²,18.000 TL20.000 TL
Tepebaşı - Şirintepe Mahallesi,Daire | 1+1 | 2. Kat | 50 m²,12.000 TL
Tepebaşı - Işıklar Mahallesi,Daire | 3+1 | 6. Kat | 120 m²,12.500 TL
Odunpazarı - Akarbaşı Mahallesi,Daire | 3+1 | 4. Kat | 120 m²,25.000 TL
Tepebaşı - Şirintepe Mahallesi,Daire | 1+1 | 3. Kat | 50 m²,12.000 TL
Tepebaşı - Zincirlikuyu Mahallesi,Daire | 3+1 | 3. Kat | 145 m²,35.000 TL
Odunpazarı - Vişnelik Mahallesi,Daire | 3+1 | 5. Kat | 130 m²,22.000 TL
Odunpazarı - Kurtuluş Mahallesi,Daire | 3+1 | 7. Kat | 130 m²,15.000 TL
Odunpazarı - Büyükdere Mahallesi,Daire | 1+1 | 2. Kat | 45 m²,10.000 TL
Tepebaşı - Şirintepe Mahallesi,Daire | 1+1 | 1. Kat | 50 m²,13.000 TL
Odunpazarı - Akarbaşı Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,22.250 TL
Tepebaşı - Sütlüce Mahallesi,Daire | 1+1 | 3. Kat | 50 m²,10.000 TL
Tepebaşı - Çamlıca Mahallesi,Daire | 3+1 | 3. Kat | 130 m²,18.000 TL
Tepebaşı - Sütlüce Mahallesi,Daire | 1+1 | 1. Kat | 50 m²,12.500 TL
Odunpazarı - Büyükdere Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,16.500 TL
Odunpazarı - Büyükdere Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,13.000 TL
Tepebaşı - Uluönder Mahallesi,Daire | 2+1 | 4. Kat | 110 m²,33.000 TL
Tepebaşı - Şirintepe Mahallesi,Daire | 1+1 | 3. Kat | 50 m²,15.000 TL
Tepebaşı - Şirintepe Mahallesi,Daire | 1+1 | 3. Kat | 60 m²,12.500 TL
Odunpazarı - Gökmeydan Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,15.000 TL
Odunpazarı - Kurtuluş Mahallesi,Daire | 3+1 | 2. Kat | 130 m²,15.000 TL
Tepebaşı - Uluönder Mahallesi,Daire | 2+1 | 3. Kat | 95 m²,14.000 TL16.000 TL
Odunpazarı - 71 Evler Mahallesi,Daire | 2+1 | 1. Kat | 105 m²,15.000 TL
Tepebaşı - Ömerağa Mahallesi,Daire | 2+1 | 4. Kat | 100 m²,13.000 TL
Odunpazarı - Yenikent Mahallesi,Daire | 2+1 | Kot 3 (-3). Kat | 100 m²,15.500 TL
Tepebaşı - Zafer Mahallesi,Daire | 2+1 | 1. Kat | 105 m²,19.000 TL
Odunpazarı - Gültepe Mahallesi,Daire | 2+1 | 1. Kat | 85 m²,12.000 TL
Odunpazarı - Gültepe Mahallesi,Daire | 2+1 | 4. Kat | 75 m²,12.000 TL
Odunpazarı - Kırmızıtoprak Mahallesi,Daire | 3+1 | 5. Kat | 145 m²,25.000 TL30.000 TL
Tepebaşı - Mamure Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,17.000 TL
Odunpazarı - İstiklal Mahallesi,Daire | 3+1 | 7. Kat | 170 m²,39.900 TL
Tepebaşı - Ertuğrulgazi Mahallesi,Daire | 1+1 | 1. Kat | 50 m²,13.000 TL
Odunpazarı - Kırmızıtoprak Mahallesi,Daire | 3+1 | 2. Kat | 120 m²,35.000 TL
Tepebaşı - Şirintepe Mahallesi,Daire | 1+1 | 1. Kat | 50 m²,12.000 TL
Tepebaşı - Kumlubel Mahallesi,Daire | 3+1 | 3. Kat | 100 m²,17.500 TL
Tepebaşı - Çamlıca Mahallesi,Daire | 3+1 | 2. Kat | 130 m²,17.000 TL
Odunpazarı - 71 Evler Mahallesi,Daire | 2+1 | 3. Kat | 120 m²,25.000 TL
Odunpazarı - Ihlamurkent Mahallesi,Daire | 2+1 | 4. Kat | 95 m²,11.000 TL
Tepebaşı - Bahçelievler Mahallesi,Daire | 3+1 | 1. Kat | 110 m²,15.000 TL
Tepebaşı - Çamlıca Mahallesi,Daire | 2+1 | 1. Kat | 95 m²,21.000 TL
Tepebaşı - Ertuğrulgazi Mahallesi,Daire | 3+1 | 2. Kat | 130 m²,25.000 TL
Tepebaşı - Uluönder Mahallesi,Daire | 3+1 | 5. Kat | 130 m²,16.000 TL
Tepebaşı - Çamlıca Mahallesi,Daire | 3+1 | 2. Kat | 130 m²,18.000 TL
Tepebaşı - Eskibağlar Mahallesi,Daire | 2+0 | 1. Kat | 60 m²,15.000 TL
Tepebaşı - Boyacıoğlu Mahallesi,Daire | 2+1 | 1. Kat | 90 m²,24.000 TL
Tepebaşı - Uluönder Mahallesi,Daire | 1+1 | 3. Kat | 70 m²,25.000 TL
Tepebaşı - Eskibağlar Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,14.000 TL
Tepebaşı - Yenibağlar Mahallesi,Daire | 1+1 | 4. Kat | 58 m²,14.000 TL
Tepebaşı - Yenibağlar Mahallesi,Daire | 1+1 | 3. Kat | 65 m²,28.000 TL
Tepebaşı - Cumhuriye Mahallesi,Daire | 3+1 | 4. Kat | 140 m²,23.000 TL
Tepebaşı - Bahçelievler Mahallesi,Daire | 1+1 | 4. Kat | 50 m²,12.750 TL
Tepebaşı - Şirintepe Mahallesi,Daire | 1+1 | 3. Kat | 38 m²,15.000 TL
Odunpazarı - Gökmeydan Mahallesi,Daire | 2+1 | 1. Kat | 115 m²,23.000 TL
Odunpazarı - Kırmızıtoprak Mahallesi,Daire | 3+1 | 4. Kat | 140 m²,20.000 TL
Tepebaşı - Zafer Mahallesi,Daire | 3+1 | 4. Kat | 140 m²,18.000 TL
Tepebaşı - Yenibağlar Mahallesi,Daire | 1+1 | 2. Kat | 70 m²,17.000 TL
Odunpazarı - Alanönü Mahallesi,Daire | 1+1 | 1. Kat | 60 m²,10.500 TL
Odunpazarı - Kırmızıtoprak Mahallesi,Daire | 3+1 | 4. Kat | 130 m²,16.000 TL
Tepebaşı - Batıkent Mahallesi,Daire | 3+1 | 1. Kat | 149 m²,34.500 TL
Odunpazarı - Büyükdere Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,11.500 TL
Odunpazarı - Çankaya Mahallesi,Daire | 2+1 | 2. Kat | 85 m²,12.000 TL
Tepebaşı - Yenibağlar Mahallesi,Daire | 1+1 | 1. Kat | 60 m²,18.000 TL
Odunpazarı - Arifiye Mahallesi,Daire | 2+1 | 2. Kat | 105 m²,19.000 TL
Tepebaşı - Bahçelievler Mahallesi,Daire | 1+1 | 3. Kat | 60 m²,13.500 TL
Tepebaşı - Mamure Mahallesi,Daire | 1+1 | 2. Kat | 50 m²,14.000 TL
Tepebaşı - Yenibağlar Mahallesi,Daire | 3+1 | 2. Kat | 150 m²,29.000 TL
Tepebaşı - Eskibağlar Mahallesi,Daire | 1+1 | 3. Kat | 55 m²,14.000 TL
Tepebaşı - Çamlıca Mahallesi,Daire | 3+1 | 2. Kat | 125 m²,23.000 TL
Tepebaşı - Güllük Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,17.000 TL
Tepebaşı - Mamure Mahallesi,Daire | 1+1 | 3. Kat | 55 m²,13.000 TL
Tepebaşı - Güllük Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,13.000 TL14.000 TL
Tepebaşı - Yenibağlar Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,14.000 TL
Tepebaşı - Bahçelievler Mahallesi,Daire | 3+1 | 1. Kat | 110 m²,15.000 TL
Tepebaşı - Yenibağlar Mahallesi,Daire | 1+1 | 1. Kat | 75 m²,17.000 TL
Tepebaşı - Şirintepe Mahallesi,Daire | 1+1 | 3. Kat | 60 m²,15.000 TL
Tepebaşı - Güllük Mahallesi,Daire | 1+1 | 1. Kat | 60 m²,17.000 TL
Tepebaşı - Tunalı Mahallesi,Daire | 1+1 | 4. Kat | 75 m²,11.000 TL
Odunpazarı - Orhangazi Mahallesi,Daire | 3+1 | 2. Kat | 125 m²,12.500 TL
Odunpazarı - 71 Evler Mahallesi,Daire | 2+1 | 3. Kat | 120 m²,14.000 TL
Odunpazarı - Deliklitaş Mahallesi,Daire | 3+1 | 3. Kat | 115 m²,15.000 TL
Tepebaşı - Yenibağlar Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,13.000 TL
Tepebaşı - Eskibağlar Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,14.000 TL
Tepebaşı - Yenibağlar Mahallesi,Daire | Stüdyo | 2. Kat | 25 m²,13.000 TL
Tepebaşı - Mustafa Kemal Paşa Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,13.250 TL
Tepebaşı - Bahçelievler Mahallesi,Daire | 1+1 | 2. Kat | 50 m²,14.000 TL
Tepebaşı - Yeşiltepe Mahallesi,Daire | 1+1 | 1. Kat | 58 m²,15.000 TL
Tepebaşı - Sütlüce Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,10.500 TL
Tepebaşı - Yenibağlar Mahallesi,Daire | 1+1 | 1. Kat | 50 m²,15.000 TL
Odunpazarı - Yenidoğan Mahallesi,Daire | 3+1 | 3. Kat | 150 m²,22.000 TL
Tepebaşı - Bahçelievler Mahallesi,Daire | 1+1 | 1. Kat | 50 m²,15.000 TL
Tepebaşı - Bahçelievler Mahallesi,Daire | 2+0 | 4. Kat | 67 m²,14.000 TL
Tepebaşı - Çamlıca Mahallesi,Daire | 3+1 | 1. Kat | 145 m²,22.000 TL
Tepebaşı - Şarhöyük Mahallesi,Daire | 1+1 | 5. Kat | 55 m²,12.000 TL
Odunpazarı - Emek Mahallesi,Daire | 2+1 | 1. Kat | 115 m²,20.000 TL
Odunpazarı - Büyükdere Mahallesi,Daire | 3+1 | 3. Kat | 135 m²,18.000 TL20.000 TL
Tepebaşı - Zafer Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,15.500 TL
Odunpazarı - Büyükdere Mahallesi,Daire | 1+1 | 2. Kat | 50 m²,15.000 TL
Odunpazarı - Emek Mahallesi,Daire | 3+1 | 1. Kat | 135 m²,18.000 TL
Tepebaşı - Batıkent Mahallesi,Daire | 3+1 | 1. Kat | 165 m²,30.000 TL32.000 TL
Tepebaşı - Şirintepe Mahallesi,Daire | 2+1 | 2. Kat | 85 m²,14.500 TL16.000 TL
Tepebaşı - Şirintepe Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,10.500 TL
Odunpazarı - Çankaya Mahallesi,Daire | 2+1 | 4. Kat | 100 m²,12.000 TL
Tepebaşı - Şirintepe Mahallesi,Daire | 2+1 | 1. Kat | 115 m²,19.500 TL
Tepebaşı - Yenibağlar Mahallesi,Daire | 2+0 | Çatı katı | 50 m²,15.500 TL
Odunpazarı - Yenidoğan Mahallesi,Daire | 3+1 | 3. Kat | 150 m²,27.000 TL
Odunpazarı - Emek Mahallesi,Daire | 3.5+1 | 3. Kat | 140 m²,15.000 TL
Odunpazarı - Ihlamurkent Mahallesi,Daire | 2+1 | 4. Kat | 90 m²,13.000 TL
Odunpazarı - Kurtuluş Mahallesi,Daire | 3+1 | 5. Kat | 125 m²,25.000 TL
Tepebaşı - Yenibağlar Mahallesi,Daire | 3+1 | 4. Kat | 140 m²,25.000 TL
Tepebaşı - Mustafa Kemal Paşa Mahallesi,Daire | 3+1 | 5. Kat | 140 m²,16.000 TL
Tepebaşı - Sütlüce Mahallesi,Daire | 2+1 | 3. Kat | 100 m²,21.000 TL
Odunpazarı - Büyükdere Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,15.500 TL
Tepebaşı - Aşağı Söğütönü Mahallesi,Daire | 4+1 | 1. Kat | 300 m²,49.000 TL
Tepebaşı - Batıkent Mahallesi,Daire | 3+1 | 1. Kat | 220 m²,35.000 TL
Tepebaşı - Uluönder Mahallesi,Daire | 2+1 | 3. Kat | 100 m²,17.000 TL
Tepebaşı - Yaşamkent Mahallesi,Daire | 2+1 | 3. Kat | 95 m²,24.000 TL
Tepebaşı - Bahçelievler Mahallesi,Daire | 1+1 | 3. Kat | 45 m²,12.500 TL
Tepebaşı - Yenibağlar Mahallesi,Daire | 3+1 | 4. Kat | 130 m²,22.500 TL
Tepebaşı - Yenibağlar Mahallesi,Daire | 3+1 | 4. Kat | 130 m²,22.500 TL
Odunpazarı - Büyükdere Mahallesi,Daire | 1 Oda | 2. Kat | 40 m²,12.000 TL
Tepebaşı - Yenibağlar Mahallesi,Daire | 1+1 | 3. Kat | 55 m²,17.000 TL
Odunpazarı - Gökmeydan Mahallesi,Daire | 2+1 | 2. Kat | 95 m²,14.000 TL15.000 TL
Odunpazarı - Kırmızıtoprak Mahallesi,Daire | 2+1 | 1. Kat | 90 m²,28.000 TL30.000 TL
Tepebaşı - Sütlüce Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,11.500 TL
Tepebaşı - İhsaniye Mahallesi,Daire | 3+1 | 7. Kat | 160 m²,25.000 TL
Tepebaşı - Eskibağlar Mahallesi,Daire | 3+1 | 4. Kat | 130 m²,17.500 TL
Tepebaşı - Eskibağlar Mahallesi,Daire | 1+1 | 1. Kat | 65 m²,17.500 TL
Tepebaşı - Şirintepe Mahallesi,Daire | 1+1 | 3. Kat | 70 m²,13.000 TL
Tepebaşı - Zafer Mahallesi,Daire | 2+1 | 2. Kat | 95 m²,15.000 TL
Odunpazarı - Gökmeydan Mahallesi,Daire | 3+1 | 2. Kat | 135 m²,18.000 TL20.000 TL
Tepebaşı - Hoşnudiye Mahallesi,Daire | 3+1 | 2. Kat | 130 m²,21.000 TL
Tepebaşı - Çamlıca Mahallesi,Daire | 2+1 | 2. Kat | 110 m²,17.000 TL
Tepebaşı - Yenibağlar Mahallesi,Daire | 1+1 | 5. Kat | 50 m²,19.500 TL
Tepebaşı - Zincirlikuyu Mahallesi,Daire | 1+1 | 2. Kat | 65 m²,10.000 TL
Tepebaşı - Yenibağlar Mahallesi,Daire | Stüdyo | 2. Kat | 40 m²,13.000 TL
Tepebaşı - Kumlubel Mahallesi,Daire | 2+0 | 1. Kat | 65 m²,12.500 TL
Odunpazarı - 71 Evler Mahallesi,Daire | 2+0 | 1. Kat | 65 m²,11.000 TL
Tepebaşı - Uluönder Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 100 m²,11.500 TL
Odunpazarı - Gültepe Mahallesi,Daire | 2+1 | 1. Kat | 95 m²,16.500 TL
Tepebaşı - Yenibağlar Mahallesi,Daire | 3+1 | 3. Kat | 115 m²,18.000 TL
Odunpazarı - Kurtuluş Mahallesi,Daire | 3+1 | 4. Kat | 125 m²,18.000 TL
Tepebaşı - Ömerağa Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,17.000 TL
Tepebaşı - Şirintepe Mahallesi,Daire | 1+1 | Yüksek giriş | 55 m²,11.000 TL
Tepebaşı - İhsaniye Mahallesi,Daire | 3+1 | 3. Kat | 130 m²,20.000 TL
Odunpazarı - Kurtuluş Mahallesi,Daire | 3+1 | 3. Kat | 150 m²,27.000 TL30.000 TL
Tepebaşı - Batıkent Mahallesi,Daire | 3+1 | 1. Kat | 140 m²,25.000 TL
Odunpazarı - Yenikent Mahallesi,Daire | 2+1 | 5. Kat | 95 m²,11.000 TL
Tepebaşı - Şirintepe Mahallesi,Daire | 2+1 | 1. Kat | 80 m²,12.000 TL
Tepebaşı - Şarhöyük Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,10.000 TL
Tepebaşı - Sütlüce Mahallesi,Daire | 2+1 | 1. Kat | 115 m²,12.500 TL
Odunpazarı - Yenidoğan Mahallesi,Daire | 3+1 | 7. Kat | 120 m²,19.000 TL
Tepebaşı - Yenibağlar Mahallesi,Daire | 1+1 | 1. Kat | 60 m²,20.000 TL
Tepebaşı - Bahçelievler Mahallesi,Daire | 1+1 | 4. Kat | 50 m²,17.000 TL
Odunpazarı - Erenköy Mahallesi,Daire | 2+1 | 4. Kat | 105 m²,17.500 TL
Tepebaşı - Fatih Mahallesi,Daire | 3+1 | 2. Kat | 135 m²,28.500 TL31.500 TL
Odunpazarı - Sümer Mahallesi,Daire | 3+1 | 1. Kat | 127 m²,28.500 TL
Odunpazarı - Emek Mahallesi,Daire | 1+1 | 2. Kat | 65 m²,10.000 TL
Tepebaşı - Kumlubel Mahallesi,Daire | Stüdyo | 1. Kat | 45 m²,10.250 TL11.000 TL
Odunpazarı - Emek Mahallesi,Daire | 1+1 | Kot 3 (-3). Kat | 65 m²,11.000 TL12.000 TL
Odunpazarı - Emek Mahallesi,Daire | 3+1 | 2. Kat | 130 m²,25.500 TL
Tepebaşı - Mustafa Kemal Paşa Mahallesi,Daire | 1+1 | 1. Kat | 60 m²,15.000 TL
Tepebaşı - Yenibağlar Mahallesi,Daire | 1+1 | 3. Kat | 65 m²,32.000 TL
Tepebaşı - Kumlubel Mahallesi,Daire | 2+0 | 1. Kat | 60 m²,13.500 TL
Tepebaşı - Batıkent Mahallesi,Daire | 2+0 | 3. Kat | 60 m²,11.250 TL
Odunpazarı - Yıldıztepe Mahallesi,Daire | 3+1 | 3. Kat | 136 m²,22.500 TL
Odunpazarı - Kurtuluş Mahallesi,Daire | 3+1 | 1. Kat | 115 m²,16.000 TL
Odunpazarı - Emek Mahallesi,Daire | 2+1 | 1. Kat | 110 m²,14.500 TL
Tepebaşı - Şirintepe Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,12.000 TL
Tepebaşı - Şirintepe Mahallesi,Daire | 1 Oda | 2. Kat | 60 m²,11.000 TL12.000 TL
Odunpazarı - Büyükdere Mahallesi,Daire | 2+0 | 1. Kat | 65 m²,17.500 TL
Odunpazarı - Kurtuluş Mahallesi,Daire | 3+1 | 1. Kat | 130 m²,22.000 TL
Tepebaşı - Ertuğrulgazi Mahallesi,Daire | 1+1 | 3. Kat | 65 m²,14.000 TL
Tepebaşı - Şirintepe Mahallesi,Daire | 1+1 | 1. Kat | 65 m²,9.000 TL
Tepebaşı - Sütlüce Mahallesi,Daire | 1+1 | 4. Kat | 48 m²,9.000 TL
Odunpazarı - Gökmeydan Mahallesi,Daire | 3+1 | Düz Giriş (Zemin) | 130 m²,15.000 TL
Tepebaşı - Yenibağlar Mahallesi,Daire | 1+1 | 4. Kat | 60 m²,30.000 TL
Tepebaşı - Çamlıca Mahallesi,Daire | 1+1 | 3. Kat | 65 m²,15.000 TL
Odunpazarı - Büyükdere Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 55 m²,10.500 TL
Tepebaşı - Sazova Mahallesi,Daire | 3+1 | 1. Kat | 135 m²,26.000 TL
Tepebaşı - Fatih Mahallesi,Daire | 2+1 | 3. Kat | 100 m²,15.000 TL
Odunpazarı - Deliklitaş Mahallesi,Daire | 3+0 | Bahçe katı | 150 m²,22.000 TL
Odunpazarı - Emek Mahallesi,Daire | 2+1 | 1. Kat | 75 m²,15.000 TL
Tepebaşı - Yenibağlar Mahallesi,Daire | 1+1 | 1. Kat | 70 m²,17.000 TL
Tepebaşı - Sütlüce Mahallesi,Daire | Stüdyo | 3. Kat | 45 m²,10.000 TL
Odunpazarı - Çankaya Mahallesi,Daire | 3+1 | 2. Kat | 160 m²,27.000 TL
Odunpazarı - Kırmızıtoprak Mahallesi,Daire | 2+1 | 5. Kat | 105 m²,20.500 TL
Tepebaşı - Batıkent Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,14.500 TL
Tepebaşı - Şirintepe Mahallesi,Daire | 1+1 | 3. Kat | 55 m²,11.000 TL
Odunpazarı - Emek Mahallesi,Daire | 3+1 | 3. Kat | 140 m²,16.500 TL
Tepebaşı - Eskibağlar Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,19.500 TL
Tepebaşı - Fatih Mahallesi,Daire | 1+1 | 5. Kat | 60 m²,15.000 TL
Odunpazarı - Gökmeydan Mahallesi,Daire | 3+1 | 7. Kat | 130 m²,17.500 TL
Odunpazarı - Orhangazi Mahallesi,Daire | 2+1 | 7. Kat | 130 m²,45.000 TL
Tepebaşı - Şirintepe Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,12.000 TL
Odunpazarı - Orhangazi Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 100 m²,12.000 TL
Tepebaşı - Yenibağlar Mahallesi,Daire | Stüdyo | 2. Kat | 30 m²,8.500 TL
Tepebaşı - Şirintepe Mahallesi,Daire | 1+1 | 3. Kat | 50 m²,9.000 TL10.000 TL
Odunpazarı - Büyükdere Mahallesi,Daire | 1+1 | 2. Kat | 65 m²,15.000 TL
Tepebaşı - Çamlıca Mahallesi,Daire | 3+1 | 1. Kat | 120 m²,23.000 TL
Tepebaşı - Çamlıca Mahallesi,Daire | 2+1 | 1. Kat | 110 m²,18.500 TL
Tepebaşı - Şirintepe Mahallesi,Daire | 1+1 | 2. Kat | 50 m²,9.750 TL
Odunpazarı - Büyükdere Mahallesi,Daire | 1+1 | 2. Kat | 45 m²,12.000 TL13.000 TL
Tepebaşı - Yenibağlar Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,15.000 TL
Tepebaşı - Eskibağlar Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,20.000 TL
Tepebaşı - Şirintepe Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,15.000 TL16.000 TL
Odunpazarı - Kırmızıtoprak Mahallesi,Daire | 1+1 | 4. Kat | 55 m²,14.000 TL
Odunpazarı - Büyükdere Mahallesi,Daire | 3+1 | 1. Kat | 130 m²,18.000 TL
Tepebaşı - Ömerağa Mahallesi,Daire | 1+1 | 3. Kat | 100 m²,10.000 TL
Tepebaşı - Yaşamkent Mahallesi,Daire | 3+1 | 4. Kat | 138 m²,17.000 TL
Tepebaşı - Sütlüce Mahallesi,Daire | 1+1 | 3. Kat | 55 m²,9.500 TL
Tepebaşı - Batıkent Mahallesi,Daire | 3+1 | 3. Kat | 145 m²,28.000 TL
Tepebaşı - Hacı Seyit Mahallesi,Daire | 2+1 | 2. Kat | 95 m²,15.000 TL
Tepebaşı - Hoşnudiye Mahallesi,Daire | 3+1 | 5. Kat | 125 m²,55.000 TL
Odunpazarı - Emek Mahallesi,Daire | 3+1 | 2. Kat | 145 m²,14.500 TL
Tepebaşı - Eskibağlar Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,13.500 TL15.000 TL
Tepebaşı - Zafer Mahallesi,Daire | 4+1 | 3. Kat | 200 m²,27.500 TL
Tepebaşı - Batıkent Mahallesi,Daire | 3+1 | 1. Kat | 145 m²,27.500 TL
Tepebaşı - Cumhuriye Mahallesi,Daire | Stüdyo | 2. Kat | 35 m²,15.000 TL
Tepebaşı - Yenibağlar Mahallesi,Daire | 1+1 | 5. Kat | 50 m²,18.500 TL
Tepebaşı - Yenibağlar Mahallesi,Daire | 1+1 | 5. Kat | 50 m²,20.000 TL
Tepebaşı - Yenibağlar Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,26.000 TL
Tepebaşı - Yenibağlar Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,32.000 TL
Tepebaşı - Sütlüce Mahallesi,Daire | 1+1 | 3. Kat | 55 m²,10.500 TL
Tepebaşı - Çamlıca Mahallesi,Daire | 2+0 | 2. Kat | 90 m²,15.000 TL
Tepebaşı - Sütlüce Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,9.900 TL
Tepebaşı - Yenibağlar Mahallesi,Daire | 1+1 | 4. Kat | 55 m²,27.000 TL
Odunpazarı - Gökmeydan Mahallesi,Daire | 3+1 | 7. Kat | 110 m²,16.500 TL
Tepebaşı - Yenibağlar Mahallesi,Daire | 3+1 | 3. Kat | 135 m²,25.000 TL
Odunpazarı - Kurtuluş Mahallesi,Daire | 3+1 | 1. Kat | 135 m²,23.000 TL
Tepebaşı - Tunalı Mahallesi,Daire | 2+1 | 4. Kat | 90 m²,13.250 TL
Tepebaşı - Mamure Mahallesi,Daire | 2+1 | 3. Kat | 100 m²,18.000 TL20.000 TL
Odunpazarı - Büyükdere Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,16.500 TL
Odunpazarı - Büyükdere Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,10.000 TL
Tepebaşı - Fatih Mahallesi,Daire | 1+1 | 4. Kat | 65 m²,9.000 TL
Tepebaşı - Yeşiltepe Mahallesi,Daire | 2+1 | 1. Kat | 120 m²,11.000 TL
Odunpazarı - Çankaya Mahallesi,Daire | 2+1 | 4. Kat | 80 m²,12.500 TL
Tepebaşı - Çamlıca Mahallesi,Daire | 2+1 | 1. Kat | 100 m²,23.000 TL
Tepebaşı - Cumhuriye Mahallesi,Daire | 2+1 | 3. Kat | 125 m²,20.000 TL
Tepebaşı - Cumhuriye Mahallesi,Daire | 2+1 | 3. Kat | 125 m²,20.000 TL
Odunpazarı - Yıldıztepe Mahallesi,Daire | 2+1 | 3. Kat | 135 m²,20.000 TL
Tepebaşı - Sütlüce Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,13.000 TL
Odunpazarı - 71 Evler Mahallesi,Daire | 2+1 | 4. Kat | 105 m²,22.500 TL
Odunpazarı - Ihlamurkent Mahallesi,Daire | 1+1 | 5. Kat | 65 m²,9.000 TL
Tepebaşı - Çamlıca Mahallesi,Daire | 3+1 | 2. Kat | 155 m²,50.000 TL
Tepebaşı - Uluönder Mahallesi,Daire | 3+1 | 3. Kat | 110 m²,18.000 TL
Tepebaşı - Şirintepe Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,13.000 TL
Tepebaşı - Şirintepe Mahallesi,Daire | 1+1 | 1. Kat | 54 m²,10.500 TL
Odunpazarı - Büyükdere Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 65 m²,9.250 TL
Tepebaşı - Çamlıca Mahallesi,Daire | 3+1 | 3. Kat | 120 m²,17.000 TL
Tepebaşı - Yenibağlar Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,15.000 TL
Tepebaşı - Sazova Mahallesi,Daire | 1+1 | 1. Kat | 90 m²,17.000 TL
Tepebaşı - Çamlıca Mahallesi,Daire | 4+1 | 4. Kat | 180 m²,20.000 TL
Tepebaşı - Batıkent Mahallesi,Daire | 4+1 | 1. Kat | 200 m²,30.000 TL
Tepebaşı - Şirintepe Mahallesi,Daire | 2+0 | 1. Kat | 60 m²,13.000 TL
Tepebaşı - Hoşnudiye Mahallesi,Daire | 3+1 | 3. Kat | 130 m²,23.000 TL25.000 TL
Tepebaşı - Yenibağlar Mahallesi,Daire | 1+1 | 4. Kat | 55 m²,14.500 TL15.500 TL
Odunpazarı - 71 Evler Mahallesi,Daire | 2+1 | 3. Kat | 100 m²,21.000 TL
Tepebaşı - Şirintepe Mahallesi,Daire | 1+1 | 1. Kat | 65 m²,15.500 TL
Odunpazarı - Sultandere Mahallesi,Daire | 3+1 | 1. Kat | 125 m²,12.500 TL
Odunpazarı - Ihlamurkent Mahallesi,Daire | 2+1 | 4. Kat | 95 m²,11.000 TL
Odunpazarı - Ihlamurkent Mahallesi,Daire | 3+1 | Düz Giriş (Zemin) | 125 m²,17.000 TL
Tepebaşı - Ertuğrulgazi Mahallesi,Daire | 3+1 | 1. Kat | 125 m²,30.000 TL
Tepebaşı - Uluönder Mahallesi,Daire | 1+1 | 1. Kat | 75 m²,19.500 TL
Tepebaşı - Hoşnudiye Mahallesi,Daire | 1+1 | 1. Kat | 45 m²,16.500 TL
Tepebaşı - Şirintepe Mahallesi,Daire | 2+0 | 3. Kat | 55 m²,9.500 TL
