location,information,sales_price
Melikgazi - Anbar Mahallesi,Daire | 3+1 | 1. Kat | 175 m²,16.000 TL
Talas - Mevlana Mahallesi,Daire | 1+1 | 5. Kat | 90 m²,13.000 TL
Talas - Mevlana Mahallesi,Daire | 2+1 | 5. Kat | 90 m²,16.000 TL
Talas - Mevlana Mahallesi,Daire | 2.5+1 | 2. Kat | 100 m²,16.000 TL
Melikgazi - Anbar Mahallesi,Daire | 3+1 | 9. Kat | 175 m²,19.000 TL
Melikgazi - Hunat Mahallesi,Daire | 2+1 | 4. Kat | 100 m²,16.500 TL
Kocasinan - Sahabiye Mahallesi,Daire | 3+1 | 2. Kat | 135 m²,7.500 TL
Kocasinan - Saray Bosna Mahallesi,Daire | 4+1 | 12. Kat | 165 m²,25.000 TL
Talas - Mevlana Mahallesi,Daire | 2+1 | 11. Kat | 100 m²,16.000 TL
Melikgazi - Demokrasi Mahallesi,Daire | 3+1 | 5. Kat | 140 m²,14.000 TL
Talas - Bahçelievler Mahallesi,Daire | 3+1 | 4. Kat | 170 m²,16.500 TL
Kocasinan - Oymaağaç Mahallesi,Daire | 2+1 | 1. Kat | 100 m²,9.500 TL
Talas - Mevlana Mahallesi,Daire | 3+1 | 11. Kat | 175 m²,17.500 TL
Kocasinan - Erkilet Mahallesi,Daire | 3+1 | 2. Kat | 175 m²,17.000 TL
Kocasinan - Sahabiye Mahallesi,Daire | 3+1 | 5. Kat | 180 m²,13.000 TL
Talas - Mevlana Mahallesi,Daire | 3+1 | 11. Kat | 160 m²,14.000 TL15.000 TL
Melikgazi - Battalgazi Mahallesi,Daire | 3+1 | 1. Kat | 165 m²,11.000 TL12.000 TL
Kocasinan - Ertuğrul Gazi Mahallesi,Daire | 2+1 | 3. Kat | 95 m²,13.000 TL
Develi - Harman Mahallesi,Daire | 2+1 | 1. Kat | 100 m²,15.000 TL
Talas - Harman Mahallesi,Daire | 4+1 | 6. Kat | 195 m²,27.000 TL
Melikgazi - Yeniköy Mahallesi,Daire | 3+1 | 3. Kat | 160 m²,29.000 TL
Melikgazi - Yıldırım Beyazıt Mahallesi,Daire | 3+1 | 11. Kat | 165 m²,15.000 TL
Kocasinan - Yenidoğan Mahallesi,Daire | 3+1 | 2. Kat | 170 m²,17.500 TL
Kocasinan - Şeker Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 100 m²,13.000 TL
Kocasinan - Şeker Mahallesi,Daire | 2+1 | 9. Kat | 100 m²,13.000 TL
Yeşilhisar - Karacabey Mahallesi,Daire | 3+1 | Düz Giriş (Zemin) | 140 m²,15.000 TL
Kocasinan - Argıncık Mahallesi,Daire | 3+1 | 6. Kat | 165 m²,16.000 TL17.000 TL
Kocasinan - Yakut Mahallesi,Daire | 4+1 | 1. Kat | 240 m²,25.000 TL
Melikgazi - Gesi Fatih Mahallesi,Daire | 2+1 | 9. Kat | 130 m²,13.000 TL
Talas - Yenidoğan Mahallesi,Daire | 3+1 | 6. Kat | 165 m²,20.000 TL22.000 TL
Melikgazi - Gesi Fatih Mahallesi,Daire | 3+1 | 10. Kat | 165 m²,19.750 TL21.500 TL
Talas - Bahçelievler Mahallesi,Daire | 3+1 | 5. Kat | 155 m²,12.500 TL
Kocasinan - Yeni Mahallesi,Daire | 3+1 | 3. Kat | 170 m²,13.500 TL
Develi - Mustafa Asım Köksal Mahallesi,Daire | 3+1 | 2. Kat | 120 m²,10.000 TL
Melikgazi - Hürriyet Mahallesi,Daire | 3+1 | 4. Kat | 175 m²,19.000 TL
Melikgazi - Şirintepe Mahallesi,Daire | 3+1 | 11. Kat | 125 m²,10.000 TL
Melikgazi - 30 Ağustos Mahallesi,Daire | 3+1 | 2. Kat | 150 m²,20.000 TL
Kocasinan - Şeker Mahallesi,Daire | 2+1 | 1. Kat | 100 m²,13.000 TL
Talas - Mevlana Mahallesi,Daire | 3+1 | 5. Kat | 175 m²,30.000 TL
Talas - Mevlana Mahallesi,Daire | 3+1 | 12. Kat | 155 m²,17.500 TL
Melikgazi - Esenyurt Mahallesi,Daire | 3+1 | 4. Kat | 150 m²,23.000 TL
Melikgazi - Şirintepe Mahallesi,Daire | 3+1 | 3. Kat | 155 m²,12.500 TL
Talas - Mevlana Mahallesi,Daire | 3+1 | 6. Kat | 155 m²,13.750 TL
Kocasinan - Şeker Mahallesi,Daire | 2+1 | 8. Kat | 85 m²,15.250 TL16.250 TL
Talas - Mevlana Mahallesi,Daire | 3+1 | 1. Kat | 150 m²,16.000 TL17.000 TL
Melikgazi - 19 Mayıs Mahallesi,Daire | 3+1 | 1. Kat | 179 m²,20.750 TL
Melikgazi - 19 Mayıs Mahallesi,Daire | 3+1 | 9. Kat | 175 m²,20.000 TL
Talas - Yenidoğan Mahallesi,Daire | 4+1 | 3. Kat | 236 m²,34.000 TL
Melikgazi - Alpaslan Mahallesi,Daire | 4+1 | 4. Kat | 250 m²,38.000 TL
Talas - Kiçiköy Mahallesi,Daire | 2+1 | 1. Kat | 100 m²,17.900 TL
Melikgazi - Gesi Fatih Mahallesi,Daire | 3+1 | 11. Kat | 165 m²,15.000 TL
Kocasinan - Şeker Mahallesi,Daire | 2+1 | 6. Kat | 74 m²,14.000 TL
Melikgazi - Hürriyet Mahallesi,Daire | 3+1 | 2. Kat | 155 m²,13.000 TL
Kocasinan - Şeker Mahallesi,Daire | 2+1 | 8. Kat | 110 m²,12.500 TL
Melikgazi - Battalgazi Mahallesi,Daire | 3+1 | 10. Kat | 160 m²,19.000 TL
Melikgazi - Gülük Mahallesi,Daire | 4+1 | 5. Kat | 210 m²,27.000 TL
Talas - Mevlana Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,12.000 TL
Kocasinan - Sahabiye Mahallesi,Daire | 3+1 | 6. Kat | 220 m²,13.500 TL
Talas - Mevlana Mahallesi,Daire | 3+1 | 12. Kat | 175 m²,13.500 TL
Melikgazi - İldem Cumhuriyet Mahallesi,Daire | 3+1 | 7. Kat | 135 m²,13.500 TL14.350 TL
Hacılar - Aşağı Mahallesi,Daire | 2+1 | 5. Kat | 110 m²,10.000 TL
Kocasinan - Şeker Mahallesi,Daire | 4+0 | 1. Kat | 95 m²,13.999 TL
Talas - Mevlana Mahallesi,Daire | 3+1 | 14. Kat | 145 m²,20.000 TL
Talas - Mevlana Mahallesi,Daire | 2+1 | 12. Kat | 100 m²,15.500 TL
Melikgazi - Esenyurt Mahallesi,Daire | 3+1 | 1. Kat | 130 m²,15.000 TL
Talas - Mevlana Mahallesi,Daire | 3+1 | 12. Kat | 155 m²,16.000 TL
Talas - Mevlana Mahallesi,Daire | 3+1 | 14. Kat | 138 m²,15.000 TL
Talas - Mevlana Mahallesi,Daire | 3+1 | 5. Kat | 155 m²,19.000 TL
Melikgazi - İldem Cumhuriyet Mahallesi,Daire | 3+1 | 4. Kat | 135 m²,13.500 TL
Melikgazi - Esentepe Mahallesi,Daire | 3+1 | 10. Kat | 165 m²,18.000 TL
Melikgazi - Demokrasi Mahallesi,Daire | 3+1 | Yüksek giriş | 132 m²,10.000 TL
Talas - Yenidoğan Mahallesi,Daire | 3+1 | 6. Kat | 170 m²,16.000 TL
Kocasinan - Şeker Mahallesi,Daire | 2+1 | 3. Kat | 110 m²,14.000 TL
Talas - Mevlana Mahallesi,Daire | 2+1 | 5. Kat | 90 m²,15.000 TL
Kocasinan - Beyazşehir Mahallesi,Daire | 3+1 | 7. Kat | 145 m²,13.000 TL
Talas - Mevlana Mahallesi,Daire | 3+1 | 9. Kat | 155 m²,14.500 TL
Melikgazi - Yıldırım Beyazıt Mahallesi,Daire | 3+1 | 7. Kat | 165 m²,26.000 TL
Talas - Tablakaya Mahallesi,Daire | 1+1 | 8. Kat | 75 m²,17.000 TL
Melikgazi - Şirintepe Mahallesi,Daire | 3+1 | 6. Kat | 165 m²,10.000 TL
Melikgazi - Gökkent Mahallesi,Daire | 3+1 | 3. Kat | 140 m²,7.500 TL
Melikgazi - Altınoluk Mahallesi,Daire | 3+1 | 9. Kat | 135 m²,12.500 TL
Melikgazi - İldem Cumhuriyet Mahallesi,Daire | 3+1 | 9. Kat | 135 m²,9.000 TL
Melikgazi - Demokrasi Mahallesi,Daire | 3+1 | 6. Kat | 150 m²,13.000 TL
Kocasinan - Mimarsinan Mahallesi,Daire | 3+1 | Bodrum Kat | 120 m²,4.000 TL4.500 TL
Talas - Bahçelievler Mahallesi,Daire | 4+1 | 1. Kat | 200 m²,20.000 TL
Melikgazi - Gesi Mahallesi,Daire | 3+1 | 8. Kat | 165 m²,14.000 TL
Kocasinan - Sahabiye Mahallesi,Daire | 3+1 | 8. Kat | 165 m²,16.500 TL
Talas - Bahçelievler Mahallesi,Daire | 4+1 | 5. Kat | 190 m²,22.500 TL
Develi - İbrahimağa Mahallesi,Daire | 2+1 | 4. Kat | 90 m²,14.000 TL
Talas - Yenidoğan Mahallesi,Daire | 3+1 | Düz Giriş (Zemin) | 160 m²,19.500 TL
Melikgazi - Köşk Mahallesi,Daire | 4+1 | 5. Kat | 220 m²,25.000 TL
Talas - Mevlana Mahallesi,Daire | 4+1 | 14. Kat | 190 m²,23.000 TL
Talas - Mevlana Mahallesi,Daire | 1+1 | 2. Kat | 70 m²,13.500 TL
Kocasinan - Yavuz Selim Mahallesi,Daire | 3+1 | 10. Kat | 170 m²,20.000 TL
Kocasinan - Gevhernesibe Mahallesi,Daire | 3+1 | 3. Kat | 150 m²,14.500 TL
Talas - Mevlana Mahallesi,Daire | 3+1 | 10. Kat | 165 m²,25.000 TL
Melikgazi - Demokrasi Mahallesi,Daire | 3+1 | 14. Kat | 175 m²,14.999 TL
Kocasinan - Şeker Mahallesi,Daire | 2+1 | 5. Kat | 90 m²,12.000 TL
Develi - Harman Mahallesi,Daire | 2+1 | 4. Kat | 100 m²,11.000 TL14.000 TL
Talas - Mevlana Mahallesi,Daire | 3+1 | 10. Kat | 140 m²,13.500 TL
Kocasinan - Fevzi Çakmak Mahallesi,Daire | 4+1 | 2. Kat | 220 m²,19.500 TL
Melikgazi - Yıldırım Beyazıt Mahallesi,Daire | 3+1 | 2. Kat | 120 m²,14.000 TL
Develi - Harman Mahallesi,Daire | 3+1 | 2. Kat | 200 m²,17.000 TL
Talas - Mevlana Mahallesi,Daire | 3+1 | 5. Kat | 165 m²,16.000 TL
Kocasinan - Şeker Mahallesi,Daire | 2+1 | 9. Kat | 100 m²,13.000 TL
Melikgazi - Yeşilyurt Mahallesi,Daire | 3+1 | 8. Kat | 165 m²,18.000 TL
Develi - Yeni Mahallesi,Daire | 3+1 | 2. Kat | 170 m²,15.000 TL
Yeşilhisar - Karacabey Mahallesi,Daire | 3+1 | Çatı katı | 145 m²,12.000 TL
Talas - Harman Mahallesi,Daire | 2.5+1 | 5. Kat | 115 m²,19.750 TL21.000 TL
Talas - Mevlana Mahallesi,Daire | 3+1 | 3. Kat | 160 m²,32.000 TL
Melikgazi - Esenyurt Mahallesi,Daire | 3+1 | 7. Kat | 155 m²,15.000 TL
Develi - Reşadiye Mahallesi,Daire | 4+1 | 2. Kat | 160 m²,17.000 TL
Kocasinan - Şeker Mahallesi,Daire | 2+1 | 6. Kat | 95 m²,14.000 TL
Talas - Bahçelievler Mahallesi,Daire | 2.5+1 | 7. Kat | 125 m²,21.000 TL
Talas - Mevlana Mahallesi,Daire | 2.5+1 | 13. Kat | 110 m²,15.000 TL
Develi - Feneseyukarı Mahallesi,Daire | 3+1 | 3. Kat | 175 m²,15.000 TL
Talas - Mevlana Mahallesi,Daire | 2+1 | 14. Kat | 130 m²,13.750 TL
Kocasinan - Mithatpaşa Mahallesi,Daire | 3+1 | 3. Kat | 165 m²,13.000 TL
Melikgazi - Yıldırım Beyazıt Mahallesi,Daire | 3+1 | 4. Kat | 150 m²,25.000 TL
Kocasinan - Sahabiye Mahallesi,Daire | 4+1 | 1. Kat | 240 m²,19.000 TL
Kocasinan - Barbaros Mahallesi,Daire | 4+1 | 14. Kat | 220 m²,24.000 TL
Talas - Mevlana Mahallesi,Daire | 3+1 | 11. Kat | 175 m²,21.000 TL
Melikgazi - Demokrasi Mahallesi,Daire | 2+1 | Kot 3 (-3). Kat | 90 m²,8.500 TL9.000 TL
Talas - Yenidoğan Mahallesi,Daire | 2+1 | 2. Kat | 120 m²,14.000 TL
Talas - Yenidoğan Mahallesi,Daire | 4+1 | 10. Kat | 210 m²,20.000 TL
Melikgazi - Battalgazi Mahallesi,Daire | 2+1 | 3. Kat | 115 m²,10.000 TL
Kocasinan - Şeker Mahallesi,Daire | 2+1 | 3. Kat | 100 m²,20.000 TL
Talas - Mevlana Mahallesi,Daire | 1+1 | 4. Kat | 90 m²,13.000 TL
Talas - Yenidoğan Mahallesi,Daire | 3+1 | 5. Kat | 140 m²,16.000 TL
Kocasinan - Yeşil Mahallesi,Daire | 3+1 | 4. Kat | 175 m²,20.000 TL
Melikgazi - Yeşilyurt Mahallesi,Daire | 3+1 | 2. Kat | 160 m²,17.500 TL
Talas - Mevlana Mahallesi,Daire | 2.5+1 | 5. Kat | 120 m²,13.000 TL
Develi - Mustafa Asım Köksal Mahallesi,Daire | 1+1 | 2. Kat | 100 m²,14.000 TL15.500 TL
Melikgazi - Şirintepe Mahallesi,Daire | 3+1 | 10. Kat | 135 m²,9.000 TL
Melikgazi - Osmanlı Mahallesi,Daire | 2.5+1 | 3. Kat | 130 m²,9.950 TL
Kocasinan - Şeker Mahallesi,Daire | 2+1 | 8. Kat | 100 m²,16.000 TL
Melikgazi - Germir Mahallesi,Daire | 8+3 | Villa tipi | 750 m²,120.000 TL
Melikgazi - Eğribucak Mahallesi,Daire | 3+1 | Bahçe katı | 100 m²,16.000 TL
Melikgazi - Bahçelievler Mahallesi,Daire | 4+1 | 7. Kat | 185 m²,18.000 TL
Kocasinan - Şeker Mahallesi,Daire | 1+1 | 3. Kat | 75 m²,11.500 TL
Melikgazi - Gülük Mahallesi,Daire | 2+0 | 2. Kat | 80 m²,10.000 TL
Talas - Bahçelievler Mahallesi,Daire | 2.5+1 | Düz Giriş (Zemin) | 95 m²,13.500 TL
Melikgazi - Şirintepe Mahallesi,Daire | 3+1 | 9. Kat | 135 m²,9.000 TL
Talas - Mevlana Mahallesi,Daire | 2.5+1 | 3. Kat | 120 m²,14.000 TL
Melikgazi - Hürriyet Mahallesi,Daire | 3+1 | 1. Kat | 150 m²,10.500 TL
Melikgazi - Cumhuriyet Mahallesi,Daire | 3+1 | 3. Kat | 135 m²,6.000 TL7.500 TL
Talas - Bahçelievler Mahallesi,Daire | 3+1 | 5. Kat | 175 m²,12.500 TL
Melikgazi - Köşk Mahallesi,Daire | 3+1 | 2. Kat | 190 m²,18.000 TL
Develi - Şehit Üsteğmen Hasan Şahan Mahallesi,Daire | 3+1 | 3. Kat | 120 m²,6.500 TL
Kocasinan - Şeker Mahallesi,Daire | 1+1 | 1. Kat | 73 m²,13.000 TL
Develi - Feneseaşağı Mahallesi,Daire | 2+1 | 3. Kat | 100 m²,7.000 TL
Talas - Yukarı Mahallesi,Daire | Stüdyo | 10. Kat | 55 m²,19.000 TL
Talas - Yukarı Mahallesi,Daire | 2+1 | 10. Kat | 65 m²,19.000 TL22.000 TL
Kocasinan - Şeker Mahallesi,Daire | 1+1 | 7. Kat | 65 m²,17.500 TL
Talas - Yenidoğan Mahallesi,Daire | 3+1 | 3. Kat | 135 m²,10.000 TL
