location,information,sales_price
Ortahisar - Üniversite Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,25.000 TL
Ortahisar - 2 Nolu Erdoğdu Mahallesi,Daire | 2+1 | 3. Kat | 75 m²,9.000 TL
Ortahisar - Soğuksu Mahallesi,Daire | 3+1 | 5. Kat | 140 m²,15.000 TL
Ortahisar - Akoluk Mahallesi,Daire | Stüdyo | Bahçe katı | 1.000 m²,140.000 TL
Akçaabat - Yaylacık Mahallesi,Daire | 2+1 | 5. Kat | 80 m²,8.000 TL
Ortahisar - Üniversite Mahallesi,Daire | 2+1 | 1. Kat | 85 m²,12.000 TL
Ortahisar - Bahçecik Mahallesi,Daire | 3+1 | 6. Kat | 170 m²,20.000 TL
Ortahisar - Karşıyaka Mahallesi,Daire | 3+1 | 3. Kat | 155 m²,14.000 TL15.000 TL
Ortahisar - Gazipaşa Mahallesi,Daire | 2+1 | 2. Kat | 130 m²,18.000 TL
Ortahisar - Yalıncak Mahallesi,Daire | 2+1 | 1. Kat | 90 m²,11.000 TL
Ortahisar - Üniversite Mahallesi,Daire | 1+1 | 5. Kat | 50 m²,13.000 TL
Ortahisar - İnönü Mahallesi,Daire | 2+1 | 4. Kat | 135 m²,15.000 TL
Ortahisar - Konaklar Mahallesi,Daire | 3+1 | Düz Giriş (Zemin) | 90 m²,10.000 TL
Ortahisar - Üniversite Mahallesi,Daire | 2+0 | Kot 1 (-1). Kat | 80 m²,10.000 TL
Çaykara - Taşkıran Mahallesi,Daire | 3+1 | 3. Kat | 150 m²,17.500 TL
Yomra - Sancak Mahallesi,Daire | 3+1 | 8. Kat | 188 m²,40.000 TL
Akçaabat - Dürbinar Mahallesi,Daire | 2+1 | 5. Kat | 90 m²,15.000 TL
Ortahisar - 3 Nolu Erdoğdu Mahallesi,Daire | 3+1 | 2. Kat | 135 m²,17.000 TL20.000 TL
Ortahisar - 1 Nolu Erdoğdu Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 55 m²,3.000 TL3.500 TL
Ortahisar - 1 Nolu Beşirli Mahallesi,Daire | 4+1 | 3. Kat | 165 m²,30.000 TL
Ortahisar - Üniversite Mahallesi,Daire | 2+1 | 4. Kat | 120 m²,10.000 TL11.000 TL
Ortahisar - Değirmendere Mahallesi,Daire | 2+1 | 2. Kat | 80 m²,8.000 TL10.000 TL
Akçaabat - Dürbinar Mahallesi,Daire | 2+1 | 2. Kat | 85 m²,15.000 TL17.000 TL
Sürmene - Çamlıca Mahallesi,Daire | 3+1 | 5. Kat | 145 m²,15.000 TL
Akçaabat - Yeşiltepe Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,15.000 TL18.000 TL
Ortahisar - Kalkınma Mahallesi,Daire | 1+1 | 2. Kat | 70 m²,20.000 TL
Ortahisar - Esentepe Mahallesi,Daire | 3+1 | Müstakil | 95 m²,15.000 TL
Ortahisar - Üniversite Mahallesi,Daire | 4+0 | 3. Kat | 145 m²,6.000 TL
Ortahisar - Sanayi Mahallesi,Daire | 1+1 | 3. Kat | 45 m²,15.000 TL
Yomra - Kaşüstü Mahallesi,Daire | 3+1 | 3. Kat | 170 m²,30.000 TL
Çarşıbaşı - Büyükdere Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 120 m²,10.000 TL
Ortahisar - Kalkınma Mahallesi,Daire | Stüdyo | 4. Kat | 40 m²,8.500 TL
Ortahisar - 2 Nolu Bostancı Mahallesi,Daire | 4+0 | 1. Kat | 145 m²,5.500 TL
Yomra - Kaşüstü Mahallesi,Daire | 3+1 | 2. Kat | 140 m²,16.000 TL
