location,information,sales_price
Ortahisar - Üniversite Mahallesi,Daire | 1+1 | 1. Kat | 75 m²,14.000 TL
Ortahisar - 2 Nolu Beşirli Mahallesi,Daire | 3+1 | 2. Kat | 143 m²,21.000 TL
Ortahisar - Pelitli Mahallesi,Daire | 2+1 | Çatı katı | 80 m²,11.000 TL
Yomra - Kaşüstü Mahallesi,Daire | 3+1 | 9. Kat | 241 m²,55.000 TL
Ortahisar - Üniversite Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,20.000 TL
Ortahisar - 1 Nolu Beşirli Mahallesi,Daire | 4+1 | 6. Kat | 165 m²,30.000 TL
Ortahisar - Bahçecik Mahallesi,Daire | 4+1 | 4. Kat | 210 m²,27.000 TL
Ortahisar - Soğuksu Mahallesi,Daire | 3+1 | 4. Kat | 125 m²,21.500 TL
Akçaabat - Yaylacık Mahallesi,Daire | 3+1 | 3. Kat | 140 m²,18.500 TL
Akçaabat - Yıldızlı Mahallesi,Daire | 3+1 | 1. Kat | 160 m²,28.000 TL30.000 TL
Of - İrfanlı Mahallesi,Daire | 3+1 | 1. Kat | 160 m²,22.500 TL
Ortahisar - 2 Nolu Beşirli Mahallesi,Daire | 3+1 | 3. Kat | 140 m²,22.000 TL24.000 TL
Akçaabat - Söğütlü Mahallesi,Daire | 3+1 | 3. Kat | 110 m²,17.000 TL
Yomra - Kaşüstü Mahallesi,Daire | 2+1 | 5. Kat | 153 m²,60.000 TL
Ortahisar - Esentepe Mahallesi,Daire | 2+1 | 1. Kat | 100 m²,7.500 TL
Ortahisar - 2 Nolu Beşirli Mahallesi,Daire | 4+1 | 8. Kat | 175 m²,28.000 TL
Ortahisar - 2 Nolu Beşirli Mahallesi,Daire | 2+1 | 2. Kat | 155 m²,17.000 TL
Ortahisar - Yeşiltepe Mahallesi,Daire | 2+1 | 5. Kat | 100 m²,15.000 TL
Ortahisar - Pelitli Mahallesi,Daire | 1+1 | 3. Kat | 75 m²,15.500 TL
Ortahisar - Yalıncak Mahallesi,Daire | 2+1 | 3. Kat | 125 m²,35.000 TL
Ortahisar - Kalkınma Mahallesi,Daire | 1+1 | 2. Kat | 50 m²,17.500 TL
Ortahisar - Pelitli Mahallesi,Daire | 3+1 | 6. Kat | 135 m²,21.000 TL
Ortahisar - Konaklar Mahallesi,Daire | 3+1 | 1. Kat | 170 m²,20.000 TL
Ortahisar - Kalkınma Mahallesi,Daire | Stüdyo | 2. Kat | 30 m²,10.000 TL
Ortahisar - Pelitli Mahallesi,Daire | 3+1 | 2. Kat | 165 m²,18.000 TL
Ortahisar - 2 Nolu Bostancı Mahallesi,Daire | 2+1 | 1. Kat | 100 m²,12.500 TL15.500 TL
Ortahisar - 1 Nolu Erdoğdu Mahallesi,Daire | 4+1 | 3. Kat | 145 m²,15.000 TL
Ortahisar - Konaklar Mahallesi,Daire | 3+1 | 2. Kat | 100 m²,15.000 TL
Ortahisar - Yalıncak Mahallesi,Daire | 3+1 | 3. Kat | 160 m²,25.000 TL
Ortahisar - 2 Nolu Beşirli Mahallesi,Daire | 3+1 | 7. Kat | 145 m²,25.000 TL
Ortahisar - 2 Nolu Beşirli Mahallesi,Daire | 2+1 | 5. Kat | 100 m²,15.000 TL
Ortahisar - Yalıncak Mahallesi,Daire | 4+1 | 3. Kat | 250 m²,40.000 TL
Ortahisar - Yeşiltepe Mahallesi,Daire | 3+1 | 9. Kat | 160 m²,28.000 TL
Ortahisar - Yeşiltepe Mahallesi,Daire | 3+1 | 7. Kat | 145 m²,20.000 TL
Ortahisar - Kemerkaya Mahallesi,Daire | 1+1 | 1. Kat | 65 m²,17.000 TL
Ortahisar - Konaklar Mahallesi,Daire | 2+1 | 3. Kat | 110 m²,20.000 TL
Ortahisar - 1 Nolu Bostancı Mahallesi,Daire | 3+1 | 4. Kat | 165 m²,24.000 TL
Akçaabat - Söğütlü Mahallesi,Daire | 3+1 | 4. Kat | 150 m²,18.000 TL
Ortahisar - Kalkınma Mahallesi,Daire | 2+1 | 1. Kat | 75 m²,17.500 TL
Ortahisar - Yeşiltepe Mahallesi,Daire | 3+1 | 3. Kat | 150 m²,22.000 TL
Ortahisar - Toklu Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 75 m²,10.000 TL
Ortahisar - Yeşiltepe Mahallesi,Daire | 4+1 | Kot 4 (-4). Kat | 150 m²,16.000 TL
Yomra - Kaşüstü Mahallesi,Daire | 3+1 | 8. Kat | 155 m²,25.000 TL
