location,information,sales_price
Soma - Turgutalp Mahallesi,Daire | 1+1 | 3. Kat | 100 m²,15.000 TL
Soma - Nihat Danışman Mahallesi,Daire | 2+1 | 2. Kat | 110 m²,20.000 TL
Yunusemre - Barbaros Mahallesi,Daire | 2+1 | 2. Kat | 105 m²,15.000 TL
Şehzadeler - Göktaşlı Mahallesi,Daire | 2+1 | 3. Kat | 90 m²,20.000 TL
Alaşehir - Beşeylül Mahallesi,Daire | 2+1 | 2. Kat | 135 m²,12.500 TL
Yunusemre - Tevfikiye Mahallesi,Daire | 3+1 | 1. Kat | 100 m²,25.000 TL
Şehzadeler - İbrahimçelebi Mahallesi,Daire | 3+1 | 3. Kat | 84 m²,23.000 TL
Soma - Turgutalp Mahallesi,Daire | 3+1 | 1. Kat | 130 m²,25.000 TL
Akhisar - Reşat Bey Mahallesi,Daire | 2+1 | 2. Kat | 95 m²,18.000 TL
Akhisar - Kethüda Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,15.000 TL
Yunusemre - Muradiye Mahallesi,Daire | 1+1 | 4. Kat | 65 m²,15.500 TL
Akhisar - Ulu Camii Mahallesi,Daire | 3+1 | 1. Kat | 145 m²,15.000 TL
Akhisar - Ulu Camii Mahallesi,Daire | 3+1 | Düz Giriş (Zemin) | 145 m²,18.000 TL
Akhisar - Ulu Camii Mahallesi,Daire | 3+1 | 3. Kat | 145 m²,15.000 TL
Yunusemre - Tevfikiye Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,20.000 TL
Şehzadeler - 2. Anafartalar Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,20.000 TL
Akhisar - Atatürk Mahallesi,Daire | 3+1 | 2. Kat | 165 m²,23.000 TL
Yunusemre - Muradiye Mahallesi,Daire | 2+1 | 2. Kat | 85 m²,16.000 TL
Yunusemre - Muradiye Mahallesi,Daire | 2+1 | Yüksek giriş | 73 m²,16.500 TL
Akhisar - Reşat Bey Mahallesi,Daire | 3+1 | 3. Kat | 130 m²,19.000 TL
Şehzadeler - Sancaklıbozköy Mahallesi,Daire | 2+1 | 2. Kat | 86 m²,12.500 TL
Yunusemre - Muradiye Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,15.000 TL
Salihli - Aksoy Mahallesi,Daire | 3+1 | 2. Kat | 140 m²,17.000 TL
Salihli - Mithatpaşa Mahallesi,Daire | 1+1 | 4. Kat | 52 m²,16.000 TL
Yunusemre - Muradiye Mahallesi,Daire | 2+1 | Yüksek giriş | 75 m²,16.000 TL
Yunusemre - Muradiye Mahallesi,Daire | 1+1 | 2. Kat | 50 m²,14.000 TL
Alaşehir - İstasyon Mahallesi,Daire | 3+1 | 4. Kat | 180 m²,26.500 TL
Salihli - Namık Kemal Mahallesi,Daire | 3+1 | 4. Kat | 150 m²,15.000 TL
Salihli - Beşeylül Mahallesi,Daire | 1+1 | 4. Kat | 50 m²,15.000 TL
Ahmetli - Ulu Cami Mahallesi,Daire | 1+1 | 2. Kat | 75 m²,15.000 TL
Turgutlu - Selvilitepe Mahallesi,Daire | 2+1 | 3. Kat | 200 m²,19.500 TL21.000 TL
Şehzadeler - Şehitler Mahallesi,Daire | 2+1 | 5. Kat | 110 m²,20.000 TL
Yunusemre - Muradiye Mahallesi,Daire | 2+1 | 2. Kat | 85 m²,18.500 TL
Akhisar - Ulu Camii Mahallesi,Daire | 3+1 | 2. Kat | 210 m²,23.000 TL
Şehzadeler - Ege Mahallesi,Daire | 3+1 | 5. Kat | 115 m²,18.500 TL
Şehzadeler - Şehitler Mahallesi,Daire | 2+1 | 5. Kat | 90 m²,20.000 TL
Yunusemre - Muradiye Mahallesi,Daire | 1+1 | 2. Kat | 70 m²,27.000 TL
Yunusemre - Muradiye Mahallesi,Daire | 1+1 | Yüksek giriş | 60 m²,16.000 TL
Akhisar - İnönü Mahallesi,Daire | 2+1 | 2. Kat | 95 m²,12.000 TL
Yunusemre - Keçili Köy Mahallesi,Daire | 3+1 | 3. Kat | 110 m²,25.000 TL
Yunusemre - Muradiye Mahallesi,Daire | 3+1 | 4. Kat | 125 m²,17.000 TL
Yunusemre - Kuyualan Mahallesi,Daire | 3+1 | 4. Kat | 120 m²,20.000 TL
Salihli - Sağlık Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,20.000 TL
Salihli - Sağlık Mahallesi,Daire | 3+1 | 2. Kat | 150 m²,15.000 TL
Şehzadeler - İbrahimçelebi Mahallesi,Daire | 3+1 | 5. Kat | 110 m²,17.000 TL
Yunusemre - Karaali Mahallesi,Daire | 3+1 | 3. Kat | 150 m²,14.000 TL
Yunusemre - Muradiye Mahallesi,Daire | 2+1 | 2. Kat | 75 m²,27.000 TL
Alaşehir - Menderes Mahallesi,Daire | 4+1 | 4. Kat | 220 m²,42.000 TL
Şehzadeler - Şehitler Mahallesi,Daire | 2+1 | 4. Kat | 90 m²,15.000 TL
Turgutlu - Şehitler Mahallesi,Daire | 2+1 | 1. Kat | 100 m²,10.000 TL
Akhisar - Efendi Mahallesi,Daire | 2+1 | 4. Kat | 115 m²,9.000 TL12.000 TL
Akhisar - Reşat Bey Mahallesi,Daire | 2+1 | 2. Kat | 120 m²,18.500 TL
Salihli - Eski Cami Mahallesi,Daire | 2+1 | 3. Kat | 80 m²,23.000 TL
Yunusemre - Muradiye Mahallesi,Daire | 1+1 | Yüksek giriş | 45 m²,16.000 TL
Yunusemre - Muradiye Mahallesi,Daire | 1+1 | 4. Kat | 45 m²,18.000 TL
Yunusemre - Muradiye Mahallesi,Daire | 2+1 | 2. Kat | 80 m²,20.000 TL
Soma - Cuma Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,10.000 TL
Soma - Nihat Danışman Mahallesi,Daire | 3+1 | 4. Kat | 120 m²,14.000 TL
