location,information,sales_price
Soma - Kurtuluş Mahallesi,Daire | 2+1 | Kot 2 (-2). Kat | 100 m²,15.000 TL
Soma - Kurtuluş Mahallesi,Daire | 2+1 | 4. Kat | 110 m²,13.000 TL15.000 TL
Salihli - Kurtuluş Mahallesi,Daire | 3+1 | 1. Kat | 115 m²,20.000 TL
Yunusemre - Muradiye Mahallesi,Daire | 3+1 | 2. Kat | 135 m²,25.000 TL
Akhisar - Ulu Camii Mahallesi,Daire | 2+1 | 1. Kat | 100 m²,21.000 TL
Turgutlu - Altay Mahallesi,Daire | 2+1 | 2. Kat | 80 m²,14.000 TL
Yunusemre - Mesir Mahallesi,Daire | 3+1 | 5. Kat | 125 m²,25.000 TL
Yunusemre - Muradiye Mahallesi,Daire | 1+1 | Yüksek giriş | 50 m²,14.000 TL
Turgutlu - Mustafa Kemal Mahallesi,Daire | 3+1 | Yüksek giriş | 120 m²,15.000 TL
Yunusemre - Muradiye Mahallesi,Daire | 1+1 | Yüksek giriş | 45 m²,16.000 TL
Yunusemre - Muradiye Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 45 m²,13.000 TL
Yunusemre - Muradiye Mahallesi,Daire | 2+1 | Yüksek giriş | 95 m²,17.000 TL
Yunusemre - Muradiye Mahallesi,Daire | 2+1 | 4. Kat | 80 m²,20.000 TL
Salihli - Sağlık Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,15.500 TL
Şehzadeler - Dilşikar Mahallesi,Daire | 3+1 | 5. Kat | 135 m²,20.000 TL23.000 TL
Turgutlu - Subaşı Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,22.000 TL
Şehzadeler - 2. Anafartalar Mahallesi,Daire | 2+1 | 4. Kat | 100 m²,25.000 TL
Turgutlu - Yiğitler Mahallesi,Daire | 3+1 | 1. Kat | 165 m²,22.000 TL
Turgutlu - Altay Mahallesi,Daire | 2+1 | 3. Kat | 95 m²,15.000 TL
Soma - Namazgah Mahallesi,Daire | 5+1 | 2. Kat | 270 m²,29.000 TL
Soma - Atatürk Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,7.500 TL
Yunusemre - Tevfikiye Mahallesi,Daire | 1 Oda | Kot 1 (-1). Kat | 30 m²,10.000 TL
Şehzadeler - Yarhasanlar Mahallesi,Daire | 3+1 | 3. Kat | 135 m²,26.000 TL
Alaşehir - İstasyon Mahallesi,Daire | 1+1 | 3. Kat | 55 m²,15.000 TL
Yunusemre - Ayni Ali Mahallesi,Daire | 3+1 | 5. Kat | 140 m²,28.000 TL
Soma - Kurtuluş Mahallesi,Daire | 2+1 | 4. Kat | 95 m²,13.000 TL
Alaşehir - Kurtuluş Mahallesi,Daire | 3+1 | 3. Kat | 185 m²,23.000 TL
Yunusemre - 75. Yıl Mahallesi,Daire | 3+1 | Düz Giriş (Zemin) | 135 m²,37.000 TL
Salihli - Cumhuriyet Mahallesi,Daire | 3+1 | 4. Kat | 135 m²,20.000 TL
Soma - Nihat Danışman Mahallesi,Daire | 2+1 | 1. Kat | 100 m²,14.500 TL
Akhisar - İnönü Mahallesi,Daire | 3+1 | 2. Kat | 145 m²,18.000 TL
Akhisar - Hürriyet Mahallesi,Daire | 3+1 | 2. Kat | 130 m²,17.000 TL
Şehzadeler - Peker Mahallesi,Daire | 2+1 | 5. Kat | 120 m²,19.000 TL
Yunusemre - Muradiye Mahallesi,Daire | 1+1 | 2. Kat | 50 m²,13.000 TL
Yunusemre - Muradiye Mahallesi,Daire | 1+1 | 4. Kat | 60 m²,16.000 TL
Alaşehir - İstasyon Mahallesi,Daire | 3+1 | 2. Kat | 130 m²,14.000 TL15.000 TL
Turgutlu - Albayrak Mahallesi,Daire | 1+1 | 1. Kat | 70 m²,16.000 TL
Turgutlu - Ergenekon Mahallesi,Daire | 5+1 | 3. Kat | 250 m²,28.000 TL
Yunusemre - Muradiye Mahallesi,Daire | 1+1 | 6. Kat | 50 m²,25.000 TL
Akhisar - Cumhuriyet Mahallesi,Daire | 3+1 | 1. Kat | 135 m²,15.500 TL
Turgutlu - Cumhuriyet Mahallesi,Daire | 5+2 | 2. Kat | 200 m²,35.000 TL
Turgutlu - Kurtuluş Mahallesi,Daire | 2+1 | 3. Kat | 75 m²,17.000 TL
Yunusemre - Topçuasım Mahallesi,Daire | 3+1 | 5. Kat | 145 m²,28.000 TL
Şehzadeler - Sancaklıbozköy Mahallesi,Daire | 2+1 | 2. Kat | 96 m²,25.000 TL
Alaşehir - İstasyon Mahallesi,Daire | 3+1 | 5. Kat | 135 m²,15.000 TL
Turgutlu - Subaşı Mahallesi,Daire | 2+1 | 3. Kat | 100 m²,17.500 TL
Salihli - Cumhuriyet Mahallesi,Daire | 3+1 | 3. Kat | 150 m²,22.000 TL
Turgutlu - Ergenekon Mahallesi,Daire | 2+1 | 4. Kat | 110 m²,20.000 TL
Alaşehir - İstasyon Mahallesi,Daire | 2+1 | 1. Kat | 100 m²,18.000 TL
Salihli - Yeşilyurt Mahallesi,Daire | 3+1 | 5. Kat | 165 m²,23.500 TL
Akhisar - Hürriyet Mahallesi,Daire | 3+1 | Çatı katı | 145 m²,17.500 TL
Akhisar - İnönü Mahallesi,Daire | 2+1 | 2. Kat | 135 m²,17.500 TL
Turgutlu - Selvilitepe Mahallesi,Daire | 3+1 | 1. Kat | 125 m²,18.000 TL
Yunusemre - Mareşal Fevzi Çakmak Mahallesi,Daire | 2+1 | Yüksek giriş | 90 m²,15.000 TL
Turgutlu - Albayrak Mahallesi,Daire | 1+1 | 1. Kat | 70 m²,16.000 TL
Yunusemre - Karaali Mahallesi,Daire | 1+1 | Yüksek giriş | 50 m²,14.750 TL
Yunusemre - Muradiye Mahallesi,Daire | 2+1 | 4. Kat | 75 m²,17.500 TL
Saruhanlı - Yılmaz Mahallesi,Daire | 3+1 | 3. Kat | 130 m²,20.000 TL
Yunusemre - Güzelyurt Mahallesi,Daire | 1+1 | 3. Kat | 65 m²,14.000 TL
Yunusemre - Muradiye Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,18.000 TL
Yunusemre - Muradiye Mahallesi,Daire | 2+1 | 1. Kat | 90 m²,20.000 TL
Soma - Kurtuluş Mahallesi,Daire | 2+0 | 3. Kat | 90 m²,15.500 TL
Şehzadeler - Alaybey Mahallesi,Daire | 3+1 | 4. Kat | 150 m²,22.000 TL
Salihli - Mithatpaşa Mahallesi,Daire | Stüdyo | 2. Kat | 35 m²,15.000 TL
Yunusemre - Muradiye Mahallesi,Daire | 2+1 | 1. Kat | 75 m²,18.000 TL
Soma - Nihat Danışman Mahallesi,Daire | 2+1 | 2. Kat | 105 m²,15.000 TL
Alaşehir - İstasyon Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 75 m²,14.000 TL
Alaşehir - Fatih Mahallesi,Daire | 2+1 | 3. Kat | 70 m²,17.000 TL
Alaşehir - Kurtuluş Mahallesi,Daire | 3+1 | 3. Kat | 180 m²,25.000 TL
Akhisar - Reşat Bey Mahallesi,Daire | 2+1 | 2. Kat | 97 m²,20.000 TL
Şehzadeler - Yarhasanlar Mahallesi,Daire | 2+1 | 2. Kat | 95 m²,25.000 TL27.000 TL
Yunusemre - Merkez Efendi Mahallesi,Daire | 2+1 | Yüksek giriş | 120 m²,25.000 TL
Yunusemre - Muradiye Mahallesi,Daire | 1+1 | Kot 2 (-2). Kat | 65 m²,25.000 TL
Alaşehir - İstasyon Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,15.000 TL16.000 TL
Salihli - Cumhuriyet Mahallesi,Daire | 3+1 | Yüksek giriş | 150 m²,3.800.000 TL
Akhisar - İnönü Mahallesi,Daire | 2+1 | 4. Kat | 98 m²,15.500 TL
Akhisar - Cumhuriyet Mahallesi,Daire | 2+1 | 3. Kat | 105 m²,16.000 TL
Akhisar - Ragıp Bey Mahallesi,Daire | 2+1 | 2. Kat | 120 m²,21.500 TL
Salihli - Kocaçeşme Mahallesi,Daire | 1+1 | 1. Kat | 37 m²,16.000 TL
Yunusemre - Keçili Köy Mahallesi,Daire | 2+1 | 3. Kat | 90 m²,22.000 TL
Yunusemre - Muradiye Mahallesi,Daire | 2+1 | 4. Kat | 90 m²,18.500 TL
Yunusemre - Muradiye Mahallesi,Daire | 2+1 | 3. Kat | 80 m²,23.000 TL
Soma - Kurtuluş Mahallesi,Daire | 1+1 | 4. Kat | 70 m²,16.000 TL
Akhisar - Cumhuriyet Mahallesi,Daire | 3+1 | 3. Kat | 130 m²,16.000 TL
Yunusemre - Yeni Mahalle Mahallesi,Daire | 2+1 | 1. Kat | 95 m²,25.000 TL26.500 TL
Salihli - Aksoy Mahallesi,Daire | 3+1 | 2. Kat | 125 m²,20.000 TL
Turgutlu - Yıldırım Mahallesi,Daire | 2+1 | 4. Kat | 95 m²,13.000 TL
Şehzadeler - Şehitler Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,22.000 TL
Salihli - Mithatpaşa Mahallesi,Daire | 1+1 | 1. Kat | 58 m²,12.000 TL
Soma - Cumhuriyet Mahallesi,Daire | 2+1 | 4. Kat | 125 m²,16.000 TL
Soma - Nihat Danışman Mahallesi,Daire | 2+1 | 3. Kat | 90 m²,12.000 TL
Soma - Turgutalp Mahallesi,Daire | 2+1 | 3. Kat | 110 m²,16.500 TL
Soma - Kurtuluş Mahallesi,Daire | 1+1 | 4. Kat | 60 m²,14.000 TL
Soma - Turgutalp Mahallesi,Daire | 3+1 | Düz Giriş (Zemin) | 130 m²,10.500 TL
Yunusemre - Muradiye Mahallesi,Daire | 1+1 | 3. Kat | 60 m²,23.000 TL
Salihli - Namık Kemal Mahallesi,Daire | 2+1 | 2. Kat | 115 m²,22.000 TL
Şehzadeler - Alaybey Mahallesi,Daire | 1 Oda | Yüksek giriş | 30 m²,10.000 TL
Akhisar - Ulu Camii Mahallesi,Daire | 2+1 | 2. Kat | 95 m²,20.000 TL23.000 TL
Yunusemre - Muradiye Mahallesi,Daire | 1+1 | Yüksek giriş | 50 m²,14.000 TL
Yunusemre - Muradiye Mahallesi,Daire | 2+1 | 4. Kat | 95 m²,19.500 TL
Akhisar - Atatürk Mahallesi,Daire | 2+1 | 2. Kat | 120 m²,22.000 TL
Yunusemre - Muradiye Mahallesi,Daire | 1+1 | Bahçe katı | 75 m²,26.500 TL
Alaşehir - Kurtuluş Mahallesi,Daire | 3+1 | 2. Kat | 175 m²,30.000 TL
Alaşehir - Beşeylül Mahallesi,Daire | 2+1 | 2. Kat | 110 m²,13.000 TL
Yunusemre - Ayni Ali Mahallesi,Daire | 3+1 | 3. Kat | 120 m²,25.000 TL
Yunusemre - Muradiye Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,24.700 TL
Alaşehir - İstasyon Mahallesi,Daire | 1+1 | 3. Kat | 55 m²,18.000 TL
Yunusemre - Uncubozköy Mahallesi,Daire | 3+1 | 5. Kat | 125 m²,25.000 TL
Yunusemre - Muradiye Mahallesi,Daire | 1+1 | 3. Kat | 75 m²,23.000 TL
Akhisar - Atatürk Mahallesi,Daire | 3+1 | 3. Kat | 150 m²,22.000 TL
Akhisar - Kethüda Mahallesi,Daire | 3+1 | 2. Kat | 135 m²,15.000 TL
Turgutlu - Yılmazlar Mahallesi,Daire | 2+1 | 4. Kat | 100 m²,18.000 TL
Akhisar - Efendi Mahallesi,Daire | 1+1 | 3. Kat | 52 m²,13.000 TL
Yunusemre - Muradiye Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 65 m²,16.000 TL
Yunusemre - Muradiye Mahallesi,Daire | 2+1 | 3. Kat | 75 m²,15.000 TL
Soma - Atatürk Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,18.500 TL
Soma - Atatürk Mahallesi,Daire | 2.5+1 | Düz Giriş (Zemin) | 105 m²,14.200 TL
Yunusemre - Muradiye Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,20.000 TL23.000 TL
Akhisar - Reşat Bey Mahallesi,Daire | 2+1 | 1. Kat | 80 m²,16.500 TL
Turgutlu - Altay Mahallesi,Daire | 2+1 | 4. Kat | 90 m²,10.000 TL
Alaşehir - İstasyon Mahallesi,Daire | 2+1 | 2. Kat | 110 m²,16.000 TL
Akhisar - Hürriyet Mahallesi,Daire | 1+1 | Yüksek giriş | 75 m²,12.500 TL
Yunusemre - Barbaros Mahallesi,Daire | 2+1 | Yüksek giriş | 60 m²,17.000 TL
Akhisar - Paşa Mahallesi,Daire | 3+1 | 3. Kat | 110 m²,11.500 TL
Alaşehir - Kurtuluş Mahallesi,Daire | 3+1 | Yüksek giriş | 140 m²,16.500 TL
Alaşehir - Kurtuluş Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,18.000 TL
Salihli - Cumhuriyet Mahallesi,Daire | 1+1 | 4. Kat | 55 m²,18.000 TL
Yunusemre - Muradiye Mahallesi,Daire | 3+1 | 2. Kat | 140 m²,25.000 TL
Yunusemre - Muradiye Mahallesi,Daire | 1+1 | 4. Kat | 65 m²,19.500 TL
Turgutlu - Kurtuluş Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,16.500 TL
Şehzadeler - Akıncılar Mahallesi,Daire | 2+1 | 4. Kat | 90 m²,19.000 TL
Akhisar - İnönü Mahallesi,Daire | 1+1 | 3. Kat | 68 m²,25.000 TL
Alaşehir - İstasyon Mahallesi,Daire | 3+1 | Yüksek giriş | 135 m²,14.000 TL
Yunusemre - Muradiye Mahallesi,Daire | 2+1 | 5. Kat | 90 m²,18.000 TL
Yunusemre - Yeni Mahalle Mahallesi,Daire | 3+1 | 4. Kat | 260 m²,35.000 TL
Yunusemre - Muradiye Mahallesi,Daire | 1+1 | 2. Kat | 50 m²,15.000 TL
Alaşehir - Beşeylül Mahallesi,Daire | 3+1 | 2. Kat | 160 m²,10.000 TL
Şehzadeler - Adakale Mahallesi,Daire | 2+1 | 2. Kat | 110 m²,21.000 TL
Yunusemre - Muradiye Mahallesi,Daire | 2+1 | 1. Kat | 70 m²,17.750 TL
Şehzadeler - Yarhasanlar Mahallesi,Daire | 3+1 | 5. Kat | 110 m²,21.000 TL
Yunusemre - Muradiye Mahallesi,Daire | 1+1 | 3. Kat | 65 m²,20.000 TL
Yunusemre - Topçuasım Mahallesi,Daire | 2+1 | 5. Kat | 85 m²,19.000 TL
Şehzadeler - Alaybey Mahallesi,Daire | 2+1 | 3. Kat | 85 m²,20.000 TL
Turgutlu - Selvilitepe Mahallesi,Daire | 2+1 | 10. Kat | 110 m²,28.000 TL
Yunusemre - Tevfikiye Mahallesi,Daire | 3+1 | 5. Kat | 130 m²,15.000 TL18.500 TL
Yunusemre - Karaali Mahallesi,Daire | 2+1 | 2. Kat | 65 m²,18.000 TL21.000 TL
Yunusemre - Tevfikiye Mahallesi,Daire | 1 Oda | Bodrum Kat | 20 m²,8.000 TL18.000 TL
Yunusemre - Muradiye Mahallesi,Daire | 3+1 | 4. Kat | 120 m²,27.000 TL
Yunusemre - Muradiye Mahallesi,Daire | 1+1 | 3. Kat | 65 m²,16.000 TL
Soma - Nihat Danışman Mahallesi,Daire | 2+1 | 4. Kat | 100 m²,13.000 TL
Soma - Turgutalp Mahallesi,Daire | 4+1 | Düz Giriş (Zemin) | 160 m²,15.250 TL
Soma - Kurtuluş Mahallesi,Daire | 1+1 | Yüksek giriş | 50 m²,15.000 TL
Soma - Kurtuluş Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,11.250 TL
Turgutlu - Selvilitepe Mahallesi,Daire | 2+1 | 10. Kat | 100 m²,26.500 TL
Şehzadeler - Tunca Mahallesi,Daire | 2+1 | 6. Kat | 100 m²,2.200.000 TL
Yunusemre - Muradiye Mahallesi,Daire | 1+1 | Yüksek giriş | 45 m²,16.000 TL
Şehzadeler - İbrahimçelebi Mahallesi,Daire | 3+1 | 4. Kat | 130 m²,27.000 TL
Salihli - Mithatpaşa Mahallesi,Daire | 1+1 | 3. Kat | 45 m²,14.000 TL
Yunusemre - Muradiye Mahallesi,Daire | 1+1 | 3. Kat | 45 m²,15.000 TL
Yunusemre - Muradiye Mahallesi,Daire | 1+1 | 3. Kat | 45 m²,15.000 TL
Soma - Atatürk Mahallesi,Daire | 2+1 | 4. Kat | 110 m²,12.000 TL
Alaşehir - Sakarya Mahallesi,Daire | 4+1 | 2. Kat | 160 m²,18.000 TL20.000 TL
Yunusemre - Uncubozköy Mahallesi,Daire | 1+1 | 2. Kat | 45 m²,29.000 TL
Yunusemre - Yeni Mahalle Mahallesi,Daire | 1+1 | 3. Kat | 45 m²,25.000 TL
Şehzadeler - Peker Mahallesi,Daire | 1+1 | 3. Kat | 55 m²,21.000 TL
Turgutlu - Ergenekon Mahallesi,Daire | 3+1 | 3. Kat | 145 m²,23.500 TL25.000 TL
Yunusemre - Muradiye Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,15.000 TL
Yunusemre - Muradiye Mahallesi,Daire | 3+1 | 1. Kat | 120 m²,22.000 TL
Yunusemre - Muradiye Mahallesi,Daire | 2+1 | 4. Kat | 85 m²,21.000 TL
Yunusemre - Muradiye Mahallesi,Daire | 2+1 | 2. Kat | 75 m²,16.000 TL
Yunusemre - Muradiye Mahallesi,Daire | 1+1 | 4. Kat | 65 m²,16.000 TL
Yunusemre - Muradiye Mahallesi,Daire | 2+1 | 1. Kat | 75 m²,20.000 TL
Akhisar - Atatürk Mahallesi,Daire | 3+1 | 2. Kat | 150 m²,20.000 TL
Yunusemre - Kaynak Mahallesi,Daire | 3+1 | 2. Kat | 130 m²,32.500 TL
Akhisar - Ragıp Bey Mahallesi,Daire | 3+1 | 3. Kat | 120 m²,19.500 TL21.500 TL
Alaşehir - Hacıbey Mahallesi,Daire | 1+1 | 3. Kat | 45 m²,14.000 TL16.000 TL
Akhisar - Hacı İshak Mahallesi,Daire | 1 Oda | 1. Kat | 350 m²,30.000 TL
Yunusemre - 75. Yıl Mahallesi,Daire | 1+1 | Yüksek giriş | 75 m²,22.000 TL
Akhisar - Ulu Camii Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,14.000 TL15.000 TL
Yunusemre - Muradiye Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,13.000 TL
Turgutlu - Selvilitepe Mahallesi,Daire | 2+1 | 1. Kat | 124 m²,29.000 TL
Yunusemre - Tevfikiye Mahallesi,Daire | 2+1 | 3. Kat | 100 m²,17.500 TL20.000 TL
Alaşehir - İstasyon Mahallesi,Daire | 3+1 | 3. Kat | 220 m²,29.000 TL35.000 TL
Soma - Cumhuriyet Mahallesi,Daire | 2+1 | 2. Kat | 80 m²,8.750 TL
Şehzadeler - Peker Mahallesi,Daire | 3+1 | 2. Kat | 135 m²,25.000 TL
Soma - Turgutalp Mahallesi,Daire | 2+1 | 2. Kat | 110 m²,17.500 TL
Turgutlu - Cumhuriyet Mahallesi,Daire | 4+1 | 1. Kat | 250 m²,40.000 TL
Yunusemre - Muradiye Mahallesi,Daire | 1+1 | Yüksek giriş | 65 m²,16.000 TL
Yunusemre - Tevfikiye Mahallesi,Daire | 3+1 | 3. Kat | 160 m²,23.800 TL
Şehzadeler - Alaybey Mahallesi,Daire | 3+1 | 3. Kat | 130 m²,32.000 TL
Soma - Hamidiye Mahallesi,Daire | 2+1 | 1. Kat | 90 m²,16.000 TL
Yunusemre - Muradiye Mahallesi,Daire | 3+1 | 2. Kat | 120 m²,21.000 TL
Turgutlu - Cumhuriyet Mahallesi,Daire | 3+1 | 3. Kat | 140 m²,25.000 TL
Akhisar - Ulupınar Mahallesi,Daire | 3+1 | 3. Kat | 140 m²,15.000 TL
Akhisar - Hürriyet Mahallesi,Daire | 3+1 | 4. Kat | 145 m²,19.000 TL
Turgutlu - Selvilitepe Mahallesi,Daire | 1+1 | 8. Kat | 65 m²,16.000 TL
Turgutlu - Selvilitepe Mahallesi,Daire | 5+2 | 15. Kat | 260 m²,42.000 TL47.500 TL
Akhisar - Ragıp Bey Mahallesi,Daire | 3+1 | 3. Kat | 120 m²,14.000 TL15.000 TL
Yunusemre - Uncubozköy Mahallesi,Daire | 1+1 | 4. Kat | 45 m²,28.500 TL
Turgutlu - Şehitler Mahallesi,Daire | 3+1 | 1. Kat | 155 m²,20.000 TL
Akhisar - İnönü Mahallesi,Daire | 2+1 | 1. Kat | 100 m²,15.500 TL
Akhisar - Ragıp Bey Mahallesi,Daire | 3+1 | 4. Kat | 130 m²,18.000 TL20.000 TL
Yunusemre - Tevfikiye Mahallesi,Daire | 2+1 | 2. Kat | 130 m²,18.000 TL
Soma - Atatürk Mahallesi,Daire | 2+1 | 1. Kat | 110 m²,11.000 TL
Yunusemre - Muradiye Mahallesi,Daire | 1+1 | Yüksek giriş | 65 m²,12.000 TL
Salihli - Eski Cami Mahallesi,Daire | 1+1 | 1. Kat | 65 m²,15.000 TL
Alaşehir - İstasyon Mahallesi,Daire | 2+1 | 1. Kat | 100 m²,15.000 TL
Alaşehir - Beşeylül Mahallesi,Daire | 1+1 | 3. Kat | 55 m²,11.000 TL
Alaşehir - Kurtuluş Mahallesi,Daire | 1+1 | 3. Kat | 55 m²,15.500 TL
Alaşehir - Akkeçili Mahallesi,Daire | 1+1 | 2. Kat | 50 m²,14.000 TL
Turgutlu - Yeni Mahallesi,Daire | 3+1 | 2. Kat | 165 m²,20.000 TL
Alaşehir - Kurtuluş Mahallesi,Daire | 1+1 | 4. Kat | 65 m²,17.000 TL
Alaşehir - İstasyon Mahallesi,Daire | 3+1 | 3. Kat | 140 m²,25.000 TL
Soma - Nihat Danışman Mahallesi,Daire | 2+1 | 1. Kat | 90 m²,12.000 TL
Akhisar - Hacı İshak Mahallesi,Daire | 3+1 | 3. Kat | 120 m²,13.000 TL15.000 TL
Salihli - Namık Kemal Mahallesi,Daire | 3+1 | Yüksek giriş | 130 m²,15.000 TL
Yunusemre - Muradiye Mahallesi,Daire | 2+1 | Yüksek giriş | 90 m²,15.000 TL
Alaşehir - Yenice Mahallesi,Daire | 3+1 | 2. Kat | 120 m²,10.500 TL
Alaşehir - Fatih Mahallesi,Daire | 2+1 | 3. Kat | 80 m²,13.500 TL
Soma - Turgutalp Mahallesi,Daire | 2+1 | 3. Kat | 100 m²,13.000 TL
Yunusemre - Yeni Mahalle Mahallesi,Daire | 2+1 | 1. Kat | 90 m²,16.000 TL
Akhisar - Reşat Bey Mahallesi,Daire | 3+1 | 3. Kat | 135 m²,15.000 TL
Alaşehir - Beşeylül Mahallesi,Daire | 2+0 | Düz Giriş (Zemin) | 190 m²,31.500 TL
Yunusemre - Muradiye Mahallesi,Daire | 1+1 | Yüksek giriş | 70 m²,18.500 TL
Yunusemre - Akmescit Mahallesi,Daire | 3+1 | 3. Kat | 110 m²,25.000 TL
Yunusemre - Muradiye Mahallesi,Daire | 1+1 | Yüksek giriş | 70 m²,18.500 TL
Akhisar - Ragıp Bey Mahallesi,Daire | 3+1 | 2. Kat | 135 m²,18.500 TL21.500 TL
Soma - Kurtuluş Mahallesi,Daire | 5+1 | 4. Kat | 180 m²,60.000 TL
Yunusemre - Cumhuriyet Mahallesi,Daire | 1+1 | 5. Kat | 70 m²,21.000 TL
Yunusemre - Muradiye Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,17.000 TL
Yunusemre - Muradiye Mahallesi,Daire | 1+1 | Yüksek giriş | 60 m²,19.000 TL
Alaşehir - Yenice Mahallesi,Daire | 2+1 | 2. Kat | 110 m²,13.000 TL
Saruhanlı - Cengiz Topel Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,18.000 TL
Alaşehir - İstasyon Mahallesi,Daire | 3+1 | 1. Kat | 180 m²,27.000 TL
Yunusemre - Muradiye Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,18.500 TL
Akhisar - Ragıp Bey Mahallesi,Daire | 3+1 | 4. Kat | 125 m²,13.000 TL14.000 TL
Akhisar - Hürriyet Mahallesi,Daire | 3+1 | 4. Kat | 120 m²,12.500 TL13.500 TL
Salihli - Yeşilyurt Mahallesi,Daire | 3+1 | 5. Kat | 140 m²,22.000 TL
Soma - Nihat Danışman Mahallesi,Daire | 2+1 | 4. Kat | 130 m²,12.500 TL
Saruhanlı - İstasyon Mahallesi,Daire | 2+1 | 2. Kat | 93 m²,15.500 TL
Şehzadeler - Utku Mahallesi,Daire | 2+1 | 3. Kat | 95 m²,19.000 TL
Soma - Namazgah Mahallesi,Daire | 2+1 | 3. Kat | 105 m²,10.500 TL12.000 TL
Alaşehir - Fatih Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,13.500 TL
Yunusemre - Yeni Mahalle Mahallesi,Daire | 3+1 | 4. Kat | 115 m²,25.000 TL
Soma - Turgutalp Mahallesi,Daire | 2+1 | Yüksek giriş | 100 m²,8.000 TL8.500 TL
Alaşehir - Yenice Mahallesi,Daire | 3+1 | 3. Kat | 120 m²,13.000 TL
Turgutlu - Subaşı Mahallesi,Daire | 4+1 | Çatı Dubleks | 210 m²,45.000 TL
Turgutlu - Albayrak Mahallesi,Daire | 1+1 | 2. Kat | 57 m²,15.000 TL
Şehzadeler - Yarhasanlar Mahallesi,Daire | 5+2 | 4. Kat | 250 m²,40.000 TL
Yunusemre - Yeni Mahalle Mahallesi,Daire | 3+1 | 1. Kat | 120 m²,25.000 TL
Yunusemre - Güzelyurt Mahallesi,Daire | 4+1 | 2. Kat | 184 m²,55.000 TL
Yunusemre - Güzelyurt Mahallesi,Daire | 1+1 | 2. Kat | 75 m²,18.000 TL
Alaşehir - Hacıbey Mahallesi,Daire | 3+1 | 1. Kat | 150 m²,15.500 TL17.000 TL
Yunusemre - Güzelyurt Mahallesi,Daire | 1+1 | 2. Kat | 70 m²,20.000 TL
Yunusemre - Muradiye Mahallesi,Daire | 1+1 | 1. Kat | 60 m²,12.000 TL
Yunusemre - Güzelyurt Mahallesi,Daire | 1+1 | 3. Kat | 75 m²,22.000 TL
Şehzadeler - Dilşikar Mahallesi,Daire | 1+1 | Yüksek giriş | 45 m²,12.000 TL
Yunusemre - Muradiye Mahallesi,Daire | 3+1 | 2. Kat | 145 m²,22.500 TL
Soma - Kurtuluş Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,20.500 TL
Alaşehir - İstasyon Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,15.000 TL
Yunusemre - Muradiye Mahallesi,Daire | 2+1 | Yüksek giriş | 85 m²,14.500 TL
Yunusemre - Muradiye Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,16.000 TL
Akhisar - Hürriyet Mahallesi,Daire | 2+1 | 4. Kat | 95 m²,10.000 TL
Alaşehir - Kurtuluş Mahallesi,Daire | 1+1 | 3. Kat | 50 m²,15.000 TL
Soma - Kurtuluş Mahallesi,Daire | 2+0 | 5. Kat | 75 m²,15.000 TL
Yunusemre - Karaali Mahallesi,Daire | 1+1 | 2. Kat | 75 m²,18.000 TL
Yunusemre - Muradiye Mahallesi,Daire | 1+1 | 3. Kat | 55 m²,25.000 TL
Şehzadeler - Mimar Sinan Mahallesi,Daire | 2+1 | 4. Kat | 90 m²,20.750 TL
Turgutlu - Subaşı Mahallesi,Daire | 3+1 | Kot 2 (-2). Kat | 120 m²,15.000 TL
Akhisar - Reşat Bey Mahallesi,Daire | 3+1 | 4. Kat | 135 m²,15.000 TL
Akhisar - Has Hoca Mahallesi,Daire | 3+1 | 3. Kat | 200 m²,20.000 TL
Soma - Turgutalp Mahallesi,Daire | 2+1 | 1. Kat | 110 m²,8.000 TL
Turgutlu - Altay Mahallesi,Daire | 1 Oda | 1. Kat | 60 m²,14.000 TL15.000 TL
Soma - Hürriyet Mahallesi,Daire | 1+1 | 2. Kat | 70 m²,13.000 TL
Alaşehir - İstasyon Mahallesi,Daire | 3+1 | 2. Kat | 155 m²,27.000 TL
Soma - Turgutalp Mahallesi,Daire | 3+1 | 5. Kat | 135 m²,16.500 TL
