location,information,sales_price
Edirne Merkez - 1. Murat Mahallesi,Daire | 1+1 | 2. Kat | 50 m²,15.000 TL
Edirne Merkez - Şükrüpaşa Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 55 m²,16.500 TL
Edirne Merkez - Yancıkçı Şahin Mahallesi,Daire | 2+1 | 5. Kat | 100 m²,20.000 TL
Edirne Merkez - Nişancıpaşa Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 100 m²,18.500 TL20.000 TL
Keşan - Aşağı Zaferiye Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,20.000 TL
Keşan - Büyük Cami Mahallesi,Daire | 3+1 | 2. Kat | 125 m²,20.000 TL
Edirne Merkez - Abdurrahman Mahallesi,Daire | 1+1 | 3. Kat | 55 m²,18.000 TL
Keşan - Yukarı Zaferiye Mahallesi,Daire | 3+1 | 2. Kat | 165 m²,30.000 TL
Edirne Merkez - Nişancıpaşa Mahallesi,Daire | 2+1 | 4. Kat | 110 m²,15.000 TL
Keşan - Yukarı Zaferiye Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,15.000 TL
Uzunköprü - Cumhuriyet Mahallesi,Daire | 2+0 | 3. Kat | 85 m²,16.000 TL
Keşan - İspat Cami Mahallesi,Daire | 3+1 | 3. Kat | 115 m²,20.000 TL
Edirne Merkez - Şükrüpaşa Mahallesi,Daire | 1+1 | 1. Kat | 45 m²,13.500 TL
Edirne Merkez - 1. Murat Mahallesi,Daire | 3+1 | 5. Kat | 120 m²,25.000 TL
Edirne Merkez - Şükrüpaşa Mahallesi,Daire | 1+1 | 4. Kat | 60 m²,19.500 TL
Havsa - Hacıisa Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,12.000 TL13.000 TL
Edirne Merkez - Şükrüpaşa Mahallesi,Daire | 2+1 | 1. Kat | 80 m²,22.000 TL
Edirne Merkez - Şükrüpaşa Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,15.000 TL
Edirne Merkez - Şükrüpaşa Mahallesi,Daire | 1+1 | 1. Kat | 50 m²,15.500 TL
Edirne Merkez - Mithat Paşa Mahallesi,Daire | 2+1 | Yüksek giriş | 119 m²,18.000 TL
Edirne Merkez - Barutluk Mahallesi,Daire | 1+1 | 4. Kat | 50 m²,18.000 TL
Edirne Merkez - Fatih Mahallesi,Daire | 3+1 | 5. Kat | 150 m²,24.000 TL26.000 TL
Edirne Merkez - Şükrüpaşa Mahallesi,Daire | 1+1 | 2. Kat | 45 m²,15.000 TL
Keşan - Yukarı Zaferiye Mahallesi,Daire | 2+1 | 3. Kat | 110 m²,20.000 TL
Edirne Merkez - Koca Sinan Mahallesi,Daire | 1+1 | 1. Kat | 185 m²,35.000 TL
Edirne Merkez - Şükrüpaşa Mahallesi,Daire | Stüdyo | 1. Kat | 40 m²,14.500 TL
Edirne Merkez - Şükrüpaşa Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,20.000 TL
Keşan - İspat Cami Mahallesi,Daire | 3+1 | 3. Kat | 125 m²,20.000 TL
Edirne Merkez - 1. Murat Mahallesi,Daire | 2+1 | 6. Kat | 80 m²,17.500 TL
Edirne Merkez - İstasyon Mahallesi,Daire | 3+1 | Yüksek giriş | 60 m²,17.500 TL
Edirne Merkez - Koca Sinan Mahallesi,Daire | Stüdyo | Düz Giriş (Zemin) | 40 m²,14.500 TL
Edirne Merkez - Şükrüpaşa Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,18.000 TL
Edirne Merkez - Şükrüpaşa Mahallesi,Daire | 1+1 | Kot 3 (-3). Kat | 55 m²,16.000 TL
Edirne Merkez - Şükrüpaşa Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,15.000 TL
Uzunköprü - Cumhuriyet Mahallesi,Daire | 2+1 | 3. Kat | 110 m²,15.000 TL
Edirne Merkez - Fatih Mahallesi,Daire | 3+1 | 3. Kat | 130 m²,28.000 TL30.000 TL
Uzunköprü - Cumhuriyet Mahallesi,Daire | 1+1 | Yüksek giriş | 55 m²,16.000 TL
Edirne Merkez - Şükrüpaşa Mahallesi,Daire | 1+1 | 4. Kat | 70 m²,17.000 TL
Keşan - Yukarı Zaferiye Mahallesi,Daire | 1+1 | 2. Kat | 45 m²,15.000 TL17.000 TL
Edirne Merkez - 1. Murat Mahallesi,Daire | 3+1 | 5. Kat | 130 m²,27.500 TL
Edirne Merkez - Şükrüpaşa Mahallesi,Daire | 1+1 | 3. Kat | 60 m²,17.500 TL
Keşan - Aşağı Zaferiye Mahallesi,Daire | 1+1 | Yüksek giriş | 45 m²,18.000 TL
Edirne Merkez - Abdurrahman Mahallesi,Daire | 2+0 | 1. Kat | 92 m²,24.000 TL
Edirne Merkez - Talatpaşa Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 100 m²,13.000 TL
Edirne Merkez - Şükrüpaşa Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,18.000 TL
Keşan - Erikli Köyü (Merkez Mevki Mahallesi),Daire | 4+1 | Villa tipi | 150 m²,300.000 TL
Keşan - Aşağı Zaferiye Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,18.000 TL
Keşan - Mecidiye Köyü (Cumhuriyet Mahallesi),Daire | 1+1 | Düz Giriş (Zemin) | 50 m²,27.500 TL
Edirne Merkez - Talatpaşa Mahallesi,Daire | 2+1 | Yüksek giriş | 100 m²,13.000 TL
Keşan - Yukarı Zaferiye Mahallesi,Daire | 1.5+1 | 3. Kat | 65 m²,18.000 TL
Keşan - Beğendik Bld. (Beykent Mahallesi),Daire | 3+1 | 1. Kat | 120 m²,13.000 TL
Edirne Merkez - Abdurrahman Mahallesi,Daire | 1+1 | Kot 3 (-3). Kat | 42 m²,25.000 TL
