location,information,sales_price
Kırklareli Merkez - Pınar Mahallesi,Daire | 1+1 | Yüksek giriş | 65 m²,15.500 TL
Lüleburgaz - Özerler Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 90 m²,19.000 TL
Kırklareli Merkez - Atatürk Mahallesi,Daire | 3+1 | Düz Giriş (Zemin) | 115 m²,24.500 TL
Kırklareli Merkez - Pınar Mahallesi,Daire | 2+0 | 2. Kat | 70 m²,21.000 TL
Lüleburgaz - Kocasinan Mahallesi,Daire | 2+1 | 2. Kat | 130 m²,18.000 TL
Kırklareli Merkez - Demirtaş Mahallesi,Daire | 1+1 | 2. Kat | 65 m²,17.000 TL
Lüleburgaz - Yeni Mahallesi,Daire | 3+1 | Yüksek giriş | 140 m²,21.000 TL24.000 TL
Lüleburgaz - Yıldırım Mahallesi,Daire | 2+1 | 5. Kat | 105 m²,18.000 TL
Kırklareli Merkez - Bademlik Mahallesi,Daire | 2+0 | 3. Kat | 65 m²,17.500 TL
Kırklareli Merkez - Karahıdır Mahallesi,Daire | 2+1 | Yüksek giriş | 105 m²,23.000 TL
Kırklareli Merkez - Karakaş Mahallesi,Daire | 2+1 | 1. Kat | 120 m²,18.000 TL20.000 TL
Kırklareli Merkez - Bademlik Mahallesi,Daire | 2+1 | 2. Kat | 105 m²,20.000 TL
Lüleburgaz - Dere Mahallesi,Daire | 3+1 | 2. Kat | 135 m²,16.750 TL
Lüleburgaz - Yeni Mahallesi,Daire | 1+1 | 2. Kat | 65 m²,25.000 TL
Kırklareli Merkez - Cumhuriyet Mahallesi,Daire | Stüdyo | 1. Kat | 30 m²,10.000 TL
Kırklareli Merkez - Karacaibrahim Mahallesi,Daire | 3+1 | 5. Kat | 140 m²,18.000 TL
Lüleburgaz - Yeni Mahallesi,Daire | 3+1 | Kot 4 (-4). Kat | 140 m²,23.000 TL25.000 TL
Kırklareli Merkez - Pınar Mahallesi,Daire | 1+1 | 2. Kat | 45 m²,14.500 TL
Lüleburgaz - Siteler Mahallesi,Daire | 3+1 | 4. Kat | 120 m²,20.000 TL
Lüleburgaz - Yeni Mahallesi,Daire | 3+1 | Kot 3 (-3). Kat | 140 m²,23.000 TL25.000 TL
Kırklareli Merkez - Karakaş Mahallesi,Daire | 2+1 | 5. Kat | 90 m²,15.000 TL
Kırklareli Merkez - Karakaş Mahallesi,Daire | 3+1 | 3. Kat | 145 m²,21.000 TL
Vize - Devlet Mahallesi,Daire | 2+1 | 3. Kat | 110 m²,18.000 TL
Kırklareli Merkez - Atatürk Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,17.000 TL
Kırklareli Merkez - Karakaş Mahallesi,Daire | 2+0 | 2. Kat | 60 m²,14.000 TL
Kırklareli Merkez - Cumhuriyet Mahallesi,Daire | 2+0 | 2. Kat | 55 m²,14.000 TL15.000 TL
Vize - Devlet Mahallesi,Daire | 3+1 | 2. Kat | 125 m²,15.000 TL
Vize - Evren Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 100 m²,17.500 TL
Vize - Devlet Mahallesi,Daire | 2+1 | 3. Kat | 105 m²,17.000 TL
Kırklareli Merkez - Atatürk Mahallesi,Daire | 2+1 | 3. Kat | 100 m²,25.000 TL
Lüleburgaz - Zafer Mahallesi,Daire | 3+1 | Bahçe katı | 130 m²,38.000 TL
Lüleburgaz - Kocasinan Mahallesi,Daire | 3+1 | 3. Kat | 130 m²,25.000 TL
Lüleburgaz - İstiklal Mahallesi,Daire | 3+1 | 3. Kat | 165 m²,60.000 TL
Lüleburgaz - Atatürk Mahallesi,Daire | 2+0 | Düz Giriş (Zemin) | 95 m²,22.000 TL
Kırklareli Merkez - Akalar Mahallesi,Daire | 2+1 | 2. Kat | 95 m²,13.000 TL
Lüleburgaz - İstiklal Mahallesi,Daire | 3+1 | 4. Kat | 140 m²,20.000 TL
Lüleburgaz - Zafer Mahallesi,Daire | 1+1 | 2. Kat | 75 m²,21.000 TL
Lüleburgaz - İnönü Mahallesi,Daire | 1+1 | 2. Kat | 65 m²,20.000 TL
Kırklareli Merkez - Karakaş Mahallesi,Daire | 4+1 | 4. Kat | 300 m²,30.000 TL
Lüleburgaz - Kurtuluş Mahallesi,Daire | 1+1 | 4. Kat | 60 m²,21.000 TL
Lüleburgaz - 8 Kasım Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,20.000 TL
Lüleburgaz - Yıldız Mahallesi,Daire | 2+1 | 3. Kat | 120 m²,20.000 TL
