location,information,sales_price
Şahinbey - Bülbülzade Mahallesi,Daire | 2+0 | 3. Kat | 75 m²,13.000 TL
Şahinbey - Beştepe Mahallesi,Daire | 2+0 | 3. Kat | 100 m²,12.000 TL
Şahinbey - Şahintepe Mahallesi,Daire | 1+1 | 2. Kat | 75 m²,8.499 TL
Şahinbey - Güneykent Mahallesi,Daire | 3+1 | 3. Kat | 165 m²,27.500 TL
Şahinbey - Akkent Mahallesi,Daire | 3+1 | 13. Kat | 170 m²,22.000 TL
Şahinbey - Yeditepe Mahallesi,Daire | 2+1 | 4. Kat | 115 m²,20.000 TL
Şahinbey - Mavikent Mahallesi,Daire | 2.5+1 | 9. Kat | 140 m²,28.000 TL
Şehitkamil - Göktürk Mahallesi,Daire | 3+1 | 4. Kat | 170 m²,23.500 TL
Şahinbey - Konak Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 110 m²,10.000 TL
Şahinbey - Güneykent Mahallesi,Daire | 3+1 | 1. Kat | 185 m²,22.000 TL
Şahinbey - Kavaklık Mahallesi,Daire | 1+1 | 5. Kat | 90 m²,10.500 TL
Şahinbey - Kavaklık Mahallesi,Daire | 1+1 | Bodrum Kat | 90 m²,12.000 TL
Şahinbey - Şahintepe Mahallesi,Daire | 2+1 | Bahçe katı | 105 m²,16.000 TL
Şahinbey - Şahintepe Mahallesi,Daire | 2+1 | 1. Kat | 130 m²,17.000 TL18.000 TL
Şehitkamil - Gazikent Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 70 m²,10.000 TL
Şahinbey - Kavaklık Mahallesi,Daire | 1+1 | Bodrum Kat | 90 m²,8.500 TL
Şahinbey - Kavaklık Mahallesi,Daire | 1+1 | 2. Kat | 90 m²,12.000 TL
Şehitkamil - Gazikent Mahallesi,Daire | 2+1 | 11. Kat | 130 m²,15.000 TL
Şahinbey - Deniz Mahallesi,Daire | 1+1 | Kot 2 (-2). Kat | 60 m²,12.000 TL
Şahinbey - Karataş Mahallesi,Daire | 2+1 | 9. Kat | 115 m²,15.499 TL
Şehitkamil - Karacaahmet Mahallesi,Daire | 3+1 | 5. Kat | 120 m²,3.590.000 TL
Şahinbey - Akyol Mahallesi,Daire | 2+1 | 3. Kat | 130 m²,13.000 TL
Şahinbey - Akkent Mahallesi,Daire | 2+1 | 13. Kat | 110 m²,19.500 TL
Şahinbey - Konak Mahallesi,Daire | 2+1 | Yüksek giriş | 110 m²,12.000 TL
Şahinbey - Ertuğrulgazi Mahallesi,Daire | 2.5+1 | 1. Kat | 145 m²,21.000 TL22.500 TL
