location,information,sales_price
Şehitkamil - Seyrantepe Mahallesi,Daire | 2+1 | 11. Kat | 110 m²,13.150 TL
Şehitkamil - Mücahitler Mahallesi,Daire | 2+1 | 3. Kat | 130 m²,30.750 TL
Şahinbey - Yeditepe Mahallesi,Daire | 1+1 | 7. Kat | 70 m²,15.000 TL
Şahinbey - Güneykent Mahallesi,Daire | 2+1 | 2. Kat | 75 m²,12.000 TL
Şehitkamil - Osmangazi Mahallesi,Daire | 5+1 | 3. Kat | 300 m²,60.000 TL
Şahinbey - Karataş Mahallesi,Daire | 2+1 | 2. Kat | 120 m²,21.000 TL
Şehitkamil - 15 Temmuz Mahallesi,Daire | 4+1 | 5. Kat | 296 m²,70.000 TL
Şehitkamil - Güvenevler Mahallesi,Daire | 4+1 | 1. Kat | 300 m²,35.000 TL
Şehitkamil - Karacaören Mahallesi,Daire | 2+1 | 5. Kat | 95 m²,7.500 TL
Şahinbey - Abdülhamit Han Mahallesi,Daire | 3+1 | 7. Kat | 175 m²,16.000 TL17.000 TL
Şehitkamil - Seyrantepe Mahallesi,Daire | 3+1 | 10. Kat | 150 m²,16.000 TL
Şahinbey - Beştepe Mahallesi,Daire | 2+1 | 3. Kat | 85 m²,9.000 TL10.000 TL
Şahinbey - Konak Mahallesi,Daire | 1+1 | 1. Kat | 60 m²,12.000 TL
Şahinbey - Güneykent Mahallesi,Daire | 2+0 | 3. Kat | 60 m²,10.000 TL
Şahinbey - Güneykent Mahallesi,Daire | 1+1 | 2. Kat | 50 m²,8.000 TL
Şahinbey - Beyazlar Mahallesi,Daire | 3+1 | 2. Kat | 130 m²,8.800 TL
Şahinbey - Güneykent Mahallesi,Daire | 3+1 | 4. Kat | 180 m²,15.000 TL
Şahinbey - 23 Nisan Mahallesi,Daire | 2+1 | 3. Kat | 130 m²,15.000 TL16.500 TL
Şahinbey - Yeditepe Mahallesi,Daire | 2+0 | 5. Kat | 50 m²,12.500 TL
Şehitkamil - Sacır Mahallesi,Daire | 2+1 | 1. Kat | 100 m²,10.500 TL
Şahinbey - Kolejtepe Mahallesi,Daire | 1+1 | Bahçe katı | 55 m²,4.100 TL
Şahinbey - 23 Nisan Mahallesi,Daire | 2+1 | Bahçe katı | 100 m²,13.000 TL
Şahinbey - Karataş Mahallesi,Daire | 3+1 | 6. Kat | 185 m²,3.100.000 TL
Şahinbey - Kavaklık Mahallesi,Daire | 2+1 | 2. Kat | 110 m²,12.000 TL
Şahinbey - Yeditepe Mahallesi,Daire | Stüdyo | 2. Kat | 60 m²,12.500 TL
Şehitkamil - Karacaahmet Mahallesi,Daire | 3+1 | 4. Kat | 175 m²,25.000 TL
Şahinbey - Konak Mahallesi,Daire | 2+1 | 3. Kat | 45 m²,12.000 TL14.000 TL
Şahinbey - Abdülhamit Han Mahallesi,Daire | 3+1 | 3. Kat | 155 m²,17.600 TL
Şehitkamil - Şirinevler Mahallesi,Daire | 2+1 | 10. Kat | 120 m²,14.000 TL
Şahinbey - Güneykent Mahallesi,Daire | 3+1 | 1. Kat | 140 m²,12.000 TL12.750 TL
Şehitkamil - Değirmiçem Mahallesi,Daire | 4+1 | 6. Kat | 270 m²,33.500 TL
Şahinbey - Karataş Mahallesi,Daire | 3+1 | 1. Kat | 180 m²,26.000 TL
Şehitkamil - Kayaönü Mahallesi,Daire | 3+1 | 2. Kat | 200 m²,8.500 TL
Şahinbey - Şahintepe Mahallesi,Daire | 3+1 | 7. Kat | 170 m²,21.500 TL24.999 TL
Şahinbey - Kolejtepe Mahallesi,Daire | 1+1 | Bahçe katı | 55 m²,4.100 TL4.750 TL
Şahinbey - Şahintepe Mahallesi,Daire | 3+1 | 1. Kat | 170 m²,27.000 TL
Şahinbey - Yeditepe Mahallesi,Daire | 1+1 | Yüksek giriş | 45 m²,12.000 TL14.000 TL
Şahinbey - Güneykent Mahallesi,Daire | 3+1 | 8. Kat | 135 m²,2.600.000 TL
Şahinbey - Güneykent Mahallesi,Daire | 2+1 | Bahçe katı | 110 m²,16.000 TL
Şahinbey - 23 Nisan Mahallesi,Daire | 2+0 | 2. Kat | 60 m²,15.000 TL16.000 TL
Şahinbey - Abdülhamit Han Mahallesi,Daire | 2+1 | 3. Kat | 95 m²,12.000 TL14.000 TL
Şahinbey - Deniz Mahallesi,Daire | 1+1 | 1. Kat | 60 m²,11.500 TL
Şahinbey - Güneykent Mahallesi,Daire | Stüdyo | 2. Kat | 40 m²,9.000 TL
Şahinbey - Güneykent Mahallesi,Daire | Stüdyo | Düz Giriş (Zemin) | 25 m²,6.000 TL
Şahinbey - Güneykent Mahallesi,Daire | 2+1 | 1. Kat | 60 m²,12.000 TL
Şehitkamil - Karacaahmet Mahallesi,Daire | 2+1 | 5. Kat | 130 m²,19.000 TL
Şahinbey - 23 Nisan Mahallesi,Daire | 2+1 | Yüksek giriş | 125 m²,9.500 TL
Şahinbey - Konak Mahallesi,Daire | 2+1 | 2. Kat | 135 m²,13.000 TL
Şahinbey - Binevler Mahallesi,Daire | 1 Oda | 2. Kat | 30 m²,8.000 TL
Şahinbey - Karataş Mahallesi,Daire | 2+1 | 6. Kat | 110 m²,22.750 TL
Şehitkamil - Seyrantepe Mahallesi,Daire | 3+1 | 7. Kat | 147 m²,14.000 TL
Şehitkamil - Mücahitler Mahallesi,Daire | 3+1 | 3. Kat | 175 m²,24.000 TL
Şahinbey - Beştepe Mahallesi,Daire | 3+1 | 5. Kat | 165 m²,18.500 TL
Şahinbey - Beştepe Mahallesi,Daire | 3+1 | 13. Kat | 175 m²,20.000 TL
Şahinbey - Şahintepe Mahallesi,Daire | 2+0 | 13. Kat | 75 m²,14.500 TL
Şahinbey - Beştepe Mahallesi,Daire | 2+1 | 3. Kat | 95 m²,14.500 TL
Şehitkamil - Değirmiçem Mahallesi,Daire | 4+1 | 8. Kat | 280 m²,26.000 TL
Şahinbey - Kolejtepe Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,17.500 TL
Şehitkamil - Pancarlı Mahallesi,Daire | 2+1 | 1. Kat | 120 m²,23.750 TL
Şahinbey - Binevler Mahallesi,Daire | 2+1 | 1. Kat | 100 m²,21.000 TL
Şahinbey - Mavikent Mahallesi,Daire | 2+1 | 4. Kat | 110 m²,14.000 TL
Şahinbey - Akkent Mahallesi,Daire | 2+1 | 9. Kat | 120 m²,20.000 TL
Şahinbey - Kavaklık Mahallesi,Daire | 1+1 | 1. Kat | 90 m²,13.000 TL
Şehitkamil - Güvenevler Mahallesi,Daire | 3+1 | 4. Kat | 220 m²,29.000 TL
Şahinbey - Bülbülzade Mahallesi,Daire | 2+1 | 3. Kat | 85 m²,13.500 TL
Şahinbey - Binevler Mahallesi,Daire | Stüdyo | Düz Giriş (Zemin) | 40 m²,7.500 TL
Şahinbey - Güneykent Mahallesi,Daire | 1+1 | 4. Kat | 40 m²,16.000 TL
Şahinbey - Binevler Mahallesi,Daire | Stüdyo | 4. Kat | 30 m²,10.000 TL
Şahinbey - Binevler Mahallesi,Daire | Stüdyo | Düz Giriş (Zemin) | 25 m²,7.500 TL
Şahinbey - Güneykent Mahallesi,Daire | 2+0 | 2. Kat | 60 m²,16.500 TL
Şahinbey - Beştepe Mahallesi,Daire | 2+1 | 3. Kat | 90 m²,15.000 TL
