location,information,sales_price
Avcılar - Merkez Mahallesi,Daire | 3+1 | 2. Kat | 140 m²,25.000 TL
Sarıyer - Maslak Mahallesi,Daire | 1+1 | 21. Kat | 78 m²,60.000 TL
Küçükçekmece - Kemalpaşa Mahallesi,Daire | 2+1 | 4. Kat | 115 m²,25.000 TL
Sultangazi - Cebeci Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,23.000 TL
Kadıköy - Osmanağa Mahallesi,Daire | 1 Oda | 5. Kat | 80 m²,6.500 TL
Sultangazi - Sultançiftliği Mahallesi,Daire | 3+1 | 6. Kat | 120 m²,28.000 TL
Sultangazi - Sultançiftliği Mahallesi,Daire | 2+1 | 3. Kat | 100 m²,21.000 TL
Ümraniye - Armağanevler Mahallesi,Daire | 3+1 | 4. Kat | 140 m²,37.000 TL
Ataşehir - İnönü Mahallesi,Daire | 2+1 | 4. Kat | 80 m²,24.000 TL
Tuzla - Mimar Sinan Mahallesi,Daire | 3+1 | 2. Kat | 110 m²,26.000 TL
Fatih - Mevlanakapı Mahallesi,Daire | 1+1 | Bodrum Kat | 55 m²,16.000 TL
Başakşehir - Güvercintepe Mahallesi,Daire | 2+1 | 7. Kat | 75 m²,22.000 TL
Maltepe - Bağlarbaşı Mahallesi,Daire | 3+1 | Bahçe katı | 120 m²,30.000 TL
Kartal - Yakacık Yeni Mahallesi,Daire | 3+1 | 16. Kat | 137 m²,50.000 TL
Gaziosmanpaşa - Şemsipaşa Mahallesi,Daire | 2+1 | Yüksek giriş | 79 m²,26.000 TL
Kadıköy - Merdivenköy Mahallesi,Daire | 2+1 | Yüksek giriş | 90 m²,34.000 TL
Küçükçekmece - Mehmet Akif Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 95 m²,15.000 TL
Pendik - Kurtköy Mahallesi,Daire | 1+1 | 5. Kat | 65 m²,29.000 TL
Şişli - Fulya Mahallesi,Daire | 1+1 | Bahçe dublex | 80 m²,16.000 TL
Bakırköy - Osmaniye Mahallesi,Daire | 2+1 | Bahçe katı | 90 m²,28.000 TL
Ümraniye - Yukarı Dudullu Mahallesi,Daire | 2+1 | 5. Kat | 90 m²,24.000 TL
Küçükçekmece - İstasyon Mahallesi,Daire | 2+1 | 1. Kat | 105 m²,36.000 TL
Avcılar - Mustafa Kemal Paşa Mahallesi,Daire | 2+1 | 4. Kat | 100 m²,28.000 TL
Bahçelievler - Bahçelievler Mahallesi,Daire | 4+1 | 1. Kat | 200 m²,79.000 TL
Esenyurt - Zafer Mahallesi,Daire | 2+1 | Bahçe katı | 90 m²,15.000 TL
Şişli - Teşvikiye Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,56.500 TL
Şişli - Meşrutiyet Mahallesi,Daire | 2+1 | 2. Kat | 70 m²,40.000 TL
Ümraniye - Site Mahallesi,Daire | 2+1 | 1. Kat | 100 m²,37.000 TL
Sancaktepe - Emek Mahallesi,Daire | 1+1 | 3. Kat | 70 m²,30.000 TL
Çekmeköy - Mehmet Akif Mahallesi,Daire | 1+1 | 4. Kat | 65 m²,18.500 TL
Küçükçekmece - Mehmet Akif Mahallesi,Daire | 1+1 | Yüksek giriş | 65 m²,18.000 TL
Maltepe - Cevizli Mahallesi,Daire | 2+1 | Yüksek giriş | 95 m²,26.000 TL
Arnavutköy - İslambey Mahallesi,Daire | 2+1 | 3. Kat | 90 m²,26.000 TL
Üsküdar - Bulgurlu Mahallesi,Daire | 2+1 | Yüksek giriş | 95 m²,38.000 TL
Sultangazi - Cebeci Mahallesi,Daire | 2+1 | 1. Kat | 95 m²,25.000 TL
Beykoz - Kavacık Mahallesi,Daire | 3+1 | 1. Kat | 120 m²,33.500 TL
Sultangazi - Sultançiftliği Mahallesi,Daire | 3+1 | 2. Kat | 110 m²,32.000 TL
Pendik - Dumlupınar Mahallesi,Daire | 2+1 | 2. Kat | 130 m²,34.950 TL
Esenyurt - Yeşilkent Mahallesi,Daire | 2+1 | Bahçe katı | 110 m²,12.000 TL
Şişli - Paşa Mahallesi,Daire | 3+2 | 4. Kat | 130 m²,49.000 TL
Üsküdar - Zeynep Kamil Mahallesi,Daire | 2+1 | 4. Kat | 90 m²,34.000 TL
Fatih - Silivrikapı Mahallesi,Daire | 2+1 | 1. Kat | 67 m²,20.000 TL
Fatih - Sümbül Efendi Mahallesi,Daire | 2+1 | 1. Kat | 77 m²,18.000 TL
Üsküdar - Altunizade Mahallesi,Daire | 3+1 | Düz Giriş (Zemin) | 110 m²,42.000 TL
Küçükçekmece - Atatürk Mahallesi,Daire | 3+1 | 5. Kat | 120 m²,16.000 TL
Esenyurt - Sultaniye Mahallesi,Daire | 1+1 | 12. Kat | 110 m²,14.000 TL15.000 TL
Bayrampaşa - Yıldırım Mahallesi,Daire | 2+1 | 3. Kat | 85 m²,35.000 TL
Ümraniye - Altınşehir Mahallesi,Daire | 2+1 | 2. Kat | 120 m²,28.000 TL
Esenyurt - Bağlarçeşme Mahallesi,Daire | 2+1 | Kot 3 (-3). Kat | 115 m²,18.000 TL
Ümraniye - Tepeüstü Mahallesi,Daire | 2.5+1 | 1. Kat | 125 m²,24.500 TL
Küçükçekmece - Kartaltepe Mahallesi,Daire | 2+1 | 2. Kat | 130 m²,25.000 TL
Sancaktepe - Osmangazi Mahallesi,Daire | 2+1 | 1. Kat | 80 m²,25.500 TL
Küçükçekmece - Kartaltepe Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,25.000 TL
Maltepe - Altayçeşme Mahallesi,Daire | 3+1 | 2. Kat | 125 m²,36.000 TL
Üsküdar - Çengelköy Mahallesi,Daire | 2+1 | 2. Kat | 70 m²,57.000 TL
Başakşehir - Bahçeşehir 2. Kısım Mahallesi,Daire | 3+1 | 5. Kat | 165 m²,50.000 TL
Çekmeköy - Merkez Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 75 m²,19.000 TL
Eyüpsultan - Göktürk Merkez Mahallesi,Daire | 2+1 | 2. Kat | 110 m²,72.000 TL
Fatih - Sümbül Efendi Mahallesi,Daire | 2+1 | 1. Kat | 77 m²,18.000 TL
Üsküdar - Altunizade Mahallesi,Daire | 3+1 | Düz Giriş (Zemin) | 110 m²,42.000 TL
Küçükçekmece - Atatürk Mahallesi,Daire | 3+1 | 5. Kat | 120 m²,16.000 TL
Esenyurt - Sultaniye Mahallesi,Daire | 1+1 | 12. Kat | 110 m²,14.000 TL15.000 TL
Bayrampaşa - Yıldırım Mahallesi,Daire | 2+1 | 3. Kat | 85 m²,35.000 TL
Ümraniye - Altınşehir Mahallesi,Daire | 2+1 | 2. Kat | 120 m²,28.000 TL
Esenyurt - Bağlarçeşme Mahallesi,Daire | 2+1 | Kot 3 (-3). Kat | 115 m²,18.000 TL
Ümraniye - Tepeüstü Mahallesi,Daire | 2.5+1 | 1. Kat | 125 m²,24.500 TL
Küçükçekmece - Kartaltepe Mahallesi,Daire | 2+1 | 2. Kat | 130 m²,25.000 TL
Sancaktepe - Osmangazi Mahallesi,Daire | 2+1 | 1. Kat | 80 m²,25.500 TL
Küçükçekmece - Kartaltepe Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,25.000 TL
Maltepe - Altayçeşme Mahallesi,Daire | 3+1 | 2. Kat | 125 m²,36.000 TL
Üsküdar - Çengelköy Mahallesi,Daire | 2+1 | 2. Kat | 70 m²,57.000 TL
Başakşehir - Bahçeşehir 2. Kısım Mahallesi,Daire | 3+1 | 5. Kat | 165 m²,50.000 TL
Çekmeköy - Merkez Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 75 m²,19.000 TL
Eyüpsultan - Göktürk Merkez Mahallesi,Daire | 2+1 | 2. Kat | 110 m²,72.000 TL
Çekmeköy - Mimar Sinan Mahallesi,Daire | 2+1 | 2. Kat | 85 m²,25.000 TL
Esenyurt - Turgut Özal Mahallesi,Daire | 1+1 | 10. Kat | 65 m²,20.000 TL
Gaziosmanpaşa - Sarıgöl Mahallesi,Daire | 4+1 | 5. Kat | 190 m²,48.000 TL
Kağıthane - Merkez Mahallesi,Daire | 2+1 | 1. Kat | 90 m²,40.000 TL
Esenyurt - Turgut Özal Mahallesi,Daire | 2+1 | 23. Kat | 145 m²,32.500 TL
Kağıthane - Telsizler Mahallesi,Daire | 1.5+1 | 3. Kat | 68 m²,30.000 TL
Arnavutköy - Karlıbayır Mahallesi,Daire | Stüdyo | Yüksek giriş | 100 m²,22.000 TL
Güngören - Mareşal Çakmak Mahallesi,Daire | 2+1 | 4. Kat | 85 m²,19.500 TL
Maltepe - Altıntepe Mahallesi,Daire | 4+1 | 4. Kat | 170 m²,55.000 TL
Pendik - Çamçeşme Mahallesi,Daire | 2+1 | 1. Kat | 110 m²,18.000 TL
Sarıyer - Yeniköy Mahallesi,Daire | 3+1 | 1. Kat | 135 m²,52.000 TL
Esenler - Fevzi Çakmak Mahallesi,Daire | 2+1 | 4. Kat | 105 m²,26.000 TL
Esenyurt - Süleymaniye Mahallesi,Daire | 1+1 | Bahçe katı | 110 m²,12.000 TL
Avcılar - Denizköşkler Mahallesi,Daire | 3+1 | 1. Kat | 180 m²,45.000 TL
Küçükçekmece - Kemalpaşa Mahallesi,Daire | 2+1 | 5. Kat | 75 m²,20.000 TL
Ataşehir - Örnek Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,37.000 TL
Küçükçekmece - Kanarya Mahallesi,Daire | 3+1 | 7. Kat | 125 m²,14.500 TL
Kağıthane - Harmantepe Mahallesi,Daire | 2+1 | 2. Kat | 65 m²,28.000 TL
Kağıthane - Harmantepe Mahallesi,Daire | 2+1 | 3. Kat | 65 m²,30.000 TL
Maltepe - Aydınevler Mahallesi,Daire | 1+1 | 4. Kat | 60 m²,36.000 TL
Maltepe - Aydınevler Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 36 m²,35.000 TL
Beşiktaş - Muradiye Mahallesi,Daire | 2+1 | Bahçe katı | 105 m²,30.000 TL
Sarıyer - Darüşşafaka Mahallesi,Daire | 3+1 | 3. Kat | 120 m²,80.000 TL
Küçükçekmece - Kemalpaşa Mahallesi,Daire | 2+1 | 5. Kat | 75 m²,20.000 TL
Küçükçekmece - Halkalı Merkez Mahallesi,Daire | 1+1 | Bahçe katı | 60 m²,17.500 TL
Küçükçekmece - Atakent Mahallesi,Daire | 2+1 | 7. Kat | 84 m²,36.000 TL
Kadıköy - Osmanağa Mahallesi,Daire | 1+1 | 2. Kat | 40 m²,25.000 TL
Ataşehir - Kayışdağı Mahallesi,Daire | Stüdyo | 3. Kat | 30 m²,17.000 TL
Ataşehir - Kayışdağı Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 450 m²,22.000 TL
Gaziosmanpaşa - Merkez Mahallesi,Daire | 2+1 | 1. Kat | 65 m²,15.500 TL
Pendik - Yenişehir Mahallesi,Daire | 2+1 | 6. Kat | 75 m²,24.750 TL
Pendik - Yenişehir Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,30.000 TL
Sultanbeyli - Hasanpaşa Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,19.500 TL
Pendik - Yenişehir Mahallesi,Daire | 1+1 | 5. Kat | 100 m²,37.500 TL
Esenyurt - Mehmet Akif Ersoy Mahallesi,Daire | 2+1 | 1. Kat | 100 m²,20.000 TL
Pendik - Batı Mahallesi,Daire | 3+2 | 6. Kat | 180 m²,55.000 TL
Kağıthane - Sultan Selim Mahallesi,Daire | 2+1 | 2. Kat | 80 m²,24.000 TL
Ataşehir - Küçükbakkalköy Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,55.000 TL
Maltepe - Fındıklı Mahallesi,Daire | 1+1 | Çatı katı | 55 m²,30.000 TL
Güngören - Merkez Mahallesi,Daire | 6+2 | 3. Kat | 250 m²,60.000 TL
Sancaktepe - Atatürk Mahallesi,Daire | 3+1 | Bahçe katı | 142 m²,55.000 TL
Sultanbeyli - Adil Mahallesi,Daire | 1+1 | 3. Kat | 48 m²,22.000 TL
Bahçelievler - Soğanlı Mahallesi,Daire | 3+1 | Yüksek giriş | 120 m²,33.000 TL
Büyükçekmece - Atatürk Mahallesi,Daire | 3+2 | 5. Kat | 250 m²,55.000 TL
Başakşehir - Kayabaşı Mahallesi,Daire | 3+1 | 4. Kat | 135 m²,50.000 TL
Eyüpsultan - Silahtarağa Mahallesi,Daire | 1+1 | 6. Kat | 60 m²,26.000 TL
Bağcılar - Mahmutbey Mahallesi,Daire | Stüdyo | 14. Kat | 55 m²,28.500 TL
Başakşehir - Başakşehir Mahallesi,Daire | 3+1 | 2. Kat | 170 m²,48.000 TL
Çekmeköy - Mehmet Akif Mahallesi,Daire | 3+2 | 3. Kat | 220 m²,45.000 TL
Esenyurt - İstiklal Mahallesi,Daire | 2+1 | Bahçe katı | 110 m²,12.000 TL
Ataşehir - İnönü Mahallesi,Daire | 1+1 | Bahçe katı | 42 m²,25.750 TL
Ataşehir - Kayışdağı Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 76 m²,32.000 TL
Sultangazi - Eski Habipler Mahallesi,Daire | 3+1 | 8. Kat | 150 m²,45.000 TL
Fatih - Molla Gürani Mahallesi,Daire | 3+1 | 1. Kat | 165 m²,54.000 TL
Beyoğlu - Kadımehmet Efendi Mahallesi,Daire | 2+1 | 3. Kat | 80 m²,20.000 TL
Arnavutköy - Mavigöl Mahallesi,Daire | 2+1 | 2. Kat | 95 m²,28.000 TL
Arnavutköy - Bolluca Mahallesi,Daire | 1+1 | Yüksek giriş | 65 m²,16.000 TL
Beylikdüzü - Marmara Mahallesi,Daire | 2+1 | 2. Kat | 95 m²,35.000 TL
Esenler - Tuna Mahallesi,Daire | 2+1 | 5. Kat | 95 m²,30.000 TL
Avcılar - Denizköşkler Mahallesi,Daire | 2+1 | 1. Kat | 90 m²,32.000 TL
Esenler - Fevzi Çakmak Mahallesi,Daire | 3+1 | 1. Kat | 95 m²,34.950 TL
