location,information,sales_price
Sultanbeyli - Adil Mahallesi,Daire | 2+1 | 1. Kat | 90 m²,28.000 TL
Başakşehir - Bahçeşehir 2. Kısım Mahallesi,Daire | 6+1 | 14. Kat | 210 m²,35.000 TL
Avcılar - Mustafa Kemal Paşa Mahallesi,Daire | 2+1 | 2. Kat | 95 m²,23.000 TL
Başakşehir - Bahçeşehir 2. Kısım Mahallesi,Daire | 3+1 | 13. Kat | 135 m²,25.000 TL
Bağcılar - Mahmutbey Mahallesi,Daire | 2+1 | 25. Kat | 106 m²,44.000 TL
Pendik - Velibaba Mahallesi,Daire | 3+1 | 4. Kat | 120 m²,25.000 TL
Beşiktaş - Balmumcu Mahallesi,Daire | 3+1 | 1. Kat | 130 m²,155.000 TL
Sancaktepe - Atatürk Mahallesi,Daire | 3+1 | 2. Kat | 125 m²,21.000 TL
Ümraniye - İstiklal Mahallesi,Daire | 2+1 | 11. Kat | 85 m²,41.000 TL
Küçükçekmece - Atakent Mahallesi,Daire | 2+1 | 5. Kat | 134 m²,63.000 TL
Ataşehir - Küçükbakkalköy Mahallesi,Daire | Stüdyo | 9. Kat | 40 m²,26.000 TL
Şişli - Gülbahar Mahallesi,Daire | 1 Oda | Kot 2 (-2). Kat | 40 m²,16.000 TL
Küçükçekmece - Atatürk Mahallesi,Daire | 2+1 | 1. Kat | 85 m²,16.000 TL
Eyüpsultan - Göktürk Merkez Mahallesi,Daire | 1+1 | 1. Kat | 80 m²,48.000 TL
Esenyurt - Turgut Özal Mahallesi,Daire | 2+1 | 3. Kat | 100 m²,22.000 TL
Tuzla - Şifa Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,22.500 TL
Şile - Çavuş Mahallesi,Daire | 2+1 | Kot 2 (-2). Kat | 85 m²,25.000 TL
Esenyurt - Mehmet Akif Ersoy Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,25.000 TL
Başakşehir - Altınşehir Mahallesi,Daire | 2+1 | 3. Kat | 100 m²,15.500 TL
Esenyurt - Yeşilkent Mahallesi,Daire | 1+1 | 19. Kat | 85 m²,15.000 TL
Esenyurt - Piri Reis Mahallesi,Daire | 3+1 | 9. Kat | 135 m²,35.000 TL
Kartal - Uğur Mumcu Mahallesi,Daire | 3+1 | Yüksek giriş | 130 m²,24.000 TL
Pendik - Bahçelievler Mahallesi,Daire | 3+1 | 2. Kat | 125 m²,34.000 TL
Pendik - Yeşilbağlar Mahallesi,Daire | 3+1 | 3. Kat | 100 m²,32.000 TL
Kadıköy - Caddebostan Mahallesi,Daire | 3+1 | 10. Kat | 145 m²,135.000 TL
Sancaktepe - Eyüp Sultan Mahallesi,Daire | 1+1 | 5. Kat | 70 m²,29.000 TL
Esenler - Fevzi Çakmak Mahallesi,Daire | 1+1 | 6. Kat | 90 m²,38.000 TL
Kadıköy - Göztepe Mahallesi,Daire | 4+1 | 6. Kat | 200 m²,75.000 TL
Bayrampaşa - Orta Mahallesi,Daire | 1+1 | 2. Kat | 65 m²,19.500 TL
Bayrampaşa - Orta Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 80 m²,24.500 TL
Bayrampaşa - Altıntepsi Mahallesi,Daire | 2+1 | Yüksek giriş | 90 m²,28.500 TL
Arnavutköy - Anadolu Mahallesi,Daire | 2+1 | Çatı katı | 90 m²,22.000 TL
Ataşehir - Aşıkveysel Mahallesi,Daire | 3+1 | 1. Kat | 145 m²,32.000 TL
Beyoğlu - Kadımehmet Efendi Mahallesi,Daire | 2+1 | 5. Kat | 130 m²,30.500 TL
Beşiktaş - Sinanpaşa Mahallesi,Daire | 2+1 | 2. Kat | 80 m²,40.000 TL
Bayrampaşa - Altıntepsi Mahallesi,Daire | 1+1 | 3. Kat | 50 m²,18.000 TL
Bahçelievler - Yenibosna Merkez Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 90 m²,20.000 TL
Sultangazi - Cebeci Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,23.000 TL
Kadıköy - Dumlupınar Mahallesi,Daire | 2+1 | 7. Kat | 96 m²,50.000 TL
Fatih - Hırka-i Şerif Mahallesi,Daire | 2+1 | 4. Kat | 85 m²,45.000 TL
Sancaktepe - Osmangazi Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 90 m²,14.000 TL
Ataşehir - Barbaros Mahallesi,Daire | 2+1 | 3. Kat | 85 m²,23.500 TL
Büyükçekmece - Güzelce Mahallesi,Daire | 3+1 | Çatı katı | 170 m²,55.000 TL
Avcılar - Üniversite Mahallesi,Daire | 1+1 | 8. Kat | 60 m²,32.000 TL
Beykoz - Kavacık Mahallesi,Daire | 2+1 | 7. Kat | 130 m²,48.000 TL
Kadıköy - Dumlupınar Mahallesi,Daire | 3+1 | 5. Kat | 130 m²,43.000 TL
Çekmeköy - Alemdağ Mahallesi,Daire | 2+1 | Yüksek giriş | 76 m²,35.000 TL
Beykoz - Yavuz Selim Mahallesi,Daire | 3+1 | Yüksek giriş | 100 m²,19.500 TL
Beykoz - Kavacık Mahallesi,Daire | Stüdyo | 2. Kat | 50 m²,37.500 TL
Kartal - Orhantepe Mahallesi,Daire | 2+1 | Bodrum Kat | 70 m²,17.500 TL
Kartal - Orhantepe Mahallesi,Daire | 3+1 | 2. Kat | 125 m²,30.000 TL
Sancaktepe - Emek Mahallesi,Daire | 1+1 | 1. Kat | 70 m²,28.000 TL
Üsküdar - Valide-i Atik Mahallesi,Daire | 2+1 | 3. Kat | 95 m²,29.000 TL
Üsküdar - Valide-i Atik Mahallesi,Daire | 2+1 | 1. Kat | 75 m²,30.000 TL
Maltepe - Zümrütevler Mahallesi,Daire | 3+1 | 3. Kat | 120 m²,29.000 TL
Tuzla - İçmeler Mahallesi,Daire | 3+1 | 1. Kat | 120 m²,31.500 TL
Eyüpsultan - Emniyettepe Mahallesi,Daire | 2+1 | 5. Kat | 85 m²,36.000 TL
Beşiktaş - Cihannüma Mahallesi,Daire | 1+1 | 1. Kat | 50 m²,40.000 TL
Şişli - Gülbahar Mahallesi,Daire | 3+1 | 1. Kat | 125 m²,30.000 TL
Kadıköy - Dumlupınar Mahallesi,Daire | 3+1 | 5. Kat | 130 m²,43.000 TL
Çekmeköy - Alemdağ Mahallesi,Daire | 2+1 | Yüksek giriş | 76 m²,35.000 TL
Beykoz - Yavuz Selim Mahallesi,Daire | 3+1 | Yüksek giriş | 100 m²,19.500 TL
Beykoz - Kavacık Mahallesi,Daire | Stüdyo | 2. Kat | 50 m²,37.500 TL
Kartal - Orhantepe Mahallesi,Daire | 2+1 | Bodrum Kat | 70 m²,17.500 TL
Kartal - Orhantepe Mahallesi,Daire | 3+1 | 2. Kat | 125 m²,30.000 TL
Sancaktepe - Emek Mahallesi,Daire | 1+1 | 1. Kat | 70 m²,28.000 TL
Üsküdar - Valide-i Atik Mahallesi,Daire | 2+1 | 3. Kat | 95 m²,29.000 TL
Üsküdar - Valide-i Atik Mahallesi,Daire | 2+1 | 1. Kat | 75 m²,30.000 TL
Maltepe - Zümrütevler Mahallesi,Daire | 3+1 | 3. Kat | 120 m²,29.000 TL
Tuzla - İçmeler Mahallesi,Daire | 3+1 | 1. Kat | 120 m²,31.500 TL
Eyüpsultan - Emniyettepe Mahallesi,Daire | 2+1 | 5. Kat | 85 m²,36.000 TL
Beşiktaş - Cihannüma Mahallesi,Daire | 1+1 | 1. Kat | 50 m²,40.000 TL
Şişli - Gülbahar Mahallesi,Daire | 3+1 | 1. Kat | 125 m²,30.000 TL
Ümraniye - Armağanevler Mahallesi,Daire | 1+1 | Bahçe katı | 70 m²,28.000 TL
Bahçelievler - Şirinevler Mahallesi,Daire | 1+1 | 3. Kat | 90 m²,23.000 TL
Beylikdüzü - Marmara Mahallesi,Daire | 2+1 | 8. Kat | 90 m²,27.000 TL
Şişli - 19 Mayıs Mahallesi,Daire | 2+1 | Kot 3 (-3). Kat | 95 m²,30.000 TL
Küçükçekmece - İnönü Mahallesi,Daire | 2+1 | 1. Kat | 70 m²,38.000 TL
Beyoğlu - Hacımimi Mahallesi,Daire | 2.5+1 | Bahçe katı | 100 m²,80.000 TL
Kağıthane - Hamidiye Mahallesi,Daire | Stüdyo | 8. Kat | 31 m²,39.000 TL
Kağıthane - Hamidiye Mahallesi,Daire | 1+1 | 10. Kat | 62 m²,50.000 TL
Bakırköy - Şenlikköy Mahallesi,Daire | 4+1 | 1. Kat | 550 m²,160.000 TL
Şişli - Mecidiyeköy Mahallesi,Daire | Stüdyo | Düz Giriş (Zemin) | 35 m²,21.500 TL
Şişli - Kuştepe Mahallesi,Daire | 2+1 | 2. Kat | 60 m²,34.500 TL
Kağıthane - Çağlayan Mahallesi,Daire | 2+1 | 1. Kat | 80 m²,30.000 TL
Zeytinburnu - Seyitnizam Mahallesi,Daire | 2+1 | 3. Kat | 80 m²,18.000 TL
Gaziosmanpaşa - Mevlana Mahallesi,Daire | 3+1 | 3. Kat | 120 m²,25.000 TL
Beylikdüzü - Dereağzı Mahallesi,Daire | 4+2 | 5. Kat | 165 m²,36.000 TL
Beylikdüzü - Adnan Kahveci Mahallesi,Daire | 3+1 | 4. Kat | 130 m²,28.000 TL
Esenyurt - Turgut Özal Mahallesi,Daire | 2+1 | 3. Kat | 90 m²,20.000 TL
Tuzla - Aydınlı Mahallesi,Daire | 3+1 | Düz Giriş (Zemin) | 105 m²,26.000 TL
Beşiktaş - Ortaköy Mahallesi,Daire | 3.5+1 | 2. Kat | 160 m²,245.000 TL
Beşiktaş - Kuruçeşme Mahallesi,Daire | 3+1 | 3. Kat | 160 m²,260.000 TL
Esenyurt - Namık Kemal Mahallesi,Daire | 2+1 | 14. Kat | 142 m²,60.000 TL
Zeytinburnu - Seyitnizam Mahallesi,Daire | 3+1 | 6. Kat | 165 m²,80.000 TL
Sarıyer - Sarıyer Merkez Mahallesi,Daire | 2+1 | 4. Kat | 85 m²,90.000 TL
Kartal - Soğanlık Yeni Mahallesi,Daire | 2+1 | 4. Kat | 80 m²,21.000 TL
Arnavutköy - Hadımköy Mahallesi,Daire | 3+1 | 3. Kat | 120 m²,24.000 TL
Pendik - Kurtköy Mahallesi,Daire | 2+1 | 6. Kat | 121 m²,40.000 TL
Pendik - Orhangazi Mahallesi,Daire | 2+1 | 2. Kat | 103 m²,28.500 TL
Bağcılar - 15 Temmuz Mahallesi,Daire | 2+1 | 8. Kat | 130 m²,45.000 TL
Kağıthane - Merkez Mahallesi,Daire | 1+1 | 8. Kat | 55 m²,37.000 TL
Sarıyer - Ayazağa Mahallesi,Daire | 2+1 | 7. Kat | 100 m²,50.000 TL
Sarıyer - Ayazağa Mahallesi,Daire | 2+1 | 10. Kat | 130 m²,47.000 TL
Pendik - Şeyhli Mahallesi,Daire | 2+1 | 5. Kat | 90 m²,28.000 TL
Pendik - Fevzi Çakmak Mahallesi,Daire | 2+1 | 3. Kat | 100 m²,35.000 TL
Bahçelievler - Yenibosna Merkez Mahallesi,Daire | 3+1 | 4. Kat | 140 m²,63.000 TL
Pendik - Kavakpınar Mahallesi,Daire | 2+1 | 3. Kat | 90 m²,27.800 TL
Ümraniye - İstiklal Mahallesi,Daire | 3+1 | Yüksek giriş | 110 m²,35.000 TL
Küçükçekmece - Mehmet Akif Mahallesi,Daire | 3+1 | 6. Kat | 140 m²,15.000 TL
Beylikdüzü - Adnan Kahveci Mahallesi,Daire | 1+1 | 8. Kat | 84 m²,28.000 TL
Pendik - Yenişehir Mahallesi,Daire | 1.5+1 | Bahçe katı | 65 m²,32.000 TL
Büyükçekmece - Atatürk Mahallesi,Daire | 2+1 | 3. Kat | 110 m²,21.000 TL
Ataşehir - İçerenköy Mahallesi,Daire | 2+1 | Bahçe katı | 100 m²,30.750 TL
Maltepe - Fındıklı Mahallesi,Daire | 2+1 | Çatı katı | 70 m²,27.000 TL
Ataşehir - Örnek Mahallesi,Daire | 2+1 | Yüksek giriş | 85 m²,37.000 TL
Tuzla - Cami Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,35.000 TL
Esenyurt - Barbaros Hayrettin Paşa Mahallesi,Daire | Stüdyo | 12. Kat | 25 m²,9.500 TL
Esenyurt - Cumhuriyet Mahallesi,Daire | 2+1 | 6. Kat | 90 m²,25.000 TL
Kağıthane - Gürsel Mahallesi,Daire | 2+1 | 3. Kat | 85 m²,28.000 TL
Kağıthane - Talatpaşa Mahallesi,Daire | 3+1 | 2. Kat | 155 m²,48.000 TL
Kağıthane - Talatpaşa Mahallesi,Daire | 2+1 | 1. Kat | 75 m²,30.500 TL
Sultangazi - 75. Yıl Mahallesi,Daire | 2+1 | 3. Kat | 90 m²,21.000 TL
Üsküdar - Bahçelievler Mahallesi,Daire | 3+2 | Bahçe katı | 250 m²,99.000 TL
Gaziosmanpaşa - Barbaros Hayrettinpaşa Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 75 m²,15.000 TL
Sancaktepe - Akpınar Mahallesi,Daire | 3+1 | 2. Kat | 120 m²,27.000 TL
Silivri - Piri Mehmet Paşa Mahallesi,Daire | 2+1 | 2. Kat | 95 m²,20.000 TL
Sarıyer - Ferahevler Mahallesi,Daire | 1+1 | Bahçe katı | 70 m²,15.000 TL
Sarıyer - Ferahevler Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,35.000 TL
Ataşehir - Kayışdağı Mahallesi,Daire | 2+1 | 3. Kat | 70 m²,29.000 TL
Ataşehir - İnönü Mahallesi,Daire | 2+1 | Yüksek giriş | 75 m²,31.000 TL
Ataşehir - Kayışdağı Mahallesi,Daire | 2+1 | 2. Kat | 85 m²,40.000 TL
Maltepe - Fındıklı Mahallesi,Daire | 1+1 | Çatı katı | 65 m²,26.000 TL
Bayrampaşa - Kartaltepe Mahallesi,Daire | 2+1 | Çatı katı | 90 m²,27.000 TL
Beşiktaş - Mecidiye Mahallesi,Daire | 2+1 | 2. Kat | 85 m²,42.000 TL
Beşiktaş - Mecidiye Mahallesi,Daire | 2+1 | 2. Kat | 75 m²,42.000 TL
Beşiktaş - Ortaköy Mahallesi,Daire | 2+1 | Yüksek giriş | 100 m²,35.000 TL
Küçükçekmece - Kanarya Mahallesi,Daire | 3+1 | 5. Kat | 130 m²,36.000 TL
Küçükçekmece - Yeşilova Mahallesi,Daire | 2+1 | 4. Kat | 95 m²,32.000 TL
Tuzla - Postane Mahallesi,Daire | 4+2 | 3. Kat | 200 m²,70.000 TL
Tuzla - Yayla Mahallesi,Daire | 4+1 | 11. Kat | 122 m²,49.000 TL
Tuzla - Yayla Mahallesi,Daire | 3+1 | 3. Kat | 120 m²,40.000 TL
Kadıköy - Caferağa Mahallesi,Daire | 3+1 | 2. Kat | 165 m²,63.000 TL
Bakırköy - Ataköy 7-8-9-10. Kısım Mahallesi,Daire | 1+1 | 13. Kat | 55 m²,37.500 TL
Bakırköy - Ataköy 2-5-6. Kısım Mahallesi,Daire | 5+1 | 8. Kat | 300 m²,275.000 TL
Bakırköy - Ataköy 7-8-9-10. Kısım Mahallesi,Daire | 1+1 | 12. Kat | 55 m²,40.000 TL
Başakşehir - Kayabaşı Mahallesi,Daire | 1+1 | 1. Kat | 70 m²,35.000 TL
Kadıköy - Suadiye Mahallesi,Daire | 3+1 | Yüksek giriş | 150 m²,70.000 TL
Başakşehir - Başak Mahallesi,Daire | 3+1 | 2. Kat | 150 m²,36.000 TL
Şişli - Eskişehir Mahallesi,Daire | 1+1 | 3. Kat | 665 m²,27.000 TL
Beylikdüzü - Adnan Kahveci Mahallesi,Daire | 2+1 | 6. Kat | 115 m²,45.000 TL
Kağıthane - Merkez Mahallesi,Daire | 2+1 | Kot 2 (-2). Kat | 75 m²,29.000 TL
Sultanbeyli - Mimar Sinan Mahallesi,Daire | 2+1 | Bahçe dublex | 105 m²,20.000 TL
Şişli - Mecidiyeköy Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 90 m²,37.500 TL
Beyoğlu - Çukur Mahallesi,Daire | 1+1 | 1. Kat | 50 m²,7.500 TL
Eyüpsultan - Rami Cuma Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 70 m²,24.000 TL
Arnavutköy - Yunus Emre Mahallesi,Daire | 2+1 | Yüksek giriş | 95 m²,25.000 TL
Beykoz - Görele Mahallesi,Daire | 3+1 | 2. Kat | 190 m²,55.000 TL
Arnavutköy - Tayakadın Mahallesi,Daire | 6+3 | Müstakil | 130 m²,80.000 TL
Kartal - Yakacık Çarşı Mahallesi,Daire | 2+1 | 4. Kat | 82 m²,23.500 TL
Ataşehir - Esatpaşa Mahallesi,Daire | 3+1 | 1. Kat | 90 m²,35.000 TL
Sultangazi - Yunus Emre Mahallesi,Daire | 1+1 | 12. Kat | 75 m²,38.000 TL
Maltepe - Altayçeşme Mahallesi,Daire | 4+1 | 4. Kat | 140 m²,48.000 TL
Eyüpsultan - Rami Cuma Mahallesi,Daire | 2+1 | 2. Kat | 75 m²,38.500 TL
Esenler - Kemer Mahallesi,Daire | 2+1 | 5. Kat | 115 m²,45.000 TL
Bağcılar - 15 Temmuz Mahallesi,Daire | Stüdyo | 5. Kat | 45 m²,20.500 TL
Küçükçekmece - Halkalı Merkez Mahallesi,Daire | 2+1 | 1. Kat | 100 m²,25.000 TL
Ataşehir - İnönü Mahallesi,Daire | 2+1 | 1. Kat | 80 m²,32.500 TL
Bahçelievler - Yenibosna Merkez Mahallesi,Daire | 2+1 | 2. Kat | 95 m²,35.000 TL
Başakşehir - Bahçeşehir 1. Kısım Mahallesi,Daire | 3+1 | 12. Kat | 155 m²,54.000 TL
Bakırköy - Yenimahalle Mahallesi,Daire | 3+1 | 4. Kat | 145 m²,35.000 TL
Avcılar - Denizköşkler Mahallesi,Daire | 2+1 | Bahçe katı | 85 m²,21.000 TL
Avcılar - Mustafa Kemal Paşa Mahallesi,Daire | 2+1 | Bahçe katı | 100 m²,25.000 TL
Fatih - Sümbül Efendi Mahallesi,Daire | 2+1 | Bahçe katı | 85 m²,23.000 TL
Zeytinburnu - Yeşiltepe Mahallesi,Daire | 4+1 | 3. Kat | 170 m²,60.000 TL
Kadıköy - Kozyatağı Mahallesi,Daire | 2+1 | 5. Kat | 80 m²,60.000 TL
Kadıköy - Bostancı Mahallesi,Daire | 3+1 | 10. Kat | 120 m²,76.000 TL
Çekmeköy - Cumhuriyet Mahallesi,Daire | 2+1 | 4. Kat | 90 m²,30.000 TL
Beykoz - Acarlar Mahallesi,Daire | 2+1 | 2. Kat | 130 m²,100.000 TL
Esenyurt - Üçevler Mahallesi,Daire | 2+1 | 3. Kat | 90 m²,20.000 TL
Fatih - Hırka-i Şerif Mahallesi,Daire | 1+1 | 3. Kat | 50 m²,14.000 TL
Sancaktepe - Veysel Karani Mahallesi,Daire | 3+1 | 8. Kat | 164 m²,85.000 TL
Beykoz - Kavacık Mahallesi,Daire | 3+1 | 3. Kat | 125 m²,36.000 TL
Kadıköy - Göztepe Mahallesi,Daire | 3+1 | 3. Kat | 145 m²,78.000 TL
Ümraniye - Çakmak Mahallesi,Daire | 2+1 | Bahçe katı | 79 m²,30.000 TL
Ümraniye - Çamlık Mahallesi,Daire | 3+1 | 3. Kat | 135 m²,35.500 TL
Beylikdüzü - Kavaklı Mahallesi,Daire | 2+1 | 3. Kat | 160 m²,35.000 TL
Küçükçekmece - İstasyon Mahallesi,Daire | 3+1 | 3. Kat | 106 m²,33.000 TL
Küçükçekmece - Atakent Mahallesi,Daire | 1+1 | 10. Kat | 47 m²,25.500 TL
Esenyurt - Yenikent Mahallesi,Daire | 2+1 | Yüksek giriş | 95 m²,13.000 TL
Avcılar - Üniversite Mahallesi,Daire | 2+1 | 3. Kat | 100 m²,25.000 TL
Büyükçekmece - Cumhuriyet Mahallesi,Daire | 2+1 | 11. Kat | 800 m²,35.000 TL
Büyükçekmece - Murat Çeşme Mahallesi,Daire | 3+2 | 3. Kat | 160 m²,40.000 TL
Küçükçekmece - Halkalı Merkez Mahallesi,Daire | 1+1 | 5. Kat | 63 m²,31.000 TL
Kartal - Yakacık Çarşı Mahallesi,Daire | 2+2 | 6. Kat | 158 m²,36.000 TL
Sarıyer - Zekeriyaköy Mahallesi,Daire | 1+1 | Kot 2 (-2). Kat | 80 m²,50.000 TL
Sarıyer - Büyükdere Mahallesi,Daire | 2+1 | Bahçe katı | 130 m²,55.000 TL
Kartal - Yakacık Yeni Mahallesi,Daire | 2+1 | 4. Kat | 90 m²,23.000 TL
Pendik - Çınardere Mahallesi,Daire | 2+1 | 5. Kat | 92 m²,25.500 TL
Sancaktepe - Fatih Mahallesi,Daire | 2+1 | Yüksek giriş | 75 m²,19.000 TL
Kartal - Gümüşpınar Mahallesi,Daire | 2+1 | 3. Kat | 90 m²,31.000 TL
Üsküdar - Mimar Sinan Mahallesi,Daire | 2+1 | Bahçe katı | 80 m²,35.000 TL
Üsküdar - Valide-i Atik Mahallesi,Daire | 3+1 | 4. Kat | 100 m²,30.000 TL35.000 TL
Başakşehir - Kayabaşı Mahallesi,Daire | 2+1 | 13. Kat | 75 m²,27.000 TL
Başakşehir - Başakşehir Mahallesi,Daire | 1+1 | 18. Kat | 70 m²,30.000 TL
Sultanbeyli - Adil Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 90 m²,16.000 TL
Maltepe - Bağlarbaşı Mahallesi,Daire | 3+1 | 2. Kat | 100 m²,45.000 TL
Sarıyer - Ayazağa Mahallesi,Daire | 1+1 | 4. Kat | 81 m²,55.000 TL
Sarıyer - Maslak Mahallesi,Daire | 2+1 | 10. Kat | 120 m²,85.000 TL
Sarıyer - Maslak Mahallesi,Daire | 3+1 | 5. Kat | 177 m²,70.000 TL
Sarıyer - Maslak Mahallesi,Daire | 1+1 | 21. Kat | 84 m²,47.000 TL
Sarıyer - Maslak Mahallesi,Daire | Stüdyo | 7. Kat | 65 m²,40.000 TL
Sarıyer - Maslak Mahallesi,Daire | 2+1 | 21. Kat | 135 m²,67.000 TL
Sarıyer - Maslak Mahallesi,Daire | Stüdyo | 5. Kat | 65 m²,30.000 TL
Sarıyer - Maslak Mahallesi,Daire | 2+1 | 6. Kat | 135 m²,75.000 TL
Sarıyer - Huzur Mahallesi,Daire | Stüdyo | 21. Kat | 61 m²,40.000 TL
Kartal - Gümüşpınar Mahallesi,Daire | 3.5+1 | 3. Kat | 120 m²,51.000 TL
Kartal - Orta Mahallesi,Daire | 2+1 | Yüksek giriş | 90 m²,30.000 TL
Kartal - Yakacık Yeni Mahallesi,Daire | 3+1 | 2. Kat | 130 m²,23.000 TL
Pendik - Çamçeşme Mahallesi,Daire | 2+1 | 6. Kat | 100 m²,35.000 TL
Pendik - Dumlupınar Mahallesi,Daire | 2+1 | 2. Kat | 130 m²,34.950 TL
Pendik - Kavakpınar Mahallesi,Daire | 3+1 | 2. Kat | 105 m²,20.000 TL
Avcılar - Gümüşpala Mahallesi,Daire | 3+1 | Kot 2 (-2). Kat | 100 m²,18.000 TL
Avcılar - Gümüşpala Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 90 m²,20.000 TL
Avcılar - Gümüşpala Mahallesi,Daire | 3+1 | Yüksek giriş | 100 m²,19.000 TL
Avcılar - Gümüşpala Mahallesi,Daire | 3+1 | 1. Kat | 140 m²,36.500 TL
Avcılar - Mustafa Kemal Paşa Mahallesi,Daire | 1+1 | 4. Kat | 60 m²,20.000 TL
Kartal - Yakacık Çarşı Mahallesi,Daire | 2+1 | Yüksek giriş | 90 m²,24.000 TL
Sultangazi - İsmetpaşa Mahallesi,Daire | 2+1 | 3. Kat | 90 m²,18.000 TL
Avcılar - Üniversite Mahallesi,Daire | Stüdyo | Çatı katı | 60 m²,14.000 TL
Esenyurt - Mehmet Akif Ersoy Mahallesi,Daire | 1+1 | 5. Kat | 55 m²,12.000 TL
Avcılar - Gümüşpala Mahallesi,Daire | 2+1 | 2. Kat | 85 m²,18.000 TL
Sultanbeyli - Necip Fazıl Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 106 m²,20.000 TL
Pendik - Ahmet Yesevi Mahallesi,Daire | 3+1 | 2. Kat | 135 m²,35.000 TL
Sancaktepe - Abdurrahmangazi Mahallesi,Daire | 2+1 | 2. Kat | 95 m²,26.000 TL
Sultanbeyli - Mimar Sinan Mahallesi,Daire | 2+1 | 4. Kat | 90 m²,22.000 TL
Pendik - Dumlupınar Mahallesi,Daire | 3+1 | 5. Kat | 130 m²,35.000 TL
Sancaktepe - Eyüp Sultan Mahallesi,Daire | 2+1 | 5. Kat | 95 m²,28.000 TL
Arnavutköy - Nenehatun Mahallesi,Daire | 2+1 | 2. Kat | 95 m²,20.000 TL
Pendik - Sülüntepe Mahallesi,Daire | 1+1 | 8. Kat | 75 m²,23.500 TL
Kartal - Hürriyet Mahallesi,Daire | 2+1 | Yüksek giriş | 115 m²,18.000 TL19.500 TL
Esenyurt - Pınar Mahallesi,Daire | 1+1 | 7. Kat | 85 m²,18.000 TL
Kartal - Yakacık Çarşı Mahallesi,Daire | 5+1 | 13. Kat | 210 m²,75.000 TL
Gaziosmanpaşa - Sarıgöl Mahallesi,Daire | 2+1 | Yüksek giriş | 90 m²,25.000 TL
Gaziosmanpaşa - Sarıgöl Mahallesi,Daire | 2+1 | Yüksek giriş | 100 m²,25.000 TL
Gaziosmanpaşa - Karadeniz Mahallesi,Daire | 2+1 | 3. Kat | 90 m²,22.000 TL
Gaziosmanpaşa - Karadeniz Mahallesi,Daire | 2+1 | 4. Kat | 90 m²,20.000 TL
Gaziosmanpaşa - Karadeniz Mahallesi,Daire | 2+1 | 5. Kat | 75 m²,35.000 TL
Sultanbeyli - Mimar Sinan Mahallesi,Daire | 2+1 | 3. Kat | 85 m²,25.000 TL
Sultangazi - 50. Yıl Mahallesi,Daire | 2+1 | 3. Kat | 90 m²,30.000 TL
Sultangazi - İsmetpaşa Mahallesi,Daire | 4+1 | 3. Kat | 140 m²,30.000 TL
Kartal - Hürriyet Mahallesi,Daire | 2+1 | 1. Kat | 95 m²,36.500 TL
Pendik - Sülüntepe Mahallesi,Daire | 2+1 | 2. Kat | 80 m²,20.500 TL
Pendik - Esenler Mahallesi,Daire | 1+1 | Yüksek giriş | 75 m²,18.500 TL
Kartal - Gümüşpınar Mahallesi,Daire | 2+1 | 3. Kat | 85 m²,22.000 TL
Çekmeköy - Merkez Mahallesi,Daire | 5+2 | Çatı Dubleks | 220 m²,50.000 TL
Sancaktepe - Akpınar Mahallesi,Daire | 2+1 | 1. Kat | 130 m²,17.000 TL
Sancaktepe - Merve Mahallesi,Daire | 3+1 | 2. Kat | 144 m²,38.000 TL
Kartal - Gümüşpınar Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,31.000 TL
Sultangazi - İsmetpaşa Mahallesi,Daire | 2+1 | 2. Kat | 110 m²,28.000 TL
Pendik - Şeyhli Mahallesi,Daire | 3+1 | 3. Kat | 135 m²,36.000 TL
Sultangazi - İsmetpaşa Mahallesi,Daire | 2+1 | 1. Kat | 110 m²,28.000 TL
Kartal - Gümüşpınar Mahallesi,Daire | 2+1 | Yüksek giriş | 85 m²,18.000 TL
Kağıthane - Harmantepe Mahallesi,Daire | 1+1 | 2. Kat | 50 m²,20.000 TL
Kağıthane - Çağlayan Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 65 m²,23.000 TL
Sancaktepe - Veysel Karani Mahallesi,Daire | 1+1 | 7. Kat | 75 m²,35.000 TL
Pendik - Velibaba Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 60 m²,16.000 TL
Maltepe - Aydınevler Mahallesi,Daire | 1+1 | 1. Kat | 53 m²,28.000 TL
Üsküdar - Cumhuriyet Mahallesi,Daire | Stüdyo | 4. Kat | 90 m²,28.000 TL
Üsküdar - Kirazlıtepe Mahallesi,Daire | 2+1 | 4. Kat | 105 m²,50.000 TL
