location,information,sales_price
Bandırma - 17 Eylül Mahallesi,Daire | 2+0 | 3. Kat | 80 m²,16.000 TL
Bandırma - Sunullah Mahallesi,Daire | 1+1 | 3. Kat | 65 m²,22.000 TL
Bandırma - Yeni Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,15.000 TL
Bandırma - Paşabayır Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 100 m²,15.000 TL
Bandırma - İhsaniye Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 85 m²,12.000 TL
Bandırma - Yeni Mahallesi,Daire | 1+1 | 2. Kat | 50 m²,20.000 TL
Gönen - Malkoç Mahallesi,Daire | 2+1 | 3. Kat | 100 m²,13.000 TL
Gömeç - Karaağaç Mahallesi,Daire | 2+1 | 2. Kat | 75 m²,20.000 TL
Edremit - Kadıköy Mahallesi,Daire | 3+1 | 1. Kat | 150 m²,30.000 TL
Burhaniye - Öğretmenler Mahallesi,Daire | 2+1 | 1. Kat | 70 m²,45.000 TL
Bandırma - Dere Mahallesi,Daire | 2+1 | 4. Kat | 90 m²,14.000 TL
Bandırma - Yeni Mahallesi,Daire | 2+0 | 2. Kat | 80 m²,17.000 TL
Bandırma - 17 Eylül Mahallesi,Daire | 2+1 | 3. Kat | 115 m²,20.000 TL
Edremit - Altınkum Mahallesi,Daire | 3+1 | 3. Kat | 200 m²,35.000 TL
Karesi - Yıldırım Mahallesi,Daire | 1.5+1 | 3. Kat | 70 m²,20.000 TL
Altıeylül - Kasaplar Mahallesi,Daire | 2+1 | 3. Kat | 75 m²,18.500 TL
Burhaniye - Bahçelievler Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,15.000 TL
Altıeylül - Bahçelievler Mahallesi,Daire | 1+1 | 2. Kat | 70 m²,19.000 TL
Altıeylül - Bahçelievler Mahallesi,Daire | 1+1 | 3. Kat | 45 m²,12.500 TL
Altıeylül - Plevne Mahallesi,Daire | 1+1 | 3. Kat | 47 m²,19.000 TL
Edremit - Altınkum Mahallesi,Daire | 1+1 | 1. Kat | 68 m²,18.500 TL
Bandırma - Paşabayır Mahallesi,Daire | 3+1 | 1. Kat | 100 m²,15.000 TL
Bandırma - Hacı Yusuf Mahallesi,Daire | 4+1 | 4. Kat | 240 m²,35.000 TL
Ayvalık - Ali Çetinkaya Mahallesi,Daire | 3+1 | 1. Kat | 110 m²,28.000 TL
Edremit - Kızılkeçili Mahallesi,Daire | 1+1 | Yüksek giriş | 85 m²,20.000 TL
Karesi - Atatürk Mahallesi,Daire | 3+1 | 4. Kat | 130 m²,20.000 TL
