location,information,sales_price
Altıeylül - Dinkçiler Mahallesi,Daire | 2+1 | 3. Kat | 115 m²,16.000 TL
Altıeylül - Gümüsçesme Mahallesi,Daire | 3+1 | 2. Kat | 130 m²,16.000 TL
Altıeylül - Bahçelievler Mahallesi,Daire | 2+1 | 1. Kat | 110 m²,30.000 TL
Karesi - Atatürk Mahallesi,Daire | 3+1 | 3. Kat | 140 m²,28.500 TL
Karesi - Karesi Mahallesi,Daire | 2+1 | Yüksek giriş | 75 m²,12.500 TL15.000 TL
Altıeylül - Gümüsçesme Mahallesi,Daire | 1+1 | Bahçe katı | 67 m²,35.000 TL
Bandırma - Paşabayır Mahallesi,Daire | 2+1 | 4. Kat | 75 m²,15.000 TL
Karesi - 1. Sakarya Mahallesi,Daire | 4+1 | 5. Kat | 158 m²,27.500 TL
Altıeylül - Gaziosmanpaşa Mahallesi,Daire | 2+1 | Yüksek giriş | 75 m²,22.500 TL
Altıeylül - Gaziosmanpaşa Mahallesi,Daire | 1+1 | 2. Kat | 50 m²,17.000 TL
Edremit - Zeytinli Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,19.000 TL
Susurluk - Han Mahallesi,Daire | 3+1 | 4. Kat | 115 m²,17.000 TL
Altıeylül - Gaziosmanpaşa Mahallesi,Daire | 1+1 | 1. Kat | 45 m²,18.000 TL
Bandırma - Levent Mahallesi,Daire | 3+1 | 5. Kat | 100 m²,12.500 TL
Bandırma - Hacı Yusuf Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,15.000 TL
Altıeylül - Gaziosmanpaşa Mahallesi,Daire | 1+1 | Yüksek giriş | 55 m²,12.500 TL
Karesi - Atatürk Mahallesi,Daire | 3+1 | 2. Kat | 85 m²,18.000 TL
Altıeylül - Çayırhisar Mahallesi,Daire | 1+1 | Yüksek giriş | 62 m²,18.500 TL
Erdek - Halitpaşa Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,13.000 TL
Bandırma - Paşabayır Mahallesi,Daire | 2+1 | 2. Kat | 85 m²,16.000 TL
Bandırma - İhsaniye Mahallesi,Daire | 2+1 | 1. Kat | 88 m²,20.000 TL
Bandırma - Paşabayır Mahallesi,Daire | 1+1 | 3. Kat | 50 m²,16.500 TL
Edremit - Altınoluk Mahallesi,Daire | 2+1 | 1. Kat | 80 m²,25.000 TL
Karesi - Toygar Mahallesi,Daire | 2+1 | 2. Kat | 125 m²,25.000 TL27.500 TL
Altıeylül - Gaziosmanpaşa Mahallesi,Daire | 1+1 | 3. Kat | 50 m²,16.000 TL
Ayvalık - Altınova Mahallesi,Daire | 2+1 | 1. Kat | 75 m²,25.000 TL
Ayvalık - Gazi Kemal Paşa Mahallesi,Daire | 2+1 | 1. Kat | 75 m²,30.000 TL
Altıeylül - Hasan Basri Çantay Mahallesi,Daire | 3+1 | Bahçe katı | 120 m²,12.500 TL
Altıeylül - Gaziosmanpaşa Mahallesi,Daire | 2+1 | 2. Kat | 110 m²,18.000 TL
Bandırma - 600 Evler Mahallesi,Daire | 1+1 | 1. Kat | 60 m²,14.000 TL
Altıeylül - Kasaplar Mahallesi,Daire | 1+1 | 5. Kat | 70 m²,19.000 TL
Edremit - Güre Mahallesi,Daire | 2+1 | Yüksek giriş | 98 m²,30.000 TL
Altıeylül - Bahçelievler Mahallesi,Daire | 3+1 | 3. Kat | 137 m²,18.500 TL
Burhaniye - Bahçelievler Mahallesi,Daire | 1+1 | 3. Kat | 106 m²,32.000 TL
Edremit - Tahtakuşlar Mahallesi,Daire | 2+1 | Yüksek giriş | 100 m²,32.000 TL
Bandırma - 17 Eylül Mahallesi,Daire | 3+1 | 6. Kat | 125 m²,22.000 TL
Bandırma - İhsaniye Mahallesi,Daire | 2+1 | 4. Kat | 90 m²,20.000 TL
Bandırma - İhsaniye Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,23.000 TL
Altıeylül - Sütlüce Mahallesi,Daire | 2+1 | 4. Kat | 110 m²,15.000 TL18.000 TL
Altıeylül - Sütlüce Mahallesi,Daire | 1+1 | Çatı katı | 80 m²,12.000 TL13.000 TL
Edremit - Tuzcumurat Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 110 m²,15.000 TL
Bandırma - 17 Eylül Mahallesi,Daire | 2+1 | 2. Kat | 78 m²,20.000 TL
Altıeylül - Plevne Mahallesi,Daire | 3+1 | 4. Kat | 160 m²,22.000 TL25.000 TL
Bandırma - 17 Eylül Mahallesi,Daire | 1+1 | 3. Kat | 85 m²,20.000 TL
Bandırma - Hacı Yusuf Mahallesi,Daire | 3+1 | 1. Kat | 115 m²,16.000 TL
Burhaniye - Cumhuriyet Mahallesi,Daire | 3+1 | 4. Kat | 130 m²,2.500 TL
Altıeylül - Bahçelievler Mahallesi,Daire | 3+1 | 2. Kat | 138 m²,32.000 TL
Karesi - 2. Oruçgazi Mahallesi,Daire | 2+1 | 2. Kat | 95 m²,17.500 TL
Burhaniye - Bahçelievler Mahallesi,Daire | 2+1 | Villa tipi | 105 m²,20.000 TL
Bandırma - İhsaniye Mahallesi,Daire | 3+1 | 3. Kat | 140 m²,27.500 TL
Bandırma - Paşabayır Mahallesi,Daire | 1+1 | Yüksek giriş | 55 m²,16.000 TL
Bandırma - Paşakent Mahallesi,Daire | 2+1 | 2. Kat | 76 m²,30.000 TL
Bandırma - Paşakonak Mahallesi,Daire | 2+1 | 4. Kat | 97 m²,18.000 TL
Edremit - Tahtakuşlar Mahallesi,Daire | 2+1 | Yüksek giriş | 70 m²,33.000 TL
Bandırma - Hacı Yusuf Mahallesi,Daire | 3+1 | 3. Kat | 120 m²,22.000 TL
Edremit - Kadıköy Mahallesi,Daire | 3+1 | 7. Kat | 175 m²,25.000 TL
Bandırma - 600 Evler Mahallesi,Daire | 2+1 | 1. Kat | 110 m²,23.000 TL
Bandırma - Hacı Yusuf Mahallesi,Daire | 2+1 | 4. Kat | 100 m²,18.000 TL
Edremit - Camivasat Mahallesi,Daire | 2+1 | 3. Kat | 90 m²,20.000 TL
Edremit - Sarıkız Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,25.000 TL
Altıeylül - Plevne Mahallesi,Daire | 2+0 | 2. Kat | 45 m²,14.000 TL
Ayvalık - Altınova Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 90 m²,25.000 TL
Bandırma - Çınarlı Mahallesi,Daire | 2+1 | 3. Kat | 85 m²,25.000 TL
Edremit - Hamidiye Mahallesi,Daire | 3+1 | 1. Kat | 135 m²,22.000 TL
Karesi - 2. Oruçgazi Mahallesi,Daire | 3+0 | 4. Kat | 85 m²,20.000 TL
Altıeylül - Gümüsçesme Mahallesi,Daire | 1+1 | 2. Kat | 50 m²,15.000 TL
Bandırma - Dere Mahallesi,Daire | 3+1 | 2. Kat | 125 m²,18.000 TL
Bandırma - 17 Eylül Mahallesi,Daire | 3+1 | 3. Kat | 155 m²,27.000 TL
Bandırma - 17 Eylül Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,16.000 TL
Altıeylül - Dinkçiler Mahallesi,Daire | 1+1 | 6. Kat | 50 m²,20.500 TL
Bandırma - Yeni Mahallesi,Daire | 1+1 | 4. Kat | 65 m²,17.000 TL
Bandırma - Paşakent Mahallesi,Daire | 1+1 | 4. Kat | 60 m²,23.000 TL
Altıeylül - Gümüsçesme Mahallesi,Daire | 3+1 | 2. Kat | 143 m²,42.000 TL45.000 TL
Bandırma - 17 Eylül Mahallesi,Daire | 2+0 | 4. Kat | 85 m²,19.999 TL
Edremit - Şahindere Mahallesi,Daire | 3+1 | 3. Kat | 150 m²,35.000 TL
Bandırma - Hacı Yusuf Mahallesi,Daire | 2+1 | 1. Kat | 105 m²,27.000 TL
Ayvalık - Küçükköy Mahallesi,Daire | 2+1 | 1. Kat | 80 m²,25.000 TL
Altıeylül - Altı Eylül Mahallesi,Daire | 1+1 | 3. Kat | 45 m²,15.000 TL
Bandırma - 17 Eylül Mahallesi,Daire | 2+1 | 3. Kat | 100 m²,19.000 TL
Bigadiç - Çavuş Mahallesi,Daire | 3+1 | 2. Kat | 100 m²,26.500 TL
Bigadiç - Fethibey Mahallesi,Daire | 2+1 | 2. Kat | 80 m²,19.000 TL
Edremit - Altınkum Mahallesi,Daire | 2+1 | 2. Kat | 81 m²,25.000 TL
Altıeylül - Gaziosmanpaşa Mahallesi,Daire | 1+1 | 4. Kat | 50 m²,19.500 TL
Altıeylül - 2. Gündoğan Mahallesi,Daire | 2+1 | 2. Kat | 130 m²,25.000 TL
Altıeylül - Gaziosmanpaşa Mahallesi,Daire | 1+1 | 4. Kat | 50 m²,19.500 TL
Altıeylül - 2. Gündoğan Mahallesi,Daire | 2+1 | 2. Kat | 130 m²,25.000 TL
Bandırma - Haydar Çavuş Mahallesi,Daire | 2+1 | 4. Kat | 95 m²,17.000 TL
Karesi - Paşa Alanı Mahallesi,Daire | 3+1 | 3. Kat | 130 m²,27.000 TL
Altıeylül - Dinkçiler Mahallesi,Daire | 1+1 | 2. Kat | 45 m²,11.000 TL12.500 TL
Bandırma - Sunullah Mahallesi,Daire | 4+1 | 4. Kat | 150 m²,30.000 TL
Bandırma - 600 Evler Mahallesi,Daire | 2+1 | 3. Kat | 90 m²,25.000 TL
Bandırma - Paşabayır Mahallesi,Daire | 2+1 | 1. Kat | 90 m²,18.000 TL
Bandırma - Yeni Mahallesi,Daire | 1+1 | 3. Kat | 55 m²,20.000 TL
Bandırma - Yeni Mahallesi,Daire | 1+1 | Yüksek giriş | 65 m²,20.000 TL
Bandırma - Yeni Mahallesi,Daire | 2+0 | 2. Kat | 65 m²,18.000 TL
Bandırma - Edincik Mahallesi,Daire | 3+1 | 7. Kat | 130 m²,25.000 TL
Bandırma - Ayyıldız Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,20.000 TL
Bandırma - Sunullah Mahallesi,Daire | 3+1 | 2. Kat | 130 m²,23.000 TL
Bandırma - Ayyıldız Mahallesi,Daire | 2+1 | Yüksek giriş | 90 m²,16.000 TL
Karesi - Maltepe Mahallesi,Daire | 1+1 | 3. Kat | 65 m²,12.500 TL
Bandırma - Hacı Yusuf Mahallesi,Daire | 3+1 | 2. Kat | 110 m²,30.000 TL
Karesi - Atatürk Mahallesi,Daire | 3+1 | 1. Kat | 110 m²,18.000 TL
Bandırma - Paşabayır Mahallesi,Daire | 3+1 | 1. Kat | 140 m²,55.000 TL
Bandırma - Yeni Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,17.500 TL
Bandırma - 600 Evler Mahallesi,Daire | 1+1 | 3. Kat | 70 m²,21.000 TL
Bandırma - Haydar Çavuş Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,24.000 TL
Karesi - Hisariçi Mahallesi,Daire | 2+1 | 4. Kat | 90 m²,12.000 TL
Bandırma - Paşabayır Mahallesi,Daire | 2+1 | 4. Kat | 75 m²,15.000 TL
Karesi - Karesi Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,18.500 TL
Gönen - Kurtuluş Mahallesi,Daire | 3+1 | 3. Kat | 130 m²,25.000 TL
Bandırma - Bentbaşı Mahallesi,Daire | 2+0 | 2. Kat | 65 m²,16.000 TL
Bandırma - Paşabayır Mahallesi,Daire | 3+1 | 2. Kat | 125 m²,18.000 TL
Bandırma - Paşabayır Mahallesi,Daire | 2+1 | 2. Kat | 80 m²,17.000 TL
Bandırma - Haydar Çavuş Mahallesi,Daire | 2+1 | 3. Kat | 90 m²,15.000 TL
Bandırma - 600 Evler Mahallesi,Daire | 2+1 | 2. Kat | 125 m²,17.000 TL
Bandırma - Paşabayır Mahallesi,Daire | 3+0 | 2. Kat | 135 m²,35.000 TL
Karesi - Paşa Alanı Mahallesi,Daire | 3+1 | 1. Kat | 115 m²,30.000 TL
Karesi - Toygar Mahallesi,Daire | 3+1 | 1. Kat | 140 m²,24.000 TL
Bandırma - Yeni Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,13.000 TL
Altıeylül - Gaziosmanpaşa Mahallesi,Daire | 2+1 | 2. Kat | 60 m²,21.000 TL
Karesi - Karaoğlan Mahallesi,Daire | 2+1 | 2. Kat | 85 m²,16.000 TL
Burhaniye - Öğretmenler Mahallesi,Daire | 2+1 | Yüksek giriş | 134 m²,5.500 TL
Burhaniye - Öğretmenler Mahallesi,Daire | 1+1 | Çatı katı | 110 m²,4.000 TL
Burhaniye - Öğretmenler Mahallesi,Daire | Stüdyo | Bahçe katı | 65 m²,4.000 TL
Burhaniye - Öğretmenler Mahallesi,Daire | 3+1 | 1. Kat | 160 m²,5.500 TL
Bandırma - Paşakent Mahallesi,Daire | 3+1 | 2. Kat | 165 m²,45.000 TL
Altıeylül - Plevne Mahallesi,Daire | 1+1 | Yüksek giriş | 60 m²,14.500 TL
Bandırma - Yeni Mahallesi,Daire | 1+1 | Yüksek giriş | 55 m²,15.000 TL
Bandırma - Paşakonak Mahallesi,Daire | 3+1 | 3. Kat | 130 m²,30.000 TL
Ayvalık - Altınova Mahallesi,Daire | 1 Oda | Bahçe katı | 35 m²,30.000 TL
Altıeylül - Yıldız Mahallesi,Daire | 1+1 | 1. Kat | 45 m²,15.000 TL
Karesi - Atatürk Mahallesi,Daire | 2+1 | 3. Kat | 90 m²,27.500 TL
Bandırma - Paşabayır Mahallesi,Daire | 3+1 | 2. Kat | 110 m²,19.000 TL
Bandırma - Sunullah Mahallesi,Daire | 1+1 | Yüksek giriş | 65 m²,20.000 TL
Bandırma - 17 Eylül Mahallesi,Daire | 1+1 | 5. Kat | 70 m²,18.000 TL
Bandırma - 600 Evler Mahallesi,Daire | 1+1 | 2. Kat | 70 m²,20.000 TL
Bandırma - Günaydın Mahallesi,Daire | 2+1 | 2. Kat | 95 m²,20.000 TL
Altıeylül - Dinkçiler Mahallesi,Daire | 1+1 | 3. Kat | 45 m²,16.000 TL
Edremit - Kapıcıbaşı Mahallesi,Daire | 2+1 | 1. Kat | 85 m²,15.000 TL
Altıeylül - Bahçelievler Mahallesi,Daire | 3+1 | 4. Kat | 130 m²,25.000 TL
Edremit - Camivasat Mahallesi,Daire | 2+1 | 4. Kat | 110 m²,20.000 TL
Bandırma - 17 Eylül Mahallesi,Daire | 1+1 | 2. Kat | 45 m²,20.000 TL
Karesi - Kuva-İ Milliye Mahallesi,Daire | 2+0 | Bahçe katı | 75 m²,12.500 TL
Altıeylül - Plevne Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,16.000 TL
Edremit - Kadıköy Mahallesi,Daire | 2+1 | 1. Kat | 100 m²,22.000 TL
Bandırma - Hacı Yusuf Mahallesi,Daire | 3+1 | 1. Kat | 130 m²,50.000 TL
Bandırma - İhsaniye Mahallesi,Daire | 2+1 | 1. Kat | 95 m²,16.000 TL
Bandırma - 17 Eylül Mahallesi,Daire | 2+0 | 2. Kat | 65 m²,16.500 TL
Edremit - Tuzcumurat Mahallesi,Daire | 5+1 | Müstakil | 250 m²,12.500 TL15.000 TL
Edremit - İkizçay Mahallesi,Daire | 3+1 | 3. Kat | 140 m²,28.000 TL30.000 TL
Altıeylül - Hacı İlbey Mahallesi,Daire | 2+1 | 3. Kat | 90 m²,22.000 TL
Bandırma - Yeni Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,17.000 TL18.000 TL
Altıeylül - Gaziosmanpaşa Mahallesi,Daire | 2+0 | 2. Kat | 62 m²,20.000 TL
Altıeylül - Bahçelievler Mahallesi,Daire | 1+1 | 4. Kat | 65 m²,25.000 TL
Edremit - Kadıköy Mahallesi,Daire | 2+1 | 2. Kat | 125 m²,26.000 TL
Bandırma - Paşakent Mahallesi,Daire | 3+1 | 2. Kat | 150 m²,50.000 TL
Edremit - İkizçay Mahallesi,Daire | 3+1 | Kot 1 (-1). Kat | 135 m²,30.000 TL
Bandırma - 17 Eylül Mahallesi,Daire | 2+0 | 4. Kat | 65 m²,36.000 TL
Bandırma - Paşakonak Mahallesi,Daire | 1+1 | Yüksek giriş | 50 m²,16.000 TL
Bandırma - İhsaniye Mahallesi,Daire | 1+1 | 2. Kat | 70 m²,17.000 TL20.000 TL
Gönen - Altay Mahallesi,Daire | 2+1 | 4. Kat | 100 m²,11.000 TL
Altıeylül - Dinkçiler Mahallesi,Daire | 1+1 | 1. Kat | 45 m²,14.750 TL
Bandırma - 17 Eylül Mahallesi,Daire | 1+1 | 2. Kat | 65 m²,20.000 TL
Erdek - Alaettin Mahallesi,Daire | 2+1 | 2. Kat | 95 m²,21.000 TL
Altıeylül - Gaziosmanpaşa Mahallesi,Daire | 2+1 | 1. Kat | 139 m²,42.000 TL
Altıeylül - Gaziosmanpaşa Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,25.500 TL
Altıeylül - Gümüsçesme Mahallesi,Daire | 1+1 | 3. Kat | 55 m²,15.500 TL
Edremit - Altınkum Mahallesi,Daire | 2+1 | 4. Kat | 110 m²,25.000 TL
Altıeylül - Hasan Basri Çantay Mahallesi,Daire | 1+1 | Bodrum Kat | 38 m²,13.000 TL
Bandırma - Hacı Yusuf Mahallesi,Daire | 1+1 | 1. Kat | 75 m²,16.000 TL
Bandırma - 17 Eylül Mahallesi,Daire | 1+1 | 4. Kat | 60 m²,17.000 TL
Bandırma - Sunullah Mahallesi,Daire | 3+1 | Yüksek giriş | 130 m²,25.000 TL
Bandırma - İhsaniye Mahallesi,Daire | 3+1 | 2. Kat | 120 m²,24.999 TL
Altıeylül - Gaziosmanpaşa Mahallesi,Daire | 1+1 | 3. Kat | 52 m²,14.750 TL
Bandırma - İhsaniye Mahallesi,Daire | 3+1 | 2. Kat | 120 m²,24.999 TL
Altıeylül - Gaziosmanpaşa Mahallesi,Daire | 1+1 | 3. Kat | 52 m²,14.750 TL
Karesi - 2. Oruçgazi Mahallesi,Daire | 2+0 | 1. Kat | 60 m²,15.000 TL
Bandırma - 17 Eylül Mahallesi,Daire | 2+1 | 2. Kat | 95 m²,22.000 TL
Edremit - Cumhuriyet Mahallesi,Daire | 2+1 | Yüksek giriş | 100 m²,20.000 TL
Edremit - Cumhuriyet Mahallesi,Daire | 3+1 | 3. Kat | 130 m²,25.000 TL
Edremit - Çıkrıkçı Mahallesi,Daire | 1+1 | 3. Kat | 60 m²,20.000 TL
Edremit - Cennetayağı Mahallesi,Daire | 2+1 | 2. Kat | 140 m²,35.000 TL
Edremit - Gazicelal Mahallesi,Daire | 2+1 | 4. Kat | 120 m²,30.000 TL32.000 TL
Bandırma - Paşakent Mahallesi,Daire | 2+1 | 1. Kat | 120 m²,50.000 TL
Bandırma - İhsaniye Mahallesi,Daire | 3+1 | 2. Kat | 120 m²,22.000 TL
Karesi - Paşa Alanı Mahallesi,Daire | 3+1 | 2. Kat | 130 m²,23.000 TL
Altıeylül - Gaziosmanpaşa Mahallesi,Daire | 1+1 | 1. Kat | 41 m²,15.000 TL
Bandırma - 17 Eylül Mahallesi,Daire | 2+1 | 5. Kat | 95 m²,18.000 TL
Edremit - İkizçay Mahallesi,Daire | 1+1 | 1. Kat | 65 m²,19.500 TL
Burhaniye - İskele Mahallesi,Daire | 3+1 | 2. Kat | 110 m²,120.000 TL
Karesi - Yeni Mahallesi,Daire | 1+1 | 7. Kat | 60 m²,13.000 TL
Altıeylül - Gaziosmanpaşa Mahallesi,Daire | 1+1 | Yüksek giriş | 41 m²,15.000 TL
Bandırma - Paşabayır Mahallesi,Daire | 2+1 | Yüksek giriş | 90 m²,16.000 TL
Edremit - Hamidiye Mahallesi,Daire | 1+1 | 2. Kat | 70 m²,16.000 TL
Altıeylül - Atköy Mahallesi,Daire | 3+1 | 1. Kat | 150 m²,20.000 TL
Altıeylül - Gaziosmanpaşa Mahallesi,Daire | 2+1 | Çatı Dubleks | 88 m²,22.500 TL
Edremit - Tuzcumurat Mahallesi,Daire | 1+1 | 3. Kat | 65 m²,10.000 TL
Edremit - Tuzcumurat Mahallesi,Daire | 1+1 | 2. Kat | 65 m²,10.000 TL
Edremit - Tuzcumurat Mahallesi,Daire | 1+1 | 1. Kat | 65 m²,11.000 TL
Bandırma - Paşabayır Mahallesi,Daire | 2+1 | 4. Kat | 95 m²,20.000 TL
Bandırma - 600 Evler Mahallesi,Daire | 2+0 | Yüksek giriş | 55 m²,15.000 TL
Bandırma - Sunullah Mahallesi,Daire | 3+1 | 1. Kat | 130 m²,30.000 TL
Gömeç - Yaya Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,12.500 TL
Bandırma - Paşabayır Mahallesi,Daire | 2+1 | Yüksek giriş | 85 m²,15.500 TL
Altıeylül - Gaziosmanpaşa Mahallesi,Daire | 1+1 | 4. Kat | 65 m²,14.500 TL16.500 TL
Altıeylül - Dinkçiler Mahallesi,Daire | 1+1 | Yüksek giriş | 40 m²,12.500 TL13.500 TL
Altıeylül - Plevne Mahallesi,Daire | 1+1 | 3. Kat | 45 m²,15.000 TL
Edremit - Avcılar Mahallesi,Daire | 4+1 | Villa tipi | 260 m²,225.000 TL
Altıeylül - Bahçelievler Mahallesi,Daire | 2+0 | 2. Kat | 80 m²,25.000 TL
Karesi - Kuva-İ Milliye Mahallesi,Daire | 3+1 | 3. Kat | 135 m²,23.000 TL25.000 TL
Edremit - Kadıköy Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,25.000 TL
Edremit - Altınoluk Mahallesi,Daire | 2+1 | Yüksek giriş | 125 m²,3.500 TL4.500 TL
Bandırma - Yeni Mahallesi,Daire | 1+1 | 3. Kat | 50 m²,18.000 TL
Bandırma - İhsaniye Mahallesi,Daire | 1+1 | 2. Kat | 65 m²,15.000 TL
Altıeylül - Hasan Basri Çantay Mahallesi,Daire | 2+1 | 2. Kat | 135 m²,15.000 TL17.500 TL
Bandırma - Sunullah Mahallesi,Daire | 2+1 | Yüksek giriş | 95 m²,19.999 TL
Edremit - Cumhuriyet Mahallesi,Daire | 2+1 | 3. Kat | 93 m²,23.000 TL
Altıeylül - Gaziosmanpaşa Mahallesi,Daire | 1+1 | 1. Kat | 50 m²,13.000 TL
Karesi - Toygar Mahallesi,Daire | 2+1 | 1. Kat | 125 m²,17.000 TL
Bandırma - Yeni Mahallesi,Daire | 2+1 | 1. Kat | 75 m²,20.000 TL
Bandırma - Dere Mahallesi,Daire | 2+0 | 3. Kat | 65 m²,15.000 TL
Bandırma - Paşakonak Mahallesi,Daire | 3+1 | Yüksek giriş | 110 m²,27.000 TL
Erdek - Alaettin Mahallesi,Daire | 2+1 | 4. Kat | 120 m²,20.000 TL
Bandırma - Sunullah Mahallesi,Daire | 3+1 | Yüksek giriş | 110 m²,17.500 TL
Bandırma - Günaydın Mahallesi,Daire | 3+1 | 3. Kat | 130 m²,20.500 TL
Karesi - Paşa Alanı Mahallesi,Daire | 2+1 | Yüksek giriş | 125 m²,22.000 TL
Bandırma - 17 Eylül Mahallesi,Daire | 2+1 | 1. Kat | 110 m²,15.000 TL
Bandırma - Paşamescit Mahallesi,Daire | 1+1 | 2. Kat | 90 m²,20.500 TL
Bandırma - Paşabayır Mahallesi,Daire | 3+1 | Kot 1 (-1). Kat | 115 m²,13.000 TL
Bandırma - Paşakonak Mahallesi,Daire | 1+1 | Bodrum Kat | 40 m²,18.000 TL
Bandırma - Paşakonak Mahallesi,Daire | 1+1 | 2. Kat | 40 m²,20.000 TL
Altıeylül - Bahçelievler Mahallesi,Daire | 3+1 | Yüksek giriş | 120 m²,32.000 TL
Burhaniye - Kocacami Mahallesi,Daire | 3+1 | 3. Kat | 115 m²,25.000 TL
Altıeylül - Plevne Mahallesi,Daire | 2+1 | 4. Kat | 60 m²,10.000 TL
Burhaniye - Kocacami Mahallesi,Daire | 3+1 | 3. Kat | 115 m²,25.000 TL
Altıeylül - Plevne Mahallesi,Daire | 2+1 | 4. Kat | 60 m²,10.000 TL
Edremit - Akçay Mahallesi,Daire | 2+1 | 2. Kat | 95 m²,28.000 TL
Karesi - Toygar Mahallesi,Daire | 3+1 | Yüksek giriş | 142 m²,28.000 TL
Bandırma - Bentbaşı Mahallesi,Daire | 2+1 | 3. Kat | 80 m²,16.000 TL
Bandırma - Paşabayır Mahallesi,Daire | 3+1 | 3. Kat | 110 m²,22.000 TL
Karesi - 2. Sakarya Mahallesi,Daire | 3+1 | Bahçe katı | 115 m²,12.000 TL13.000 TL
Altıeylül - Plevne Mahallesi,Daire | 2+1 | 2. Kat | 120 m²,17.000 TL
Karesi - Hacı İsmail Mahallesi,Daire | 2+1 | 3. Kat | 60 m²,13.500 TL
Altıeylül - Sütlüce Mahallesi,Daire | 1+1 | Yüksek giriş | 50 m²,15.000 TL
Bandırma - Yeni Mahallesi,Daire | 2+0 | 3. Kat | 60 m²,15.000 TL
Bandırma - Yeni Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,15.000 TL
Bandırma - 600 Evler Mahallesi,Daire | 2+0 | 2. Kat | 60 m²,18.500 TL
Bandırma - Hacı Yusuf Mahallesi,Daire | 2+1 | 5. Kat | 110 m²,17.500 TL
Bandırma - 600 Evler Mahallesi,Daire | 2+1 | 3. Kat | 63 m²,26.000 TL
Altıeylül - Plevne Mahallesi,Daire | 3+1 | 1. Kat | 150 m²,24.500 TL
Altıeylül - Bahçelievler Mahallesi,Daire | 1+1 | 1. Kat | 70 m²,18.500 TL
Karesi - Atatürk Mahallesi,Daire | 4+1 | 4. Kat | 250 m²,29.000 TL
Altıeylül - Gaziosmanpaşa Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 100 m²,13.000 TL
Bandırma - Çınarlı Mahallesi,Daire | 2+1 | Yüksek giriş | 80 m²,15.000 TL
Altıeylül - Gaziosmanpaşa Mahallesi,Daire | 1+1 | 3. Kat | 55 m²,15.000 TL
Altıeylül - Kasaplar Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,17.000 TL
Burhaniye - Pelitköy Mahallesi,Daire | 2+1 | Kot 2 (-2). Kat | 85 m²,8.250.000 TL
Karesi - Toygar Mahallesi,Daire | 3+1 | Düz Giriş (Zemin) | 118 m²,14.500 TL
Altıeylül - Gaziosmanpaşa Mahallesi,Daire | 1+1 | Yüksek giriş | 45 m²,13.750 TL
Karesi - Eski Kuyumcular Mahallesi,Daire | 2+1 | 3. Kat | 85 m²,18.000 TL
Bandırma - 600 Evler Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,20.000 TL
Bandırma - Paşakonak Mahallesi,Daire | 1+1 | 2. Kat | 45 m²,17.000 TL
Bandırma - 17 Eylül Mahallesi,Daire | 2+0 | 1. Kat | 68 m²,20.000 TL
Karesi - Toygar Mahallesi,Daire | 3+1 | 4. Kat | 200 m²,37.000 TL40.000 TL
Bandırma - Paşakent Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,23.000 TL
Bandırma - 17 Eylül Mahallesi,Daire | 2+1 | 4. Kat | 78 m²,18.000 TL
Bandırma - 17 Eylül Mahallesi,Daire | 2+1 | 1. Kat | 78 m²,18.000 TL
Altıeylül - Dinkçiler Mahallesi,Daire | 2+0 | Düz Giriş (Zemin) | 80 m²,15.000 TL
Altıeylül - Gümüsçesme Mahallesi,Daire | 1+1 | 2. Kat | 50 m²,17.500 TL
Karesi - Adnan Menderes Mahallesi,Daire | 3+1 | 10. Kat | 130 m²,15.000 TL
Bandırma - 100. Yıl Mahallesi,Daire | 2+1 | 1. Kat | 100 m²,15.000 TL
Edremit - Zeytinli Mahallesi,Daire | 3+1 | 3. Kat | 130 m²,27.000 TL
Altıeylül - Gümüsçesme Mahallesi,Daire | 3+1 | Bahçe katı | 120 m²,50.000 TL58.000 TL
Karesi - Adnan Menderes Mahallesi,Daire | 2+1 | 4. Kat | 110 m²,14.000 TL
Erdek - Alaettin Mahallesi,Daire | 2+1 | 4. Kat | 120 m²,20.000 TL
Edremit - İkizçay Mahallesi,Daire | 2+1 | Yüksek giriş | 90 m²,23.000 TL
