location,information,sales_price
Ünye - Fevzi Çakmak Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 95 m²,12.000 TL
Altınordu - Cumhuriyet Mahallesi,Daire | 1+1 | 1. Kat | 50 m²,9.750 TL
Altınordu - Cumhuriyet Mahallesi,Daire | 2+1 | 1. Kat | 80 m²,18.000 TL
Altınordu - Cumhuriyet Mahallesi,Daire | 1+1 | 3. Kat | 55 m²,19.000 TL
Altınordu - Cumhuriyet Mahallesi,Daire | 1+1 | 1. Kat | 45 m²,9.500 TL11.500 TL
Altınordu - Bucak Mahallesi,Daire | 2+1 | 2. Kat | 80 m²,15.000 TL
Altınordu - Akyazı Mahallesi,Daire | 3+1 | 3. Kat | 125 m²,21.500 TL
Altınordu - Şahincili Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,15.500 TL
Fatsa - Dumlupınar Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,15.000 TL
Altınordu - Düz Mahallesi,Daire | 2+1 | 4. Kat | 120 m²,20.000 TL
Altınordu - Kayabaşı Mahallesi,Daire | 3+1 | 2. Kat | 130 m²,13.500 TL
Altınordu - Cumhuriyet Mahallesi,Daire | 1+1 | 2. Kat | 45 m²,14.000 TL
Altınordu - Cumhuriyet Mahallesi,Daire | 2+1 | 4. Kat | 60 m²,15.500 TL
Altınordu - Bucak Mahallesi,Daire | 3+1 | 6. Kat | 130 m²,21.500 TL
Altınordu - Cumhuriyet Mahallesi,Daire | 1+1 | 2. Kat | 52 m²,15.250 TL
Altınordu - Eskipazar Mahallesi,Daire | 3+1 | 4. Kat | 147 m²,25.000 TL
Altınordu - Cumhuriyet Mahallesi,Daire | 2+1 | 1. Kat | 90 m²,17.500 TL
Altınordu - Karacaömer Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,15.500 TL
Altınordu - Cumhuriyet Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,18.000 TL
Altınordu - Cumhuriyet Mahallesi,Daire | 2+1 | 2. Kat | 85 m²,20.000 TL
Altınordu - Cumhuriyet Mahallesi,Daire | 2+1 | 3. Kat | 150 m²,27.500 TL
Altınordu - Cumhuriyet Mahallesi,Daire | 2+1 | 2. Kat | 70 m²,16.500 TL
Altınordu - Karşıyaka Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 80 m²,15.000 TL
Altınordu - Cumhuriyet Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 70 m²,14.000 TL
Ünye - Liseler Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 35 m²,15.000 TL
Ünye - Orta Yılmazlar Mahallesi,Daire | 3+1 | 4. Kat | 130 m²,22.000 TL
Ünye - Nuriye Mahallesi,Daire | 3+1 | 4. Kat | 145 m²,30.000 TL
Altınordu - Karşıyaka Mahallesi,Daire | 3+1 | 3. Kat | 120 m²,16.500 TL
Altınordu - Cumhuriyet Mahallesi,Daire | 2+1 | 2. Kat | 75 m²,16.000 TL
Altınordu - Akyazı Mahallesi,Daire | 2+1 | Çatı katı | 110 m²,12.500 TL
Altınordu - Şahincili Mahallesi,Daire | 3+1 | 3. Kat | 150 m²,32.000 TL
Gülyalı - Turnasuyu Mahallesi,Daire | 1+1 | 2. Kat | 50 m²,11.000 TL12.000 TL
Altınordu - Cumhuriyet Mahallesi,Daire | 1+1 | Bahçe katı | 42 m²,13.000 TL14.000 TL
Ünye - Kaledere Mahallesi,Daire | 2+1 | 3. Kat | 110 m²,9.000 TL
Altınordu - Durugöl Mahallesi,Daire | 1+1 | 4. Kat | 60 m²,20.000 TL
Altınordu - Akyazı Mahallesi,Daire | 3+1 | Düz Giriş (Zemin) | 115 m²,18.500 TL
Altınordu - Bucak Mahallesi,Daire | 1+1 | 3. Kat | 75 m²,11.000 TL
Altınordu - Selimiye Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 100 m²,13.000 TL
Altınordu - Cumhuriyet Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,12.000 TL
Altınordu - Cumhuriyet Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,16.000 TL
Ünye - Orta Yılmazlar Mahallesi,Daire | 3+1 | 1. Kat | 150 m²,20.000 TL
Perşembe - Düz Mahallesi,Daire | 2+1 | 1. Kat | 90 m²,12.500 TL
Ünye - Atatürk Mahallesi,Daire | 3+1 | 8. Kat | 165 m²,24.500 TL
Altınordu - Saray Mahallesi,Daire | 2+1 | 3. Kat | 95 m²,17.000 TL
Altınordu - Cumhuriyet Mahallesi,Daire | 2+1 | 3. Kat | 70 m²,15.500 TL
Altınordu - Cumhuriyet Mahallesi,Daire | 1+1 | 2. Kat | 32 m²,15.000 TL18.000 TL
Altınordu - Cumhuriyet Mahallesi,Daire | 1+1 | 6. Kat | 50 m²,16.000 TL18.000 TL
Altınordu - Karşıyaka Mahallesi,Daire | 3+1 | 4. Kat | 130 m²,25.000 TL
Altınordu - Şirinevler Mahallesi,Daire | 3+1 | 2. Kat | 140 m²,25.000 TL
Altınordu - Taşbaşı Mahallesi,Daire | 2+1 | 1. Kat | 120 m²,20.000 TL
Altınordu - Cumhuriyet Mahallesi,Daire | 2+1 | 6. Kat | 70 m²,15.000 TL
Gülyalı - Turnasuyu Mahallesi,Daire | 2+1 | 1. Kat | 80 m²,27.500 TL
Altınordu - Subaşı Mahallesi,Daire | 2+1 | 1. Kat | 70 m²,20.000 TL
Altınordu - Subaşı Mahallesi,Daire | 2+1 | 1. Kat | 115 m²,18.000 TL
