location,information,sales_price
Ünye - Hamidiye Mahallesi,Daire | 3+1 | 1. Kat | 120 m²,12.000 TL13.000 TL
Altınordu - Cumhuriyet Mahallesi,Daire | 1+1 | 1. Kat | 60 m²,17.000 TL
Altınordu - Durugöl Mahallesi,Daire | 2+1 | 2. Kat | 120 m²,20.000 TL22.000 TL
Altınordu - Akyazı Mahallesi,Daire | 3+1 | 5. Kat | 135 m²,25.000 TL
Altınordu - Bahçelievler Mahallesi,Daire | 4+1 | Kot 4 (-4). Kat | 190 m²,25.000 TL
Altınordu - Durugöl Mahallesi,Daire | 3+1 | 5. Kat | 135 m²,22.500 TL
Altınordu - Kumbaşı Mahallesi,Daire | 3+1 | 3. Kat | 185 m²,26.000 TL
Altınordu - Şarkiye Mahallesi,Daire | 2+1 | 3. Kat | 115 m²,17.000 TL
Gülyalı - Turnasuyu Mahallesi,Daire | 1+1 | 5. Kat | 50 m²,14.000 TL
Fatsa - Fatih Mahallesi,Daire | 3+1 | 3. Kat | 155 m²,14.000 TL
Altınordu - Taşbaşı Mahallesi,Daire | 3+2 | Bahçe katı | 170 m²,140.000 TL
Altınordu - Cumhuriyet Mahallesi,Daire | 3+1 | 4. Kat | 140 m²,21.000 TL
Altınordu - Karacaömer Mahallesi,Daire | 3+1 | 7. Kat | 135 m²,22.000 TL
Altınordu - Karşıyaka Mahallesi,Daire | 3+1 | 5. Kat | 135 m²,25.000 TL
Altınordu - Bahçelievler Mahallesi,Daire | 3+1 | 3. Kat | 110 m²,23.500 TL
Ünye - Gölevi Mahallesi,Daire | 3+1 | 3. Kat | 160 m²,22.000 TL
Ünye - Atatürk Mahallesi,Daire | 3+1 | 2. Kat | 125 m²,19.000 TL
Fatsa - Dolunay Mahallesi,Daire | 4+1 | 4. Kat | 206 m²,32.000 TL
Fatsa - Dolunay Mahallesi,Daire | 4+1 | 14. Kat | 200 m²,32.000 TL
Fatsa - Dolunay Mahallesi,Daire | 3+1 | 10. Kat | 165 m²,27.000 TL
Fatsa - Ayazlı Mahallesi,Daire | 2+1 | 9. Kat | 120 m²,17.000 TL
Altınordu - Cumhuriyet Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,15.000 TL17.000 TL
Altınordu - Bucak Mahallesi,Daire | 3+1 | Yüksek giriş | 125 m²,20.000 TL
Altınordu - Cumhuriyet Mahallesi,Daire | 2+1 | 1. Kat | 80 m²,18.000 TL
Fatsa - Mustafakemalpaşa Mahallesi,Daire | 2+1 | 2. Kat | 110 m²,13.000 TL
Fatsa - Dumlupınar Mahallesi,Daire | 3+1 | 2. Kat | 155 m²,19.000 TL
Fatsa - Dolunay Mahallesi,Daire | 3+1 | 14. Kat | 172 m²,27.000 TL
Fatsa - Dumlupınar Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,9.500 TL
Fatsa - Dolunay Mahallesi,Daire | 3+1 | 3. Kat | 130 m²,15.500 TL
Fatsa - Dolunay Mahallesi,Daire | 3+1 | 15. Kat | 155 m²,20.000 TL
Fatsa - Kurtuluş Mahallesi,Daire | 1+1 | 4. Kat | 50 m²,14.000 TL
Fatsa - Dumlupınar Mahallesi,Daire | 1+1 | 2. Kat | 57 m²,18.000 TL
Altınordu - Cumhuriyet Mahallesi,Daire | 1+1 | 4. Kat | 50 m²,15.000 TL
Fatsa - Dolunay Mahallesi,Daire | 3+1 | 14. Kat | 165 m²,23.000 TL
Ünye - Atatürk Mahallesi,Daire | 3+1 | 4. Kat | 145 m²,21.000 TL
Fatsa - Dolunay Mahallesi,Daire | 3+1 | Düz Giriş (Zemin) | 110 m²,10.000 TL
Altınordu - Eskipazar Mahallesi,Daire | 2+1 | 7. Kat | 80 m²,17.000 TL
Altınordu - Şahincili Mahallesi,Daire | 3+1 | 7. Kat | 130 m²,25.000 TL
Altınordu - Şahincili Mahallesi,Daire | 3+1 | 2. Kat | 130 m²,21.000 TL
Altınordu - Cumhuriyet Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,14.500 TL
Altınordu - Cumhuriyet Mahallesi,Daire | 1+1 | 4. Kat | 55 m²,17.500 TL
Altınordu - Karşıyaka Mahallesi,Daire | 3+1 | 4. Kat | 135 m²,21.000 TL
Altınordu - Karşıyaka Mahallesi,Daire | 3+1 | 1. Kat | 160 m²,26.500 TL
Ünye - Saraçlı Mahallesi,Daire | 2+1 | 1. Kat | 105 m²,12.000 TL
Fatsa - Evkaf Mahallesi,Daire | 3+1 | 7. Kat | 150 m²,19.000 TL
Fatsa - Evkaf Mahallesi,Daire | 3+1 | 15. Kat | 160 m²,18.000 TL
Fatsa - Evkaf Mahallesi,Daire | 4+1 | 10. Kat | 180 m²,20.000 TL
Ünye - Gölevi Mahallesi,Daire | 4+1 | 3. Kat | 158 m²,25.000 TL
Altınordu - Şarkiye Mahallesi,Daire | 3+1 | 1. Kat | 130 m²,18.000 TL
Gülyalı - Turnasuyu Mahallesi,Daire | 1+1 | 3. Kat | 48 m²,18.000 TL
Altınordu - Saray Mahallesi,Daire | 3+1 | 2. Kat | 120 m²,15.500 TL
Fatsa - Mustafakemalpaşa Mahallesi,Daire | 2+1 | 4. Kat | 120 m²,17.000 TL
Fatsa - Şerefiye Mahallesi,Daire | 3+1 | 2. Kat | 149 m²,22.000 TL
Fatsa - Dolunay Mahallesi,Daire | 3+1 | 4. Kat | 155 m²,25.000 TL
Fatsa - Evkaf Mahallesi,Daire | 2+1 | 7. Kat | 155 m²,28.500 TL
Ünye - Kaledere Mahallesi,Daire | 4+1 | 1. Kat | 140 m²,16.000 TL
Altınordu - Yeni Mahallesi,Daire | 3+1 | 4. Kat | 130 m²,23.000 TL
Altınordu - Cumhuriyet Mahallesi,Daire | 2+1 | 6. Kat | 114 m²,26.000 TL
Altınordu - Yeni Mahallesi,Daire | 2+1 | 3. Kat | 100 m²,15.000 TL17.000 TL
Ünye - Liseler Mahallesi,Daire | 3+1 | 2. Kat | 135 m²,18.000 TL
Ünye - Burunucu Mahallesi,Daire | 3+1 | 2. Kat | 135 m²,18.000 TL
Fatsa - Şerefiye Mahallesi,Daire | 4+1 | Yüksek giriş | 150 m²,14.000 TL
Altınordu - Cumhuriyet Mahallesi,Daire | 1+1 | 3. Kat | 55 m²,16.000 TL
Altınordu - Cumhuriyet Mahallesi,Daire | 4+1 | Çatı katı | 274 m²,65.000 TL
Altınordu - Yeni Mahallesi,Daire | 2+1 | 4. Kat | 100 m²,15.000 TL
Altınordu - Nizamettin Mahallesi,Daire | 3+1 | 3. Kat | 140 m²,22.000 TL
Altınordu - Kumbaşı Mahallesi,Daire | 3+1 | 1. Kat | 165 m²,20.500 TL
Altınordu - Durugöl Mahallesi,Daire | 3+1 | 3. Kat | 135 m²,20.500 TL
Altınordu - Bahçelievler Mahallesi,Daire | 3+1 | Bahçe katı | 110 m²,17.000 TL
Altınordu - Nizamettin Mahallesi,Daire | 3+1 | 5. Kat | 135 m²,24.000 TL
Perşembe - Kaleyaka Mahallesi,Daire | 3+1 | 2. Kat | 155 m²,25.000 TL
Altınordu - Cumhuriyet Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,11.250 TL
Fatsa - Dolunay Mahallesi,Daire | 3+1 | 5. Kat | 150 m²,22.500 TL
Ünye - Fevzi Çakmak Mahallesi,Daire | 3+1 | 1. Kat | 148 m²,18.750 TL
Altınordu - Cumhuriyet Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,20.000 TL
Altınordu - Subaşı Mahallesi,Daire | 3+1 | 3. Kat | 110 m²,15.500 TL
Altınordu - Bucak Mahallesi,Daire | 3+1 | 4. Kat | 130 m²,22.000 TL
Fatsa - Kurtuluş Mahallesi,Daire | 3+1 | 12. Kat | 160 m²,17.000 TL
Fatsa - Kurtuluş Mahallesi,Daire | 3+1 | 4. Kat | 160 m²,16.000 TL
Fatsa - Dolunay Mahallesi,Daire | 3+1 | 7. Kat | 140 m²,21.000 TL
Fatsa - Şerefiye Mahallesi,Daire | 2+1 | 1. Kat | 130 m²,17.500 TL
Fatsa - Dumlupınar Mahallesi,Daire | 3+1 | 2. Kat | 150 m²,18.500 TL
Fatsa - Dolunay Mahallesi,Daire | 3+1 | 14. Kat | 155 m²,24.500 TL
Fatsa - Evkaf Mahallesi,Daire | 3+1 | 7. Kat | 150 m²,18.000 TL
Fatsa - Evkaf Mahallesi,Daire | 3+1 | 6. Kat | 165 m²,15.000 TL
Altınordu - Akyazı Mahallesi,Daire | 2+1 | Çatı katı | 110 m²,23.000 TL26.000 TL
Fatsa - Evkaf Mahallesi,Daire | 3+1 | 13. Kat | 155 m²,27.000 TL
Ünye - Gölevi Mahallesi,Daire | 2+1 | 5. Kat | 88 m²,33.000 TL
Altınordu - Zaferimilli Mahallesi,Daire | 2+1 | 3. Kat | 110 m²,23.000 TL
Fatsa - Evkaf Mahallesi,Daire | 3+1 | 6. Kat | 165 m²,17.000 TL
Altınordu - Cumhuriyet Mahallesi,Daire | 3+1 | 3. Kat | 105 m²,24.000 TL25.500 TL
Altınordu - Cumhuriyet Mahallesi,Daire | 1+1 | 3. Kat | 58 m²,13.500 TL
Fatsa - Dolunay Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,14.000 TL
Altınordu - Cumhuriyet Mahallesi,Daire | 1+1 | 3. Kat | 60 m²,20.000 TL
Fatsa - Dolunay Mahallesi,Daire | 3+1 | 13. Kat | 155 m²,20.000 TL
Ünye - Atatürk Mahallesi,Daire | 3+1 | Düz Giriş (Zemin) | 135 m²,25.000 TL
Ünye - Gölevi Mahallesi,Daire | 1+1 | 3. Kat | 65 m²,16.000 TL
Altınordu - Cumhuriyet Mahallesi,Daire | 1+1 | 3. Kat | 52 m²,16.000 TL
Altınordu - Bucak Mahallesi,Daire | 3+1 | 8. Kat | 145 m²,25.000 TL
Altınordu - Cumhuriyet Mahallesi,Daire | 2+1 | 6. Kat | 70 m²,18.000 TL
Ünye - Atatürk Mahallesi,Daire | 2+1 | 3. Kat | 80 m²,16.500 TL
Ünye - Gölevi Mahallesi,Daire | 1+1 | 1. Kat | 50 m²,17.500 TL
Fatsa - Dolunay Mahallesi,Daire | 3+1 | 4. Kat | 145 m²,18.000 TL
Fatsa - Ayazlı Mahallesi,Daire | 3+1 | 3. Kat | 155 m²,15.500 TL
Fatsa - Dolunay Mahallesi,Daire | 3+1 | 6. Kat | 150 m²,17.000 TL
Fatsa - Kurtuluş Mahallesi,Daire | 2+1 | Çatı Dubleks | 110 m²,15.000 TL16.000 TL
Ünye - Atatürk Mahallesi,Daire | 3+1 | 1. Kat | 150 m²,17.000 TL
Ünye - Atatürk Mahallesi,Daire | 3+1 | 1. Kat | 150 m²,17.000 TL
Ünye - Çamurlu Mahallesi,Daire | 1+1 | 5. Kat | 65 m²,15.000 TL
Ünye - Gölevi Mahallesi,Daire | 3+1 | 4. Kat | 145 m²,18.000 TL
Altınordu - Cumhuriyet Mahallesi,Daire | 2+1 | 1. Kat | 80 m²,20.000 TL
Ünye - Kaledere Mahallesi,Daire | 2+1 | 5. Kat | 100 m²,12.500 TL
Ünye - Kaledere Mahallesi,Daire | 3+1 | 2. Kat | 150 m²,15.250 TL
Fatsa - Dolunay Mahallesi,Daire | 3+1 | 2. Kat | 140 m²,16.000 TL
Altınordu - Cumhuriyet Mahallesi,Daire | 2+1 | 2. Kat | 80 m²,15.000 TL
Ünye - Gölevi Mahallesi,Daire | 2+1 | 6. Kat | 100 m²,21.000 TL
Ünye - Çınarlık Mahallesi,Daire | 2+1 | Yüksek giriş | 110 m²,14.000 TL
Altınordu - Cumhuriyet Mahallesi,Daire | 1+1 | 4. Kat | 60 m²,16.500 TL
Ünye - Gölevi Mahallesi,Daire | 3+1 | 3. Kat | 135 m²,15.500 TL
Altınordu - Şahincili Mahallesi,Daire | 3+1 | 8. Kat | 135 m²,23.500 TL
Altınordu - Subaşı Mahallesi,Daire | 2+1 | 2. Kat | 120 m²,17.000 TL
Altınordu - Kumbaşı Mahallesi,Daire | 2+1 | Yüksek giriş | 110 m²,21.000 TL
Altınordu - Cumhuriyet Mahallesi,Daire | 1+1 | 4. Kat | 50 m²,14.000 TL
Altınordu - Cumhuriyet Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,15.000 TL16.000 TL
Fatsa - Dolunay Mahallesi,Daire | 3+1 | 2. Kat | 145 m²,16.500 TL
Altınordu - Akyazı Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,20.000 TL
Altınordu - Cumhuriyet Mahallesi,Daire | 1+1 | 4. Kat | 60 m²,18.500 TL
Altınordu - Cumhuriyet Mahallesi,Daire | 1+1 | 3. Kat | 50 m²,12.500 TL
Altınordu - Cumhuriyet Mahallesi,Daire | 1+1 | 2. Kat | 50 m²,10.500 TL
Altınordu - Cumhuriyet Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,15.500 TL
Altınordu - Akyazı Mahallesi,Daire | 3+1 | 2. Kat | 145 m²,37.500 TL
Altınordu - Akyazı Mahallesi,Daire | 2+1 | 2. Kat | 120 m²,32.000 TL
Altınordu - Cumhuriyet Mahallesi,Daire | 2+1 | 3. Kat | 90 m²,17.000 TL
Altınordu - Cumhuriyet Mahallesi,Daire | 1+1 | 3. Kat | 45 m²,15.000 TL
Altınordu - Cumhuriyet Mahallesi,Daire | 2+1 | 2. Kat | 75 m²,17.000 TL
Altınordu - Selimiye Mahallesi,Daire | 2+1 | 3. Kat | 110 m²,17.000 TL
Ünye - Gölevi Mahallesi,Daire | 3+1 | 9. Kat | 120 m²,25.250 TL
Ünye - Burunucu Mahallesi,Daire | 2+1 | Yüksek giriş | 100 m²,11.250 TL
Gülyalı - Turnasuyu Mahallesi,Daire | 1+1 | 2. Kat | 65 m²,15.000 TL
Fatsa - Dolunay Mahallesi,Daire | 3+1 | 3. Kat | 135 m²,17.000 TL
Fatsa - Dolunay Mahallesi,Daire | 4+1 | 2. Kat | 175 m²,18.000 TL
Ünye - Hamidiye Mahallesi,Daire | 2+1 | 4. Kat | 155 m²,22.000 TL
Altınordu - Cumhuriyet Mahallesi,Daire | 1+1 | 1. Kat | 50 m²,15.000 TL
Altınordu - Eskipazar Mahallesi,Daire | 2+2 | 3. Kat | 130 m²,14.500 TL
Altınordu - Cumhuriyet Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,15.000 TL
Altınordu - Şahincili Mahallesi,Daire | 3+1 | 8. Kat | 135 m²,24.750 TL
