location,information,sales_price
Söke - Cumhuriyet Mahallesi,Daire | 3+1 | 2. Kat | 135 m²,18.000 TL
Söke - Yenikent Mahallesi,Daire | 3+1 | 1. Kat | 85 m²,17.000 TL
Kuşadası - Değirmendere Mahallesi,Daire | 3+1 | 2. Kat | 140 m²,25.000 TL
Efeler - Orta Mahallesi,Daire | 1+1 | 4. Kat | 50 m²,13.000 TL14.000 TL
Nazilli - İsabeyli Mahallesi,Daire | 3+1 | Bahçe katı | 125 m²,10.000 TL
Söke - Atatürk Mahallesi,Daire | 3+1 | 2. Kat | 115 m²,25.000 TL
Söke - Yenicamii Mahallesi,Daire | 2+1 | 3. Kat | 125 m²,25.000 TL
Efeler - Zafer Mahallesi,Daire | 2+0 | 3. Kat | 70 m²,16.500 TL
Efeler - Cumhuriyet Mahallesi,Daire | 2+1 | 2. Kat | 85 m²,25.000 TL
Kuşadası - Değirmendere Mahallesi,Daire | 2+1 | Yüksek giriş | 95 m²,27.500 TL
Nazilli - Cumhuriyet Mahallesi,Daire | 1+1 | 3. Kat | 55 m²,12.000 TL13.000 TL
Nazilli - İsabeyli Mahallesi,Daire | 3+1 | Bahçe katı | 125 m²,10.000 TL
Nazilli - İsabeyli Mahallesi,Daire | 1+1 | 1. Kat | 50 m²,10.000 TL
Efeler - Zafer Mahallesi,Daire | 2+0 | 5. Kat | 75 m²,16.000 TL
Nazilli - Altıntaş Mahallesi,Daire | 3+1 | 3. Kat | 121 m²,11.000 TL
Nazilli - Zafer Mahallesi,Daire | 4+1 | 1. Kat | 170 m²,16.000 TL
Kuşadası - Davutlar Mahallesi,Daire | 3+1 | Çatı Dubleks | 125 m²,33.000 TL
Nazilli - Aydoğdu Mahallesi,Daire | 2+1 | 3. Kat | 220 m²,27.000 TL
Didim - Efeler Mahallesi,Daire | 2+1 | 1. Kat | 75 m²,20.000 TL
İncirliova - Cumhuriyet Mahallesi,Daire | 5+1 | Çatı Dubleks | 300 m²,25.000 TL
Söke - Kemalpaşa Mahallesi,Daire | 2+1 | 3. Kat | 115 m²,16.000 TL
Kuşadası - Kadınlar Denizi Mahallesi,Daire | 2+1 | Yüksek giriş | 85 m²,25.000 TL
Nazilli - Yeni Mahallesi,Daire | 3+1 | 1. Kat | 130 m²,20.000 TL
Nazilli - Yeşil Mahallesi,Daire | 3+1 | 1. Kat | 160 m²,15.000 TL
Nazilli - Yıldıztepe Mahallesi,Daire | 3+1 | 3. Kat | 160 m²,15.000 TL
Nazilli - Cumhuriyet Mahallesi,Daire | 3+1 | 3. Kat | 150 m²,15.000 TL
Nazilli - Karaçay Mahallesi,Daire | 1+1 | Yüksek giriş | 55 m²,10.000 TL
Nazilli - Sümer Mahallesi,Daire | 3+0 | Çatı Dubleks | 160 m²,15.000 TL
Efeler - Kurtuluş Mahallesi,Daire | 1+1 | 3. Kat | 50 m²,19.000 TL
Söke - Konak Mahallesi,Daire | 2+1 | 1. Kat | 100 m²,20.000 TL
Söke - Yenikent Mahallesi,Daire | Stüdyo | 3. Kat | 50 m²,10.000 TL
Söke - Yenikent Mahallesi,Daire | 2+0 | 2. Kat | 45 m²,17.000 TL
Nazilli - Pınarbaşı Mahallesi,Daire | 3+1 | 4. Kat | 130 m²,14.500 TL
Söke - Yenikent Mahallesi,Daire | 2+1 | 2. Kat | 65 m²,18.000 TL
Söke - Yenikent Mahallesi,Daire | 1+1 | 5. Kat | 55 m²,15.000 TL
Kuşadası - Cumhuriyet Mahallesi,Daire | 1+1 | 4. Kat | 48 m²,15.000 TL
Nazilli - Altıntaş Mahallesi,Daire | 3+1 | 1. Kat | 145 m²,13.000 TL
Nazilli - Yıldıztepe Mahallesi,Daire | 3+1 | 2. Kat | 145 m²,15.000 TL
Nazilli - Yeşil Mahallesi,Daire | 4+1 | Çatı Dubleks | 170 m²,25.000 TL
Nazilli - İsabeyli Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,12.500 TL
Nazilli - Zafer Mahallesi,Daire | 2+1 | 3. Kat | 100 m²,14.000 TL
Efeler - Hasanefendi - Ramazan Paşa Mahallesi,Daire | 1+1 | 3. Kat | 55 m²,13.000 TL
Kuşadası - Türkmen Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,25.000 TL
Efeler - Cumhuriyet Mahallesi,Daire | 1+1 | 4. Kat | 50 m²,12.500 TL
Didim - Yeni Mahallesi,Daire | 2+1 | 1. Kat | 75 m²,25.000 TL
Nazilli - Turan Mahallesi,Daire | 3+1 | 3. Kat | 195 m²,25.000 TL
Nazilli - Yeni Mahallesi,Daire | 3+1 | 2. Kat | 150 m²,21.000 TL
Nazilli - İsabeyli Mahallesi,Daire | 1+1 | 1. Kat | 60 m²,11.500 TL
Nazilli - Yeni Mahallesi,Daire | 3+1 | 4. Kat | 130 m²,10.000 TL
Kuşadası - Türkmen Mahallesi,Daire | 2+1 | Yüksek giriş | 95 m²,27.500 TL
Kuşadası - İkiçeşmelik Mahallesi,Daire | 1+1 | 2. Kat | 70 m²,22.000 TL
Kuşadası - Türkmen Mahallesi,Daire | 3+1 | 2. Kat | 160 m²,30.000 TL35.000 TL
Nazilli - Zafer Mahallesi,Daire | 3+1 | 3. Kat | 140 m²,16.000 TL
Kuşadası - Kadınlar Denizi Mahallesi,Daire | 3+1 | 2. Kat | 140 m²,45.000 TL
Nazilli - Pınarbaşı Mahallesi,Daire | 3+1 | 2. Kat | 140 m²,20.000 TL
Kuşadası - Hacıfeyzullah Mahallesi,Daire | 4+1 | Müstakil | 200 m²,50.000 TL
Nazilli - Altıntaş Mahallesi,Daire | 2+1 | Yüksek giriş | 110 m²,15.000 TL
Didim - Yeni Mahallesi,Daire | 2+1 | 1. Kat | 85 m²,27.000 TL
Nazilli - Turan Mahallesi,Daire | 1+1 | Kot 2 (-2). Kat | 60 m²,14.000 TL
Nazilli - Yeni Mahallesi,Daire | 2+1 | 5. Kat | 110 m²,15.000 TL
Efeler - Meşrutiyet Mahallesi,Daire | 3+1 | 5. Kat | 110 m²,15.000 TL
Efeler - Girne Mahallesi,Daire | 2+1 | 5. Kat | 120 m²,25.000 TL
Efeler - Hasanefendi - Ramazan Paşa Mahallesi,Daire | 2+1 | 4. Kat | 80 m²,18.000 TL
Didim - Efeler Mahallesi,Daire | 6+1 | Villa tipi | 150 m²,6.500 TL8.250 TL
Nazilli - Cumhuriyet Mahallesi,Daire | 2+1 | 3. Kat | 110 m²,12.500 TL
Efeler - Adnan Menderes Mahallesi,Daire | 1+1 | 4. Kat | 55 m²,15.000 TL
Didim - Efeler Mahallesi,Daire | 2+1 | 1. Kat | 90 m²,25.000 TL
İncirliova - Cumhuriyet Mahallesi,Daire | 3+1 | 2. Kat | 180 m²,20.000 TL
Nazilli - Yeni Mahallesi,Daire | 3+1 | 4. Kat | 130 m²,10.000 TL
Nazilli - İsabeyli Mahallesi,Daire | 1+1 | 4. Kat | 45 m²,10.000 TL
Nazilli - İsabeyli Mahallesi,Daire | 1+1 | 4. Kat | 45 m²,10.000 TL
Didim - Akbük Mahallesi,Daire | 3+1 | 2. Kat | 135 m²,32.000 TL
Kuşadası - Değirmendere Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,24.000 TL
Nazilli - Karaçay Mahallesi,Daire | 2+1 | 6. Kat | 85 m²,12.000 TL13.000 TL
Didim - Çamlık Mahallesi,Daire | 2+1 | 1. Kat | 90 m²,30.000 TL
Nazilli - Cumhuriyet Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,13.000 TL
Nazilli - Yeşil Mahallesi,Daire | 2+1 | 3. Kat | 115 m²,16.000 TL
Nazilli - Sümer Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,13.000 TL
Nazilli - Yeşil Mahallesi,Daire | 3+1 | 8. Kat | 200 m²,21.000 TL
Kuşadası - Değirmendere Mahallesi,Daire | 2+1 | 2. Kat | 106 m²,40.000 TL
Efeler - Efeler Mahallesi,Daire | 1+1 | 1. Kat | 60 m²,30.000 TL
Nazilli - Zafer Mahallesi,Daire | 3+1 | 2. Kat | 145 m²,18.000 TL
Nazilli - Yeşil Mahallesi,Daire | 3+1 | 2. Kat | 120 m²,11.000 TL
Kuşadası - Türkmen Mahallesi,Daire | 3+1 | 2. Kat | 140 m²,60.000 TL
Nazilli - Sümer Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,10.000 TL
Efeler - Cumhuriyet Mahallesi,Daire | 3+1 | Yüksek giriş | 150 m²,18.500 TL
Efeler - Girne Mahallesi,Daire | 3+1 | 1. Kat | 150 m²,38.000 TL
Kuşadası - Türkmen Mahallesi,Daire | 2+1 | 3. Kat | 120 m²,40.000 TL
Kuşadası - Davutlar Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,25.000 TL
Nazilli - Sümer Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,10.000 TL
Didim - Akbük Mahallesi,Daire | 3+1 | Bahçe katı | 120 m²,27.000 TL
Nazilli - Yıldıztepe Mahallesi,Daire | 3+1 | Yüksek giriş | 140 m²,20.500 TL23.000 TL
Nazilli - Yeni Mahallesi,Daire | 3+1 | 1. Kat | 130 m²,10.000 TL
Didim - Hisar Mahallesi,Daire | 2+1 | Yüksek giriş | 75 m²,22.000 TL
Nazilli - Yıldıztepe Mahallesi,Daire | 3+0 | 1. Kat | 120 m²,15.000 TL
Nazilli - Zafer Mahallesi,Daire | 3+1 | Bahçe dublex | 140 m²,20.000 TL
Nazilli - Yeni Mahallesi,Daire | 1+1 | Kot 4 (-4). Kat | 130 m²,10.000 TL
Nazilli - İsabeyli Mahallesi,Daire | 2+1 | 3. Kat | 75 m²,13.000 TL
Nazilli - Zafer Mahallesi,Daire | 3+1 | 4. Kat | 140 m²,16.000 TL
Nazilli - Zafer Mahallesi,Daire | 3+1 | 3. Kat | 140 m²,17.000 TL
Nazilli - İsabeyli Mahallesi,Daire | 1+1 | Yüksek giriş | 65 m²,10.000 TL
Nazilli - Yeni Mahallesi,Daire | 2+1 | 4. Kat | 120 m²,10.000 TL
Nazilli - İsabeyli Mahallesi,Daire | 1+1 | 2. Kat | 45 m²,9.500 TL
Efeler - Adnan Menderes Mahallesi,Daire | 1+1 | 3. Kat | 70 m²,17.000 TL
Efeler - Zafer Mahallesi,Daire | 3+1 | 2. Kat | 210 m²,30.000 TL
Efeler - Orta Mahallesi,Daire | 2+1 | 2. Kat | 80 m²,16.000 TL
Nazilli - Sümer Mahallesi,Daire | 1+1 | 3. Kat | 65 m²,10.000 TL
Nazilli - İsabeyli Mahallesi,Daire | 1+1 | 3. Kat | 50 m²,12.000 TL
Nazilli - Sümer Mahallesi,Daire | 3+1 | 4. Kat | 130 m²,12.000 TL
Nazilli - Yıldıztepe Mahallesi,Daire | 2+1 | 2. Kat | 105 m²,13.000 TL
Nazilli - İsabeyli Mahallesi,Daire | 1+1 | 4. Kat | 45 m²,10.000 TL
Nazilli - Yeşil Mahallesi,Daire | 3+1 | 3. Kat | 120 m²,10.000 TL
Nazilli - Zafer Mahallesi,Daire | 3+1 | 3. Kat | 130 m²,14.000 TL15.000 TL
Efeler - Mimar Sinan Mahallesi,Daire | 3+1 | 4. Kat | 135 m²,24.000 TL
Nazilli - Karaçay Mahallesi,Daire | 3+1 | 1. Kat | 135 m²,10.000 TL
Nazilli - İsabeyli Mahallesi,Daire | 3+1 | 2. Kat | 135 m²,18.000 TL
Kuşadası - Türkmen Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 90 m²,30.000 TL
Nazilli - Yeni Mahallesi,Daire | 3+1 | 1. Kat | 145 m²,18.000 TL
Efeler - Orta Mahallesi,Daire | 1+1 | 3. Kat | 60 m²,13.000 TL
Kuşadası - Türkmen Mahallesi,Daire | 2+1 | 2. Kat | 70 m²,27.000 TL
Nazilli - Yeşil Mahallesi,Daire | 3+1 | 6. Kat | 150 m²,22.500 TL
Nazilli - Zafer Mahallesi,Daire | 3+1 | 3. Kat | 125 m²,15.000 TL
Nazilli - İsabeyli Mahallesi,Daire | 1+1 | 2. Kat | 45 m²,9.500 TL
Kuşadası - Hacıfeyzullah Mahallesi,Daire | 2+1 | 4. Kat | 100 m²,22.000 TL
Nazilli - Zafer Mahallesi,Daire | 3+1 | 2. Kat | 145 m²,13.000 TL
Söke - Yenikent Mahallesi,Daire | 1+1 | 1. Kat | 56 m²,14.000 TL
Nazilli - Yeşil Mahallesi,Daire | 1+1 | 7. Kat | 65 m²,14.000 TL
Nazilli - Şirinevler Mahallesi,Daire | 2+1 | 1. Kat | 130 m²,15.000 TL
Söke - Konak Mahallesi,Daire | 3+1 | 3. Kat | 100 m²,20.000 TL
Efeler - Meşrutiyet Mahallesi,Daire | 3+1 | 1. Kat | 155 m²,30.000 TL
Nazilli - İsabeyli Mahallesi,Daire | 1+1 | 3. Kat | 55 m²,12.000 TL
Nazilli - Yeni Mahallesi,Daire | 3+1 | Kot 2 (-2). Kat | 140 m²,20.000 TL
Kuşadası - Türkmen Mahallesi,Daire | 2+1 | 3. Kat | 120 m²,40.000 TL
Kuşadası - Türkmen Mahallesi,Daire | 2+1 | 2. Kat | 70 m²,27.000 TL
Nazilli - Yıldıztepe Mahallesi,Daire | 3+1 | 1. Kat | 165 m²,27.000 TL
Nazilli - Dumlupınar Mahallesi,Daire | 2+1 | 2. Kat | 80 m²,13.500 TL
Nazilli - Dumlupınar Mahallesi,Daire | 2+1 | 4. Kat | 75 m²,15.000 TL
Nazilli - Zafer Mahallesi,Daire | 3+1 | 3. Kat | 135 m²,14.000 TL15.000 TL
Kuşadası - İkiçeşmelik Mahallesi,Daire | 3+1 | 2. Kat | 135 m²,30.000 TL33.000 TL
Nazilli - Kurtuluş Mahallesi,Daire | 3+1 | 5. Kat | 145 m²,25.000 TL
Söke - Kemalpaşa Mahallesi,Daire | 2+1 | 3. Kat | 115 m²,16.000 TL
Söke - Yenikent Mahallesi,Daire | 1+1 | 3. Kat | 65 m²,14.000 TL15.000 TL
Efeler - Cumhuriyet Mahallesi,Daire | 1+1 | 3. Kat | 60 m²,25.000 TL
Efeler - Zafer Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 100 m²,20.000 TL
Nazilli - İsabeyli Mahallesi,Daire | 1+1 | 2. Kat | 65 m²,12.500 TL
Kuşadası - Kadınlar Denizi Mahallesi,Daire | 2+1 | Çatı Dubleks | 100 m²,33.000 TL
Efeler - Zafer Mahallesi,Daire | 2+1 | 6. Kat | 110 m²,12.000 TL
Kuşadası - Kadınlar Denizi Mahallesi,Daire | 3+1 | 2. Kat | 130 m²,50.000 TL
Efeler - Güzelhisar Mahallesi,Daire | 1+1 | 4. Kat | 55 m²,15.000 TL
Didim - Altınkum Mahallesi,Daire | 2+1 | Çatı Dubleks | 125 m²,20.000 TL
Efeler - Mimar Sinan Mahallesi,Daire | 3+1 | 4. Kat | 135 m²,23.000 TL
