location,information,sales_price
Darıca - Bağlarbaşı Mahallesi,Daire | 3+1 | Yüksek giriş | 120 m²,25.000 TL
Gebze - Sultan Orhan Mahallesi,Daire | 2+1 | 2. Kat | 95 m²,26.000 TL
Darıca - Bağlarbaşı Mahallesi,Daire | 3+1 | 2. Kat | 130 m²,37.000 TL
İzmit - Alikahya Fatih Mahallesi,Daire | 2+1 | 2. Kat | 85 m²,23.750 TL
İzmit - 28 Haziran Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 90 m²,23.000 TL
İzmit - Hacıhızır Mahallesi,Daire | 2+1 | 2. Kat | 80 m²,17.000 TL
İzmit - Kabaoğlu Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,23.000 TL
İzmit - 28 Haziran Mahallesi,Daire | 2+1 | 6. Kat | 115 m²,22.500 TL
Körfez - Fatih Mahallesi,Daire | 3+1 | 3. Kat | 125 m²,25.000 TL
Darıca - Bağlarbaşı Mahallesi,Daire | 3+1 | 3. Kat | 165 m²,30.000 TL
Darıca - Bayramoğlu Mahallesi,Daire | 2+1 | 9. Kat | 75 m²,30.000 TL
Darıca - Bayramoğlu Mahallesi,Daire | 1+1 | Bahçe katı | 75 m²,22.000 TL
Darıca - Bayramoğlu Mahallesi,Daire | 3+1 | 3. Kat | 120 m²,40.000 TL
Darıca - Bayramoğlu Mahallesi,Daire | 2+1 | Bahçe katı | 105 m²,35.000 TL
Darıca - Bayramoğlu Mahallesi,Daire | 2+1 | Yüksek giriş | 105 m²,32.500 TL
Çayırova - Akse Mahallesi,Daire | 2+1 | 8. Kat | 90 m²,30.000 TL
Darıca - Sırasöğütler Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 65 m²,29.000 TL
İzmit - Yenişehir Mahallesi,Daire | 2+1 | 2. Kat | 110 m²,20.000 TL
İzmit - Ayazma Mahallesi,Daire | 3+1 | 3. Kat | 125 m²,20.000 TL
Başiskele - Mehmetağa Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,22.500 TL
Başiskele - Paşadağ Mahallesi,Daire | 2+1 | 2. Kat | 85 m²,25.000 TL
Başiskele - Fatih Mahallesi,Daire | 2+1 | 2. Kat | 102 m²,30.000 TL
Kartepe - Arslanbey Mahallesi,Daire | 2+1 | 1. Kat | 80 m²,19.000 TL
Başiskele - Fatih Mahallesi,Daire | 3+1 | Bahçe katı | 126 m²,32.000 TL
Gebze - Mustafapaşa Mahallesi,Daire | 2+1 | Yüksek giriş | 85 m²,18.000 TL
Kartepe - Fatih Sultan Mehmet Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,25.000 TL
Çayırova - Emek Mahallesi,Daire | 4+1 | 4. Kat | 205 m²,35.000 TL
Gebze - Yavuz Selim Mahallesi,Daire | 4+1 | Müstakil | 140 m²,17.000 TL
Çayırova - Cumhuriyet Mahallesi,Daire | 3+1 | 4. Kat | 130 m²,20.000 TL
Gebze - Yenikent Mahallesi,Daire | 3+1 | 3. Kat | 116 m²,28.000 TL
Gebze - Gaziler Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,24.500 TL
Gebze - Osman Yılmaz Mahallesi,Daire | 2+1 | 5. Kat | 105 m²,36.000 TL
Gebze - Gaziler Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 70 m²,22.000 TL
İzmit - Körfez Mahallesi,Daire | 3+1 | 3. Kat | 120 m²,18.500 TL
Kartepe - Fatih Sultan Mehmet Mahallesi,Daire | 3+1 | 3. Kat | 130 m²,32.500 TL
Başiskele - Yaylacık Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 70 m²,15.000 TL
Derince - Fatih Sultan Mahallesi,Daire | 3+1 | 4. Kat | 120 m²,15.000 TL
İzmit - Sekbanlı Mahallesi,Daire | 2+1 | 2. Kat | 85 m²,18.250 TL
İzmit - Kadıköy Mahallesi,Daire | 2+1 | 3. Kat | 135 m²,25.000 TL
İzmit - Serdar Mahallesi,Daire | 2+1 | 5. Kat | 120 m²,21.000 TL
İzmit - Alikahya Fatih Mahallesi,Daire | 2+1 | Yüksek giriş | 90 m²,22.000 TL
Gebze - Kirazpınar Mahallesi,Daire | 2+1 | 8. Kat | 112 m²,34.000 TL
Kartepe - Dumlupınar Mahallesi,Daire | 1+1 | 4. Kat | 65 m²,16.500 TL
İzmit - Malta Mahallesi,Daire | 2+1 | Yüksek giriş | 90 m²,16.000 TL
İzmit - Gündoğdu Mahallesi,Daire | 3+1 | 3. Kat | 145 m²,27.000 TL
İzmit - Cedit Mahallesi,Daire | 2+1 | 3. Kat | 85 m²,18.500 TL
Körfez - Güney Mahallesi,Daire | 3+1 | 3. Kat | 125 m²,25.000 TL
Körfez - Güney Mahallesi,Daire | 3+1 | Düz Giriş (Zemin) | 120 m²,20.000 TL
Körfez - Fatih Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 64 m²,15.500 TL
Körfez - Yavuz Sultan Selim Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,21.000 TL
Derince - Sırrıpaşa Mahallesi,Daire | 3+1 | Bahçe katı | 135 m²,31.000 TL
İzmit - Alikahya Fatih Mahallesi,Daire | 2+1 | 2. Kat | 105 m²,25.000 TL
İzmit - Topçular Mahallesi,Daire | 1+1 | 1. Kat | 75 m²,18.000 TL
Kartepe - İbrikdere Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,20.000 TL
İzmit - Topçular Mahallesi,Daire | 1+1 | Yüksek giriş | 70 m²,17.500 TL
Körfez - İlimtepe Mahallesi,Daire | 3+1 | 1. Kat | 120 m²,20.000 TL
İzmit - Tepeköy Mahallesi,Daire | 2+1 | 2. Kat | 77 m²,15.000 TL
Karamürsel - Kayacık Mahallesi,Daire | 3+1 | 2. Kat | 125 m²,20.000 TL
Darıca - Abdi İpekçi Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,21.000 TL
Darıca - Nenehatun Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,22.000 TL
İzmit - Ayazma Mahallesi,Daire | 3+1 | 1. Kat | 135 m²,19.000 TL
Başiskele - Mahmutpaşa Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,23.000 TL
İzmit - Yahyakaptan Mahallesi,Daire | 3+1 | 7. Kat | 120 m²,38.000 TL
İzmit - Alikahya Atatürk Mahallesi,Daire | 4+1 | 3. Kat | 160 m²,24.000 TL
Gebze - Hacıhalil Mahallesi,Daire | 3+1 | 3. Kat | 130 m²,28.250 TL
Çayırova - Özgürlük Mahallesi,Daire | 3+1 | 4. Kat | 200 m²,26.000 TL
Gebze - Kirazpınar Mahallesi,Daire | 2+1 | 9. Kat | 130 m²,38.000 TL
Gebze - Yenikent Mahallesi,Daire | 2+1 | 5. Kat | 100 m²,30.000 TL
Başiskele - Yeşilyurt Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,27.500 TL
Gölcük - Topçular Mahallesi,Daire | 3+1 | Yüksek giriş | 130 m²,28.000 TL
Darıca - Nenehatun Mahallesi,Daire | 2+1 | 3. Kat | 120 m²,16.500 TL
Başiskele - Yeşilkent Mahallesi,Daire | 3+1 | Kot 2 (-2). Kat | 110 m²,20.000 TL
Derince - Yenikent Mahallesi,Daire | 2+1 | 1. Kat | 85 m²,18.000 TL
Başiskele - Yeşilkent Mahallesi,Daire | 5+2 | Villa tipi | 300 m²,65.000 TL
İzmit - Yenişehir Mahallesi,Daire | 2+1 | 3. Kat | 100 m²,25.000 TL
Başiskele - Havuzlubahçe Mahallesi,Daire | 2+1 | 4. Kat | 85 m²,16.500 TL
İzmit - Malta Mahallesi,Daire | 2+1 | Yüksek giriş | 90 m²,17.000 TL
Başiskele - Aydınkent Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 190 m²,30.000 TL
Darıca - Piri Reis Mahallesi,Daire | 2+1 | 1. Kat | 85 m²,21.000 TL
Darıca - Bayramoğlu Mahallesi,Daire | 2+1 | 1. Kat | 95 m²,28.500 TL
Başiskele - Körfez Mahallesi,Daire | 3+1 | 5. Kat | 135 m²,18.500 TL
İzmit - Kadıköy Mahallesi,Daire | 3+1 | 2. Kat | 130 m²,22.000 TL
Gölcük - Yukarı Mahallesi,Daire | 3+1 | Çatı Dubleks | 165 m²,30.000 TL
Derince - Sırrıpaşa Mahallesi,Daire | 2+1 | Yüksek giriş | 100 m²,19.500 TL
Başiskele - Fatih Mahallesi,Daire | 2+1 | 2. Kat | 110 m²,28.000 TL
İzmit - Gündoğdu Mahallesi,Daire | 1+1 | Bahçe katı | 90 m²,17.000 TL
Darıca - Osman Gazi Mahallesi,Daire | 2+1 | 3. Kat | 120 m²,27.000 TL
Gebze - Sultan Orhan Mahallesi,Daire | 2+1 | 1. Kat | 95 m²,21.000 TL
Gölcük - Yüzbaşılar Mahallesi,Daire | Stüdyo | Düz Giriş (Zemin) | 30 m²,12.500 TL
Derince - Yenikent Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,20.000 TL
Derince - Yenikent Mahallesi,Daire | 3+1 | 1. Kat | 110 m²,22.000 TL
Körfez - Hacı Osman Mahallesi,Daire | 4+1 | 3. Kat | 320 m²,45.000 TL
Gölcük - Değirmendere Merkez Mahallesi,Daire | 3+1 | 5. Kat | 130 m²,24.000 TL
Çayırova - Özgürlük Mahallesi,Daire | 3+1 | Yüksek giriş | 110 m²,20.000 TL
Dilovası - Diliskelesi Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,13.000 TL
Gölcük - Değirmendere Yalı Mahallesi,Daire | 2+1 | 4. Kat | 95 m²,20.000 TL
Başiskele - Aydınkent Mahallesi,Daire | 3+1 | 2. Kat | 110 m²,23.000 TL
Karamürsel - Kayacık Mahallesi,Daire | 3+1 | Düz Giriş (Zemin) | 120 m²,20.000 TL
Darıca - Bağlarbaşı Mahallesi,Daire | 1+1 | Yüksek giriş | 80 m²,23.000 TL
Darıca - Bayramoğlu Mahallesi,Daire | 2+1 | 1. Kat | 90 m²,26.000 TL
