location,information,sales_price
Balıkesir - Karesi,Daire | 2+1 | 5. Kat | 90 m²,18.000 TL
Balıkesir - Karesi,Daire | 2+1 | 2. Kat | 90 m²,21.500 TL
İstanbul - Gaziosmanpaşa,Daire | 2+1 | Yüksek giriş | 79 m²,26.000 TL
İstanbul - Kadıköy,Daire | 2+1 | Yüksek giriş | 90 m²,34.000 TL
Muğla - Menteşe,Daire | 1+1 | 2. Kat | 50 m²,21.000 TL
Aydın - Efeler,Daire | 2+0 | 4. Kat | 60 m²,23.000 TL
İstanbul - Küçükçekmece,Daire | 2+1 | Düz Giriş (Zemin) | 95 m²,15.000 TL
Niğde - Niğde Merkez,Daire | 3+1 | Kot 2 (-2). Kat | 145 m²,26.500 TL
Adana - Seyhan,Daire | 1 Oda | 2. Kat | 45 m²,9.500 TL
Muğla - Marmaris,Daire | 3+1 | 2. Kat | 130 m²,35.000 TL
Muğla - Menteşe,Daire | 1+1 | 2. Kat | 50 m²,17.000 TL
Sakarya - Serdivan,Daire | 2+1 | 3. Kat | 70 m²,17.500 TL
Samsun - Atakum,Daire | 3.5+1 | 8. Kat | 175 m²,44.000 TL
Denizli - Merkezefendi,Daire | 1+1 | 3. Kat | 55 m²,10.000 TL
İzmir - Urla,Daire | 2+1 | Bahçe katı | 70 m²,85.000 TL
Mersin - Erdemli,Daire | 1+1 | 2. Kat | 55 m²,15.000 TL
İstanbul - Şişli,Daire | 1+1 | Bahçe dublex | 80 m²,16.000 TL
Manisa - Salihli,Daire | 1+1 | 4. Kat | 70 m²,10.000 TL
İzmir - Bayraklı,Daire | 2+1 | 2. Kat | 100 m²,18.000 TL
Ankara - Keçiören,Daire | 3+1 | 3. Kat | 120 m²,24.000 TL
Bursa - Yıldırım,Daire | 2+1 | Yüksek giriş | 85 m²,18.000 TL
İstanbul - Arnavutköy,Daire | 2+1 | 2. Kat | 95 m²,20.000 TL
Adana - Seyhan,Daire | 1+1 | 2. Kat | 45 m²,13.000 TL
Kocaeli - Gölcük,Daire | 3+1 | 2. Kat | 90 m²,14.500 TL
Ankara - Keçiören,Daire | 4+1 | 1. Kat | 165 m²,35.000 TL
İzmir - Balçova,Daire | 2+1 | 2. Kat | 85 m²,25.000 TL
İzmir - Karabağlar,Daire | 2+1 | 2. Kat | 85 m²,15.000 TL
Manisa - Şehzadeler,Daire | 2+1 | 3. Kat | 90 m²,16.000 TL
Kastamonu - Kastamonu Merkez,Daire | 2+1 | 2. Kat | 95 m²,12.500 TL
Tokat - Tokat Merkez,Daire | 3+1 | 3. Kat | 145 m²,20.000 TL
Batman - Batman Merkez,Daire | 2+1 | 2. Kat | 170 m²,14.000 TL
Batman - Batman Merkez,Daire | 3+1 | 1. Kat | 150 m²,14.000 TL
İstanbul - Bakırköy,Daire | 2+1 | Bahçe katı | 90 m²,28.000 TL
Bursa - Yıldırım,Daire | 3+1 | 4. Kat | 155 m²,39.000 TL
İstanbul - Ümraniye,Daire | 2+1 | 5. Kat | 90 m²,24.000 TL
Aydın - Nazilli,Daire | 1+1 | 2. Kat | 60 m²,8.250 TL
Yalova - Yalova Merkez,Daire | 1+1 | 2. Kat | 54 m²,28.000 TL
Kocaeli - Körfez,Daire | 2+1 | 1. Kat | 85 m²,14.000 TL
Trabzon - Ortahisar,Daire | 2+1 | Düz Giriş (Zemin) | 90 m²,10.000 TL
Samsun - Atakum,Daire | 2+0 | Düz Giriş (Zemin) | 85 m²,8.000 TL
Adana - Sarıçam,Daire | 3+1 | 4. Kat | 149 m²,9.500 TL
Adana - Çukurova,Daire | 2+1 | Yüksek giriş | 120 m²,23.000 TL
Bursa - Nilüfer,Daire | 2+1 | Kot 3 (-3). Kat | 140 m²,26.000 TL
Muğla - Fethiye,Daire | 2+1 | Yüksek giriş | 90 m²,16.000 TL
Aydın - Efeler,Daire | 2+0 | 3. Kat | 60 m²,20.000 TL
Adana - Sarıçam,Daire | 1+1 | 11. Kat | 60 m²,10.000 TL
Kayseri - Kocasinan,Daire | 2+1 | 5. Kat | 85 m²,12.500 TL
Kocaeli - Gebze,Daire | 3+1 | 4. Kat | 135 m²,35.000 TL
İstanbul - Bahçelievler,Daire | 4+1 | 1. Kat | 200 m²,79.000 TL
Balıkesir - Edremit,Daire | 1+1 | 2. Kat | 70 m²,20.000 TL
Adana - Seyhan,Daire | 2+1 | 2. Kat | 115 m²,12.000 TL
İstanbul - Esenyurt,Daire | 2+1 | Bahçe katı | 90 m²,15.000 TL
Konya - Selçuklu,Daire | 3+1 | Yüksek giriş | 145 m²,18.000 TL
İstanbul - Gaziosmanpaşa,Daire | 2+1 | Yüksek giriş | 90 m²,25.000 TL
Antalya - Konyaaltı,Daire | 5+1 | 4. Kat | 300 m²,80.000 TL
İzmir - Foça,Daire | 1+1 | Çatı katı | 60 m²,22.000 TL
Edirne - Edirne Merkez,Daire | 4+1 | Müstakil | 250 m²,60.000 TL
Eskişehir - Tepebaşı,Daire | 1+1 | 2. Kat | 60 m²,10.500 TL
Sakarya - Adapazarı,Daire | 1+1 | 3. Kat | 50 m²,18.000 TL
İzmir - Torbalı,Daire | 3+1 | 3. Kat | 140 m²,25.000 TL
Gaziantep - Şehitkamil,Daire | 2+1 | 5. Kat | 130 m²,19.000 TL
Balıkesir - Edremit,Daire | 3+1 | 2. Kat | 110 m²,32.000 TL
Kocaeli - İzmit,Daire | Stüdyo | 4. Kat | 30 m²,17.500 TL
Aydın - Nazilli,Daire | 2+1 | 3. Kat | 70 m²,8.500 TL
Aydın - Efeler,Daire | 3+1 | 3. Kat | 130 m²,23.000 TL
Antalya - Konyaaltı,Daire | 2+1 | 2. Kat | 150 m²,35.000 TL
Antalya - Kepez,Daire | 2+1 | 2. Kat | 90 m²,15.700 TL
