location,information,sales_price
Ankara - Yenimahalle,Daire | 2+1 | 4. Kat | 95 m²,26.000 TL
İzmir - Buca,Daire | 2+1 | 3. Kat | 125 m²,26.000 TL
Adana - Sarıçam,Daire | 1+1 | 13. Kat | 60 m²,16.000 TL
İstanbul - Beykoz,Daire | 3+1 | 1. Kat | 120 m²,33.500 TL
Kayseri - Melikgazi,Daire | 4+1 | 8. Kat | 175 m²,20.000 TL
Denizli - Pamukkale,Daire | 1+1 | 2. Kat | 40 m²,8.500 TL
Ankara - Etimesgut,Daire | 1 Oda | Yüksek giriş | 35 m²,14.000 TL
Manisa - Yunusemre,Daire | 2+1 | Yüksek giriş | 85 m²,30.000 TL
İzmir - Gaziemir,Daire | 2+1 | 4. Kat | 100 m²,28.000 TL
Aydın - Nazilli,Daire | 2+1 | 5. Kat | 75 m²,14.000 TL
Adana - Sarıçam,Daire | 1+1 | 13. Kat | 60 m²,16.000 TL
İstanbul - Beykoz,Daire | 3+1 | 1. Kat | 120 m²,33.500 TL
Kayseri - Melikgazi,Daire | 4+1 | 8. Kat | 175 m²,20.000 TL
Denizli - Pamukkale,Daire | 1+1 | 2. Kat | 40 m²,8.500 TL
Ankara - Etimesgut,Daire | 1 Oda | Yüksek giriş | 35 m²,14.000 TL
Manisa - Yunusemre,Daire | 2+1 | Yüksek giriş | 85 m²,30.000 TL
İzmir - Gaziemir,Daire | 2+1 | 4. Kat | 100 m²,28.000 TL
Aydın - Nazilli,Daire | 2+1 | 5. Kat | 75 m²,14.000 TL
Balıkesir - Altıeylül,Daire | 3+1 | 4. Kat | 160 m²,30.000 TL
Ankara - Sincan,Daire | 3+1 | 2. Kat | 130 m²,21.000 TL
Trabzon - Ortahisar,Daire | 1+1 | Çatı katı | 50 m²,10.500 TL
İzmir - Bayraklı,Daire | 3+1 | 7. Kat | 145 m²,25.000 TL
İzmir - Bayraklı,Daire | 3+1 | 2. Kat | 145 m²,29.000 TL
İzmir - Karşıyaka,Daire | 3+1 | 10. Kat | 138 m²,45.000 TL
Ankara - Çankaya,Daire | 3+1 | 3. Kat | 110 m²,25.000 TL
Ankara - Çankaya,Daire | 2+1 | 5. Kat | 80 m²,25.000 TL
Balıkesir - Ayvalık,Daire | 2+1 | 2. Kat | 90 m²,30.000 TL
Bursa - Nilüfer,Daire | 1+1 | 1. Kat | 60 m²,17.500 TL
İstanbul - Esenyurt,Daire | 2+1 | Bahçe katı | 110 m²,12.000 TL
Adana - Çukurova,Daire | 1+1 | Düz Giriş (Zemin) | 55 m²,10.000 TL
Bursa - Yıldırım,Daire | 2+1 | 5. Kat | 90 m²,13.000 TL
Trabzon - Ortahisar,Daire | 2+1 | 2. Kat | 100 m²,15.500 TL
Adana - Seyhan,Daire | 2+1 | 2. Kat | 110 m²,14.000 TL
Aydın - Söke,Daire | 3+1 | Yüksek giriş | 120 m²,23.000 TL
Samsun - İlkadım,Daire | 3+1 | 3. Kat | 220 m²,13.000 TL
İzmir - Çiğli,Daire | 2+1 | 5. Kat | 85 m²,21.000 TL
Aydın - Nazilli,Daire | 1+1 | 1. Kat | 50 m²,11.000 TL
İstanbul - Şişli,Daire | 3+2 | 4. Kat | 130 m²,49.000 TL
İzmir - Çiğli,Daire | 2+1 | Yüksek giriş | 90 m²,26.000 TL
Yozgat - Yozgat Merkez,Daire | 3+1 | 7. Kat | 130 m²,20.000 TL
İzmir - Çiğli,Daire | 2+1 | Yüksek giriş | 90 m²,26.000 TL
Yozgat - Yozgat Merkez,Daire | 3+1 | 7. Kat | 130 m²,20.000 TL
İstanbul - Üsküdar,Daire | 2+1 | 4. Kat | 90 m²,34.000 TL
İstanbul - Fatih,Daire | 2+1 | 1. Kat | 67 m²,20.000 TL
Tekirdağ - Çorlu,Daire | 1+1 | 10. Kat | 75 m²,16.500 TL
Manisa - Salihli,Daire | 2+1 | Yüksek giriş | 130 m²,10.000 TL
Şanlıurfa - Karaköprü,Daire | 2+0 | 4. Kat | 75 m²,13.500 TL
İstanbul - Fatih,Daire | 2+1 | 1. Kat | 77 m²,18.000 TL
İstanbul - Üsküdar,Daire | 3+1 | Düz Giriş (Zemin) | 110 m²,42.000 TL
Ankara - Yenimahalle,Daire | 2+1 | 7. Kat | 100 m²,50.000 TL
İstanbul - Küçükçekmece,Daire | 3+1 | 5. Kat | 120 m²,16.000 TL
Adana - Seyhan,Daire | 2+1 | 9. Kat | 100 m²,20.000 TL
İstanbul - Esenyurt,Daire | 1+1 | 12. Kat | 110 m²,14.000 TL15.000 TL
Şanlıurfa - Haliliye,Daire | 3+1 | 6. Kat | 160 m²,14.000 TL
Ankara - Mamak,Daire | 3+1 | 2. Kat | 125 m²,21.000 TL
Şanlıurfa - Karaköprü,Daire | 3+1 | 4. Kat | 190 m²,17.000 TL
Ordu - Altınordu,Daire | 1+1 | Bahçe katı | 50 m²,14.000 TL
Kilis - Kilis Merkez,Daire | 1+1 | 4. Kat | 40 m²,6.000 TL
Muğla - Bodrum,Daire | 2+1 | 2. Kat | 80 m²,60.000 TL
İzmir - Menemen,Daire | 3+1 | 2. Kat | 125 m²,30.000 TL
Adana - Sarıçam,Daire | 3+1 | 5. Kat | 130 m²,21.000 TL
İzmir - Bayraklı,Daire | 1+1 | 2. Kat | 50 m²,18.000 TL
Eskişehir - Odunpazarı,Daire | 1+1 | 2. Kat | 55 m²,13.500 TL
İstanbul - Bayrampaşa,Daire | 2+1 | 3. Kat | 85 m²,35.000 TL
Bursa - Nilüfer,Daire | 3+1 | 1. Kat | 160 m²,38.000 TL
Antalya - Manavgat,Daire | 2+1 | 2. Kat | 125 m²,13.000 TL
Konya - Selçuklu,Daire | 3+1 | 6. Kat | 165 m²,35.000 TL
Diyarbakır - Yenişehir,Daire | 3.5+1 | 2. Kat | 140 m²,25.000 TL
İstanbul - Ümraniye,Daire | 2+1 | 2. Kat | 120 m²,28.000 TL
Ankara - Mamak,Daire | 3+1 | 1. Kat | 110 m²,20.000 TL
Van - İpekyolu,Daire | 1+1 | 3. Kat | 70 m²,15.000 TL
İstanbul - Küçükçekmece,Daire | 2+1 | 2. Kat | 100 m²,25.000 TL
İzmir - Bayraklı,Daire | 3+1 | 4. Kat | 130 m²,32.000 TL
Aydın - Nazilli,Daire | 1+1 | 1. Kat | 50 m²,10.000 TL
İzmir - Karşıyaka,Daire | 1+1 | 2. Kat | 45 m²,20.000 TL
Yozgat - Sorgun,Daire | 3+1 | 3. Kat | 150 m²,12.000 TL
Adana - Sarıçam,Daire | 1+1 | 6. Kat | 50 m²,13.000 TL
Mersin - Mezitli,Daire | 3+1 | 3. Kat | 160 m²,17.000 TL
Balıkesir - Karesi,Daire | 2+1 | 3. Kat | 115 m²,11.000 TL
Balıkesir - Karesi,Daire | 1+1 | Çatı katı | 65 m²,12.000 TL
Adana - Seyhan,Daire | 1 Oda | 3. Kat | 45 m²,9.500 TL
İzmir - Buca,Daire | 1+1 | 4. Kat | 55 m²,21.000 TL
Adana - Seyhan,Daire | Stüdyo | Yüksek giriş | 50 m²,10.000 TL
Mersin - Erdemli,Daire | 2+1 | 6. Kat | 125 m²,15.000 TL
Eskişehir - Tepebaşı,Daire | 1 Oda | 3. Kat | 55 m²,10.000 TL
Kocaeli - Körfez,Daire | 2+1 | Yüksek giriş | 100 m²,28.500 TL
İstanbul - Çekmeköy,Daire | 2+1 | 2. Kat | 85 m²,25.000 TL
İzmir - Menderes,Daire | 2+1 | 1. Kat | 95 m²,35.000 TL
Adana - Seyhan,Daire | 3.5+1 | 1. Kat | 150 m²,155.000 TL
Gaziantep - Şahinbey,Daire | 1 Oda | 2. Kat | 30 m²,8.000 TL
Ordu - Gülyalı,Daire | 2+1 | 1. Kat | 85 m²,26.000 TL
Antalya - Manavgat,Daire | 3+1 | Villa tipi | 140 m²,21.000 TL
Adana - Seyhan,Daire | Stüdyo | 2. Kat | 45 m²,9.000 TL
Bursa - Nilüfer,Daire | 2+1 | Bahçe katı | 55 m²,14.000 TL
Konya - Akşehir,Daire | 1+1 | 3. Kat | 61 m²,16.500 TL
Bolu - Bolu Merkez,Daire | 4+1 | 4. Kat | 200 m²,30.000 TL
Samsun - Bafra,Daire | 3+1 | 5. Kat | 140 m²,17.000 TL
İstanbul - Esenyurt,Daire | 1+1 | 10. Kat | 65 m²,20.000 TL
İstanbul - Gaziosmanpaşa,Daire | 4+1 | 5. Kat | 190 m²,48.000 TL
İstanbul - Kağıthane,Daire | 2+1 | 1. Kat | 90 m²,40.000 TL
Adana - Seyhan,Daire | Stüdyo | 2. Kat | 45 m²,9.000 TL
Bursa - Nilüfer,Daire | 2+1 | Bahçe katı | 55 m²,14.000 TL
Konya - Akşehir,Daire | 1+1 | 3. Kat | 61 m²,16.500 TL
Bolu - Bolu Merkez,Daire | 4+1 | 4. Kat | 200 m²,30.000 TL
Samsun - Bafra,Daire | 3+1 | 5. Kat | 140 m²,17.000 TL
İstanbul - Esenyurt,Daire | 1+1 | 10. Kat | 65 m²,20.000 TL
İstanbul - Gaziosmanpaşa,Daire | 4+1 | 5. Kat | 190 m²,48.000 TL
İstanbul - Kağıthane,Daire | 2+1 | 1. Kat | 90 m²,40.000 TL
Ankara - Mamak,Daire | 3+1 | 3. Kat | 120 m²,23.000 TL
Ankara - Keçiören,Daire | 3+1 | 2. Kat | 130 m²,25.000 TL
Muğla - Menteşe,Daire | 2+1 | 2. Kat | 80 m²,23.500 TL
İstanbul - Esenyurt,Daire | 2+1 | 23. Kat | 145 m²,32.500 TL
Denizli - Pamukkale,Daire | 1+1 | 1. Kat | 55 m²,12.000 TL
Aydın - Söke,Daire | 3+1 | 3. Kat | 110 m²,18.000 TL
Balıkesir - Karesi,Daire | 2+1 | Yüksek giriş | 120 m²,15.000 TL
Antalya - Alanya,Daire | 2+1 | 5. Kat | 120 m²,45.000 TL
İzmir - Menderes,Daire | 2+1 | 2. Kat | 95 m²,35.000 TL
Adana - Sarıçam,Daire | 3+1 | 2. Kat | 140 m²,15.000 TL
Rize - Rize Merkez,Daire | 3+1 | Düz Giriş (Zemin) | 110 m²,14.000 TL
Antalya - Alanya,Daire | 3+1 | 7. Kat | 150 m²,54.000 TL
İstanbul - Kağıthane,Daire | 1.5+1 | 3. Kat | 68 m²,30.000 TL
Ankara - Keçiören,Daire | 3+1 | 1. Kat | 145 m²,23.000 TL
İstanbul - Arnavutköy,Daire | Stüdyo | Yüksek giriş | 100 m²,22.000 TL
İstanbul - Güngören,Daire | 2+1 | 4. Kat | 85 m²,19.500 TL
Antalya - Manavgat,Daire | 3+1 | 2. Kat | 160 m²,29.000 TL
Şanlıurfa - Karaköprü,Daire | 3+1 | 4. Kat | 205 m²,18.000 TL
Manisa - Alaşehir,Daire | 2+1 | 1. Kat | 95 m²,18.500 TL
İstanbul - Maltepe,Daire | 4+1 | 4. Kat | 170 m²,55.000 TL
Ankara - Keçiören,Daire | 2+1 | Düz Giriş (Zemin) | 110 m²,23.000 TL
Denizli - Çivril,Daire | 2+1 | Çatı katı | 110 m²,16.000 TL
Antalya - Kepez,Daire | 2+1 | Düz Giriş (Zemin) | 55 m²,17.000 TL
Ankara - Yenimahalle,Daire | 3+1 | 1. Kat | 140 m²,27.500 TL
Bursa - Nilüfer,Daire | 2+1 | 3. Kat | 125 m²,23.500 TL
Mersin - Mezitli,Daire | 1+1 | 7. Kat | 60 m²,14.000 TL
İstanbul - Pendik,Daire | 2+1 | 1. Kat | 110 m²,18.000 TL
İstanbul - Sarıyer,Daire | 3+1 | 1. Kat | 135 m²,52.000 TL
Samsun - Atakum,Daire | 1+1 | 2. Kat | 50 m²,12.000 TL
Antalya - Alanya,Daire | 2+1 | 2. Kat | 110 m²,20.000 TL
Antalya - Alanya,Daire | 1+1 | 4. Kat | 55 m²,18.500 TL
Denizli - Merkezefendi,Daire | 3+1 | 4. Kat | 160 m²,17.500 TL
Adana - Sarıçam,Daire | 2+1 | 11. Kat | 90 m²,11.000 TL
Antalya - Konyaaltı,Daire | 1+1 | 3. Kat | 65 m²,25.000 TL
İzmir - Bornova,Daire | 2+1 | 3. Kat | 125 m²,25.000 TL
Ankara - Keçiören,Daire | 3+1 | Kot 1 (-1). Kat | 125 m²,27.500 TL
İstanbul - Beyoğlu,Daire | 2+1 | 2. Kat | 85 m²,33.000 TL
Antalya - Konyaaltı,Daire | 3+1 | 1. Kat | 200 m²,35.000 TL
İstanbul - Kağıthane,Daire | 2+1 | Kot 1 (-1). Kat | 85 m²,16.000 TL
Aydın - Nazilli,Daire | 2+1 | 2. Kat | 100 m²,15.000 TL
Şanlıurfa - Karaköprü,Daire | 3+1 | 3. Kat | 170 m²,18.000 TL
Diyarbakır - Yenişehir,Daire | 2+1 | 5. Kat | 85 m²,24.000 TL
İstanbul - Kağıthane,Daire | 3+1 | 1. Kat | 85 m²,30.000 TL
İstanbul - Kağıthane,Daire | 2+1 | Yüksek giriş | 80 m²,26.000 TL
Manisa - Akhisar,Daire | 3+1 | 2. Kat | 122 m²,27.000 TL
İstanbul - Bayrampaşa,Daire | 2+1 | 2. Kat | 96 m²,25.000 TL
Adana - Çukurova,Daire | 3+1 | 2. Kat | 160 m²,30.000 TL
İstanbul - Kağıthane,Daire | Stüdyo | 3. Kat | 30 m²,12.500 TL
Adana - Sarıçam,Daire | 3+1 | 1. Kat | 130 m²,9.000 TL
Malatya - Yeşilyurt,Daire | 3+1 | 3. Kat | 165 m²,23.000 TL
Edirne - Edirne Merkez,Daire | 2+1 | 2. Kat | 105 m²,18.000 TL
İstanbul - Bakırköy,Daire | 3+1 | 1. Kat | 180 m²,110.000 TL
Kayseri - Kocasinan,Daire | 3+1 | 5. Kat | 175 m²,18.500 TL
İstanbul - Maltepe,Daire | 3+1 | 2. Kat | 125 m²,52.500 TL
Edirne - Edirne Merkez,Daire | 1+1 | 4. Kat | 60 m²,20.500 TL
Eskişehir - Tepebaşı,Daire | 3+1 | 3. Kat | 120 m²,20.000 TL
İstanbul - Beykoz,Daire | 3+1 | 2. Kat | 110 m²,26.000 TL
Edirne - Edirne Merkez,Daire | 2+1 | 3. Kat | 80 m²,17.500 TL
Ankara - Keçiören,Daire | 3+1 | 3. Kat | 120 m²,24.500 TL
Aydın - Efeler,Daire | 1+1 | 4. Kat | 45 m²,14.000 TL
Afyonkarahisar - Bolvadin,Daire | 1+1 | 3. Kat | 72 m²,10.000 TL
Adana - Yüreğir,Daire | 3+1 | 3. Kat | 145 m²,19.000 TL
Ankara - Çankaya,Daire | 3+1 | Yüksek giriş | 115 m²,28.000 TL
Eskişehir - Tepebaşı,Daire | 2+1 | 2. Kat | 95 m²,20.000 TL
Aydın - Germencik,Daire | 2+1 | 1. Kat | 100 m²,17.000 TL
Mardin - Artuklu,Daire | 2+1 | 3. Kat | 100 m²,16.500 TL
Ankara - Etimesgut,Daire | 5+1 | Çatı Dubleks | 230 m²,31.000 TL
İstanbul - Küçükçekmece,Daire | 2+1 | 5. Kat | 120 m²,40.000 TL
Edirne - Edirne Merkez,Daire | 3+1 | Yüksek giriş | 110 m²,28.000 TL
Adana - Sarıçam,Daire | 2+1 | Yüksek giriş | 110 m²,7.500 TL
Aydın - Kuşadası,Daire | 2.5+1 | Çatı Dubleks | 175 m²,50.000 TL
Ankara - Keçiören,Daire | 3+1 | 1. Kat | 125 m²,23.000 TL
İzmir - Bayraklı,Daire | 1+1 | 5. Kat | 53 m²,26.000 TL
İzmir - Seferihisar,Daire | 2+1 | 2. Kat | 100 m²,35.000 TL
Ankara - Keçiören,Daire | 3+1 | Kot 1 (-1). Kat | 120 m²,17.500 TL
İstanbul - Küçükçekmece,Daire | 2+1 | 5. Kat | 75 m²,20.000 TL
Giresun - Giresun Merkez,Daire | 3+1 | 4. Kat | 150 m²,25.000 TL
Eskişehir - Odunpazarı,Daire | 1+1 | 2. Kat | 60 m²,10.000 TL
Antalya - Muratpaşa,Daire | 3+1 | 2. Kat | 160 m²,27.000 TL
Ankara - Çankaya,Daire | 5+1 | 3. Kat | 220 m²,42.000 TL
Kayseri - Kocasinan,Daire | 3+1 | 2. Kat | 120 m²,10.000 TL
İstanbul - Küçükçekmece,Daire | 3+1 | 7. Kat | 125 m²,14.500 TL
İzmir - Bayraklı,Daire | 1+1 | 5. Kat | 53 m²,26.000 TL
İzmir - Seferihisar,Daire | 2+1 | 2. Kat | 100 m²,35.000 TL
Ankara - Keçiören,Daire | 3+1 | Kot 1 (-1). Kat | 120 m²,17.500 TL
İstanbul - Küçükçekmece,Daire | 2+1 | 5. Kat | 75 m²,20.000 TL
Giresun - Giresun Merkez,Daire | 3+1 | 4. Kat | 150 m²,25.000 TL
Eskişehir - Odunpazarı,Daire | 1+1 | 2. Kat | 60 m²,10.000 TL
Antalya - Muratpaşa,Daire | 3+1 | 2. Kat | 160 m²,27.000 TL
Ankara - Çankaya,Daire | 5+1 | 3. Kat | 220 m²,42.000 TL
Kayseri - Kocasinan,Daire | 3+1 | 2. Kat | 120 m²,10.000 TL
İstanbul - Küçükçekmece,Daire | 3+1 | 7. Kat | 125 m²,14.500 TL
Ankara - Yenimahalle,Daire | 4+1 | 6. Kat | 185 m²,37.000 TL40.000 TL
Aydın - Nazilli,Daire | 1+1 | 3. Kat | 51 m²,10.000 TL
Batman - Batman Merkez,Daire | 2+1 | 2. Kat | 105 m²,19.000 TL
Aydın - Söke,Daire | 2+1 | 4. Kat | 105 m²,23.000 TL25.000 TL
Mersin - Mezitli,Daire | 2+1 | 2. Kat | 110 m²,300.000 TL
Sakarya - Karasu,Daire | 1+1 | Yüksek giriş | 55 m²,16.000 TL
Mersin - Akdeniz,Daire | 1+1 | 2. Kat | 45 m²,12.500 TL
Antalya - Manavgat,Daire | 1+1 | Düz Giriş (Zemin) | 70 m²,12.000 TL
Sakarya - Hendek,Daire | 3+1 | 3. Kat | 125 m²,14.000 TL
Bursa - Orhangazi,Daire | 3+1 | 1. Kat | 120 m²,18.000 TL
İzmir - Konak,Daire | 2+1 | 1. Kat | 93 m²,32.000 TL
İstanbul - Küçükçekmece,Daire | 2+1 | 5. Kat | 75 m²,20.000 TL
İstanbul - Gaziosmanpaşa,Daire | 2+1 | 1. Kat | 65 m²,15.500 TL
Ankara - Yenimahalle,Daire | 3+1 | 12. Kat | 120 m²,26.000 TL
İstanbul - Pendik,Daire | 2+1 | 6. Kat | 75 m²,24.750 TL
Eskişehir - Odunpazarı,Daire | 2+1 | 4. Kat | 90 m²,17.000 TL
İstanbul - Sultanbeyli,Daire | 2+1 | 2. Kat | 90 m²,19.500 TL
Van - İpekyolu,Daire | 1+1 | 2. Kat | 65 m²,13.000 TL
Manisa - Yunusemre,Daire | 2+1 | 3. Kat | 85 m²,25.000 TL
Düzce - Düzce Merkez,Daire | 1+1 | Düz Giriş (Zemin) | 74 m²,9.500 TL
Eskişehir - Tepebaşı,Daire | 1+1 | 2. Kat | 55 m²,15.500 TL
İstanbul - Kağıthane,Daire | 2+1 | 2. Kat | 80 m²,24.000 TL
İstanbul - Kartal,Daire | 2+1 | 2. Kat | 100 m²,32.000 TL
Ankara - Yenimahalle,Daire | 3+1 | 11. Kat | 150 m²,31.500 TL
Sakarya - Serdivan,Daire | 1+1 | 2. Kat | 55 m²,17.000 TL
Balıkesir - Edremit,Daire | 3+1 | 3. Kat | 135 m²,39.000 TL
İstanbul - Bahçelievler,Daire | 1+1 | Bodrum Kat | 45 m²,9.500 TL
Eskişehir - Tepebaşı,Daire | 2+1 | 1. Kat | 110 m²,15.500 TL
Mersin - Yenişehir,Daire | 3+1 | 5. Kat | 165 m²,20.000 TL
Ankara - Yenimahalle,Daire | 2.5+1 | 8. Kat | 110 m²,45.000 TL
Konya - Selçuklu,Daire | 3+1 | 1. Kat | 170 m²,36.000 TL
Eskişehir - Odunpazarı,Daire | 3+1 | 2. Kat | 130 m²,18.000 TL
Kocaeli - İzmit,Daire | 2+1 | Düz Giriş (Zemin) | 90 m²,18.000 TL
İstanbul - Gaziosmanpaşa,Daire | 2+1 | 1. Kat | 100 m²,25.000 TL
Bursa - Osmangazi,Daire | 1+1 | Düz Giriş (Zemin) | 57 m²,16.000 TL
Muğla - Fethiye,Daire | 3+1 | 2. Kat | 180 m²,26.000 TL
İzmir - Bornova,Daire | 2+1 | 2. Kat | 90 m²,38.000 TL
İzmir - Bornova,Daire | 3+1 | 4. Kat | 120 m²,29.000 TL
Çanakkale - Çanakkale Merkez,Daire | 1+1 | 2. Kat | 55 m²,22.000 TL
Çanakkale - Çanakkale Merkez,Daire | 2+1 | Düz Giriş (Zemin) | 80 m²,25.000 TL
Muğla - Marmaris,Daire | Stüdyo | Bahçe katı | 35 m²,16.000 TL
Sivas - Sivas Merkez,Daire | 3+1 | Yüksek giriş | 125 m²,15.500 TL
Şanlıurfa - Karaköprü,Daire | 2+1 | 2. Kat | 97 m²,14.000 TL
Şanlıurfa - Karaköprü,Daire | 2+1 | 6. Kat | 120 m²,15.000 TL
İstanbul - Eyüpsultan,Daire | 2+1 | Kot 1 (-1). Kat | 80 m²,17.500 TL
Ankara - Etimesgut,Daire | 3+1 | 5. Kat | 117 m²,18.000 TL
Van - İpekyolu,Daire | 1+1 | 4. Kat | 60 m²,13.500 TL
Balıkesir - Altıeylül,Daire | 2+1 | 2. Kat | 110 m²,28.000 TL
Kocaeli - Kartepe,Daire | 2+1 | Çatı katı | 110 m²,20.000 TL
İstanbul - Başakşehir,Daire | 3+1 | 2. Kat | 170 m²,48.000 TL
Ankara - Etimesgut,Daire | 2+1 | Düz Giriş (Zemin) | 90 m²,26.500 TL
Bursa - Yıldırım,Daire | 2+1 | 4. Kat | 125 m²,17.000 TL
İstanbul - Beylikdüzü,Daire | 2+1 | 2. Kat | 95 m²,35.000 TL
Samsun - Atakum,Daire | 3+1 | 5. Kat | 130 m²,18.500 TL
Manisa - Akhisar,Daire | 2+1 | 2. Kat | 85 m²,13.250 TL
Manisa - Akhisar,Daire | 3+1 | 3. Kat | 135 m²,16.000 TL
Tekirdağ - Süleymanpaşa,Daire | 1+1 | 4. Kat | 55 m²,19.000 TL
Sivas - Sivas Merkez,Daire | 1+1 | 3. Kat | 65 m²,22.000 TL
Bursa - Nilüfer,Daire | 1+1 | 3. Kat | 55 m²,15.000 TL
İstanbul - Avcılar,Daire | 2+1 | 2. Kat | 90 m²,26.000 TL
Eskişehir - Odunpazarı,Daire | 1+1 | 2. Kat | 69 m²,20.000 TL
Kırşehir - Kırşehir Merkez,Daire | 2+1 | 3. Kat | 95 m²,11.500 TL
Bursa - Mudanya,Daire | 2+1 | 3. Kat | 120 m²,28.000 TL
Manisa - Salihli,Daire | 3+1 | 1. Kat | 120 m²,15.000 TL
Samsun - Atakum,Daire | 1+1 | 6. Kat | 60 m²,20.000 TL
Bursa - Yıldırım,Daire | 4+1 | 1. Kat | 180 m²,22.000 TL
Manisa - Alaşehir,Daire | 2+1 | 2. Kat | 90 m²,20.000 TL
İstanbul - Esenler,Daire | 3+1 | 1. Kat | 95 m²,34.950 TL
İstanbul - Fatih,Daire | 2+1 | 1. Kat | 95 m²,34.950 TL
İstanbul - Beylikdüzü,Daire | 2+1 | 2. Kat | 90 m²,40.000 TL
İstanbul - Beylikdüzü,Daire | 2+1 | Bahçe katı | 80 m²,30.000 TL
İstanbul - Beykoz,Daire | 3+1 | Düz Giriş (Zemin) | 125 m²,67.000 TL
İstanbul - Beykoz,Daire | 4+2 | Çatı katı | 350 m²,110.000 TL
Malatya - Yeşilyurt,Daire | 1+1 | 3. Kat | 60 m²,22.500 TL
Sakarya - Adapazarı,Daire | 2+1 | 3. Kat | 95 m²,13.000 TL
İzmir - Konak,Daire | 3+1 | Kot 2 (-2). Kat | 120 m²,24.000 TL
Eskişehir - Odunpazarı,Daire | 2+1 | 2. Kat | 100 m²,15.000 TL
Kocaeli - Gölcük,Daire | 3+1 | 5. Kat | 120 m²,23.000 TL
Eskişehir - Odunpazarı,Daire | 3+1 | 2. Kat | 120 m²,17.000 TL
İzmir - Buca,Daire | 1+1 | Kot 1 (-1). Kat | 60 m²,20.000 TL
İzmir - Karabağlar,Daire | 2+1 | 2. Kat | 98 m²,25.000 TL
İzmir - Bornova,Daire | 2+1 | 2. Kat | 100 m²,28.000 TL
Ankara - Çankaya,Daire | 2+1 | Düz Giriş (Zemin) | 95 m²,25.000 TL
Kırklareli - Lüleburgaz,Daire | 1+1 | 2. Kat | 45 m²,15.000 TL
Kayseri - Melikgazi,Daire | 3+1 | 1. Kat | 135 m²,11.500 TL
İzmir - Karabağlar,Daire | 3+1 | 4. Kat | 130 m²,35.000 TL
İzmir - Bornova,Daire | Stüdyo | 14. Kat | 34 m²,21.000 TL
İzmir - Buca,Daire | 1+1 | Düz Giriş (Zemin) | 60 m²,15.500 TL
İzmir - Bornova,Daire | Stüdyo | 10. Kat | 40 m²,17.500 TL
İzmir - Tire,Daire | 2+1 | 2. Kat | 75 m²,30.000 TL
İzmir - Konak,Daire | 1+1 | 5. Kat | 60 m²,50.000 TL
Gaziantep - Şehitkamil,Daire | 3+1 | 7. Kat | 147 m²,14.000 TL
İstanbul - Maltepe,Daire | 2+1 | Düz Giriş (Zemin) | 75 m²,19.000 TL
Ankara - Çankaya,Daire | 3+1 | 3. Kat | 110 m²,33.000 TL
Muğla - Ula,Daire | 2+1 | 2. Kat | 90 m²,22.000 TL
Kayseri - Kocasinan,Daire | 4+1 | 6. Kat | 195 m²,19.750 TL
Burdur - Bucak,Daire | 3+1 | 2. Kat | 137 m²,21.000 TL
Ankara - Keçiören,Daire | 3+1 | 4. Kat | 125 m²,20.000 TL
Kırklareli - Lüleburgaz,Daire | 1+1 | 1. Kat | 60 m²,14.750 TL
Yalova - Yalova Merkez,Daire | 3+1 | 2. Kat | 140 m²,28.000 TL
Ankara - Mamak,Daire | 3+1 | Kot 1 (-1). Kat | 100 m²,17.500 TL
Samsun - Atakum,Daire | 1+1 | 2. Kat | 60 m²,13.500 TL
Batman - Batman Merkez,Daire | 1+1 | 3. Kat | 50 m²,15.000 TL
Bursa - Mustafakemalpaşa,Daire | 3+1 | 4. Kat | 155 m²,25.000 TL
İstanbul - Avcılar,Daire | 2+0 | Çatı katı | 130 m²,25.000 TL
Sakarya - Karasu,Daire | 2+1 | 3. Kat | 85 m²,20.000 TL
Isparta - Isparta Merkez,Daire | 1+1 | 2. Kat | 52 m²,18.000 TL
Manisa - Turgutlu,Daire | 2+1 | 1. Kat | 120 m²,17.500 TL
Adana - Sarıçam,Daire | 1+1 | 7. Kat | 55 m²,16.000 TL
Bolu - Bolu Merkez,Daire | 4+1 | Müstakil | 120 m²,25.000 TL
İstanbul - Kadıköy,Daire | 3+1 | 5. Kat | 110 m²,42.000 TL
İstanbul - Üsküdar,Daire | 3+1 | Yüksek giriş | 120 m²,25.000 TL
Manisa - Yunusemre,Daire | 3+1 | 3. Kat | 125 m²,22.000 TL
Manisa - Şehzadeler,Daire | 3+1 | 5. Kat | 125 m²,20.000 TL
Antalya - Muratpaşa,Daire | 2+1 | Yüksek giriş | 95 m²,36.000 TL
Aydın - Nazilli,Daire | 1+1 | 1. Kat | 60 m²,13.000 TL
İstanbul - Pendik,Daire | 3+1 | 3. Kat | 100 m²,45.000 TL
Aydın - Efeler,Daire | 2+1 | 5. Kat | 120 m²,10.000 TL
KKTC - İskele,Daire | Stüdyo | 4. Kat | 65 m²,21.000 TL
Bursa - Mudanya,Daire | 3+1 | 3. Kat | 135 m²,21.000 TL
Antalya - Finike,Daire | 1+1 | 1. Kat | 55 m²,13.500 TL
İstanbul - Zeytinburnu,Daire | 2+1 | 4. Kat | 85 m²,28.000 TL
İstanbul - Avcılar,Daire | 1+1 | Bahçe katı | 65 m²,18.500 TL
İstanbul - Avcılar,Daire | 2+1 | Düz Giriş (Zemin) | 80 m²,13.000 TL
