İl,İlçe,Mahalle,Lat,Lon
İstanbul,Beşiktaş,Levent,41.08156486185612,29.016902055926526
İstanbul,Beşiktaş,Etiler,41.084418259821895,29.03608578721793
İstanbul,Beşiktaş,Ortaköy,41.05459443493025,29.02770165855067
İstanbul,Beşiktaş,Arnavutköy,41.06822260719547,29.04126624681505
İstanbul,Kadıköy,Caferağa,40.98509234417334,29.024811508895677
İstanbul,Kadıköy,Rasimpaşa,40.99695418424227,29.02608799715992
İstanbul,Kadıköy,Fenerbahçe,40.97345280807836,29.04309528028209
İstanbul,Kadıköy,Erenköy,40.97218177850249,29.07592428488675
