location,information,sales_price
Fethiye - Taşyaka Mahallesi,Daire | 2+1 | 3. Kat | 95 m²,33.000 TL
Fethiye - Yeni Mahallesi,Daire | 1+1 | Yüksek giriş | 50 m²,27.000 TL
Milas - Cumhuriyet Mahallesi,Daire | 3+1 | 1. Kat | 120 m²,26.000 TL
Fethiye - Pazaryeri Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 85 m²,30.000 TL
Fethiye - Cumhuriyet Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,25.000 TL
Fethiye - Tuzla Mahallesi,Daire | 3+1 | 3. Kat | 110 m²,38.500 TL
Dalaman - Hürriyet Mahallesi,Daire | 1+1 | 2. Kat | 50 m²,25.000 TL
Bodrum - Kumbahçe Mahallesi,Daire | 3+1 | 2. Kat | 150 m²,110.000 TL120.000 TL
Dalaman - Altıntas Mahallesi,Daire | 2+1 | Bahçe katı | 100 m²,16.500 TL
Dalaman - Merkez Mahallesi,Daire | 2+1 | 2. Kat | 110 m²,20.000 TL
Bodrum - Gümüşlük Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,120.000 TL
Bodrum - Müskebi Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 85 m²,50.000 TL
Menteşe - Kötekli Mahallesi,Daire | 2+1 | 2. Kat | 60 m²,20.000 TL
Bodrum - Turgutreis Mahallesi,Daire | 3+1 | 2. Kat | 106 m²,40.000 TL
Köyceğiz - Zeytinalanı Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 100 m²,15.000 TL
Menteşe - Kötekli Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 50 m²,20.000 TL
Fethiye - Patlangıç Mahallesi,Daire | 2+1 | Çatı katı | 85 m²,25.000 TL
Milas - İsmet Paşa Mahallesi,Daire | 3+1 | 2. Kat | 122 m²,27.000 TL
Bodrum - Küçükbük Mahallesi,Daire | 2+1 | Bahçe katı | 80 m²,150.000 TL
Bodrum - Bahçelievler Mahallesi,Daire | 3+1 | Bahçe katı | 85 m²,35.000 TL
Fethiye - Foça Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 95 m²,40.000 TL
Milas - Hacıabti Mahallesi,Daire | 3+1 | 2. Kat | 130 m²,20.000 TL
Milas - Güllük Mahallesi,Daire | 1+1 | 2. Kat | 70 m²,25.000 TL
Bodrum - Dirmil Mahallesi,Daire | 2+1 | 1. Kat | 90 m²,45.000 TL
Bodrum - Gümbet Mahallesi,Daire | 1+1 | Bahçe katı | 84 m²,57.000 TL
Bodrum - Gündoğan Mahallesi,Daire | 3+1 | 1. Kat | 190 m²,45.000 TL
Fethiye - Menteşeoğlu Mahallesi,Daire | 4+1 | 2. Kat | 170 m²,30.000 TL
Fethiye - Cami Mahallesi,Daire | 2+1 | 1. Kat | 100 m²,21.000 TL
Marmaris - Armutalan Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,40.000 TL
Bodrum - Koyunbaba Mahallesi,Daire | 2+1 | Kot 2 (-2). Kat | 70 m²,40.000 TL
Bodrum - Yokuşbaşı Mahallesi,Daire | 1+1 | Bahçe katı | 65 m²,25.000 TL
Menteşe - Kötekli Mahallesi,Daire | 2+1 | 4. Kat | 60 m²,30.000 TL
Bodrum - Yakaköy Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 65 m²,25.000 TL
Bodrum - Yakaköy Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 75 m²,20.000 TL
Bodrum - Yakaköy Mahallesi,Daire | 2+1 | 2. Kat | 80 m²,25.000 TL
Menteşe - Kötekli Mahallesi,Daire | 2+0 | 1. Kat | 47 m²,22.000 TL
Menteşe - Kötekli Mahallesi,Daire | 1+1 | 2. Kat | 40 m²,18.000 TL
Bodrum - Mumcular Mahallesi,Daire | 2+1 | 2. Kat | 75 m²,18.000 TL
Bodrum - Karaova Mahallesi,Daire | 4+1 | 3. Kat | 220 m²,33.000 TL
Bodrum - Yeniköy Karaova Mahallesi,Daire | 2+1 | 3. Kat | 80 m²,18.500 TL
Ula - Alparslan Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 75 m²,15.000 TL
Marmaris - Armutalan Mahallesi,Daire | 3+1 | 2. Kat | 140 m²,65.000 TL
Menteşe - Akçaova Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 85 m²,20.000 TL
Yatağan - Cumhuriyet Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,20.000 TL
Ortaca - Terzialiler Mahallesi,Daire | 3+1 | 1. Kat | 140 m²,15.000 TL
Ula - Demirtaş Mahallesi,Daire | 2+1 | 2. Kat | 75 m²,18.000 TL20.000 TL
Dalaman - Altıntas Mahallesi,Daire | 2+1 | 2. Kat | 95 m²,20.000 TL
Ortaca - Çaylı Mahallesi,Daire | 2+1 | Bahçe katı | 95 m²,16.000 TL
Milas - Ağaçlıhüyük Mahallesi,Daire | 2+1 | 1. Kat | 150 m²,18.000 TL
Dalaman - Altıntas Mahallesi,Daire | 1+1 | 3. Kat | 55 m²,13.250 TL
Fethiye - Yeni Mahallesi,Daire | 2+1 | Kot 1 (-1). Kat | 75 m²,22.000 TL
Bodrum - Konacık Mahallesi,Daire | 2+1 | Bahçe katı | 80 m²,42.000 TL
Ortaca - Terzialiler Mahallesi,Daire | 3+1 | 1. Kat | 150 m²,30.000 TL
Milas - Güllük Mahallesi,Daire | 1+1 | 2. Kat | 65 m²,25.000 TL
Bodrum - Gümüşlük Mahallesi,Daire | 2+1 | Bahçe katı | 85 m²,88.000 TL
Bodrum - Koyunbaba Mahallesi,Daire | 2+1 | 2. Kat | 70 m²,40.000 TL
Dalaman - Söğütlüyurt Mahallesi,Daire | 1+1 | 2. Kat | 62 m²,20.000 TL
Menteşe - Kötekli Mahallesi,Daire | 1+1 | 3. Kat | 50 m²,20.000 TL
Bodrum - Eskiçeşme Mahallesi,Daire | 2+1 | 2. Kat | 110 m²,55.000 TL
Bodrum - Cumhuriyet Mahallesi,Daire | 2+1 | 1. Kat | 97 m²,80.000 TL
Bodrum - Yalıkavak Mahallesi,Daire | 2+1 | 3. Kat | 90 m²,140.000 TL
Milas - İsmet Paşa Mahallesi,Daire | 3+1 | 1. Kat | 120 m²,19.000 TL
Bodrum - Mumcular Mahallesi,Daire | 2+1 | 3. Kat | 80 m²,18.000 TL
Bodrum - Dirmil Mahallesi,Daire | 2+1 | Çatı katı | 62 m²,32.500 TL
Bodrum - Koyunbaba Mahallesi,Daire | 1+1 | Bahçe katı | 53 m²,25.000 TL
Bodrum - Dirmil Mahallesi,Daire | 2+1 | 3. Kat | 70 m²,40.000 TL
Fethiye - İnlice Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 85 m²,47.000 TL
Datça - Reşadiye Mahallesi,Daire | 3+1 | 2. Kat | 150 m²,37.000 TL
Fethiye - Tuzla Mahallesi,Daire | 3+1 | 2. Kat | 140 m²,35.000 TL
Ortaca - Karaburun Mahallesi,Daire | 1+1 | 2. Kat | 85 m²,16.000 TL18.000 TL
Marmaris - Kemeraltı Mahallesi,Daire | 1+1 | Yüksek giriş | 55 m²,30.000 TL
Menteşe - Bayır Mahallesi,Daire | 3+1 | 3. Kat | 140 m²,21.000 TL
Datça - Emecik Mahallesi,Daire | 2+0 | 2. Kat | 70 m²,110.000 TL
Datça - İskele Mahallesi,Daire | 3+1 | 3. Kat | 100 m²,35.000 TL
Dalaman - Ege Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,21.000 TL
Bodrum - Bitez Mahallesi,Daire | 2+1 | 3. Kat | 100 m²,125.000 TL
Bodrum - Yokuşbaşı Mahallesi,Daire | 3+1 | 2. Kat | 140 m²,70.000 TL
Ortaca - Cumhuriyet Mahallesi,Daire | 3+1 | 4. Kat | 140 m²,19.000 TL
Fethiye - Çamköy Mahallesi,Daire | 2+1 | 2. Kat | 120 m²,17.000 TL
Fethiye - Taşyaka Mahallesi,Daire | 2+1 | Bahçe katı | 100 m²,30.000 TL
Fethiye - Patlangıç Mahallesi,Daire | 2+1 | 2. Kat | 140 m²,27.000 TL
Ortaca - Terzialiler Mahallesi,Daire | 2+1 | 2. Kat | 105 m²,20.000 TL
Menteşe - Kötekli Mahallesi,Daire | 2+1 | 2. Kat | 80 m²,30.000 TL
Dalaman - Merkez Mahallesi,Daire | 3+1 | 1. Kat | 130 m²,21.500 TL
Bodrum - Gümbet Mahallesi,Daire | Stüdyo | 2. Kat | 35 m²,40.000 TL
Bodrum - Peksimet Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 55 m²,35.000 TL
Bodrum - Kumbahçe Mahallesi,Daire | 3+1 | 3. Kat | 150 m²,110.000 TL120.000 TL
Bodrum - Gümbet Mahallesi,Daire | 2+1 | Bahçe katı | 120 m²,90.000 TL
Fethiye - Foça Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 65 m²,35.000 TL
Fethiye - Esenköy Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 75 m²,16.000 TL
Bodrum - Çarşı Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 50 m²,30.000 TL
Ortaca - Karaburun Mahallesi,Daire | 1+1 | Yüksek giriş | 55 m²,12.000 TL
Fethiye - Tuzla Mahallesi,Daire | 3+1 | 2. Kat | 145 m²,32.000 TL
Fethiye - Karaçulha Mahallesi,Daire | 2+1 | 1. Kat | 140 m²,22.000 TL
Dalaman - Hürriyet Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,20.000 TL
Datça - Datça Mahallesi,Daire | 3+1 | 3. Kat | 110 m²,150.000 TL
Fethiye - Taşyaka Mahallesi,Daire | 3+1 | 2. Kat | 120 m²,33.000 TL
Seydikemer - Belen Mahallesi,Daire | 2+1 | Kot 2 (-2). Kat | 130 m²,17.000 TL18.500 TL
Menteşe - Akçaova Mahallesi,Daire | 2+1 | 4. Kat | 90 m²,22.000 TL
Menteşe - Akçaova Mahallesi,Daire | 2+1 | 1. Kat | 70 m²,20.000 TL
Marmaris - Armutalan Mahallesi,Daire | 3+1 | 2. Kat | 140 m²,30.000 TL
Fethiye - Esenköy Mahallesi,Daire | 2+1 | Bahçe katı | 120 m²,20.000 TL
Fethiye - Taşyaka Mahallesi,Daire | 1+1 | Bahçe katı | 55 m²,25.000 TL
Milas - Cumhuriyet Mahallesi,Daire | 3+1 | 3. Kat | 120 m²,23.000 TL
Bodrum - Kumbahçe Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 45 m²,25.000 TL
Bodrum - Bahçelievler Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,55.000 TL
Ortaca - Okçular Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 135 m²,15.000 TL
Bodrum - Yahşi Mahallesi,Daire | 3+1 | Düz Giriş (Zemin) | 110 m²,50.000 TL
Bodrum - Peksimet Mahallesi,Daire | 1+1 | Bahçe katı | 55 m²,35.000 TL
Bodrum - Geriş Mahallesi,Daire | 2+1 | 3. Kat | 80 m²,40.000 TL
Fethiye - Taşyaka Mahallesi,Daire | 1+1 | 2. Kat | 45 m²,27.000 TL
Menteşe - Bayır Mahallesi,Daire | 2+1 | 2. Kat | 110 m²,22.000 TL
Fethiye - Foça Mahallesi,Daire | 3+1 | Müstakil | 120 m²,50.000 TL
Menteşe - Kötekli Mahallesi,Daire | 2+1 | 2. Kat | 70 m²,28.000 TL30.000 TL
Bodrum - Eskiçeşme Mahallesi,Daire | 2+1 | 2. Kat | 85 m²,45.000 TL
Fethiye - Akarca Mahallesi,Daire | 2+1 | Bahçe katı | 80 m²,28.000 TL30.000 TL
Fethiye - Esenköy Mahallesi,Daire | 2+1 | 3. Kat | 110 m²,29.000 TL
Fethiye - Karaçulha Mahallesi,Daire | 3.5+1 | 3. Kat | 140 m²,18.000 TL
Fethiye - Esenköy Mahallesi,Daire | 3+1 | 2. Kat | 120 m²,20.000 TL
Fethiye - Esenköy Mahallesi,Daire | 3+1 | Düz Giriş (Zemin) | 130 m²,16.000 TL
Dalaman - Bezkese Mahallesi,Daire | 3+1 | Düz Giriş (Zemin) | 145 m²,25.000 TL
Dalaman - Söğütlüyurt Mahallesi,Daire | 2+1 | 2. Kat | 95 m²,23.000 TL
Bodrum - Gündoğan Mahallesi,Daire | 3+1 | Villa tipi | 220 m²,220.000 TL
Bodrum - Eskiçeşme Mahallesi,Daire | 2+1 | 2. Kat | 89 m²,85.000 TL
Fethiye - Karaçulha Mahallesi,Daire | 4+1 | 3. Kat | 200 m²,30.000 TL
Bodrum - Umurca Mahallesi,Daire | 3+1 | Bahçe katı | 170 m²,60.000 TL
Köyceğiz - Zeytinalanı Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,17.500 TL
Fethiye - Taşyaka Mahallesi,Daire | 3+1 | 3. Kat | 150 m²,37.000 TL
Ortaca - Karaburun Mahallesi,Daire | 2+1 | Yüksek giriş | 100 m²,25.000 TL
Menteşe - Bayır Mahallesi,Daire | 3+1 | Yüksek giriş | 140 m²,22.000 TL
Milas - Meşelik Mahallesi,Daire | 3+1 | Bahçe dublex | 125 m²,35.000 TL
Bodrum - Eskiçeşme Mahallesi,Daire | 1+1 | Bahçe katı | 55 m²,55.000 TL
Milas - Aydınlıkevler Mahallesi,Daire | 3+1 | Yüksek giriş | 140 m²,20.000 TL
Milas - Kıyıkışlacık Mahallesi,Daire | 2+1 | Bahçe katı | 130 m²,18.000 TL
Marmaris - Armutalan Mahallesi,Daire | 2+1 | 2. Kat | 60 m²,27.000 TL
Fethiye - Göcek Mahallesi,Daire | 3+1 | 2. Kat | 120 m²,40.000 TL
Fethiye - Karagözler Mahallesi,Daire | 2+1 | 3. Kat | 105 m²,40.000 TL
Fethiye - Tuzla Mahallesi,Daire | 2+1 | Bahçe katı | 95 m²,35.000 TL40.000 TL
Ula - Akyaka Mahallesi,Daire | 3+1 | Bahçe dublex | 110 m²,50.000 TL
Fethiye - Akarca Mahallesi,Daire | 2+1 | 2. Kat | 120 m²,25.000 TL
Fethiye - Akarca Mahallesi,Daire | 2+1 | 2. Kat | 110 m²,40.000 TL
Bodrum - Çırkan Mahallesi,Daire | 2+1 | Bahçe dublex | 95 m²,47.000 TL
Bodrum - Çırkan Mahallesi,Daire | 2+1 | Bahçe katı | 105 m²,47.000 TL50.000 TL
Menteşe - Muslihittin Mahallesi,Daire | 2+1 | Yüksek giriş | 100 m²,28.000 TL
Bodrum - Gündoğan Mahallesi,Daire | 1+1 | Bahçe katı | 90 m²,70.000 TL
Fethiye - Tuzla Mahallesi,Daire | 3+1 | Yüksek giriş | 130 m²,35.000 TL
Fethiye - Çamköy Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 88 m²,20.000 TL
Yatağan - Cumhuriyet Mahallesi,Daire | 3+1 | 4. Kat | 135 m²,15.000 TL
Ortaca - Atatürk Mahallesi,Daire | 1+1 | 1. Kat | 60 m²,13.000 TL15.000 TL
Dalaman - Ege Mahallesi,Daire | 3+1 | 2. Kat | 165 m²,20.000 TL
Bodrum - Çarşı Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,40.000 TL
Dalaman - Altıntas Mahallesi,Daire | 3+1 | Çatı Dubleks | 200 m²,35.000 TL
Menteşe - Bayır Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,23.000 TL
Ortaca - Karaburun Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 105 m²,15.000 TL
Ortaca - Karaburun Mahallesi,Daire | 2+1 | 3. Kat | 100 m²,18.000 TL
Köyceğiz - Toparlar Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 160 m²,22.000 TL
Bodrum - Karabağ Mahallesi,Daire | 2+1 | 2. Kat | 80 m²,36.500 TL
Milas - Güllük Mahallesi,Daire | 3+1 | 3. Kat | 130 m²,40.000 TL
Ortaca - Karaburun Mahallesi,Daire | 2+1 | 2. Kat | 85 m²,17.000 TL
Dalaman - Karaçalı Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 55 m²,15.000 TL
Bodrum - Kızılağaç Mahallesi,Daire | Stüdyo | Müstakil | 45 m²,35.000 TL
Fethiye - Yanıklar Mahallesi,Daire | 2+1 | Müstakil | 116 m²,25.000 TL
Fethiye - Taşyaka Mahallesi,Daire | 2+1 | Yüksek giriş | 100 m²,32.000 TL
Fethiye - Pazaryeri Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,25.000 TL
Marmaris - Siteler Mahallesi,Daire | 1+1 | 1. Kat | 60 m²,30.000 TL
Fethiye - Akarca Mahallesi,Daire | 3+1 | Çatı Dubleks | 120 m²,40.000 TL
Milas - Hacı İlyas Mahallesi,Daire | 3+1 | Düz Giriş (Zemin) | 120 m²,27.000 TL30.000 TL
Milas - Hacı İlyas Mahallesi,Daire | 2+1 | 3. Kat | 125 m²,29.000 TL
Bodrum - Türkkuyusu Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,40.000 TL
Fethiye - Foça Mahallesi,Daire | 1+1 | 1. Kat | 70 m²,33.000 TL
Fethiye - Karaçulha Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 125 m²,24.000 TL27.500 TL
Marmaris - Hatipirimi Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,30.000 TL
Bodrum - Dirmil Mahallesi,Daire | 2+1 | Bahçe katı | 150 m²,80.000 TL
Dalaman - Karaçalı Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,15.000 TL
Fethiye - Esenköy Mahallesi,Daire | 3+1 | 2. Kat | 140 m²,30.000 TL
Fethiye - Karaçulha Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,27.000 TL
Fethiye - Patlangıç Mahallesi,Daire | 2+1 | 2. Kat | 115 m²,28.000 TL
Fethiye - Tuzla Mahallesi,Daire | 3+1 | 2. Kat | 180 m²,42.000 TL45.000 TL
Fethiye - Babataşı Mahallesi,Daire | 4+1 | 2. Kat | 150 m²,40.000 TL
Marmaris - Sarıana Mahallesi,Daire | 2+1 | 3. Kat | 80 m²,30.000 TL
Dalaman - Söğütlüyurt Mahallesi,Daire | 1+1 | 3. Kat | 60 m²,19.000 TL
Bodrum - Çarşı Mahallesi,Daire | 3+1 | Bahçe katı | 98 m²,40.000 TL
Bodrum - Kumbahçe Mahallesi,Daire | 2+1 | Yüksek giriş | 120 m²,185.000 TL
Marmaris - Sarıana Mahallesi,Daire | 1+1 | 2. Kat | 75 m²,45.000 TL
Ula - Gökçe Mahallesi,Daire | 2+1 | Bahçe katı | 100 m²,22.000 TL
Köyceğiz - Ekincik Mahallesi,Daire | 1+1 | 2. Kat | 50 m²,30.000 TL
Köyceğiz - Yeşilköy Mahallesi,Daire | 2+1 | 2. Kat | 130 m²,22.000 TL
Bodrum - Konacık Mahallesi,Daire | 2+1 | Bahçe katı | 90 m²,40.000 TL
Bodrum - Güvercinlik Mahallesi,Daire | 1+1 | Bahçe katı | 60 m²,25.000 TL
Fethiye - Taşyaka Mahallesi,Daire | 2+1 | Bahçe katı | 95 m²,32.500 TL
Fethiye - Patlangıç Mahallesi,Daire | 2+1 | 1. Kat | 100 m²,35.000 TL
Fethiye - Patlangıç Mahallesi,Daire | 2+1 | 1. Kat | 90 m²,25.000 TL
Fethiye - Pazaryeri Mahallesi,Daire | 3+1 | 1. Kat | 100 m²,30.000 TL
Fethiye - Çatalarık Mahallesi,Daire | 2+1 | Bahçe katı | 90 m²,25.000 TL
Bodrum - Dirmil Mahallesi,Daire | 3+2 | Müstakil | 170 m²,880.000 TL
Fethiye - Tuzla Mahallesi,Daire | 3+1 | 2. Kat | 140 m²,42.000 TL
Fethiye - Foça Mahallesi,Daire | 2+1 | Yüksek giriş | 100 m²,35.000 TL
Fethiye - Çatalarık Mahallesi,Daire | 2+1 | 2. Kat | 115 m²,25.000 TL
Marmaris - Siteler Mahallesi,Daire | 1+1 | 1. Kat | 60 m²,30.000 TL
Menteşe - Emirbeyazıt Mahallesi,Daire | 3+1 | 4. Kat | 180 m²,40.000 TL
Ortaca - Beşköprü Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,14.000 TL15.000 TL
Menteşe - Kötekli Mahallesi,Daire | 3+0 | 3. Kat | 80 m²,25.000 TL
Milas - Beçin Mahallesi,Daire | 1+1 | 1. Kat | 75 m²,18.000 TL
Dalaman - Karaçalı Mahallesi,Daire | 1+1 | 2. Kat | 50 m²,18.000 TL
Bodrum - Akyarlar Mahallesi,Daire | 3+1 | Bahçe katı | 90 m²,45.000 TL
Marmaris - Orhaniye Mahallesi,Daire | 2+1 | 2. Kat | 70 m²,22.000 TL
Marmaris - Çıldır Mahallesi,Daire | 2+1 | 4. Kat | 110 m²,130.000 TL
Marmaris - Armutalan Mahallesi,Daire | 3+1 | 2. Kat | 120 m²,50.000 TL
Bodrum - Farilya Mahallesi,Daire | 1+1 | Çatı katı | 100 m²,50.000 TL
Fethiye - Tuzla Mahallesi,Daire | 3+1 | 2. Kat | 120 m²,26.000 TL28.500 TL
Menteşe - Kötekli Mahallesi,Daire | 1 Oda | 1. Kat | 50 m²,17.500 TL
Menteşe - Akçaova Mahallesi,Daire | 3+1 | 3. Kat | 115 m²,28.000 TL
Menteşe - Düğerek Mahallesi,Daire | 3+1 | Müstakil | 130 m²,50.000 TL
Milas - Boğaziçi Mahallesi,Daire | 2+1 | Bahçe katı | 80 m²,26.000 TL
Dalaman - Merkez Mahallesi,Daire | 1+1 | 1. Kat | 70 m²,20.000 TL
Fethiye - Patlangıç Mahallesi,Daire | 3+1 | 2. Kat | 135 m²,25.000 TL
Bodrum - Akçaalan Mahallesi,Daire | 2+1 | Bahçe katı | 80 m²,35.000 TL
Milas - Hacı İlyas Mahallesi,Daire | 3+1 | Kot 1 (-1). Kat | 160 m²,23.000 TL
Dalaman - Hürriyet Mahallesi,Daire | 1+1 | 2. Kat | 56 m²,19.000 TL
Bodrum - Karaova Mahallesi,Daire | 2+1 | 2. Kat | 95 m²,21.000 TL
Bodrum - Kumbahçe Mahallesi,Daire | 3+1 | Bahçe katı | 98 m²,40.000 TL
Menteşe - Şeyh Mahallesi,Daire | 2+1 | 2. Kat | 85 m²,18.000 TL
Menteşe - Kötekli Mahallesi,Daire | 2+1 | 2. Kat | 60 m²,22.000 TL
Bodrum - Gümbet Mahallesi,Daire | 1+1 | 1. Kat | 60 m²,70.000 TL
Bodrum - Türkbükü Mahallesi,Daire | 2+1 | Bahçe katı | 70 m²,150.000 TL
Bodrum - Yokuşbaşı Mahallesi,Daire | 2.5+1 | Villa tipi | 125 m²,75.000 TL
Bodrum - Yokuşbaşı Mahallesi,Daire | 3+1 | 1. Kat | 165 m²,250.000 TL
Bodrum - Yokuşbaşı Mahallesi,Daire | 3+1 | Müstakil | 165 m²,215.000 TL
Bodrum - Akyarlar Mahallesi,Daire | 2+1 | Bahçe katı | 85 m²,35.000 TL
Bodrum - Geriş Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,80.000 TL90.000 TL
Bodrum - Eskiçeşme Mahallesi,Daire | 1+1 | Bahçe katı | 70 m²,35.000 TL
Bodrum - Yahşi Mahallesi,Daire | 3+1 | Çatı katı | 95 m²,80.000 TL
Bodrum - Turgutreis Mahallesi,Daire | 3+1 | 1. Kat | 130 m²,75.000 TL
Dalaman - Ege Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,15.000 TL
Marmaris - Hisarönü Mahallesi,Daire | 2+1 | Müstakil | 120 m²,30.000 TL
Marmaris - Kemeraltı Mahallesi,Daire | 2+1 | Çatı katı | 80 m²,35.000 TL40.000 TL
Marmaris - Armutalan Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,35.000 TL
Marmaris - Sarıana Mahallesi,Daire | 1+1 | Yüksek giriş | 45 m²,23.000 TL
Menteşe - Kötekli Mahallesi,Daire | 1+1 | 2. Kat | 45 m²,19.000 TL
Bodrum - Dirmil Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,40.000 TL
Ortaca - Beşköprü Mahallesi,Daire | 3+1 | 4. Kat | 140 m²,20.000 TL
Dalaman - Kapukargın Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 85 m²,20.000 TL
Menteşe - Kötekli Mahallesi,Daire | 2+1 | 1. Kat | 55 m²,25.000 TL
Ortaca - Karaburun Mahallesi,Daire | 1+1 | 1. Kat | 60 m²,13.000 TL
Bodrum - Koyunbaba Mahallesi,Daire | 2+1 | Bahçe katı | 90 m²,60.000 TL
Bodrum - Turgutreis Mahallesi,Daire | 3+2 | Müstakil | 250 m²,75.000 TL
Menteşe - Emirbeyazıt Mahallesi,Daire | 2+1 | 3. Kat | 64 m²,28.000 TL
Bodrum - İslamhaneleri Mahallesi,Daire | 2+1 | 1. Kat | 80 m²,25.000 TL
Dalaman - Hürriyet Mahallesi,Daire | 1+1 | Yüksek giriş | 60 m²,13.000 TL
Fethiye - Patlangıç Mahallesi,Daire | 1+1 | 2. Kat | 70 m²,25.000 TL
Fethiye - Taşyaka Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,23.000 TL
Marmaris - Turgut Mahallesi,Daire | 1+1 | Müstakil | 75 m²,20.000 TL
Marmaris - Kemeraltı Mahallesi,Daire | 3+1 | 4. Kat | 1.250 m²,57.500 TL
Bodrum - Yokuşbaşı Mahallesi,Daire | 5+1 | Bahçe katı | 210 m²,60.000 TL
Marmaris - Sarıana Mahallesi,Daire | 2+1 | Bahçe katı | 90 m²,35.000 TL
Bodrum - Bitez Mahallesi,Daire | 1+1 | Bahçe katı | 50 m²,60.000 TL
Bodrum - Yahşi Mahallesi,Daire | 3+1 | 2. Kat | 130 m²,90.000 TL
Bodrum - Gündoğan Mahallesi,Daire | 2+1 | Bahçe katı | 90 m²,95.000 TL
Köyceğiz - Toparlar Mahallesi,Daire | 2+1 | 1. Kat | 95 m²,25.000 TL
Bodrum - İslamhaneleri Mahallesi,Daire | 3+1 | Çatı katı | 120 m²,60.000 TL
Dalaman - Bezkese Mahallesi,Daire | 1+1 | 2. Kat | 57 m²,20.000 TL
Dalaman - Altıntas Mahallesi,Daire | 2+1 | Yüksek giriş | 110 m²,22.000 TL
Bodrum - Akyarlar Mahallesi,Daire | 2+1 | 2. Kat | 85 m²,55.000 TL
Dalaman - Karaçalı Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 100 m²,4.000 TL
Fethiye - Çatalarık Mahallesi,Daire | 2+1 | 1. Kat | 100 m²,20.000 TL40.000 TL
Menteşe - Kötekli Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 65 m²,20.000 TL
Milas - Meşelik Mahallesi,Daire | 4+1 | Müstakil | 385 m²,105.000 TL
Seydikemer - Menekşe Mahallesi,Daire | 3+1 | Çatı katı | 110 m²,21.000 TL
Fethiye - Taşyaka Mahallesi,Daire | 3+1 | 2. Kat | 140 m²,40.000 TL
Marmaris - Tepe Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,30.000 TL
Bodrum - Bahçelievler Mahallesi,Daire | 2+1 | Kot 2 (-2). Kat | 90 m²,60.000 TL
Fethiye - Akarca Mahallesi,Daire | 2+1 | 1. Kat | 110 m²,40.000 TL
Marmaris - Hisarönü Mahallesi,Daire | 2+1 | 2. Kat | 150 m²,27.500 TL
Seydikemer - Gerişburnu Mahallesi,Daire | 2+1 | Çatı katı | 90 m²,13.000 TL
Fethiye - Taşyaka Mahallesi,Daire | 1+1 | 3. Kat | 77 m²,30.000 TL32.500 TL
Fethiye - Karaçulha Mahallesi,Daire | 2+1 | 2. Kat | 110 m²,17.500 TL
Fethiye - Akarca Mahallesi,Daire | 1+1 | 2. Kat | 80 m²,25.000 TL
Fethiye - Ölüdeniz Mahallesi,Daire | 3+1 | 3. Kat | 130 m²,35.000 TL
Menteşe - Düğerek Mahallesi,Daire | 2+1 | Bahçe katı | 75 m²,25.000 TL28.000 TL
