location,information,sales_price
Fethiye - Karaçulha Mahallesi,Daire | 3+1 | 3. Kat | 180 m²,28.000 TL
Milas - Güllük Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 120 m²,25.000 TL
Marmaris - Tepe Mahallesi,Daire | 3+1 | 2. Kat | 140 m²,35.000 TL
Bodrum - Mumcular Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 45 m²,13.500 TL
Bodrum - Dirmil Mahallesi,Daire | 2+1 | 1. Kat | 90 m²,350.000 TL
Bodrum - Dirmil Mahallesi,Daire | 2+1 | 1. Kat | 95 m²,350.000 TL
Bodrum - Dirmil Mahallesi,Daire | 2+1 | 1. Kat | 120 m²,390.000 TL
Bodrum - Dirmil Mahallesi,Daire | 4+1 | 1. Kat | 184 m²,550.000 TL
Bodrum - Dirmil Mahallesi,Daire | 4+1 | 1. Kat | 190 m²,550.000 TL
Bodrum - Dirmil Mahallesi,Daire | 3+1 | 1. Kat | 119 m²,490.000 TL
Bodrum - Gölköy Mahallesi,Daire | 2+1 | 1. Kat | 133 m²,575.000 TL
Bodrum - Dirmil Mahallesi,Daire | 3+1 | 1. Kat | 125 m²,450.000 TL
Fethiye - Babataşı Mahallesi,Daire | 2+1 | Bahçe katı | 85 m²,35.000 TL
Ula - Demirtaş Mahallesi,Daire | 2+1 | 3. Kat | 85 m²,24.000 TL
Ula - Ayazkıyı Mahallesi,Daire | 2+1 | 1. Kat | 75 m²,22.000 TL
Ula - Alparslan Mahallesi,Daire | 3+1 | 2. Kat | 150 m²,27.000 TL
Menteşe - Karamehmet Mahallesi,Daire | 2+1 | 2. Kat | 85 m²,25.000 TL
Fethiye - Tuzla Mahallesi,Daire | 3+1 | 3. Kat | 140 m²,31.000 TL
Marmaris - Kemeraltı Mahallesi,Daire | 2+1 | 4. Kat | 75 m²,35.000 TL
Marmaris - Camiavlu Mahallesi,Daire | 3+1 | Müstakil | 160 m²,47.000 TL
Dalaman - Merkez Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,19.000 TL
Fethiye - Tuzla Mahallesi,Daire | 2+1 | 2. Kat | 110 m²,28.000 TL
Bodrum - Çırkan Mahallesi,Daire | 3+1 | Bahçe katı | 150 m²,70.000 TL
Yatağan - Madenler Mahallesi,Daire | 2+1 | 1. Kat | 90 m²,15.000 TL
Yatağan - Dere Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,18.000 TL
Yatağan - Cumhuriyet Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 120 m²,18.000 TL
Dalaman - Karaçalı Mahallesi,Daire | 2+1 | 3. Kat | 135 m²,25.000 TL
Datça - İskele Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,26.500 TL
Datça - İskele Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 50 m²,26.500 TL
Köyceğiz - Zeytinalanı Mahallesi,Daire | 2+1 | 2. Kat | 130 m²,32.000 TL
Köyceğiz - Gülpınar Mahallesi,Daire | 2+1 | 2. Kat | 95 m²,30.000 TL
Köyceğiz - Yeni Mahallesi,Daire | 3+1 | 1. Kat | 125 m²,28.000 TL
Menteşe - Akçaova Mahallesi,Daire | 3+1 | 6. Kat | 130 m²,26.000 TL
Menteşe - Yeniköy Mahallesi,Daire | 2+1 | Yüksek giriş | 60 m²,25.000 TL
Marmaris - Beldibi Mahallesi,Daire | 1+1 | Çatı katı | 35 m²,20.000 TL
Marmaris - Beldibi Mahallesi,Daire | 2+1 | 2. Kat | 95 m²,35.000 TL
Marmaris - Çıldır Mahallesi,Daire | 1+1 | 2. Kat | 45 m²,32.000 TL
Marmaris - Tepe Mahallesi,Daire | 2+1 | 3. Kat | 130 m²,33.000 TL
Bodrum - Bahçelievler Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,45.000 TL
Bodrum - Güvercinlik Mahallesi,Daire | 1+1 | Bahçe katı | 45 m²,28.000 TL
Bodrum - Güvercinlik Mahallesi,Daire | 2+1 | 2. Kat | 85 m²,25.000 TL
Fethiye - Çamköy Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 110 m²,22.000 TL
Bodrum - Bitez Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,30.000 TL
Bodrum - Farilya Mahallesi,Daire | 2+1 | Bahçe katı | 90 m²,55.000 TL
Bodrum - Yalıkavak Mahallesi,Daire | 2+1 | Bahçe katı | 75 m²,120.000 TL
Bodrum - Yahşi Mahallesi,Daire | 3+1 | Bahçe katı | 155 m²,80.000 TL
