location,information,sales_price
Atakum - Büyükoyumca Mahallesi,Daire | 3+1 | 2. Kat | 210 m²,27.000 TL
Atakum - Yenimahalle Mahallesi,Daire | 1+1 | 5. Kat | 55 m²,16.750 TL
Atakum - Körfez Mahallesi,Daire | 1+1 | 4. Kat | 50 m²,13.250 TL
İlkadım - Reşadiye Mahallesi,Daire | 3+1 | 5. Kat | 125 m²,11.000 TL
Atakum - Esenevler Mahallesi,Daire | 2+1 | 1. Kat | 75 m²,12.999 TL
Canik - Yenimahalle Mahallesi,Daire | 2+1 | 6. Kat | 130 m²,22.400 TL
İlkadım - Karasamsun Mahallesi,Daire | 3+1 | 6. Kat | 165 m²,27.500 TL
Atakum - Körfez Mahallesi,Daire | 1+1 | 5. Kat | 52 m²,13.000 TL
Atakum - Büyükoyumca Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,13.500 TL
Atakum - Körfez Mahallesi,Daire | Stüdyo | Düz Giriş (Zemin) | 45 m²,7.500 TL
Atakum - Körfez Mahallesi,Daire | 1+1 | 1. Kat | 45 m²,10.750 TL
Atakum - Körfez Mahallesi,Daire | 1+1 | 1. Kat | 50 m²,10.000 TL
Atakum - Körfez Mahallesi,Daire | 1+1 | 3. Kat | 60 m²,13.000 TL
Atakum - Körfez Mahallesi,Daire | Stüdyo | Düz Giriş (Zemin) | 50 m²,7.500 TL
Atakum - Körfez Mahallesi,Daire | Stüdyo | Düz Giriş (Zemin) | 60 m²,7.500 TL
Atakum - Mevlana Mahallesi,Daire | 3+1 | 3. Kat | 135 m²,20.000 TL
Atakum - Yenimahalle Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,14.250 TL
Atakum - Körfez Mahallesi,Daire | 1+1 | Yüksek giriş | 57 m²,13.500 TL
Atakum - Körfez Mahallesi,Daire | 1+1 | 6. Kat | 60 m²,16.000 TL
Canik - Hasköy Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 70 m²,10.500 TL
Atakum - Körfez Mahallesi,Daire | 1+1 | 5. Kat | 65 m²,15.500 TL
Atakum - Körfez Mahallesi,Daire | 1+1 | 3. Kat | 60 m²,16.500 TL
Atakum - Yenimahalle Mahallesi,Daire | 1+1 | 1. Kat | 60 m²,20.500 TL
Atakum - Esenevler Mahallesi,Daire | 3+1 | 6. Kat | 160 m²,40.000 TL
İlkadım - Rasathane Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 95 m²,10.500 TL
Atakum - Yenimahalle Mahallesi,Daire | 1+1 | 1. Kat | 60 m²,20.500 TL
Atakum - Esenevler Mahallesi,Daire | 3+1 | 6. Kat | 160 m²,40.000 TL
İlkadım - Rasathane Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 95 m²,10.500 TL
Atakum - Körfez Mahallesi,Daire | 1+1 | 3. Kat | 50 m²,16.000 TL
İlkadım - Cedit Mahallesi,Daire | 2+1 | 5. Kat | 100 m²,10.250 TL
Atakum - Körfez Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,10.500 TL
Atakum - Yenimahalle Mahallesi,Daire | 1+1 | 3. Kat | 55 m²,20.000 TL
Atakum - Körfez Mahallesi,Daire | 1+1 | 5. Kat | 55 m²,15.000 TL
Atakum - Körfez Mahallesi,Daire | 1+1 | 2. Kat | 45 m²,15.500 TL
Atakum - Esenevler Mahallesi,Daire | 3+1 | Düz Giriş (Zemin) | 150 m²,18.500 TL
Atakum - Cumhuriyet Mahallesi,Daire | 3+1 | 2. Kat | 140 m²,29.000 TL
Atakum - Esenevler Mahallesi,Daire | 1+1 | 2. Kat | 52 m²,16.000 TL
İlkadım - Derebahçe Mahallesi,Daire | 2+1 | 4. Kat | 85 m²,20.000 TL
İlkadım - Bahçelievler Mahallesi,Daire | 2+1 | 3. Kat | 105 m²,14.000 TL
Atakum - Atakent Mahallesi,Daire | 3+1 | 7. Kat | 155 m²,25.000 TL
İlkadım - Hançerli Mahallesi,Daire | 3+1 | 8. Kat | 130 m²,22.000 TL
İlkadım - 19 Mayıs Mahallesi,Daire | 2+1 | 3. Kat | 115 m²,15.000 TL
Atakum - İstiklal Mahallesi,Daire | 1+1 | 4. Kat | 55 m²,15.000 TL
Atakum - Körfez Mahallesi,Daire | 1+1 | 5. Kat | 55 m²,13.000 TL
Atakum - Körfez Mahallesi,Daire | 1+1 | 1. Kat | 44 m²,16.500 TL
İlkadım - Saitbey Mahallesi,Daire | 2+1 | 1. Kat | 95 m²,12.000 TL
Atakum - Körfez Mahallesi,Daire | 1+1 | 4. Kat | 58 m²,11.500 TL
Tekkeköy - 23 Nisan Mahallesi,Daire | 2+1 | 2. Kat | 130 m²,10.000 TL
İlkadım - İlyasköy Mahallesi,Daire | 4+1 | 4. Kat | 185 m²,15.000 TL
Tekkeköy - 19 Mayıs Mahallesi,Daire | 3+1 | 3. Kat | 155 m²,14.500 TL
Tekkeköy - Kurtuluş Mahallesi,Daire | 3+1 | 3. Kat | 148 m²,25.250 TL
Atakum - Körfez Mahallesi,Daire | 1+1 | 1. Kat | 50 m²,14.500 TL
Atakum - Körfez Mahallesi,Daire | 1+1 | 4. Kat | 52 m²,15.000 TL
Atakum - Çobanlı Mahallesi,Daire | 1+1 | 18. Kat | 60 m²,14.500 TL
Atakum - Körfez Mahallesi,Daire | 1+1 | Yüksek giriş | 50 m²,13.000 TL
Atakum - İstiklal Mahallesi,Daire | 1+1 | 3. Kat | 70 m²,12.000 TL
Atakum - Cumhuriyet Mahallesi,Daire | 3+1 | 1. Kat | 135 m²,35.000 TL
Atakum - Körfez Mahallesi,Daire | 1+1 | 5. Kat | 55 m²,15.000 TL
Atakum - İncesu Yalı Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,10.000 TL
Atakum - Cumhuriyet Mahallesi,Daire | 2+1 | 3. Kat | 110 m²,25.000 TL
Atakum - Körfez Mahallesi,Daire | 1 Oda | 2. Kat | 55 m²,10.000 TL
İlkadım - Çiftlik Mahallesi,Daire | 2+1 | 5. Kat | 115 m²,20.000 TL
