location,information,sales_price
İlkadım - Reşadiye Mahallesi,Daire | 2+1 | 3. Kat | 110 m²,15.000 TL
İlkadım - Fevzi Çakmak Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,15.000 TL
İlkadım - Fevzi Çakmak Mahallesi,Daire | 4+1 | Düz Giriş (Zemin) | 200 m²,50.000 TL
Atakum - Yenimahalle Mahallesi,Daire | 3+1 | 4. Kat | 120 m²,22.500 TL
İlkadım - Tepecik Mahallesi,Daire | 3+1 | 4. Kat | 135 m²,20.000 TL
Atakum - Güzelyalı Mahallesi,Daire | 2+1 | 5. Kat | 85 m²,30.500 TL
Atakum - Esenevler Mahallesi,Daire | 2+1 | 1. Kat | 110 m²,12.000 TL
Atakum - Cumhuriyet Mahallesi,Daire | 3+1 | 1. Kat | 135 m²,26.000 TL
Atakum - Yenimahalle Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,17.000 TL
Atakum - Körfez Mahallesi,Daire | 1+1 | 2. Kat | 50 m²,12.500 TL
Atakum - Büyükoyumca Mahallesi,Daire | 3+1 | 11. Kat | 125 m²,20.000 TL
Atakum - Yenimahalle Mahallesi,Daire | 3+1 | 2. Kat | 165 m²,22.000 TL
Atakum - Körfez Mahallesi,Daire | 1+1 | 4. Kat | 42 m²,14.250 TL
Canik - Kuzey Yıldızı Mahallesi,Daire | 2+1 | 1. Kat | 90 m²,11.000 TL
Atakum - Esenevler Mahallesi,Daire | 2+1 | Bahçe katı | 95 m²,14.000 TL
İlkadım - Kazım Karabekir Mahallesi,Daire | 3+1 | 3. Kat | 135 m²,24.500 TL
Atakum - İstiklal Mahallesi,Daire | 1+1 | 3. Kat | 45 m²,13.500 TL
İlkadım - Zafer Mahallesi,Daire | 2+1 | 2. Kat | 115 m²,12.500 TL
İlkadım - Kılıçdede Mahallesi,Daire | 3+1 | 2. Kat | 130 m²,25.000 TL
İlkadım - Çiftlik Mahallesi,Daire | 3+1 | 1. Kat | 130 m²,14.000 TL
İlkadım - Zafer Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,15.000 TL
İlkadım - Karadeniz Mahallesi,Daire | 3+1 | 3. Kat | 150 m²,19.750 TL
İlkadım - Hürriyet Mahallesi,Daire | 3+1 | 5. Kat | 130 m²,15.000 TL
Atakum - Körfez Mahallesi,Daire | 2+1 | 4. Kat | 95 m²,25.000 TL
İlkadım - Bahçelievler Mahallesi,Daire | 2+1 | 2. Kat | 125 m²,39.000 TL
Atakum - Körfez Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,20.000 TL
Atakum - Yenimahalle Mahallesi,Daire | 1+1 | 3. Kat | 50 m²,14.500 TL
Atakum - Mimarsinan Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,18.000 TL
İlkadım - Kadifekale Mahallesi,Daire | 2+1 | 3. Kat | 100 m²,12.000 TL
Atakum - Yenimahalle Mahallesi,Daire | 1+1 | 6. Kat | 65 m²,15.000 TL
Bafra - Hacınabi Mahallesi,Daire | 2+1 | 3. Kat | 110 m²,15.000 TL
Atakum - Çobanözü Mahallesi,Daire | 4+1 | 2. Kat | 185 m²,35.000 TL
Terme - Yeni Mahallesi,Daire | 4+1 | 4. Kat | 190 m²,23.000 TL
İlkadım - Kılıçdede Mahallesi,Daire | 2+1 | 2. Kat | 115 m²,15.000 TL
İlkadım - Cedit Mahallesi,Daire | 3+1 | 2. Kat | 140 m²,20.000 TL
İlkadım - Liman Mahallesi,Daire | 2+1 | 6. Kat | 90 m²,15.000 TL
Çarşamba - Çay Mahallesi,Daire | 2+1 | 5. Kat | 1.100 m²,10.000 TL
İlkadım - Hürriyet Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,10.500 TL
İlkadım - Çiftlik Mahallesi,Daire | 3+1 | 4. Kat | 130 m²,12.000 TL
İlkadım - Kadıköy Mahallesi,Daire | 3+1 | 1. Kat | 145 m²,17.000 TL
İlkadım - Cedit Mahallesi,Daire | 3+1 | 3. Kat | 135 m²,17.000 TL
Atakum - Yenimahalle Mahallesi,Daire | 1+1 | 3. Kat | 55 m²,17.000 TL
İlkadım - İlyasköy Mahallesi,Daire | 2+1 | 4. Kat | 110 m²,16.500 TL
İlkadım - Hürriyet Mahallesi,Daire | 2+1 | 2. Kat | 110 m²,12.000 TL
Atakum - Körfez Mahallesi,Daire | 2+0 | 3. Kat | 70 m²,14.000 TL
İlkadım - Ulugazi Mahallesi,Daire | 3+1 | 6. Kat | 135 m²,15.000 TL16.000 TL
Atakum - İncesu Yalı Mahallesi,Daire | 1+1 | 4. Kat | 50 m²,18.000 TL
Atakum - Güzelyalı Mahallesi,Daire | 3.5+1 | 4. Kat | 220 m²,27.000 TL
İlkadım - Reşadiye Mahallesi,Daire | 2+1 | 3. Kat | 120 m²,15.000 TL
Atakum - Körfez Mahallesi,Daire | 2+1 | 4. Kat | 75 m²,15.000 TL
İlkadım - Ulugazi Mahallesi,Daire | 3+1 | 4. Kat | 115 m²,16.000 TL
Atakum - Yenimahalle Mahallesi,Daire | 3+1 | 3. Kat | 140 m²,25.000 TL
İlkadım - Bahçelievler Mahallesi,Daire | 2+1 | 3. Kat | 105 m²,13.000 TL
Vezirköprü - Cumhuriyet Mahallesi,Daire | 2+1 | Yüksek giriş | 105 m²,14.750 TL
Canik - Hasköy Mahallesi,Daire | 3+1 | 10. Kat | 145 m²,35.000 TL
Atakum - Küçükkolpınar Mahallesi,Daire | 3+1 | Yüksek giriş | 130 m²,15.000 TL
Atakum - Güzelyalı Mahallesi,Daire | 1+1 | 3. Kat | 55 m²,24.000 TL
İlkadım - Kılıçdede Mahallesi,Daire | 2+1 | 6. Kat | 105 m²,30.000 TL
İlkadım - Yenidoğan Mahallesi,Daire | 2+1 | 1. Kat | 110 m²,15.000 TL
İlkadım - Bahçelievler Mahallesi,Daire | 3+1 | Bahçe katı | 170 m²,14.000 TL
Atakum - Körfez Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,16.000 TL
İlkadım - İstasyon Mahallesi,Daire | 3+1 | 2. Kat | 138 m²,14.000 TL
İlkadım - İstasyon Mahallesi,Daire | 3+1 | 5. Kat | 125 m²,15.000 TL
İlkadım - Derebahçe Mahallesi,Daire | 2+1 | Bahçe katı | 100 m²,10.000 TL
Çarşamba - Kirazlıkçay Mahallesi,Daire | 3+1 | 4. Kat | 130 m²,14.000 TL
Tekkeköy - 19 Mayıs Mahallesi,Daire | 3+1 | 4. Kat | 110 m²,8.500 TL
İlkadım - Bahçelievler Mahallesi,Daire | 3+1 | 4. Kat | 140 m²,16.000 TL
Atakum - Küçükkolpınar Mahallesi,Daire | 1+1 | Kot 1 (-1). Kat | 100 m²,20.000 TL
19 Mayıs - Cumhuriyet Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,13.500 TL15.000 TL
Vezirköprü - Atatürk Mahallesi,Daire | 2+1 | 1. Kat | 110 m²,15.000 TL
İlkadım - Reşadiye Mahallesi,Daire | 3+1 | 2. Kat | 140 m²,12.000 TL
Atakum - Yenimahalle Mahallesi,Daire | 2+1 | Yüksek giriş | 100 m²,20.000 TL
Canik - Kuzey Yıldızı Mahallesi,Daire | 2+1 | 2. Kat | 95 m²,14.500 TL
Atakum - Alanlı Mahallesi,Daire | 1+1 | 2. Kat | 65 m²,10.999 TL
Canik - Yenimahalle Mahallesi,Daire | 2+1 | 6. Kat | 115 m²,24.000 TL
İlkadım - Liman Mahallesi,Daire | 7+2 | 4. Kat | 200 m²,23.000 TL
İlkadım - Bahçelievler Mahallesi,Daire | 1+1 | 4. Kat | 95 m²,25.000 TL
İlkadım - Selahiye Mahallesi,Daire | 2+1 | 2. Kat | 120 m²,18.000 TL
Canik - Hasköy Mahallesi,Daire | 1+1 | 4. Kat | 60 m²,15.000 TL
Atakum - Körfez Mahallesi,Daire | 3+1 | 3. Kat | 150 m²,25.000 TL
Atakum - Cumhuriyet Mahallesi,Daire | 3+1 | 5. Kat | 140 m²,17.000 TL19.000 TL
Canik - Gürgenyatak Mahallesi,Daire | 2+1 | 6. Kat | 65 m²,14.000 TL
Atakum - Körfez Mahallesi,Daire | 1+1 | 2. Kat | 65 m²,17.000 TL
Atakum - İstiklal Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,15.000 TL
Atakum - Yenimahalle Mahallesi,Daire | Stüdyo | 4. Kat | 48 m²,12.500 TL
Atakum - Yenimahalle Mahallesi,Daire | Stüdyo | 8. Kat | 40 m²,11.500 TL
Atakum - Körfez Mahallesi,Daire | 1+1 | 3. Kat | 65 m²,12.000 TL
Atakum - Körfez Mahallesi,Daire | 1+1 | 3. Kat | 60 m²,11.000 TL
Atakum - Körfez Mahallesi,Daire | Stüdyo | 1. Kat | 40 m²,11.000 TL
Atakum - Körfez Mahallesi,Daire | 3+1 | 5. Kat | 125 m²,30.000 TL
Atakum - Yenimahalle Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,16.500 TL
Atakum - Körfez Mahallesi,Daire | 1+1 | 2. Kat | 65 m²,20.000 TL
Atakum - Körfez Mahallesi,Daire | 1+1 | 3. Kat | 60 m²,24.500 TL
Çarşamba - Sungurlu Mahallesi,Daire | 2+1 | Yüksek giriş | 100 m²,16.000 TL
Çarşamba - Yeşilırmak Mahallesi,Daire | 2+1 | Yüksek giriş | 105 m²,15.000 TL
Atakum - Yenimahalle Mahallesi,Daire | 2+0 | Yüksek giriş | 80 m²,16.000 TL
İlkadım - Hürriyet Mahallesi,Daire | 3+1 | 4. Kat | 140 m²,13.000 TL
Canik - Dereler Mahallesi,Daire | 2+1 | 3. Kat | 115 m²,18.500 TL
İlkadım - 19 Mayıs Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,15.000 TL
İlkadım - Rasathane Mahallesi,Daire | 2+1 | 4. Kat | 100 m²,12.000 TL
Atakum - Esenevler Mahallesi,Daire | 2.5+1 | 1. Kat | 130 m²,20.500 TL
İlkadım - Liman Mahallesi,Daire | 3+1 | Yüksek giriş | 130 m²,14.000 TL
Atakum - Mevlana Mahallesi,Daire | 1+1 | 4. Kat | 55 m²,13.500 TL
Atakum - İncesu Yalı Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,12.750 TL14.000 TL
İlkadım - Kadıköy Mahallesi,Daire | 3+1 | Yüksek giriş | 120 m²,13.000 TL
Atakum - Balaç Mahallesi,Daire | 1+1 | 3. Kat | 70 m²,15.000 TL16.000 TL
İlkadım - Adalet Mahallesi,Daire | 1+1 | 3. Kat | 65 m²,17.000 TL
İlkadım - Çiftlik Mahallesi,Daire | 3+1 | 4. Kat | 140 m²,10.000 TL
19 Mayıs - Yukarıengiz Mahallesi,Daire | 4+1 | 4. Kat | 165 m²,10.000 TL
Canik - Hasköy Mahallesi,Daire | 1+1 | 4. Kat | 60 m²,15.000 TL
İlkadım - Yenidoğan Mahallesi,Daire | 2+1 | 2. Kat | 95 m²,15.000 TL
İlkadım - Çiftlik Mahallesi,Daire | 3+1 | 1. Kat | 110 m²,15.000 TL
İlkadım - Yenidoğan Mahallesi,Daire | 2+1 | 1. Kat | 100 m²,13.000 TL
İlkadım - Kılıçdede Mahallesi,Daire | 2+1 | 3. Kat | 100 m²,16.000 TL
İlkadım - Fevzi Çakmak Mahallesi,Daire | 3+1 | 5. Kat | 150 m²,15.500 TL
İlkadım - Kışla Mahallesi,Daire | 3+1 | 8. Kat | 150 m²,20.000 TL
Atakum - Körfez Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,15.000 TL
Atakum - Körfez Mahallesi,Daire | 1+1 | 1. Kat | 45 m²,11.500 TL
Canik - Teknepınar Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,12.500 TL
Atakum - İncesu Yalı Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,17.500 TL
Atakum - Yenimahalle Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 80 m²,19.500 TL
Atakum - Cumhuriyet Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,15.750 TL
Atakum - Atatepe Mahallesi,Daire | 2+1 | Yüksek giriş | 100 m²,16.000 TL
Atakum - İncesu Yalı Mahallesi,Daire | 1+1 | 3. Kat | 50 m²,13.000 TL
Atakum - Körfez Mahallesi,Daire | 1+1 | 8. Kat | 50 m²,13.000 TL
Atakum - Çobanlı Mahallesi,Daire | 1+1 | 2. Kat | 65 m²,11.000 TL
Atakum - Yenimahalle Mahallesi,Daire | 1+1 | 1. Kat | 60 m²,15.000 TL
Atakum - Yenimahalle Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 65 m²,14.500 TL
Atakum - Mimarsinan Mahallesi,Daire | 4+1 | 2. Kat | 180 m²,40.000 TL
Atakum - Balaç Mahallesi,Daire | 3+1 | 1. Kat | 130 m²,25.000 TL
İlkadım - Kılıçdede Mahallesi,Daire | 2+1 | 2. Kat | 95 m²,15.000 TL
Vezirköprü - Fazıl Ahmet Paşa Mahallesi,Daire | 3+1 | 4. Kat | 145 m²,13.500 TL
Vezirköprü - Atatürk Mahallesi,Daire | 2+1 | 3. Kat | 135 m²,16.000 TL
İlkadım - Hürriyet Mahallesi,Daire | 2+1 | 1. Kat | 100 m²,11.500 TL
İlkadım - Kılıçdede Mahallesi,Daire | 2+1 | 3. Kat | 100 m²,15.000 TL
İlkadım - Kazım Karabekir Mahallesi,Daire | 2+1 | 9. Kat | 110 m²,13.500 TL15.000 TL
İlkadım - Hürriyet Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,17.000 TL
Atakum - Esenevler Mahallesi,Daire | 3+1 | 3. Kat | 140 m²,16.250 TL
Atakum - Büyükkolpınar Mahallesi,Daire | 3+1 | 2. Kat | 135 m²,23.500 TL25.000 TL
İlkadım - Fevzi Çakmak Mahallesi,Daire | 2+1 | 3. Kat | 100 m²,9.500 TL
Bafra - Kavakpınar Mahallesi,Daire | 3+1 | 2. Kat | 130 m²,15.000 TL
İlkadım - İlyasköy Mahallesi,Daire | 2+1 | 4. Kat | 90 m²,10.000 TL
Kavak - Yaşar Doğu Mahallesi,Daire | 3+1 | 2. Kat | 115 m²,15.000 TL
Atakum - Cumhuriyet Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 90 m²,16.000 TL
Atakum - Körfez Mahallesi,Daire | 1+1 | 3. Kat | 65 m²,18.500 TL
Atakum - Cumhuriyet Mahallesi,Daire | 2+1 | 1. Kat | 110 m²,21.000 TL
Çarşamba - Orta Mahallesi,Daire | 3+1 | 4. Kat | 155 m²,21.500 TL
Canik - Teknepınar Mahallesi,Daire | 3+1 | 4. Kat | 135 m²,18.000 TL
İlkadım - Kalkancı Mahallesi,Daire | 3+1 | 3. Kat | 135 m²,26.000 TL
İlkadım - Hürriyet Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,15.000 TL
İlkadım - 19 Mayıs Mahallesi,Daire | 3+1 | 2. Kat | 140 m²,13.000 TL
Atakum - İstiklal Mahallesi,Daire | 3+1 | Bahçe katı | 180 m²,15.000 TL
Atakum - Mimarsinan Mahallesi,Daire | 3+1 | 4. Kat | 180 m²,35.000 TL
Atakum - Mimarsinan Mahallesi,Daire | 2+1 | 5. Kat | 180 m²,27.500 TL
İlkadım - Çiftlik Mahallesi,Daire | 1+1 | Bahçe katı | 60 m²,15.000 TL
İlkadım - Rasathane Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,13.500 TL
İlkadım - İstasyon Mahallesi,Daire | 4+1 | 2. Kat | 130 m²,15.000 TL
Atakum - Körfez Mahallesi,Daire | 1+1 | 4. Kat | 65 m²,18.000 TL
İlkadım - Hürriyet Mahallesi,Daire | 3+1 | 2. Kat | 150 m²,13.000 TL
İlkadım - Çiftlik Mahallesi,Daire | 3+1 | Yüksek giriş | 125 m²,13.750 TL
İlkadım - Yenidoğan Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 100 m²,10.000 TL
Atakum - Çobanlı Mahallesi,Daire | 3+1 | 5. Kat | 140 m²,25.000 TL
Atakum - Körfez Mahallesi,Daire | 1+1 | 5. Kat | 51 m²,15.000 TL
Atakum - Körfez Mahallesi,Daire | 1+1 | 2. Kat | 45 m²,14.500 TL
Atakum - Körfez Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,15.000 TL
Çarşamba - Kirazlıkçay Mahallesi,Daire | 3+1 | 3. Kat | 150 m²,20.000 TL
Atakum - Alanlı Mahallesi,Daire | 1+1 | 3. Kat | 60 m²,17.250 TL
Atakum - Körfez Mahallesi,Daire | 1+1 | 3. Kat | 65 m²,12.000 TL
İlkadım - Kılıçdede Mahallesi,Daire | 2+1 | 3. Kat | 120 m²,15.000 TL
İlkadım - Karadeniz Mahallesi,Daire | 2+1 | 4. Kat | 100 m²,12.000 TL
Atakum - Büyükoyumca Mahallesi,Daire | 2+1 | 2. Kat | 110 m²,19.000 TL
Atakum - Körfez Mahallesi,Daire | 3+1 | 1. Kat | 145 m²,23.000 TL
Atakum - Körfez Mahallesi,Daire | 1+1 | 3. Kat | 55 m²,18.000 TL
Atakum - Körfez Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,18.000 TL20.000 TL
Atakum - Esenevler Mahallesi,Daire | 2+1 | Kot 1 (-1). Kat | 95 m²,10.000 TL
Atakum - Güzelyalı Mahallesi,Daire | 3+1 | 2. Kat | 180 m²,18.750 TL
Atakum - Körfez Mahallesi,Daire | 1+1 | 1. Kat | 60 m²,11.000 TL
Atakum - Körfez Mahallesi,Daire | 1+1 | 4. Kat | 65 m²,17.500 TL
Atakum - Mevlana Mahallesi,Daire | 2+1 | 3. Kat | 110 m²,25.000 TL
İlkadım - Saitbey Mahallesi,Daire | 1+1 | 5. Kat | 75 m²,8.000 TL8.500 TL
İlkadım - Çiftlik Mahallesi,Daire | 2+1 | 4. Kat | 100 m²,10.000 TL
Atakum - Büyükkolpınar Mahallesi,Daire | 2+1 | Yüksek giriş | 100 m²,25.000 TL
Atakum - Mevlana Mahallesi,Daire | 2+1 | 5. Kat | 95 m²,12.000 TL
İlkadım - Saitbey Mahallesi,Daire | 2+1 | 5. Kat | 100 m²,9.000 TL
İlkadım - Rasathane Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,13.500 TL
İlkadım - Hürriyet Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,12.000 TL
Atakum - Cumhuriyet Mahallesi,Daire | 3+1 | 4. Kat | 145 m²,25.000 TL
Atakum - Büyükoyumca Mahallesi,Daire | 1+1 | 1. Kat | 60 m²,12.500 TL
İlkadım - Kılıçdede Mahallesi,Daire | 2+1 | 3. Kat | 100 m²,17.000 TL
Atakum - Körfez Mahallesi,Daire | 1+1 | 3. Kat | 65 m²,13.000 TL
Çarşamba - Orta Mahallesi,Daire | 3+1 | 3. Kat | 162 m²,11.500 TL
Atakum - İncesu Yalı Mahallesi,Daire | 1+1 | 4. Kat | 50 m²,14.000 TL
Atakum - Büyükkolpınar Mahallesi,Daire | 2+1 | Yüksek giriş | 110 m²,24.500 TL
Atakum - Körfez Mahallesi,Daire | 1+1 | 4. Kat | 52 m²,19.500 TL
İlkadım - Fevzi Çakmak Mahallesi,Daire | 2+1 | 2. Kat | 110 m²,15.000 TL
İlkadım - Hançerli Mahallesi,Daire | 3+1 | 1. Kat | 135 m²,15.000 TL
İlkadım - Kadıköy Mahallesi,Daire | 2+1 | 1. Kat | 80 m²,10.500 TL
Atakum - Çobanözü Mahallesi,Daire | 4+1 | 1. Kat | 200 m²,28.000 TL30.000 TL
Atakum - Esenevler Mahallesi,Daire | 2+1 | 4. Kat | 90 m²,21.000 TL
İlkadım - Çiftlik Mahallesi,Daire | 4+1 | 5. Kat | 185 m²,18.000 TL20.000 TL
Canik - Gürgenyatak Mahallesi,Daire | 2+1 | 5. Kat | 63 m²,15.000 TL
İlkadım - Karadeniz Mahallesi,Daire | 2+1 | 1. Kat | 100 m²,13.000 TL
Atakum - Alanlı Mahallesi,Daire | 3+1 | 3. Kat | 135 m²,23.000 TL
Atakum - Körfez Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,16.000 TL
İlkadım - Yaşardoğu Mahallesi,Daire | 4+1 | 2. Kat | 150 m²,17.500 TL
İlkadım - İstasyon Mahallesi,Daire | 2+0 | 2. Kat | 85 m²,9.000 TL
Atakum - Yenimahalle Mahallesi,Daire | 1+1 | 2. Kat | 50 m²,15.000 TL
Atakum - İstiklal Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,10.500 TL
Atakum - Büyükoyumca Mahallesi,Daire | 1+1 | 3. Kat | 60 m²,14.000 TL
İlkadım - Hürriyet Mahallesi,Daire | 3+1 | 1. Kat | 140 m²,14.500 TL15.500 TL
Atakum - Cumhuriyet Mahallesi,Daire | 2+1 | 1. Kat | 110 m²,16.000 TL
Canik - Karşıyaka Mahallesi,Daire | 2+1 | 4. Kat | 100 m²,11.000 TL
Atakum - Cumhuriyet Mahallesi,Daire | 3+1 | 3. Kat | 145 m²,26.500 TL
Atakum - Körfez Mahallesi,Daire | 1+1 | 4. Kat | 65 m²,18.000 TL
Atakum - Körfez Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,17.000 TL
İlkadım - Yenidoğan Mahallesi,Daire | 2+1 | 4. Kat | 110 m²,9.000 TL10.000 TL
İlkadım - Bahçelievler Mahallesi,Daire | 3+1 | 1. Kat | 160 m²,18.000 TL
Atakum - Körfez Mahallesi,Daire | 1+1 | 5. Kat | 60 m²,18.300 TL
İlkadım - Kazım Karabekir Mahallesi,Daire | 2+1 | 4. Kat | 100 m²,7.500 TL
Bafra - Kemalpaşa Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,8.500 TL
İlkadım - Derebahçe Mahallesi,Daire | 3+1 | 9. Kat | 170 m²,25.500 TL28.000 TL
Atakum - Körfez Mahallesi,Daire | 1+1 | 3. Kat | 52 m²,14.990 TL
Kavak - Yaşar Doğu Mahallesi,Daire | 4+1 | 2. Kat | 150 m²,15.500 TL
Canik - Hasköy Mahallesi,Daire | 3+1 | 9. Kat | 160 m²,27.500 TL
Atakum - Çakırlar Yalı Mahallesi,Daire | 2+1 | 3. Kat | 110 m²,25.000 TL
Yakakent - Merkez Mahallesi,Daire | 2+1 | 2. Kat | 140 m²,65.000 TL
Atakum - Körfez Mahallesi,Daire | 1+1 | 3. Kat | 45 m²,14.250 TL
İlkadım - Karasamsun Mahallesi,Daire | 3+1 | 2. Kat | 150 m²,30.000 TL
Çarşamba - Orta Mahallesi,Daire | 2+1 | 1. Kat | 103 m²,12.000 TL
Çarşamba - Çay Mahallesi,Daire | 2+1 | 3. Kat | 96 m²,10.000 TL
Atakum - Mevlana Mahallesi,Daire | 3.5+1 | 8. Kat | 200 m²,44.000 TL
Atakum - Yenimahalle Mahallesi,Daire | 3+1 | 2. Kat | 145 m²,25.000 TL
Atakum - Esenevler Mahallesi,Daire | 2+1 | 5. Kat | 135 m²,25.000 TL
İlkadım - Kılıçdede Mahallesi,Daire | 3+1 | 5. Kat | 115 m²,20.000 TL
Atakum - Körfez Mahallesi,Daire | 2+1 | 4. Kat | 85 m²,22.500 TL
İlkadım - Çiftlik Mahallesi,Daire | 3+1 | 1. Kat | 140 m²,15.000 TL
İlkadım - Bahçelievler Mahallesi,Daire | 3+1 | Düz Giriş (Zemin) | 130 m²,12.000 TL
Canik - Hasköy Mahallesi,Daire | 3+1 | 8. Kat | 180 m²,35.000 TL
İlkadım - Fevzi Çakmak Mahallesi,Daire | 3+1 | 4. Kat | 145 m²,23.000 TL
Atakum - Denizevleri Mahallesi,Daire | 2+1 | 2. Kat | 110 m²,20.000 TL
İlkadım - Selahiye Mahallesi,Daire | 3+1 | 5. Kat | 150 m²,17.500 TL
İlkadım - Saitbey Mahallesi,Daire | 2+1 | 3. Kat | 95 m²,9.500 TL10.500 TL
Atakum - İncesu Mahallesi,Daire | 1+1 | 2. Kat | 50 m²,19.000 TL
İlkadım - Kılıçdede Mahallesi,Daire | 2+1 | Kot 3 (-3). Kat | 98 m²,16.000 TL
İlkadım - Fevzi Çakmak Mahallesi,Daire | 2+0 | 5. Kat | 80 m²,14.000 TL
Atakum - Körfez Mahallesi,Daire | 1+1 | 6. Kat | 55 m²,20.000 TL
Bafra - İshaklı Mahallesi,Daire | 4+1 | 6. Kat | 150 m²,16.500 TL
İlkadım - Rasathane Mahallesi,Daire | 2+1 | 6. Kat | 140 m²,15.000 TL
Atakum - Körfez Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,11.500 TL
Atakum - Körfez Mahallesi,Daire | 1+1 | 4. Kat | 55 m²,17.000 TL
İlkadım - Liman Mahallesi,Daire | 3+1 | 2. Kat | 130 m²,15.000 TL
İlkadım - Kılıçdede Mahallesi,Daire | 4+1 | 3. Kat | 175 m²,20.000 TL
Atakum - Yenimahalle Mahallesi,Daire | 2+1 | 9. Kat | 80 m²,16.400 TL
Atakum - Körfez Mahallesi,Daire | 1+1 | 5. Kat | 50 m²,14.000 TL
Atakum - Cumhuriyet Mahallesi,Daire | 2+1 | 4. Kat | 110 m²,15.000 TL
Atakum - Büyükkolpınar Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,11.500 TL
İlkadım - Hançerli Mahallesi,Daire | 3+1 | 4. Kat | 125 m²,12.000 TL
Atakum - Yenimahalle Mahallesi,Daire | 3+1 | 5. Kat | 135 m²,23.000 TL
Çarşamba - Çay Mahallesi,Daire | 2+1 | 4. Kat | 85 m²,10.500 TL
Atakum - Yenimahalle Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 45 m²,11.000 TL
Atakum - Körfez Mahallesi,Daire | 1+1 | 3. Kat | 60 m²,14.500 TL
Atakum - Körfez Mahallesi,Daire | 1+1 | 3. Kat | 70 m²,17.500 TL
İlkadım - Kazım Karabekir Mahallesi,Daire | 2+1 | 11. Kat | 115 m²,13.500 TL
Bafra - İshaklı Mahallesi,Daire | 2+1 | 5. Kat | 125 m²,6.000 TL
Atakum - Körfez Mahallesi,Daire | 2+1 | Kot 1 (-1). Kat | 90 m²,23.000 TL
Atakum - Esenevler Mahallesi,Daire | 3+1 | 2. Kat | 138 m²,30.000 TL
İlkadım - Derebahçe Mahallesi,Daire | 2+1 | Yüksek giriş | 105 m²,10.500 TL
Atakum - Yenimahalle Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,15.000 TL
İlkadım - Kazım Karabekir Mahallesi,Daire | 2+1 | 8. Kat | 115 m²,23.000 TL
Bafra - İshaklı Mahallesi,Daire | 3+1 | 2. Kat | 127 m²,12.000 TL
Atakum - İncesu Yalı Mahallesi,Daire | 1+1 | 3. Kat | 65 m²,15.000 TL
Atakum - Körfez Mahallesi,Daire | 1+1 | 4. Kat | 60 m²,15.000 TL
Atakum - İncesu Yalı Mahallesi,Daire | 1+1 | Yüksek giriş | 45 m²,12.000 TL
Atakum - Körfez Mahallesi,Daire | 1+1 | 3. Kat | 55 m²,15.000 TL
İlkadım - Cedit Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 55 m²,15.000 TL
Atakum - Cumhuriyet Mahallesi,Daire | 3+1 | 5. Kat | 130 m²,20.000 TL
İlkadım - Derebahçe Mahallesi,Daire | 2+1 | 6. Kat | 100 m²,11.000 TL12.000 TL
İlkadım - Cedit Mahallesi,Daire | 3+1 | 2. Kat | 125 m²,20.000 TL
İlkadım - 19 Mayıs Mahallesi,Daire | 3+1 | 1. Kat | 150 m²,30.000 TL
İlkadım - Kılıçdede Mahallesi,Daire | 3+1 | 2. Kat | 170 m²,25.000 TL
Atakum - İstiklal Mahallesi,Daire | 1+1 | 3. Kat | 55 m²,12.500 TL
Terme - Fenk Mahallesi,Daire | 3+1 | 3. Kat | 150 m²,30.000 TL
Atakum - Körfez Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,15.500 TL
