location,information,sales_price
Yenişehir - Aydınlıkevler Mahallesi,Daire | 2+1 | Yüksek giriş | 110 m²,180.000 TL
Yenişehir - Akkent Mahallesi,Daire | 2+1 | 4. Kat | 80 m²,25.000 TL
Erdemli - Alata Mahallesi,Daire | 1+1 | 1. Kat | 67 m²,13.000 TL
Mezitli - Merkez Mahallesi,Daire | 3+1 | 8. Kat | 200 m²,35.000 TL
Mezitli - Merkez Mahallesi,Daire | 3+1 | 4. Kat | 175 m²,25.000 TL
Mezitli - Yeni Mahallesi,Daire | 4+1 | 4. Kat | 220 m²,25.500 TL
Yenişehir - Dumlupınar Mahallesi,Daire | 2+1 | 1. Kat | 120 m²,20.000 TL
Mezitli - 75. Yıl Mahallesi,Daire | 2+1 | 3. Kat | 110 m²,21.000 TL
Mezitli - Akdeniz Mahallesi,Daire | 2+1 | 6. Kat | 95 m²,25.500 TL
Yenişehir - Barbaros Mahallesi,Daire | 2+1 | 8. Kat | 100 m²,24.000 TL
Yenişehir - Batıkent Mahallesi,Daire | 3+1 | 3. Kat | 140 m²,430.000 TL
Mezitli - Tece Mahallesi,Daire | 2+1 | 3. Kat | 115 m²,18.000 TL
Mezitli - Yeni Mahallesi,Daire | 2+1 | 8. Kat | 105 m²,23.000 TL
Yenişehir - Aydınlıkevler Mahallesi,Daire | 2+1 | 1. Kat | 115 m²,25.000 TL
Erdemli - Çeşmeli Mahallesi,Daire | 3+1 | 1. Kat | 190 m²,17.000 TL
Mezitli - Bozön Mahallesi,Daire | 2+1 | 1. Kat | 87 m²,20.000 TL
Yenişehir - Batıkent Mahallesi,Daire | 2+1 | 3. Kat | 135 m²,26.000 TL
Yenişehir - Çiftlikköy Mahallesi,Daire | 1+1 | Müstakil | 60 m²,20.000 TL
Yenişehir - Çiftlikköy Mahallesi,Daire | 1+1 | 2. Kat | 70 m²,16.500 TL
Yenişehir - Çiftlikköy Mahallesi,Daire | 1+1 | 13. Kat | 55 m²,22.000 TL
Yenişehir - Çiftlikköy Mahallesi,Daire | 1+1 | 4. Kat | 65 m²,19.000 TL
Yenişehir - Çiftlikköy Mahallesi,Daire | Stüdyo | 11. Kat | 35 m²,14.000 TL
Mezitli - Akdeniz Mahallesi,Daire | 2+1 | 7. Kat | 100 m²,32.000 TL
