location,information,sales_price
Merzifon - Harmanlar Mahallesi,Daire | 1+1 | 2. Kat | 63 m²,10.000 TL
Amasya Merkez - Şeyhcui Mahallesi,Daire | 1+1 | 3. Kat | 55 m²,14.000 TL
Amasya Merkez - Şeyhcui Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,15.000 TL
Amasya Merkez - Akbilek Mahallesi,Daire | 2+0 | 2. Kat | 75 m²,15.000 TL
Amasya Merkez - Kurşunlu Mahallesi,Daire | 2+1 | 1. Kat | 110 m²,10.500 TL
Amasya Merkez - Akbilek Mahallesi,Daire | 1+1 | Yüksek giriş | 55 m²,14.000 TL
Merzifon - Sofular Mahallesi,Daire | 3+1 | 1. Kat | 135 m²,12.000 TL
Merzifon - Bahçelievler Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,10.000 TL
Amasya Merkez - Şeyhcui Mahallesi,Daire | 1+1 | 1. Kat | 52 m²,13.000 TL
Merzifon - Yeni Mahallesi,Daire | 2+1 | 1. Kat | 115 m²,15.000 TL
Merzifon - Mahsen Mahallesi,Daire | 3+1 | 3. Kat | 130 m²,17.500 TL
Merzifon - Sofular Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,15.500 TL
Merzifon - Sofular Mahallesi,Daire | 1+1 | 1. Kat | 60 m²,11.000 TL
Amasya Merkez - Akbilek Mahallesi,Daire | 1+1 | Yüksek giriş | 60 m²,15.000 TL
Merzifon - Hacıbalı Mahallesi,Daire | 1+1 | 2. Kat | 80 m²,10.000 TL11.000 TL
Merzifon - Sofular Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,8.750 TL
Merzifon - Yeni Mahallesi,Daire | 2+1 | 1. Kat | 110 m²,15.500 TL
Suluova - Şeker Mahallesi,Daire | 2.5+1 | 1. Kat | 115 m²,17.000 TL
Merzifon - Sofular Mahallesi,Daire | 1+1 | 4. Kat | 60 m²,11.000 TL
Merzifon - Yunus Emre Mahallesi,Daire | 3+1 | 4. Kat | 151 m²,12.000 TL
Merzifon - Bahçelievler Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,15.250 TL
Amasya Merkez - Şeyhcui Mahallesi,Daire | 1+1 | 1. Kat | 48 m²,12.000 TL
Merzifon - Harmanlar Mahallesi,Daire | 1+1 | 3. Kat | 55 m²,12.500 TL
Merzifon - Bahçelievler Mahallesi,Daire | 2+1 | 1. Kat | 110 m²,14.000 TL
Merzifon - Gazimahbup Mahallesi,Daire | 2+1 | 3. Kat | 110 m²,17.500 TL
Merzifon - Hacıbalı Mahallesi,Daire | 1+1 | 1. Kat | 80 m²,14.500 TL
Suluova - Cumhuriyet Mahallesi,Daire | 1+1 | 4. Kat | 75 m²,10.000 TL
Amasya Merkez - Şeyhcui Mahallesi,Daire | 1+1 | 1. Kat | 50 m²,12.000 TL
Amasya Merkez - Şeyhcui Mahallesi,Daire | 1+1 | 1. Kat | 60 m²,16.000 TL
Merzifon - Bahçelievler Mahallesi,Daire | 2+1 | 5. Kat | 115 m²,12.000 TL
Merzifon - Yeni Mahallesi,Daire | 3+1 | Düz Giriş (Zemin) | 106 m²,8.500 TL
Amasya Merkez - Gökmedrese Mahallesi,Daire | 2+0 | 2. Kat | 70 m²,14.000 TL
Suluova - Pazar Mahallesi,Daire | 1+1 | 3. Kat | 67 m²,10.000 TL
Amasya Merkez - Yüzevler Mahallesi,Daire | 2+1 | 4. Kat | 90 m²,9.500 TL
Merzifon - Harmanlar Mahallesi,Daire | 3+1 | 2. Kat | 145 m²,15.000 TL
Merzifon - Bahçelievler Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,10.250 TL
Merzifon - Sofular Mahallesi,Daire | 3+1 | 4. Kat | 135 m²,10.250 TL
Merzifon - Sofular Mahallesi,Daire | 1+1 | 3. Kat | 65 m²,12.000 TL
Merzifon - Sofular Mahallesi,Daire | 1+1 | 2. Kat | 52 m²,13.250 TL
Merzifon - Bahçelievler Mahallesi,Daire | 1+1 | Yüksek giriş | 55 m²,10.000 TL
Merzifon - Yunus Emre Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,7.000 TL
Merzifon - Hocasüleyman Mahallesi,Daire | 1+1 | 3. Kat | 60 m²,10.000 TL
Merzifon - Sofular Mahallesi,Daire | 1+1 | 4. Kat | 75 m²,9.500 TL
Merzifon - Sofular Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,12.750 TL
Merzifon - Bahçelievler Mahallesi,Daire | Stüdyo | Düz Giriş (Zemin) | 55 m²,9.000 TL
Merzifon - Mahsen Mahallesi,Daire | 2+0 | 4. Kat | 90 m²,13.000 TL
Merzifon - Harmanlar Mahallesi,Daire | 3+1 | 2. Kat | 149 m²,13.000 TL
Merzifon - Sofular Mahallesi,Daire | 1+1 | 2. Kat | 65 m²,8.000 TL
Merzifon - Hacıbalı Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,12.000 TL
Suluova - Cumhuriyet Mahallesi,Daire | 2+0 | 4. Kat | 90 m²,11.000 TL
Merzifon - Mahsen Mahallesi,Daire | 4+1 | 2. Kat | 185 m²,20.000 TL
Merzifon - Bahçelievler Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,1.850.000 TL
Merzifon - Sofular Mahallesi,Daire | 1+1 | 3. Kat | 80 m²,12.250 TL
Merzifon - Sofular Mahallesi,Daire | 1+1 | 3. Kat | 72 m²,11.500 TL
Merzifon - Sofular Mahallesi,Daire | 1+1 | 3. Kat | 65 m²,10.500 TL
Merzifon - Sofular Mahallesi,Daire | 1+1 | 3. Kat | 68 m²,10.500 TL
Amasya Merkez - Akbilek Mahallesi,Daire | 1+1 | 3. Kat | 50 m²,12.500 TL
Merzifon - Yeni Mahallesi,Daire | 1+1 | 1. Kat | 65 m²,9.800 TL
Merzifon - Sofular Mahallesi,Daire | 1+1 | 2. Kat | 50 m²,12.500 TL
Merzifon - Bağlarbaşı Mahallesi,Daire | 3+1 | 5. Kat | 160 m²,15.500 TL
Amasya Merkez - Şeyhcui Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 55 m²,15.000 TL
Amasya Merkez - Akbilek Mahallesi,Daire | 2+1 | 3. Kat | 120 m²,26.000 TL
Amasya Merkez - Şeyhcui Mahallesi,Daire | 2+1 | 3. Kat | 105 m²,20.000 TL
Amasya Merkez - Şeyhcui Mahallesi,Daire | 1+1 | 6. Kat | 60 m²,12.000 TL
Amasya Merkez - Şeyhcui Mahallesi,Daire | 2+0 | Düz Giriş (Zemin) | 70 m²,13.500 TL
Merzifon - Hocasüleyman Mahallesi,Daire | 1+1 | 3. Kat | 50 m²,11.500 TL
Merzifon - Yunus Emre Mahallesi,Daire | 1+1 | Kot 3 (-3). Kat | 70 m²,11.000 TL
Merzifon - Sofular Mahallesi,Daire | 1+1 | 3. Kat | 50 m²,11.500 TL
Merzifon - Camicedit Mahallesi,Daire | 3+1 | 4. Kat | 145 m²,20.000 TL
Amasya Merkez - Şeyhcui Mahallesi,Daire | 3+1 | 5. Kat | 150 m²,25.000 TL
Amasya Merkez - Göllü Bağları Mahallesi,Daire | 2+0 | 5. Kat | 85 m²,17.000 TL
Amasya Merkez - Ellibeşevler Mahallesi,Daire | 3+1 | 4. Kat | 170 m²,22.000 TL
Amasya Merkez - Kirazlıdere Mahallesi,Daire | 2+1 | 3. Kat | 90 m²,14.000 TL
Amasya Merkez - Pirinççi Mahallesi,Daire | 2+1 | 3. Kat | 120 m²,11.000 TL
Amasya Merkez - Ellibeşevler Mahallesi,Daire | 2+1 | 5. Kat | 115 m²,12.000 TL
Amasya Merkez - Beyazıtpaşa Mahallesi,Daire | 4+1 | 3. Kat | 220 m²,26.500 TL
Amasya Merkez - Şeyhcui Mahallesi,Daire | 1+1 | 2. Kat | 56 m²,12.000 TL
Amasya Merkez - Şeyhcui Mahallesi,Daire | 3+1 | 3. Kat | 145 m²,15.000 TL
Amasya Merkez - Kirazlıdere Mahallesi,Daire | 3+1 | 3. Kat | 165 m²,9.000 TL
Amasya Merkez - Şeyhcui Mahallesi,Daire | 3+1 | 1. Kat | 150 m²,22.000 TL
Amasya Merkez - Kirazlıdere Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 100 m²,15.000 TL
Amasya Merkez - Şeyhcui Mahallesi,Daire | 1+1 | 4. Kat | 60 m²,14.000 TL
Amasya Merkez - Şeyhcui Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 80 m²,11.000 TL
Amasya Merkez - Kirazlıdere Mahallesi,Daire | 2+0 | 1. Kat | 90 m²,14.000 TL
Amasya Merkez - Akbilek Mahallesi,Daire | 1+1 | 1. Kat | 60 m²,14.500 TL
Merzifon - Hacıhasan Mahallesi,Daire | 1+1 | 2. Kat | 65 m²,8.500 TL
Merzifon - Bahçelievler Mahallesi,Daire | 2+0 | Düz Giriş (Zemin) | 100 m²,11.000 TL
Amasya Merkez - Kirazlıdere Mahallesi,Daire | 3+1 | 3. Kat | 125 m²,14.000 TL
