location,information,sales_price
Serdivan - İstiklal Mahallesi,Daire | 1+1 | 1. Kat | 50 m²,14.500 TL
Serdivan - Kemalpaşa Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 60 m²,16.000 TL
Serdivan - İstiklal Mahallesi,Daire | Stüdyo | Çatı katı | 35 m²,12.000 TL
Arifiye - Arifbey Mahallesi,Daire | 2+1 | Yüksek giriş | 110 m²,30.000 TL
Adapazarı - Şeker Mahallesi,Daire | 3+1 | 4. Kat | 130 m²,14.000 TL
Hendek - Yeni Mahallesi,Daire | 3+1 | 4. Kat | 145 m²,20.000 TL
Hendek - Yeni Mahallesi,Daire | 3+1 | 4. Kat | 130 m²,15.000 TL
Hendek - Kemaliye Mahallesi,Daire | 2+1 | 5. Kat | 130 m²,15.000 TL
Hendek - Yeni Mahallesi,Daire | 2+1 | 2. Kat | 105 m²,15.000 TL
Arifiye - Neviye Mahallesi,Daire | 1+1 | 3. Kat | 90 m²,15.000 TL
Serdivan - Kemalpaşa Mahallesi,Daire | 2+1 | 3. Kat | 65 m²,17.000 TL
Serdivan - Kemalpaşa Mahallesi,Daire | Stüdyo | 2. Kat | 27 m²,14.000 TL
Serdivan - Kemalpaşa Mahallesi,Daire | 2+1 | 2. Kat | 70 m²,16.250 TL
Serdivan - Kemalpaşa Mahallesi,Daire | Stüdyo | 2. Kat | 27 m²,12.500 TL
Akyazı - Yeni Mahallesi,Daire | 1+1 | 2. Kat | 45 m²,9.000 TL
Akyazı - Konuralp Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,16.000 TL
Sapanca - Güldibi Mahallesi,Daire | 3+1 | 2. Kat | 130 m²,20.000 TL
Sapanca - Gazipaşa Mahallesi,Daire | 2+1 | Yüksek giriş | 70 m²,20.000 TL
Akyazı - Yunus Emre Mahallesi,Daire | 2+1 | Yüksek giriş | 110 m²,15.000 TL
Akyazı - Yeni Mahallesi,Daire | 1+1 | 2. Kat | 45 m²,10.000 TL
Serdivan - Otuziki Evler Mahallesi,Daire | 5+1 | 4. Kat | 285 m²,50.000 TL
Adapazarı - Şeker Mahallesi,Daire | 2+1 | 3. Kat | 95 m²,20.000 TL
Arifiye - Arifbey Mahallesi,Daire | 3+1 | Yüksek giriş | 120 m²,25.000 TL
Kocaali - Yayla Mahallesi,Daire | 3+1 | Yüksek giriş | 120 m²,16.000 TL
Serdivan - Beşköprü Mahallesi,Daire | 5+1 | Müstakil | 200 m²,25.000 TL
