location,information,sales_price
Batman Merkez - Bayındır Mahallesi,Daire | 2+1 | 1. Kat | 95 m²,8.500 TL
Batman Merkez - Kültür Mahallesi,Daire | 2+1 | Çatı katı | 120 m²,11.000 TL13.000 TL
Batman Merkez - Şafak Mahallesi,Daire | 4+1 | 6. Kat | 200 m²,16.500 TL
Batman Merkez - İrmi Mahallesi,Daire | 2+1 | 3. Kat | 100 m²,9.250 TL
Batman Merkez - Gap Mahallesi,Daire | 1+1 | 3. Kat | 48 m²,10.500 TL
Batman Merkez - Bahçelievler Mahallesi,Daire | 2+1 | 3. Kat | 120 m²,11.000 TL
Batman Merkez - Kültür Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,15.200 TL
Batman Merkez - Gap Mahallesi,Daire | 2+0 | 2. Kat | 80 m²,13.000 TL
Batman Merkez - Şafak Mahallesi,Daire | 1+1 | Yüksek giriş | 45 m²,7.000 TL
Batman Merkez - Bahçelievler Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,15.000 TL
Batman Merkez - Fatih Mahallesi,Daire | 2+0 | 4. Kat | 110 m²,11.000 TL
Batman Merkez - Çamlıtepe Mahallesi,Daire | 4+0 | 7. Kat | 200 m²,15.000 TL
Batman Merkez - Gap Mahallesi,Daire | 1+1 | 4. Kat | 55 m²,11.500 TL
Batman Merkez - Akyürek Mahallesi,Daire | 2+1 | 3. Kat | 120 m²,10.500 TL
Batman Merkez - Gap Mahallesi,Daire | 1+1 | 4. Kat | 45 m²,9.000 TL
Batman Merkez - Hilal Mahallesi,Daire | 2+1 | 2. Kat | 113 m²,13.250 TL
Batman Merkez - Korik Mahallesi,Daire | 3+1 | 2. Kat | 180 m²,6.500 TL
Batman Merkez - Bahçelievler Mahallesi,Daire | 2+1 | 3. Kat | 90 m²,17.000 TL
Batman Merkez - Gap Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,11.500 TL
Batman Merkez - Kültür Mahallesi,Daire | 1+1 | 4. Kat | 55 m²,9.000 TL
Batman Merkez - Gap Mahallesi,Daire | 1+1 | 4. Kat | 50 m²,12.000 TL
Batman Merkez - Gültepe Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,12.000 TL
