location,information,sales_price
Isparta Merkez - Modern Evler Mahallesi,Daire | 1+1 | 1. Kat | 75 m²,19.500 TL
Isparta Merkez - İstiklal Mahallesi,Daire | 2+1 | 1. Kat | 115 m²,19.000 TL
Isparta Merkez - Fatih Mahallesi,Daire | 1+1 | 2. Kat | 35 m²,10.000 TL11.500 TL
Isparta Merkez - İstiklal Mahallesi,Daire | 2+1 | 3. Kat | 50 m²,11.500 TL
Isparta Merkez - Bahçelievler Mahallesi,Daire | Stüdyo | Çatı katı | 30 m²,9.000 TL
Isparta Merkez - Davraz Mahallesi,Daire | 3+1 | 3. Kat | 130 m²,18.500 TL
Isparta Merkez - Modern Evler Mahallesi,Daire | 2+1 | Kot 4 (-4). Kat | 62 m²,12.000 TL
Isparta Merkez - Fatih Mahallesi,Daire | 2+0 | 2. Kat | 45 m²,11.000 TL
Isparta Merkez - Fatih Mahallesi,Daire | 2+1 | 2. Kat | 50 m²,13.500 TL
Isparta Merkez - Fatih Mahallesi,Daire | Stüdyo | Çatı katı | 30 m²,7.000 TL
Isparta Merkez - Hızırbey Mahallesi,Daire | 1+1 | Bahçe katı | 45 m²,9.000 TL
Isparta Merkez - Turan Mahallesi,Daire | 3+1 | 5. Kat | 150 m²,19.000 TL
Isparta Merkez - Fatih Mahallesi,Daire | Stüdyo | 2. Kat | 40 m²,9.500 TL
Isparta Merkez - Fatih Mahallesi,Daire | 2+1 | 1. Kat | 50 m²,15.000 TL
Isparta Merkez - Zafer Mahallesi,Daire | 2+1 | Bahçe katı | 102 m²,10.000 TL
Isparta Merkez - Fatih Mahallesi,Daire | 3+1 | 1. Kat | 130 m²,16.000 TL
Isparta Merkez - Bahçelievler Mahallesi,Daire | 2+1 | 1. Kat | 65 m²,10.000 TL12.000 TL
Isparta Merkez - Muzaffer Türkeş Mahallesi,Daire | 3+1 | 1. Kat | 165 m²,30.000 TL
Isparta Merkez - Bahçelievler Mahallesi,Daire | 2+1 | 2. Kat | 50 m²,14.000 TL
Isparta Merkez - Fatih Mahallesi,Daire | Stüdyo | Çatı katı | 40 m²,10.000 TL
Isparta Merkez - Fatih Mahallesi,Daire | 1+1 | 3. Kat | 55 m²,10.000 TL
Isparta Merkez - Çünür Mahallesi,Daire | 1+1 | 3. Kat | 55 m²,13.000 TL
Isparta Merkez - Yedişehitler Mahallesi,Daire | 2+1 | 2. Kat | 60 m²,15.000 TL
Isparta Merkez - Çünür Mahallesi,Daire | 2+1 | 2. Kat | 65 m²,17.000 TL
Isparta Merkez - Sanayi Mahallesi,Daire | 3+1 | 9. Kat | 150 m²,31.000 TL
Isparta Merkez - Fatih Mahallesi,Daire | 1+1 | Bahçe katı | 40 m²,6.000 TL7.000 TL
Isparta Merkez - Zafer Mahallesi,Daire | 2+1 | Yüksek giriş | 55 m²,14.000 TL
Isparta Merkez - Hızırbey Mahallesi,Daire | 3+1 | 3. Kat | 150 m²,20.000 TL
Isparta Merkez - Çünür Mahallesi,Daire | 3+1 | 5. Kat | 165 m²,28.000 TL
Isparta Merkez - Çünür Mahallesi,Daire | 1+1 | 5. Kat | 55 m²,12.500 TL
Isparta Merkez - İskender Mahallesi,Daire | 2+1 | 3. Kat | 60 m²,14.000 TL
Isparta Merkez - İskender Mahallesi,Daire | 2+1 | 2. Kat | 60 m²,11.000 TL
Isparta Merkez - Modern Evler Mahallesi,Daire | 1+1 | 2. Kat | 50 m²,12.000 TL
Isparta Merkez - Yedişehitler Mahallesi,Daire | 2+1 | 2. Kat | 60 m²,15.000 TL
Isparta Merkez - Fatih Mahallesi,Daire | Stüdyo | Bahçe katı | 30 m²,7.000 TL
Isparta Merkez - Akkent Mahallesi,Daire | 3+1 | 3. Kat | 130 m²,17.500 TL
Isparta Merkez - İskender Mahallesi,Daire | 2+0 | 3. Kat | 55 m²,13.000 TL
Isparta Merkez - Fatih Mahallesi,Daire | 2+1 | Bahçe katı | 50 m²,14.000 TL
Isparta Merkez - Çünür Mahallesi,Daire | 1+1 | 2. Kat | 45 m²,12.000 TL
Isparta Merkez - Pirimehmet Mahallesi,Daire | 1+1 | 2. Kat | 45 m²,9.500 TL
Isparta Merkez - Yayla Mahallesi,Daire | 2+1 | Çatı katı | 100 m²,7.000 TL
Isparta Merkez - Çelebiler Mahallesi,Daire | Stüdyo | 2. Kat | 30 m²,7.000 TL
Isparta Merkez - Çünür Mahallesi,Daire | 1+1 | 1. Kat | 45 m²,12.500 TL
Isparta Merkez - Hızırbey Mahallesi,Daire | 1+1 | Çatı katı | 50 m²,9.000 TL
Isparta Merkez - Fatih Mahallesi,Daire | Stüdyo | Çatı katı | 30 m²,7.000 TL
Isparta Merkez - Hızırbey Mahallesi,Daire | 1+1 | Çatı katı | 45 m²,9.000 TL
Isparta Merkez - Bahçelievler Mahallesi,Daire | Stüdyo | Bahçe katı | 45 m²,7.000 TL
Isparta Merkez - Halife Sultan Mahallesi,Daire | 3+1 | Yüksek giriş | 140 m²,16.000 TL
Isparta Merkez - Modern Evler Mahallesi,Daire | 2+1 | 2. Kat | 55 m²,15.000 TL
Isparta Merkez - Halıkent Mahallesi,Daire | 3+1 | 1. Kat | 140 m²,16.000 TL17.000 TL
Isparta Merkez - Fatih Mahallesi,Daire | 2+1 | Bahçe katı | 55 m²,8.000 TL
Isparta Merkez - Fatih Mahallesi,Daire | 3+1 | Bahçe katı | 140 m²,14.000 TL
Isparta Merkez - Fatih Mahallesi,Daire | Stüdyo | Çatı katı | 45 m²,8.500 TL
Isparta Merkez - Keçeci Mahallesi,Daire | 3+1 | 4. Kat | 150 m²,35.000 TL
Isparta Merkez - İskender Mahallesi,Daire | 1+1 | Kot 3 (-3). Kat | 50 m²,13.000 TL
Isparta Merkez - Yedişehitler Mahallesi,Daire | 2+1 | 2. Kat | 65 m²,15.000 TL
Isparta Merkez - Pirimehmet Mahallesi,Daire | Stüdyo | 1. Kat | 35 m²,9.500 TL
Isparta Merkez - Fatih Mahallesi,Daire | 2+1 | Bahçe katı | 50 m²,14.000 TL
Isparta Merkez - Fatih Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,9.000 TL10.000 TL
Isparta Merkez - Sülübey Mahallesi,Daire | 3+1 | 2. Kat | 120 m²,12.000 TL
Isparta Merkez - Bahçelievler Mahallesi,Daire | 1+1 | 2. Kat | 52 m²,14.000 TL
Isparta Merkez - Fatih Mahallesi,Daire | 1+1 | 2. Kat | 45 m²,18.000 TL
Isparta Merkez - Yedişehitler Mahallesi,Daire | 2+1 | 3. Kat | 55 m²,14.000 TL
Isparta Merkez - Modern Evler Mahallesi,Daire | 2+1 | 2. Kat | 58 m²,16.000 TL
Isparta Merkez - Bahçelievler Mahallesi,Daire | 2+0 | 1. Kat | 55 m²,12.000 TL
Isparta Merkez - Bahçelievler Mahallesi,Daire | Stüdyo | Çatı katı | 38 m²,7.000 TL
Isparta Merkez - Kutlubey Mahallesi,Daire | Stüdyo | 2. Kat | 25 m²,5.500 TL
Isparta Merkez - Kutlubey Mahallesi,Daire | Stüdyo | Bahçe katı | 25 m²,6.000 TL
Isparta Merkez - Hızırbey Mahallesi,Daire | 2+1 | 2. Kat | 110 m²,20.000 TL
Isparta Merkez - Modern Evler Mahallesi,Daire | 2+1 | 2. Kat | 45 m²,12.000 TL
Isparta Merkez - Bahçelievler Mahallesi,Daire | 3+1 | Bahçe katı | 85 m²,12.500 TL
Isparta Merkez - Çünür Mahallesi,Daire | 1+1 | 1. Kat | 45 m²,13.000 TL
Isparta Merkez - Bahçelievler Mahallesi,Daire | 2+1 | Bahçe katı | 50 m²,10.000 TL
Isparta Merkez - İskender Mahallesi,Daire | 2+0 | Kot 3 (-3). Kat | 55 m²,13.000 TL
Isparta Merkez - Mehmet Tönge Mahallesi,Daire | 1+1 | Yüksek giriş | 50 m²,10.000 TL
Isparta Merkez - Fatih Mahallesi,Daire | 1+1 | Bodrum Kat | 45 m²,12.000 TL
Isparta Merkez - Fatih Mahallesi,Daire | 1+1 | 3. Kat | 45 m²,8.000 TL
Isparta Merkez - Fatih Mahallesi,Daire | 1+1 | Bahçe katı | 50 m²,9.500 TL
Isparta Merkez - Hızırbey Mahallesi,Daire | 3+1 | 1. Kat | 160 m²,14.000 TL
Isparta Merkez - Kepeci Mahallesi,Daire | 1+1 | Yüksek giriş | 65 m²,15.000 TL
Isparta Merkez - Fatih Mahallesi,Daire | 1+1 | 3. Kat | 55 m²,17.000 TL
Isparta Merkez - Fatih Mahallesi,Daire | 1 Oda | Çatı katı | 25 m²,7.000 TL
Isparta Merkez - Fatih Mahallesi,Daire | 1+1 | 2. Kat | 35 m²,12.000 TL
Isparta Merkez - Fatih Mahallesi,Daire | 1+1 | 1. Kat | 35 m²,11.000 TL
Isparta Merkez - Fatih Mahallesi,Daire | 1 Oda | Bahçe katı | 25 m²,6.500 TL
Isparta Merkez - Fatih Mahallesi,Daire | 1 Oda | Bahçe katı | 25 m²,7.500 TL
Isparta Merkez - Fatih Mahallesi,Daire | 2+0 | Bahçe katı | 40 m²,11.000 TL
Isparta Merkez - Çünür Mahallesi,Daire | 2+1 | 3. Kat | 65 m²,14.000 TL
Isparta Merkez - Çünür Mahallesi,Daire | 3+1 | 6. Kat | 145 m²,24.900 TL
Isparta Merkez - Modern Evler Mahallesi,Daire | 2+1 | 3. Kat | 65 m²,16.500 TL
Isparta Merkez - Modern Evler Mahallesi,Daire | 1+1 | 4. Kat | 45 m²,9.000 TL
Isparta Merkez - Modern Evler Mahallesi,Daire | 2+1 | 2. Kat | 65 m²,13.000 TL
Isparta Merkez - Modern Evler Mahallesi,Daire | 2+1 | Bahçe katı | 70 m²,10.000 TL
Isparta Merkez - Davraz Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,13.000 TL
Isparta Merkez - Fatih Mahallesi,Daire | 2+1 | 2. Kat | 60 m²,17.000 TL
Isparta Merkez - Modern Evler Mahallesi,Daire | Stüdyo | Bahçe katı | 40 m²,9.999 TL
Isparta Merkez - Davraz Mahallesi,Daire | 3+1 | 4. Kat | 130 m²,15.000 TL
Isparta Merkez - Çünür Mahallesi,Daire | 2+1 | Yüksek giriş | 100 m²,13.000 TL
Isparta Merkez - Fatih Mahallesi,Daire | Stüdyo | Bahçe katı | 30 m²,7.000 TL
Isparta Merkez - Doğancı Mahallesi,Daire | 3+1 | 2. Kat | 175 m²,22.000 TL
Isparta Merkez - Kepeci Mahallesi,Daire | 2+1 | 3. Kat | 50 m²,13.000 TL
Isparta Merkez - Davraz Mahallesi,Daire | 3+1 | 5. Kat | 130 m²,15.000 TL
Isparta Merkez - Kurtuluş Mahallesi,Daire | 3+1 | 1. Kat | 155 m²,26.000 TL
Isparta Merkez - Akkent Mahallesi,Daire | 2+1 | Yüksek giriş | 105 m²,13.500 TL
Isparta Merkez - Ayazmana Mahallesi,Daire | 3+1 | 6. Kat | 135 m²,18.000 TL
Isparta Merkez - Bahçelievler Mahallesi,Daire | 2+1 | 3. Kat | 55 m²,18.000 TL
Isparta Merkez - Yedişehitler Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,12.000 TL
Isparta Merkez - Fatih Mahallesi,Daire | 2+1 | 2. Kat | 55 m²,12.000 TL
Isparta Merkez - Sidre Mahallesi,Daire | 1+1 | 3. Kat | 85 m²,15.000 TL
Eğirdir - Altınkum Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 110 m²,10.000 TL
Isparta Merkez - Çünür Mahallesi,Daire | 1+1 | 4. Kat | 55 m²,14.000 TL
Isparta Merkez - Çünür Mahallesi,Daire | 2+1 | 2. Kat | 65 m²,15.000 TL
Isparta Merkez - Çünür Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,13.500 TL
Isparta Merkez - Bahçelievler Mahallesi,Daire | 2+1 | 2. Kat | 60 m²,12.250 TL
Isparta Merkez - İstiklal Mahallesi,Daire | 3+1 | Yüksek giriş | 110 m²,18.000 TL
Isparta Merkez - Modern Evler Mahallesi,Daire | 2+1 | 1. Kat | 50 m²,14.000 TL
Isparta Merkez - Modern Evler Mahallesi,Daire | 2+1 | 2. Kat | 55 m²,15.000 TL
Isparta Merkez - Fatih Mahallesi,Daire | 1+1 | Yüksek giriş | 50 m²,9.000 TL
Isparta Merkez - Ayazmana Mahallesi,Daire | 2+1 | 3. Kat | 120 m²,10.000 TL
Isparta Merkez - Bahçelievler Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,12.000 TL
Isparta Merkez - Çünür Mahallesi,Daire | 2+0 | 3. Kat | 65 m²,14.000 TL
Isparta Merkez - Gülcü Mahallesi,Daire | 1+1 | 3. Kat | 85 m²,15.000 TL
Isparta Merkez - Bağlar Mahallesi,Daire | 2+1 | 2. Kat | 50 m²,10.000 TL
Isparta Merkez - Yedişehitler Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,12.000 TL
Isparta Merkez - Bahçelievler Mahallesi,Daire | 2+1 | Yüksek giriş | 50 m²,10.500 TL
Isparta Merkez - Fatih Mahallesi,Daire | 2+0 | Bahçe katı | 50 m²,8.500 TL
Isparta Merkez - Deregümü Köyü (Aşağı Mahallesi),Daire | Stüdyo | Bahçe katı | 40 m²,8.500 TL
Isparta Merkez - Fatih Mahallesi,Daire | 2+1 | Yüksek giriş | 55 m²,12.000 TL
Isparta Merkez - Çünür Mahallesi,Daire | 2+1 | 2. Kat | 50 m²,9.000 TL
