location,information,sales_price
Pamukkale - İstiklal Mahallesi,Daire | 3+1 | Yüksek giriş | 140 m²,15.000 TL
Pamukkale - Kınıklı Mahallesi,Daire | 1+1 | Bahçe katı | 45 m²,9.000 TL
Merkezefendi - Değirmenönü Mahallesi,Daire | 2+1 | 3. Kat | 70 m²,17.000 TL
Pamukkale - Mehmetçik Mahallesi,Daire | 2+1 | 3. Kat | 75 m²,19.000 TL
Pamukkale - Cumhuriyet Mahallesi,Daire | 2+1 | 5. Kat | 120 m²,12.000 TL
Pamukkale - Siteler Mahallesi,Daire | 2+1 | 2. Kat | 110 m²,12.000 TL
Pamukkale - Asmalıevler Mahallesi,Daire | 1+1 | 3. Kat | 47 m²,8.000 TL
Merkezefendi - Bahçelievler Mahallesi,Daire | 3+1 | 2. Kat | 160 m²,27.000 TL
Merkezefendi - Karaman Mahallesi,Daire | 2+0 | 4. Kat | 80 m²,17.000 TL
Merkezefendi - Değirmenönü Mahallesi,Daire | 3+1 | Yüksek giriş | 130 m²,21.000 TL24.000 TL
Merkezefendi - Adalet Mahallesi,Daire | 3+1 | 2. Kat | 150 m²,30.000 TL
Merkezefendi - Şemikler Mahallesi,Daire | 2+1 | Bahçe katı | 105 m²,15.000 TL
Pamukkale - İstiklal Mahallesi,Daire | 3+1 | 2. Kat | 150 m²,25.000 TL
Pamukkale - Bağbaşı Mahallesi,Daire | 3+1 | 1. Kat | 160 m²,23.000 TL
Pamukkale - Atalar Mahallesi,Daire | 1+1 | 3. Kat | 50 m²,10.000 TL
Pamukkale - Kınıklı Mahallesi,Daire | 2+1 | 3. Kat | 75 m²,18.000 TL
Merkezefendi - Adalet Mahallesi,Daire | 3+1 | 3. Kat | 160 m²,30.000 TL
Pamukkale - Kınıklı Mahallesi,Daire | 2+1 | 3. Kat | 70 m²,23.000 TL
Merkezefendi - Şirinköy Mahallesi,Daire | 2+1 | Bahçe katı | 100 m²,47.500 TL
Pamukkale - Zeytinköy Mahallesi,Daire | 1+1 | 1. Kat | 50 m²,9.000 TL
Pamukkale - İncilipınar Mahallesi,Daire | 1+1 | Bodrum Kat | 55 m²,8.500 TL
Çardak - Hürriyet Mahallesi,Daire | 3+1 | 3. Kat | 145 m²,10.500 TL
Pamukkale - İstiklal Mahallesi,Daire | 1+1 | 3. Kat | 50 m²,11.000 TL12.500 TL
Pamukkale - İstiklal Mahallesi,Daire | 1+1 | 1. Kat | 50 m²,10.000 TL11.500 TL
Pamukkale - Yunusemre Mahallesi,Daire | 1+1 | 2. Kat | 45 m²,14.000 TL
Merkezefendi - Yenişafak Mahallesi,Daire | 2+1 | 3. Kat | 120 m²,22.000 TL
Merkezefendi - Yenişehir Mahallesi,Daire | 4+1 | 5. Kat | 240 m²,42.500 TL
Merkezefendi - Yenişehir Mahallesi,Daire | 4+1 | 5. Kat | 240 m²,42.500 TL
Pamukkale - Yunusemre Mahallesi,Daire | 1+1 | 2. Kat | 45 m²,14.000 TL
Pamukkale - Fesleğen Mahallesi,Daire | 1+1 | 1. Kat | 70 m²,11.500 TL
Merkezefendi - Kayalar Mahallesi,Daire | 2+1 | 6. Kat | 110 m²,27.000 TL
Merkezefendi - Akçeşme Mahallesi,Daire | 3+1 | 1. Kat | 150 m²,13.000 TL
Acıpayam - Aşağı Mahallesi,Daire | 2+1 | 2. Kat | 75 m²,12.500 TL
Merkezefendi - Yenişafak Mahallesi,Daire | 3+1 | 1. Kat | 150 m²,32.000 TL
Merkezefendi - Şemikler Mahallesi,Daire | 3+1 | 4. Kat | 180 m²,36.000 TL
Merkezefendi - Karahasanlı Mahallesi,Daire | 2+1 | 2. Kat | 70 m²,18.000 TL
Merkezefendi - Çakmak Mahallesi,Daire | 2+1 | 3. Kat | 135 m²,25.000 TL
Pamukkale - Kuşpınar Mahallesi,Daire | 2+1 | 1. Kat | 140 m²,16.000 TL17.500 TL
Pamukkale - Zeytinköy Mahallesi,Daire | 1+1 | Çatı katı | 45 m²,9.000 TL
Pamukkale - Zeytinköy Mahallesi,Daire | 2+1 | 2. Kat | 70 m²,12.000 TL
Merkezefendi - Saraylar Mahallesi,Daire | 2+1 | 5. Kat | 78 m²,15.000 TL
Merkezefendi - Çakmak Mahallesi,Daire | 3.5+1 | 2. Kat | 210 m²,34.000 TL
Merkezefendi - Bereketler Mahallesi,Daire | 3+1 | 1. Kat | 150 m²,22.000 TL
Merkezefendi - Başkarcı Mahallesi,Daire | 3+1 | 1. Kat | 185 m²,22.000 TL
Pamukkale - Mehmetçik Mahallesi,Daire | 3+1 | 8. Kat | 155 m²,26.000 TL
Merkezefendi - Saraylar Mahallesi,Daire | 1+1 | 4. Kat | 55 m²,14.000 TL
Merkezefendi - Karaman Mahallesi,Daire | 1+1 | 1. Kat | 100 m²,10.000 TL
Honaz - Hürriyet Mahallesi,Daire | 3+1 | 1. Kat | 150 m²,17.000 TL
Merkezefendi - Hacıeyüplü Mahallesi,Daire | 2+1 | 5. Kat | 102 m²,15.000 TL18.000 TL
Merkezefendi - Kayalar Mahallesi,Daire | 2+1 | 4. Kat | 110 m²,19.500 TL
Pamukkale - Kuşpınar Mahallesi,Daire | 2+1 | 3. Kat | 80 m²,18.000 TL
Pamukkale - Kınıklı Mahallesi,Daire | 2+1 | 4. Kat | 110 m²,19.000 TL
Pamukkale - Asmalıevler Mahallesi,Daire | 1+1 | Çatı katı | 45 m²,9.000 TL
Merkezefendi - Şemikler Mahallesi,Daire | 4+1 | 3. Kat | 215 m²,48.000 TL
Pamukkale - Zeytinköy Mahallesi,Daire | 1+1 | 5. Kat | 55 m²,10.500 TL
Pamukkale - Zeytinköy Mahallesi,Daire | 1+1 | 1. Kat | 49 m²,12.000 TL
Merkezefendi - Selçuk Bey Mahallesi,Daire | 3+1 | 1. Kat | 165 m²,15.000 TL
Pamukkale - Fesleğen Mahallesi,Daire | 2+1 | 4. Kat | 110 m²,23.000 TL
Çal - Hüseyinler Mahallesi,Daire | 2+1 | Çatı katı | 135 m²,12.000 TL
Pamukkale - 15 Mayıs Mahallesi,Daire | 3+1 | 2. Kat | 130 m²,16.000 TL17.000 TL
Pamukkale - Asmalıevler Mahallesi,Daire | 2+1 | 2. Kat | 70 m²,15.000 TL
Pamukkale - Zeytinköy Mahallesi,Daire | 1+1 | 1. Kat | 45 m²,12.000 TL
Merkezefendi - Karahasanlı Mahallesi,Daire | 1+1 | 3. Kat | 50 m²,14.900 TL
Pamukkale - İncilipınar Mahallesi,Daire | 4+1 | 2. Kat | 150 m²,25.000 TL
Pamukkale - Zeytinköy Mahallesi,Daire | 1+1 | 2. Kat | 45 m²,10.000 TL
Merkezefendi - Şemikler Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,22.000 TL
Pamukkale - Asmalıevler Mahallesi,Daire | 1+1 | 3. Kat | 50 m²,15.000 TL
Pamukkale - Kınıklı Mahallesi,Daire | 1+1 | Kot 1 (-1). Kat | 65 m²,15.000 TL
Pamukkale - Fesleğen Mahallesi,Daire | 4+1 | 3. Kat | 225 m²,27.000 TL
Pamukkale - Kınıklı Mahallesi,Daire | 2+1 | 1. Kat | 165 m²,22.000 TL25.000 TL
Pamukkale - Zeytinköy Mahallesi,Daire | 2+1 | Bahçe katı | 60 m²,10.000 TL
Pamukkale - Pelitlibağ Mahallesi,Daire | 2+1 | 4. Kat | 100 m²,15.000 TL
Merkezefendi - Değirmenönü Mahallesi,Daire | 4+1 | 7. Kat | 260 m²,30.000 TL
Pamukkale - Siteler Mahallesi,Daire | 1+1 | Bahçe katı | 47 m²,12.000 TL
Pamukkale - Yunusemre Mahallesi,Daire | 2+2 | 4. Kat | 90 m²,20.000 TL
Merkezefendi - Karaman Mahallesi,Daire | 3+1 | 3. Kat | 150 m²,17.000 TL
Pamukkale - Kervansaray Mahallesi,Daire | 3+1 | 1. Kat | 180 m²,17.000 TL
Pamukkale - Asmalıevler Mahallesi,Daire | 1+1 | 3. Kat | 55 m²,10.000 TL12.000 TL
Pamukkale - Atalar Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,11.000 TL
Pamukkale - İncilipınar Mahallesi,Daire | Stüdyo | 5. Kat | 55 m²,9.500 TL
Merkezefendi - Gümüşçay Mahallesi,Daire | 3+1 | 2. Kat | 150 m²,26.000 TL
Merkezefendi - Sırakapılar Mahallesi,Daire | 1+1 | Kot 1 (-1). Kat | 45 m²,7.000 TL
Pamukkale - Hacıkaplanlar Mahallesi,Daire | 3+1 | 1. Kat | 200 m²,18.000 TL
Pamukkale - Akhan Mahallesi,Daire | 3+1 | 1. Kat | 145 m²,15.000 TL
Merkezefendi - Akçeşme Mahallesi,Daire | 2+1 | 3. Kat | 110 m²,19.000 TL
Pamukkale - Asmalıevler Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 55 m²,14.250 TL
Pamukkale - Aktepe Mahallesi,Daire | 3+1 | 4. Kat | 130 m²,15.000 TL
Merkezefendi - Akkonak Mahallesi,Daire | 1+1 | Yüksek giriş | 55 m²,15.000 TL
Pamukkale - Pelitlibağ Mahallesi,Daire | 3+1 | 7. Kat | 150 m²,17.500 TL
Merkezefendi - Karahasanlı Mahallesi,Daire | 1.5+1 | Yüksek giriş | 45 m²,16.500 TL
Pamukkale - İstiklal Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,14.000 TL15.000 TL
Pamukkale - Siteler Mahallesi,Daire | 2+1 | 2. Kat | 110 m²,16.500 TL
Pamukkale - İncilipınar Mahallesi,Daire | 3+1 | 2. Kat | 150 m²,15.000 TL17.000 TL
Pamukkale - Mehmetçik Mahallesi,Daire | 3+1 | 1. Kat | 140 m²,18.000 TL
Merkezefendi - Saraylar Mahallesi,Daire | 1+1 | 7. Kat | 60 m²,12.000 TL
Pamukkale - Cumhuriyet Mahallesi,Daire | 2+1 | 3. Kat | 75 m²,17.000 TL
Acıpayam - Yukarı Mahallesi,Daire | 2+1 | 4. Kat | 90 m²,12.000 TL
Merkezefendi - Akkonak Mahallesi,Daire | 2+1 | 2. Kat | 110 m²,22.000 TL
Pamukkale - Atalar Mahallesi,Daire | 3+1 | 2. Kat | 145 m²,17.000 TL
Pamukkale - Fesleğen Mahallesi,Daire | 3+1 | 1. Kat | 155 m²,21.000 TL
Pamukkale - Fesleğen Mahallesi,Daire | 3+1 | 2. Kat | 170 m²,15.000 TL
Pamukkale - Mehmetçik Mahallesi,Daire | 3+1 | Çatı katı | 145 m²,10.000 TL
Pamukkale - İstiklal Mahallesi,Daire | 3+1 | 2. Kat | 180 m²,16.000 TL
Pamukkale - Siteler Mahallesi,Daire | 3+1 | 2. Kat | 170 m²,20.000 TL
Pamukkale - Asmalıevler Mahallesi,Daire | 1+1 | Bahçe katı | 55 m²,9.000 TL
Merkezefendi - Adalet Mahallesi,Daire | 3+1 | 2. Kat | 190 m²,25.000 TL
Merkezefendi - Göveçlik Mahallesi,Daire | 2+1 | Bahçe katı | 78 m²,25.000 TL
Merkezefendi - Servergazi Mahallesi,Daire | 2+1 | 3. Kat | 120 m²,20.000 TL
Pamukkale - Yunusemre Mahallesi,Daire | 3+1 | Çatı katı | 160 m²,22.000 TL
Pamukkale - Siteler Mahallesi,Daire | 3+1 | 4. Kat | 160 m²,14.000 TL
Merkezefendi - Saraylar Mahallesi,Daire | 3+1 | 2. Kat | 140 m²,13.000 TL
Pamukkale - Zeytinköy Mahallesi,Daire | 1+1 | 4. Kat | 60 m²,9.000 TL
Pamukkale - Atalar Mahallesi,Daire | 2+1 | 1. Kat | 90 m²,13.000 TL
Pamukkale - Siteler Mahallesi,Daire | 2+1 | Bahçe katı | 110 m²,11.000 TL
Pamukkale - Siteler Mahallesi,Daire | 1+1 | 2. Kat | 40 m²,9.000 TL
Pamukkale - Hacıkaplanlar Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 105 m²,15.000 TL
Pamukkale - Zeytinköy Mahallesi,Daire | 1+1 | 2. Kat | 70 m²,12.000 TL
Merkezefendi - Muratdede Mahallesi,Daire | 2+1 | 1. Kat | 140 m²,14.000 TL
Pamukkale - Kınıklı Mahallesi,Daire | 1+1 | 2. Kat | 70 m²,16.000 TL
Merkezefendi - Değirmenönü Mahallesi,Daire | 2+1 | Çatı katı | 75 m²,11.500 TL
Pamukkale - Kınıklı Mahallesi,Daire | 2+1 | Çatı katı | 65 m²,15.000 TL
Merkezefendi - Karaman Mahallesi,Daire | 3+1 | 2. Kat | 190 m²,13.000 TL
Pamukkale - Yunusemre Mahallesi,Daire | 2+1 | Bahçe katı | 70 m²,11.000 TL
Pamukkale - İncilipınar Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,11.000 TL
Merkezefendi - Adalet Mahallesi,Daire | 3+1 | 1. Kat | 190 m²,15.000 TL
Merkezefendi - Değirmenönü Mahallesi,Daire | Stüdyo | 1. Kat | 50 m²,7.500 TL
Pamukkale - Asmalıevler Mahallesi,Daire | 2+1 | 2. Kat | 60 m²,10.000 TL
Pamukkale - 15 Mayıs Mahallesi,Daire | 2+1 | 3. Kat | 70 m²,10.000 TL
Pamukkale - Asmalıevler Mahallesi,Daire | 1+1 | 1. Kat | 50 m²,7.000 TL
Pamukkale - Asmalıevler Mahallesi,Daire | 1+1 | 1. Kat | 50 m²,7.000 TL
Merkezefendi - Gerzele Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,12.000 TL
Pamukkale - İncilipınar Mahallesi,Daire | 1+1 | Bahçe katı | 60 m²,10.000 TL
Pamukkale - Kınıklı Mahallesi,Daire | 1+1 | 1. Kat | 45 m²,16.000 TL
Merkezefendi - Şemikler Mahallesi,Daire | 2+1 | 2. Kat | 125 m²,23.000 TL
Merkezefendi - Sümer Mahallesi,Daire | 3+1 | 14. Kat | 180 m²,30.000 TL35.000 TL
Pamukkale - Kınıklı Mahallesi,Daire | 1+1 | 2. Kat | 50 m²,15.000 TL
Pamukkale - Zeytinköy Mahallesi,Daire | 1+1 | Bahçe katı | 60 m²,14.500 TL
Merkezefendi - Akkonak Mahallesi,Daire | 1+1 | 3. Kat | 75 m²,17.500 TL
Merkezefendi - Gerzele Mahallesi,Daire | 3+1 | 1. Kat | 180 m²,45.000 TL
Merkezefendi - Gümüşçay Mahallesi,Daire | 2+1 | 1. Kat | 90 m²,18.000 TL
Pamukkale - İstiklal Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,12.500 TL
Pamukkale - Yunusemre Mahallesi,Daire | 2+1 | 1. Kat | 70 m²,14.999 TL16.000 TL
Merkezefendi - Yenişafak Mahallesi,Daire | 3+1 | 3. Kat | 165 m²,30.000 TL
Pamukkale - Siteler Mahallesi,Daire | 1+1 | 1. Kat | 50 m²,15.000 TL
Merkezefendi - Kayalar Mahallesi,Daire | 4+1 | 12. Kat | 190 m²,44.000 TL
Merkezefendi - Çakmak Mahallesi,Daire | 3+1 | 1. Kat | 215 m²,36.000 TL
Pamukkale - Asmalıevler Mahallesi,Daire | 1+1 | 3. Kat | 50 m²,13.000 TL
Merkezefendi - Şemikler Mahallesi,Daire | 3+1 | 5. Kat | 150 m²,18.500 TL
Merkezefendi - Şemikler Mahallesi,Daire | 1+1 | 4. Kat | 75 m²,20.000 TL
Merkezefendi - Karahasanlı Mahallesi,Daire | 2+1 | Yüksek giriş | 120 m²,20.500 TL23.500 TL
Pamukkale - Zeytinköy Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,15.000 TL
Pamukkale - Yunusemre Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,20.000 TL
Pamukkale - Kınıklı Mahallesi,Daire | 2+1 | 3. Kat | 65 m²,18.000 TL
Pamukkale - İncilipınar Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 60 m²,10.000 TL
Pamukkale - Asmalıevler Mahallesi,Daire | 2+1 | 2. Kat | 75 m²,15.000 TL
Pamukkale - Mehmetçik Mahallesi,Daire | 3+1 | 3. Kat | 150 m²,20.000 TL
Pamukkale - Mehmetçik Mahallesi,Daire | 3+2 | 1. Kat | 300 m²,85.000 TL
Pamukkale - Yunusemre Mahallesi,Daire | 2+1 | 2. Kat | 55 m²,16.000 TL
Merkezefendi - Değirmenönü Mahallesi,Daire | 2+0 | Düz Giriş (Zemin) | 70 m²,11.000 TL
Merkezefendi - Adalet Mahallesi,Daire | 1+1 | 1. Kat | 50 m²,13.000 TL
Merkezefendi - Çakmak Mahallesi,Daire | 2+1 | Yüksek giriş | 110 m²,20.000 TL
Merkezefendi - Selçuk Bey Mahallesi,Daire | 1.5+1 | 3. Kat | 83 m²,22.000 TL
Pamukkale - Topraklık Mahallesi,Daire | 1+1 | 7. Kat | 45 m²,11.000 TL
Merkezefendi - Karahasanlı Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 80 m²,12.000 TL
Merkezefendi - Adalet Mahallesi,Daire | 2+1 | 3. Kat | 60 m²,23.000 TL
Pamukkale - Siteler Mahallesi,Daire | 2+1 | 2. Kat | 70 m²,19.000 TL
Pamukkale - Zeytinköy Mahallesi,Daire | 1.5+1 | Bahçe katı | 60 m²,10.000 TL
Pamukkale - Asmalıevler Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,12.000 TL
Merkezefendi - Saraylar Mahallesi,Daire | 1+1 | 3. Kat | 45 m²,9.000 TL10.000 TL
Merkezefendi - Gültepe Mahallesi,Daire | 1+1 | Kot 1 (-1). Kat | 55 m²,12.000 TL
Merkezefendi - Gültepe Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,16.000 TL
Pamukkale - Atalar Mahallesi,Daire | 2+1 | Bahçe katı | 100 m²,10.000 TL
Pamukkale - 15 Mayıs Mahallesi,Daire | 2+1 | 4. Kat | 65 m²,17.000 TL20.000 TL
Merkezefendi - Karaman Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,13.000 TL
Pamukkale - Mehmetçik Mahallesi,Daire | 2+1 | 5. Kat | 130 m²,15.000 TL
Merkezefendi - Şemikler Mahallesi,Daire | 2+1 | 3. Kat | 110 m²,20.000 TL
Merkezefendi - Saraylar Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,10.500 TL
Merkezefendi - Saraylar Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,10.500 TL
Merkezefendi - Saraylar Mahallesi,Daire | 2+1 | 3. Kat | 120 m²,16.500 TL
Merkezefendi - Yeni Mahallesi,Daire | 3+1 | Yüksek giriş | 135 m²,21.000 TL
Merkezefendi - Gümüşçay Mahallesi,Daire | 3+1 | 1. Kat | 160 m²,23.000 TL
Merkezefendi - Gültepe Mahallesi,Daire | 3+1 | 3. Kat | 160 m²,25.000 TL
Pamukkale - Topraklık Mahallesi,Daire | 3+1 | 4. Kat | 180 m²,16.000 TL
Pamukkale - Topraklık Mahallesi,Daire | 3+1 | 3. Kat | 140 m²,15.000 TL
Pamukkale - Fesleğen Mahallesi,Daire | 3+1 | 3. Kat | 125 m²,13.000 TL
Pamukkale - İncilipınar Mahallesi,Daire | 1+1 | 4. Kat | 45 m²,13.000 TL
Pamukkale - Siteler Mahallesi,Daire | 3+1 | 4. Kat | 130 m²,16.000 TL
Pamukkale - Zeytinköy Mahallesi,Daire | 1+1 | Bodrum Kat | 40 m²,10.000 TL
Pamukkale - Atalar Mahallesi,Daire | 1+1 | Çatı Dubleks | 60 m²,14.500 TL
Merkezefendi - Karaman Mahallesi,Daire | 2+1 | 1. Kat | 132 m²,14.500 TL
Pamukkale - Zeytinköy Mahallesi,Daire | 2+1 | 2. Kat | 70 m²,11.500 TL
Pamukkale - Asmalıevler Mahallesi,Daire | 1+1 | Bahçe katı | 45 m²,6.000 TL
Pamukkale - Kınıklı Mahallesi,Daire | 1+1 | 2. Kat | 45 m²,12.000 TL
Pamukkale - Kınıklı Mahallesi,Daire | 1 Oda | Çatı katı | 32 m²,9.000 TL
Pamukkale - Fesleğen Mahallesi,Daire | 1+1 | 1. Kat | 58 m²,13.000 TL
Merkezefendi - Merkez Efendi Mahallesi,Daire | 3+1 | 1. Kat | 165 m²,20.000 TL
Merkezefendi - Saraylar Mahallesi,Daire | 1+1 | 5. Kat | 50 m²,12.000 TL
Merkezefendi - Şemikler Mahallesi,Daire | 3+1 | 5. Kat | 190 m²,25.000 TL
Merkezefendi - Gerzele Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,19.000 TL
Sarayköy - Beylerbeyi Mahallesi,Daire | 2+0 | 1. Kat | 65 m²,12.000 TL
Pamukkale - İstiklal Mahallesi,Daire | 1+1 | 1. Kat | 50 m²,10.000 TL12.000 TL
Merkezefendi - Selçuk Bey Mahallesi,Daire | 3+1 | 2. Kat | 190 m²,29.000 TL
Merkezefendi - Çakmak Mahallesi,Daire | 2+1 | Yüksek giriş | 90 m²,19.500 TL
Pamukkale - Siteler Mahallesi,Daire | 1+1 | 3. Kat | 45 m²,14.000 TL
Merkezefendi - Karahasanlı Mahallesi,Daire | 3+1 | Kot 3 (-3). Kat | 175 m²,30.000 TL
Merkezefendi - Çakmak Mahallesi,Daire | 3+1 | 3. Kat | 170 m²,28.000 TL32.000 TL
Pamukkale - Yunusemre Mahallesi,Daire | 1+1 | 1. Kat | 50 m²,13.250 TL
Pamukkale - Fesleğen Mahallesi,Daire | 4+1 | 5. Kat | 210 m²,3.650.000 TL
Pamukkale - Kınıklı Mahallesi,Daire | 1+1 | 4. Kat | 55 m²,13.500 TL15.000 TL
Pamukkale - Topraklık Mahallesi,Daire | 1+1 | 2. Kat | 58 m²,12.500 TL
Merkezefendi - Adalet Mahallesi,Daire | 3+1 | 5. Kat | 170 m²,24.500 TL
Merkezefendi - Servergazi Mahallesi,Daire | 2+1 | Çatı katı | 85 m²,25.000 TL
Merkezefendi - Değirmenönü Mahallesi,Daire | 4.5+1 | 2. Kat | 180 m²,20.000 TL
Merkezefendi - Sırakapılar Mahallesi,Daire | 2+1 | Çatı katı | 75 m²,14.500 TL
Merkezefendi - Adalet Mahallesi,Daire | 2+1 | 3. Kat | 65 m²,18.000 TL
Pamukkale - Hürriyet Mahallesi,Daire | 3+1 | 2. Kat | 150 m²,17.000 TL
Pamukkale - Atalar Mahallesi,Daire | 1+1 | 6. Kat | 55 m²,11.000 TL
Merkezefendi - Sırakapılar Mahallesi,Daire | 2+1 | 2. Kat | 125 m²,14.000 TL
Pamukkale - Zeytinköy Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,20.000 TL
Pamukkale - Asmalıevler Mahallesi,Daire | 1+1 | 1. Kat | 58 m²,14.000 TL
Pamukkale - Yunusemre Mahallesi,Daire | 1+1 | 2. Kat | 50 m²,15.000 TL
Pamukkale - Siteler Mahallesi,Daire | 2+1 | Çatı katı | 90 m²,18.000 TL
Pamukkale - Hacıkaplanlar Mahallesi,Daire | 1+1 | 1. Kat | 50 m²,14.000 TL15.000 TL
Pamukkale - 15 Mayıs Mahallesi,Daire | 2+1 | 2. Kat | 120 m²,15.000 TL
Pamukkale - Anafartalar Mahallesi,Daire | 2.5+1 | 1. Kat | 140 m²,14.000 TL
Pamukkale - Bağbaşı Mahallesi,Daire | 4+1 | Çatı katı | 150 m²,14.000 TL
Pamukkale - Bağbaşı Mahallesi,Daire | 2+1 | Çatı katı | 85 m²,11.000 TL12.000 TL
Pamukkale - Bağbaşı Mahallesi,Daire | 2+1 | Çatı katı | 80 m²,9.000 TL
Pamukkale - Zeytinköy Mahallesi,Daire | 2+1 | 3. Kat | 75 m²,17.000 TL
Pamukkale - Zeytinköy Mahallesi,Daire | 1+1 | 2. Kat | 40 m²,10.000 TL
Pamukkale - Siteler Mahallesi,Daire | 2+1 | Çatı katı | 75 m²,15.000 TL
Pamukkale - Kınıklı Mahallesi,Daire | 3+1 | Çatı katı | 130 m²,15.000 TL
Pamukkale - Aktepe Mahallesi,Daire | 3+1 | 2. Kat | 135 m²,14.000 TL
Pamukkale - Kınıklı Mahallesi,Daire | 1+1 | Çatı katı | 60 m²,11.000 TL
Merkezefendi - Bahçelievler Mahallesi,Daire | 3+1 | 1. Kat | 155 m²,25.000 TL
Pamukkale - Asmalıevler Mahallesi,Daire | 2+1 | 2. Kat | 75 m²,11.000 TL
Merkezefendi - Karahasanlı Mahallesi,Daire | 2+1 | 3. Kat | 78 m²,10.000 TL11.500 TL
Merkezefendi - Karahasanlı Mahallesi,Daire | 2+1 | 3. Kat | 78 m²,10.000 TL11.500 TL
Merkezefendi - Değirmenönü Mahallesi,Daire | 1+1 | 2. Kat | 70 m²,10.000 TL11.500 TL
Pamukkale - Kuşpınar Mahallesi,Daire | 3+1 | 4. Kat | 135 m²,18.000 TL20.000 TL
Pamukkale - Kuşpınar Mahallesi,Daire | 4+1 | 1. Kat | 160 m²,18.000 TL
Pamukkale - Mehmetçik Mahallesi,Daire | 1+1 | 2. Kat | 50 m²,9.000 TL
Pamukkale - Kınıklı Mahallesi,Daire | 3+1 | 1. Kat | 135 m²,30.000 TL
Pamukkale - Zeytinköy Mahallesi,Daire | 1+1 | 2. Kat | 45 m²,8.000 TL
Pamukkale - Kuşpınar Mahallesi,Daire | 1+1 | 2. Kat | 65 m²,14.000 TL
Pamukkale - Siteler Mahallesi,Daire | 1+1 | 3. Kat | 47 m²,7.000 TL
Pamukkale - İstiklal Mahallesi,Daire | 2+1 | 4. Kat | 56 m²,15.250 TL
Pamukkale - Siteler Mahallesi,Daire | 3+1 | 1. Kat | 196 m²,30.000 TL
Pamukkale - Siteler Mahallesi,Daire | 2+1 | Çatı katı | 80 m²,14.000 TL
Merkezefendi - Muratdede Mahallesi,Daire | 2+1 | Yüksek giriş | 70 m²,18.000 TL20.000 TL
Pamukkale - İncilipınar Mahallesi,Daire | 2+1 | 2. Kat | 110 m²,15.000 TL
Pamukkale - Yunusemre Mahallesi,Daire | 1+1 | Bahçe katı | 47 m²,8.000 TL
Pamukkale - Asmalıevler Mahallesi,Daire | 1+1 | Bahçe katı | 45 m²,9.000 TL
Pamukkale - Zeytinköy Mahallesi,Daire | 2+1 | 2. Kat | 140 m²,18.000 TL
Pamukkale - Zeytinköy Mahallesi,Daire | 1+1 | 2. Kat | 80 m²,13.000 TL
Pamukkale - Hacıkaplanlar Mahallesi,Daire | 3+1 | 2. Kat | 160 m²,20.000 TL
Merkezefendi - Selçuk Bey Mahallesi,Daire | 3+1 | 2. Kat | 145 m²,26.000 TL
Pamukkale - Zeytinköy Mahallesi,Daire | 2+1 | 4. Kat | 65 m²,15.000 TL
Pamukkale - Hacıkaplanlar Mahallesi,Daire | 1+1 | Yüksek giriş | 40 m²,11.000 TL
Pamukkale - Zeytinköy Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 50 m²,9.000 TL
Pamukkale - Yunusemre Mahallesi,Daire | Stüdyo | Çatı katı | 40 m²,7.000 TL
Merkezefendi - Karahasanlı Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,18.750 TL
Merkezefendi - Saraylar Mahallesi,Daire | 2+1 | 1. Kat | 55 m²,15.000 TL
Pamukkale - Kınıklı Mahallesi,Daire | 1+1 | Yüksek giriş | 60 m²,15.000 TL
Pamukkale - İncilipınar Mahallesi,Daire | 1+1 | 1. Kat | 50 m²,11.500 TL
Merkezefendi - Karahasanlı Mahallesi,Daire | 3+1 | 7. Kat | 140 m²,19.000 TL
Pamukkale - Topraklık Mahallesi,Daire | 1+1 | 1. Kat | 58 m²,13.000 TL
Pamukkale - İncilipınar Mahallesi,Daire | 2+1 | 3. Kat | 65 m²,9.000 TL
Merkezefendi - Bereketler Mahallesi,Daire | 3+1 | 1. Kat | 150 m²,19.000 TL21.000 TL
Pamukkale - Asmalıevler Mahallesi,Daire | 2+1 | 1. Kat | 70 m²,14.000 TL
Merkezefendi - Şemikler Mahallesi,Daire | 3+1 | 2. Kat | 170 m²,37.000 TL
Pamukkale - Atalar Mahallesi,Daire | 1+1 | Çatı katı | 55 m²,7.500 TL
