location,information,sales_price
Yakutiye - Rabia Ana Mahallesi,Daire | 3+1 | 4. Kat | 130 m²,12.000 TL
Aziziye - Saltuklu Mahallesi,Daire | 1+1 | 2. Kat | 70 m²,18.000 TL
Aziziye - Saltuklu Mahallesi,Daire | 2+0 | 1. Kat | 65 m²,18.500 TL
Aziziye - Saltuklu Mahallesi,Daire | 1+1 | 1. Kat | 45 m²,17.000 TL
Aziziye - Saltuklu Mahallesi,Daire | 1+1 | 2. Kat | 80 m²,19.000 TL
Aziziye - Saltuklu Mahallesi,Daire | 1+1 | 3. Kat | 45 m²,17.250 TL
Palandöken - Hüseyin Avni Ulaş Mahallesi,Daire | 2+1 | Bahçe katı | 95 m²,15.000 TL
Aziziye - Selçuklu Mahallesi,Daire | 2+1 | Bodrum Kat | 100 m²,8.500 TL
Aziziye - Saltuklu Mahallesi,Daire | 5+1 | 2. Kat | 260 m²,30.500 TL
Palandöken - Adnan Menderes Mahallesi,Daire | 3+1 | 2. Kat | 130 m²,12.000 TL
Palandöken - Yunusemre Mahallesi,Daire | 2+1 | 5. Kat | 115 m²,8.000 TL
Palandöken - Hüseyin Avni Ulaş Mahallesi,Daire | 2+1 | Yüksek giriş | 130 m²,24.000 TL
Yakutiye - Muratpaşa Mahallesi,Daire | 2+1 | 4. Kat | 110 m²,11.000 TL
Palandöken - Yunusemre Mahallesi,Daire | 3+1 | 5. Kat | 150 m²,13.000 TL
Palandöken - Müftü Solakzade Mahallesi,Daire | 2+1 | 1. Kat | 110 m²,17.000 TL
Yakutiye - Muratpaşa Mahallesi,Daire | 4+1 | 2. Kat | 150 m²,9.000 TL
Palandöken - Adnan Menderes Mahallesi,Daire | 3+1 | 3. Kat | 155 m²,15.000 TL
Yakutiye - Lalapaşa Mahallesi,Daire | 1+1 | 2. Kat | 80 m²,10.000 TL
Palandöken - Adnan Menderes Mahallesi,Daire | 3+1 | 4. Kat | 120 m²,12.000 TL
Yakutiye - Rabia Ana Mahallesi,Daire | 2+1 | 5. Kat | 95 m²,18.750 TL
Aziziye - Gez Köyü OSB Mahallesi,Daire | 2+1 | Bodrum Kat | 85 m²,8.750 TL
Yakutiye - Muratpaşa Mahallesi,Daire | 2+1 | 2. Kat | 80 m²,5.000 TL
Palandöken - Adnan Menderes Mahallesi,Daire | 2+1 | 3. Kat | 100 m²,13.000 TL
Aziziye - Yarımca Mahallesi,Daire | 1+1 | 3. Kat | 60 m²,15.000 TL
Yakutiye - Lalapaşa Mahallesi,Daire | 2+1 | 3. Kat | 90 m²,14.500 TL
Palandöken - Hüseyin Avni Ulaş Mahallesi,Daire | 4+1 | 7. Kat | 190 m²,21.000 TL
Palandöken - Hüseyin Avni Ulaş Mahallesi,Daire | 3+1 | 4. Kat | 160 m²,17.500 TL
Yakutiye - Ömer Nasuhi Bilmen Mahallesi,Daire | 2+1 | 2. Kat | 58 m²,16.500 TL
Aziziye - Saltuklu Mahallesi,Daire | 1+1 | 2. Kat | 75 m²,16.500 TL
Aziziye - Saltuklu Mahallesi,Daire | 1+1 | 2. Kat | 47 m²,17.000 TL
Palandöken - Hüseyin Avni Ulaş Mahallesi,Daire | 1+1 | 7. Kat | 60 m²,20.500 TL
Yakutiye - Rabia Ana Mahallesi,Daire | 3+1 | Yüksek giriş | 110 m²,12.000 TL
Yakutiye - Lalapaşa Mahallesi,Daire | 3+1 | 2. Kat | 115 m²,24.500 TL
Yakutiye - Rabia Ana Mahallesi,Daire | 3+1 | 6. Kat | 120 m²,16.000 TL
Yakutiye - Ömer Nasuhi Bilmen Mahallesi,Daire | 3+1 | 3. Kat | 175 m²,31.000 TL
Yakutiye - Şükrüpaşa Mahallesi,Daire | 2+1 | 1. Kat | 60 m²,24.000 TL
Yakutiye - Ömer Nasuhi Bilmen Mahallesi,Daire | 3+1 | 5. Kat | 160 m²,10.000 TL12.500 TL
Yakutiye - Muratpaşa Mahallesi,Daire | 2+1 | 2. Kat | 110 m²,15.000 TL
Palandöken - Hüseyin Avni Ulaş Mahallesi,Daire | 3+1 | 4. Kat | 180 m²,22.000 TL
Palandöken - Adnan Menderes Mahallesi,Daire | 2+1 | 4. Kat | 130 m²,13.000 TL
Aziziye - Saltuklu Mahallesi,Daire | 2+1 | 1. Kat | 100 m²,17.000 TL
Palandöken - Hüseyin Avni Ulaş Mahallesi,Daire | 1+1 | 4. Kat | 66 m²,15.000 TL
Palandöken - Adnan Menderes Mahallesi,Daire | 3+1 | 5. Kat | 130 m²,8.500 TL
Yakutiye - Lalapaşa Mahallesi,Daire | 2+1 | 1. Kat | 100 m²,15.000 TL
Palandöken - Hüseyin Avni Ulaş Mahallesi,Daire | 1+1 | 4. Kat | 45 m²,18.500 TL
