location,information,sales_price
Çiğli - Balatçık Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,35.000 TL
Buca - Menderes Mahallesi,Daire | 3+1 | 4. Kat | 120 m²,27.000 TL
Seferihisar - Hıdırlık Mahallesi,Daire | 2+1 | 3. Kat | 100 m²,25.000 TL
Seferihisar - Çolak İbrahim Bey Mahallesi,Daire | 1+1 | 1. Kat | 60 m²,19.000 TL
Seferihisar - Camikebir Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 50 m²,19.000 TL
Bornova - Kazımdirik Mahallesi,Daire | 3+1 | 2. Kat | 130 m²,33.000 TL
Bayraklı - Manavkuyu Mahallesi,Daire | 3+1 | 6. Kat | 130 m²,35.000 TL
Seferihisar - Turabiye Mahallesi,Daire | 3+1 | 3. Kat | 140 m²,30.000 TL
Buca - Atatürk Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,16.500 TL
Buca - Adatepe Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 75 m²,19.000 TL
Buca - Kuruçeşme Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 75 m²,22.500 TL
Buca - Atatürk Mahallesi,Daire | 1+1 | Bahçe katı | 60 m²,20.000 TL
Buca - İzkent Mahallesi,Daire | 2+1 | 4. Kat | 75 m²,25.000 TL
Buca - Adatepe Mahallesi,Daire | 3+1 | 3. Kat | 130 m²,24.000 TL
Buca - Çamlıpınar Mahallesi,Daire | 3+1 | 2. Kat | 120 m²,20.000 TL
Buca - Kuruçeşme Mahallesi,Daire | 2+1 | 2. Kat | 75 m²,25.000 TL
Çeşme - Boyalık Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 80 m²,95.000 TL
Buca - Kozağaç Mahallesi,Daire | 3+1 | 2. Kat | 130 m²,35.000 TL
Karşıyaka - İmbatlı Mahallesi,Daire | 2+1 | 6. Kat | 100 m²,27.000 TL
Karabağlar - Barış Mahallesi,Daire | 2+1 | Yüksek giriş | 105 m²,13.000 TL
Karşıyaka - Şemikler Mahallesi,Daire | 2+1 | 2. Kat | 85 m²,30.000 TL
Bornova - Kazımdirik Mahallesi,Daire | 3+1 | 5. Kat | 120 m²,38.000 TL
Buca - Yaylacık Mahallesi,Daire | 1+1 | 3. Kat | 37 m²,21.000 TL
Buca - Yıldız Mahallesi,Daire | 1+1 | 3. Kat | 49 m²,18.000 TL
Karşıyaka - Bahçelievler Mahallesi,Daire | 3+1 | 3. Kat | 130 m²,35.000 TL
Karşıyaka - İmbatlı Mahallesi,Daire | 3+1 | 7. Kat | 135 m²,45.000 TL
Bergama - Maltepe Mahallesi,Daire | 3+1 | 3. Kat | 132 m²,20.000 TL
Buca - Adatepe Mahallesi,Daire | Stüdyo | 1. Kat | 35 m²,15.000 TL
Karabağlar - Basın Sitesi Mahallesi,Daire | 3+1 | 4. Kat | 130 m²,32.500 TL
Buca - Atatürk Mahallesi,Daire | 3+1 | Kot 1 (-1). Kat | 135 m²,18.000 TL
Buca - Kozağaç Mahallesi,Daire | 2+1 | 5. Kat | 100 m²,30.000 TL
Buca - Adatepe Mahallesi,Daire | 4+1 | Düz Giriş (Zemin) | 140 m²,28.000 TL
Bayraklı - Mansuroğlu Mahallesi,Daire | 3+1 | Bahçe dublex | 225 m²,8.000 TL
Çiğli - Balatçık Mahallesi,Daire | 2+1 | Yüksek giriş | 100 m²,30.000 TL
Karabağlar - Poligon Mahallesi,Daire | 3+1 | 3. Kat | 135 m²,34.000 TL
Çiğli - Balatçık Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,31.000 TL
Seferihisar - Camikebir Mahallesi,Daire | 2+1 | 2. Kat | 110 m²,35.000 TL
Bornova - İnönü Mahallesi,Daire | 3+1 | Bahçe katı | 120 m²,30.000 TL
Buca - Adatepe Mahallesi,Daire | 2+1 | Bahçe katı | 120 m²,35.000 TL
Aliağa - Atatürk Mahallesi,Daire | 2+1 | Çatı katı | 100 m²,25.000 TL
Karşıyaka - Goncalar Mahallesi,Daire | 1+1 | 5. Kat | 40 m²,30.000 TL
Torbalı - Ayrancılar Mahallesi,Daire | 2+1 | 2. Kat | 105 m²,18.500 TL
Ödemiş - Süleyman Demirel Mahallesi,Daire | 2+1 | 3. Kat | 100 m²,18.000 TL
Karabağlar - Bozyaka Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 120 m²,14.000 TL
Torbalı - İnönü Mahallesi,Daire | 3+1 | 3. Kat | 140 m²,20.000 TL
Menemen - 9 Eylül Mahallesi,Daire | 2+1 | 2. Kat | 75 m²,27.000 TL
Aliağa - Yeni Mahallesi,Daire | 2+1 | 6. Kat | 110 m²,25.000 TL
Çiğli - Balatçık Mahallesi,Daire | 2+1 | 4. Kat | 85 m²,30.000 TL
Aliağa - Yeni Mahallesi,Daire | 3+1 | 4. Kat | 120 m²,28.000 TL
Konak - Kılıç Reis Mahallesi,Daire | 2+1 | 4. Kat | 100 m²,20.000 TL
Karabağlar - Reis Mahallesi,Daire | 3+1 | 3. Kat | 120 m²,31.000 TL
Torbalı - İnönü Mahallesi,Daire | 2+1 | Kot 4 (-4). Kat | 110 m²,22.000 TL
Bornova - Yeşilova Mahallesi,Daire | 3+1 | 7. Kat | 147 m²,40.000 TL
Karabağlar - General Kazım Özalp Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,19.000 TL
Buca - Dumlupınar Mahallesi,Daire | 2+1 | Yüksek giriş | 65 m²,20.500 TL
Karaburun - Mordoğan Mahallesi,Daire | 2+1 | 2. Kat | 80 m²,23.000 TL
Buca - Yıldız Mahallesi,Daire | 2+1 | 3. Kat | 80 m²,21.500 TL
Karabağlar - Selvili Mahallesi,Daire | 1+1 | 3. Kat | 80 m²,18.000 TL
Balçova - Eğitim Mahallesi,Daire | 3+1 | 3. Kat | 125 m²,37.500 TL
Bergama - Atatürk Mahallesi,Daire | 2+1 | Yüksek giriş | 85 m²,17.500 TL
Bergama - Fatih Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,22.000 TL
Konak - Mithatpaşa Mahallesi,Daire | 3+1 | 5. Kat | 135 m²,35.000 TL
Karabağlar - Çalıkuşu Mahallesi,Daire | 3+1 | Yüksek giriş | 130 m²,20.000 TL
Balçova - Eğitim Mahallesi,Daire | 3+1 | Kot 2 (-2). Kat | 140 m²,40.000 TL
Buca - Kuruçeşme Mahallesi,Daire | 1+1 | 2. Kat | 50 m²,22.000 TL
Karabağlar - Arap Hasan Mahallesi,Daire | 2+1 | Yüksek giriş | 110 m²,30.000 TL
Bayraklı - Soğukkuyu Mahallesi,Daire | 3+1 | 5. Kat | 154 m²,40.000 TL
Menemen - İstiklal Mahallesi,Daire | 2+1 | 5. Kat | 127 m²,27.000 TL
Karşıyaka - İmbatlı Mahallesi,Daire | 2+1 | 2. Kat | 77 m²,40.000 TL
Buca - Vali Rahmi Bey Mahallesi,Daire | 3+1 | Çatı Dubleks | 150 m²,42.000 TL
Bayraklı - Körfez Mahallesi,Daire | 3+1 | 3. Kat | 160 m²,45.000 TL
Bayraklı - Körfez Mahallesi,Daire | 3+1 | 4. Kat | 130 m²,35.000 TL
Karabağlar - Bahçelievler Mahallesi,Daire | 2+1 | 3. Kat | 95 m²,35.000 TL
Urla - Denizli Mahallesi,Daire | 1+1 | Bahçe katı | 70 m²,35.000 TL
Balçova - Korutürk Mahallesi,Daire | 3+1 | 2. Kat | 120 m²,50.000 TL
Menemen - İstiklal Mahallesi,Daire | 3+1 | 3. Kat | 137 m²,30.000 TL
Gaziemir - Gazikent Mahallesi,Daire | 2+1 | 2. Kat | 95 m²,26.000 TL
Balçova - Eğitim Mahallesi,Daire | 2+1 | 3. Kat | 85 m²,33.000 TL
Menemen - 29 Ekim Mahallesi,Daire | 3+1 | 5. Kat | 145 m²,40.000 TL
Balçova - Çetin Emeç Mahallesi,Daire | 1+1 | 1. Kat | 60 m²,25.000 TL
Karabağlar - Uğur Mumcu Mahallesi,Daire | 3+1 | 2. Kat | 140 m²,22.000 TL
Bergama - Zafer Mahallesi,Daire | 1+1 | 2. Kat | 65 m²,24.500 TL26.000 TL
Konak - Altıntaş Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 60 m²,15.000 TL
Aliağa - Kültür Mahallesi,Daire | 3+1 | 3. Kat | 110 m²,28.000 TL
Aliağa - Siteler Mahallesi,Daire | 2+1 | 1. Kat | 95 m²,37.000 TL
Aliağa - Siteler Mahallesi,Daire | 2+1 | Bahçe katı | 130 m²,45.000 TL
Karabağlar - Vatan Mahallesi,Daire | 2+1 | 1. Kat | 85 m²,25.000 TL
Konak - Kültür Mahallesi,Daire | 2+1 | 5. Kat | 110 m²,30.000 TL
Karşıyaka - Alaybey Mahallesi,Daire | 2+1 | 6. Kat | 120 m²,36.000 TL42.000 TL
Aliağa - Kültür Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 85 m²,20.000 TL
Aliağa - Kurtuluş Mahallesi,Daire | 3+1 | 5. Kat | 125 m²,22.000 TL
Bornova - Atatürk Mahallesi,Daire | 2+1 | 4. Kat | 110 m²,27.500 TL
Bornova - Ergene Mahallesi,Daire | 3+1 | 1. Kat | 145 m²,31.000 TL
Çiğli - Ataşehir Mahallesi,Daire | 3+1 | Yüksek giriş | 120 m²,62.000 TL
Menemen - Irmak Mahallesi,Daire | 1+1 | 2. Kat | 75 m²,16.000 TL
Çiğli - Küçük Çiğli Mahallesi,Daire | 3+1 | 8. Kat | 330 m²,40.000 TL
Karabağlar - Uzundere Mahallesi,Daire | 2+1 | 1. Kat | 100 m²,36.000 TL
Menemen - İstiklal Mahallesi,Daire | 3+1 | 3. Kat | 145 m²,27.000 TL
Menemen - Cumhuriyet Mahallesi,Daire | 3+1 | Yüksek giriş | 135 m²,22.000 TL
Bayraklı - Mansuroğlu Mahallesi,Daire | 1+1 | 3. Kat | 55 m²,32.000 TL
Konak - Halkapınar Mahallesi,Daire | 1+1 | 2. Kat | 53 m²,47.000 TL
Balçova - Onur Mahallesi,Daire | 1+1 | 1. Kat | 80 m²,21.000 TL
Konak - Güzelyalı Mahallesi,Daire | 3+1 | 3. Kat | 110 m²,65.000 TL
Bornova - Yeşilova Mahallesi,Daire | 1+1 | 9. Kat | 63 m²,30.000 TL
Karşıyaka - Bostanlı Mahallesi,Daire | 3+1 | 7. Kat | 160 m²,70.000 TL
Karabağlar - Fahrettin Altay Mahallesi,Daire | 3+1 | 6. Kat | 160 m²,45.000 TL
Balçova - Çetin Emeç Mahallesi,Daire | 1+1 | 2. Kat | 50 m²,30.000 TL
Bornova - Erzene Mahallesi,Daire | 1+1 | Yüksek giriş | 60 m²,22.000 TL
Urla - Camiatik Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 140 m²,60.000 TL
Çiğli - Şirintepe Mahallesi,Daire | 3+1 | Yüksek giriş | 122 m²,16.000 TL
Buca - Kuruçeşme Mahallesi,Daire | 1+1 | 3. Kat | 55 m²,17.000 TL
Buca - Atatürk Mahallesi,Daire | Stüdyo | 1. Kat | 40 m²,13.000 TL
Buca - Kuruçeşme Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,16.000 TL
Karabağlar - Yunus Emre Mahallesi,Daire | 2+1 | Yüksek giriş | 90 m²,12.000 TL
Buca - Dumlupınar Mahallesi,Daire | 2+1 | Kot 2 (-2). Kat | 156 m²,22.000 TL
Konak - Mimar Sinan Mahallesi,Daire | 3+1 | Bahçe dublex | 233 m²,50.000 TL
Buca - Göksu Mahallesi,Daire | 2+1 | Bahçe katı | 95 m²,12.000 TL
Karabağlar - Çalıkuşu Mahallesi,Daire | 3+1 | 5. Kat | 115 m²,18.000 TL
Konak - Konak Mahallesi,Daire | 1+1 | 3. Kat | 55 m²,23.000 TL
Bornova - Atatürk Mahallesi,Daire | 2+1 | Yüksek giriş | 87 m²,19.500 TL
Karabağlar - Bahriye Üçok Mahallesi,Daire | 2+1 | Kot 1 (-1). Kat | 120 m²,17.000 TL
Karabağlar - Sarıyer Mahallesi,Daire | 2+1 | Yüksek giriş | 100 m²,10.000 TL
Buca - Adatepe Mahallesi,Daire | 2+1 | 2. Kat | 95 m²,31.000 TL
Buca - Adatepe Mahallesi,Daire | 2+1 | 1. Kat | 65 m²,22.000 TL
Balçova - Korutürk Mahallesi,Daire | 2+1 | 5. Kat | 135 m²,55.000 TL
Karşıyaka - Alaybey Mahallesi,Daire | 3+1 | 5. Kat | 115 m²,55.000 TL
Menemen - 85. Yıl Cumhuriyet Mahallesi,Daire | 1+1 | 1. Kat | 50 m²,13.000 TL15.000 TL
Bornova - Evka 4 Mahallesi,Daire | 3+1 | 2. Kat | 98 m²,25.000 TL
Bayraklı - Gümüşpala Mahallesi,Daire | 2+1 | Yüksek giriş | 114 m²,33.000 TL
Torbalı - Tepeköy Mahallesi,Daire | 2+1 | 2. Kat | 70 m²,19.000 TL
Buca - Yiğitler Mahallesi,Daire | 3+1 | 3. Kat | 130 m²,35.000 TL
Buca - Efeler Mahallesi,Daire | 2+1 | 3. Kat | 130 m²,35.000 TL
Konak - Altıntaş Mahallesi,Daire | 2+0 | Düz Giriş (Zemin) | 110 m²,20.000 TL
Karabağlar - Bahar Mahallesi,Daire | 3+1 | 3. Kat | 160 m²,24.000 TL
Buca - Yıldız Mahallesi,Daire | 3+1 | 5. Kat | 150 m²,23.000 TL
Bornova - İnönü Mahallesi,Daire | 3+1 | 3. Kat | 135 m²,30.000 TL
Karşıyaka - Bostanlı Mahallesi,Daire | 3+1 | 1. Kat | 120 m²,30.000 TL
Gaziemir - Dokuz Eylül Mahallesi,Daire | 2+1 | 2. Kat | 109 m²,45.000 TL
Gaziemir - Dokuz Eylül Mahallesi,Daire | 3+1 | Bahçe katı | 136 m²,69.000 TL
Konak - Altıntaş Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,17.000 TL
Torbalı - Tepeköy Mahallesi,Daire | 1+1 | 2. Kat | 50 m²,15.000 TL
Buca - Kozağaç Mahallesi,Daire | 1+1 | 1. Kat | 50 m²,17.500 TL
Buca - Dicle Mahallesi,Daire | 1+1 | 2. Kat | 51 m²,15.500 TL
Karşıyaka - Bahriye Üçok Mahallesi,Daire | 3+1 | 3. Kat | 137 m²,35.000 TL
Tire - Yeni Mahallesi,Daire | 3+1 | Yüksek giriş | 145 m²,25.000 TL
Bornova - Yeşilova Mahallesi,Daire | 2+1 | 1. Kat | 106 m²,24.000 TL
Narlıdere - 2. İnönü Mahallesi,Daire | 3+1 | Düz Giriş (Zemin) | 110 m²,28.000 TL
Foça - Mustafa Kemal Atatürk Mahallesi,Daire | 1+1 | 1. Kat | 36 m²,16.000 TL
Foça - Mustafa Kemal Atatürk Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,24.000 TL
Karşıyaka - Bahriye Üçok Mahallesi,Daire | 3+1 | 1. Kat | 130 m²,36.000 TL
Karşıyaka - Bahariye Mahallesi,Daire | 3+1 | 4. Kat | 120 m²,25.000 TL
Karşıyaka - Donanmacı Mahallesi,Daire | 3+1 | 3. Kat | 110 m²,50.000 TL
Karşıyaka - Şemikler Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,35.000 TL
Karşıyaka - Donanmacı Mahallesi,Daire | 3+1 | 3. Kat | 130 m²,35.000 TL
Konak - Kemal Reis Mahallesi,Daire | 4+1 | 1. Kat | 140 m²,35.000 TL
Konak - Atilla Mahallesi,Daire | 2+1 | 3. Kat | 130 m²,25.000 TL
Bornova - Kazımdirik Mahallesi,Daire | 1+1 | 2. Kat | 50 m²,33.000 TL
Menemen - Gazi Mustafa Kemal Mahallesi,Daire | 3+1 | 2. Kat | 110 m²,22.000 TL
Bornova - Ergene Mahallesi,Daire | 2+1 | Bahçe katı | 90 m²,30.000 TL
Buca - Adatepe Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 50 m²,16.000 TL17.000 TL
Buca - Yaylacık Mahallesi,Daire | 2+1 | 3. Kat | 95 m²,28.000 TL
Urla - Gülbahçe Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 45 m²,35.000 TL
Çiğli - Balatçık Mahallesi,Daire | 1+1 | 1. Kat | 43 m²,21.000 TL
Torbalı - Demirci Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 70 m²,11.000 TL
Karabağlar - Bozyaka Mahallesi,Daire | 3+1 | 1. Kat | 150 m²,32.500 TL36.000 TL
Bayraklı - Osmangazi Mahallesi,Daire | 3+1 | 4. Kat | 110 m²,25.000 TL
Konak - Güzelyalı Mahallesi,Daire | 2+1 | Bahçe katı | 90 m²,23.500 TL25.500 TL
Karabağlar - Yunus Emre Mahallesi,Daire | 1+1 | Yüksek giriş | 75 m²,15.000 TL
Karşıyaka - Bostanlı Mahallesi,Daire | 3+1 | 1. Kat | 135 m²,57.500 TL
Çiğli - Balatçık Mahallesi,Daire | 2+1 | Yüksek giriş | 100 m²,25.000 TL
Bayraklı - Mansuroğlu Mahallesi,Daire | 2+1 | 6. Kat | 75 m²,41.000 TL
Konak - Halkapınar Mahallesi,Daire | Stüdyo | 30. Kat | 60 m²,29.000 TL
Buca - Yenigün Mahallesi,Daire | 3+1 | 1. Kat | 150 m²,25.000 TL
Bergama - Fatih Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 69 m²,13.500 TL
Karşıyaka - Bahariye Mahallesi,Daire | 3+1 | 4. Kat | 130 m²,40.000 TL
Torbalı - İnönü Mahallesi,Daire | 1+1 | 3. Kat | 85 m²,30.000 TL
Aliağa - Siteler Mahallesi,Daire | 2+1 | 6. Kat | 107 m²,26.000 TL
Karşıyaka - Bahariye Mahallesi,Daire | 3+1 | 4. Kat | 110 m²,42.000 TL
Konak - Mithatpaşa Mahallesi,Daire | Stüdyo | Düz Giriş (Zemin) | 35 m²,15.000 TL
Karabağlar - Sarıyer Mahallesi,Daire | 1+1 | Yüksek giriş | 40 m²,12.000 TL
Karabağlar - Sarıyer Mahallesi,Daire | 3+1 | 3. Kat | 130 m²,15.000 TL
Buca - Yiğitler Mahallesi,Daire | 3+1 | 3. Kat | 120 m²,26.000 TL28.000 TL
Buca - Efeler Mahallesi,Daire | 1+1 | Kot 1 (-1). Kat | 60 m²,30.000 TL32.000 TL
Karşıyaka - Goncalar Mahallesi,Daire | 3+1 | Yüksek giriş | 120 m²,32.000 TL
Buca - Güven Mahallesi,Daire | 3+1 | 1. Kat | 150 m²,35.000 TL
Ödemiş - Süleyman Demirel Mahallesi,Daire | 2+1 | 3. Kat | 100 m²,18.000 TL
Urla - Yenikent Mahallesi,Daire | 2+1 | Çatı katı | 90 m²,30.000 TL
Buca - Atatürk Mahallesi,Daire | 1+1 | 3. Kat | 45 m²,14.500 TL
Karşıyaka - Dedebaşı Mahallesi,Daire | 1+1 | Yüksek giriş | 60 m²,26.500 TL
Torbalı - Yedi Eylül Mahallesi,Daire | 3+1 | 2. Kat | 160 m²,40.000 TL
Balçova - Korutürk Mahallesi,Daire | 5+2 | 9. Kat | 450 m²,130.000 TL
Buca - Atatürk Mahallesi,Daire | 2+1 | Kot 1 (-1). Kat | 70 m²,23.000 TL
Karşıyaka - Tuna Mahallesi,Daire | 3+1 | 2. Kat | 135 m²,35.000 TL
Bayraklı - Gümüşpala Mahallesi,Daire | 2+1 | 2. Kat | 70 m²,33.000 TL
Aliağa - Atatürk Mahallesi,Daire | 3+1 | 2. Kat | 120 m²,39.000 TL
Çeşme - Ilıca Mahallesi,Daire | 2+1 | 2. Kat | 80 m²,30.000 TL
Buca - Adatepe Mahallesi,Daire | 1+1 | 2. Kat | 50 m²,23.000 TL
Konak - Atilla Mahallesi,Daire | 3+1 | 1. Kat | 120 m²,30.000 TL
Menemen - Gazi Mustafa Kemal Mahallesi,Daire | 1+1 | 3. Kat | 39 m²,17.500 TL
Buca - Adatepe Mahallesi,Daire | 2+1 | 1. Kat | 90 m²,25.000 TL
Karşıyaka - İmbatlı Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,30.000 TL
Konak - Kahramanlar Mahallesi,Daire | 3+0 | 1. Kat | 75 m²,40.000 TL
Konak - Aziziye Mahallesi,Daire | 2+1 | 4. Kat | 80 m²,12.000 TL
Karabağlar - Sarıyer Mahallesi,Daire | 3+1 | 2. Kat | 120 m²,15.000 TL
Buca - Yeşilbağlar Mahallesi,Daire | 2+0 | Düz Giriş (Zemin) | 65 m²,13.000 TL
Aliağa - Yalı Mahallesi,Daire | 2+1 | 2. Kat | 105 m²,42.500 TL
Çiğli - Çağdaş Mahallesi,Daire | 3+1 | 6. Kat | 110 m²,25.000 TL
Karabağlar - Bozyaka Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,22.500 TL27.500 TL
Karabağlar - Refet Bele Mahallesi,Daire | 3+1 | 8. Kat | 135 m²,26.000 TL
Karabağlar - Sarıyer Mahallesi,Daire | 2+1 | Yüksek giriş | 90 m²,7.000 TL
Çiğli - Balatçık Mahallesi,Daire | 1+1 | 3. Kat | 45 m²,26.000 TL
Karşıyaka - Aksoy Mahallesi,Daire | 2+1 | Bahçe katı | 110 m²,28.000 TL
Karşıyaka - İnönü Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 125 m²,23.000 TL
Buca - Adatepe Mahallesi,Daire | 1+1 | 2. Kat | 50 m²,23.000 TL
Karabağlar - Sarıyer Mahallesi,Daire | 2+1 | 3. Kat | 120 m²,12.000 TL
Seferihisar - Hıdırlık Mahallesi,Daire | 3+1 | Çatı katı | 140 m²,28.000 TL
Çiğli - Balatçık Mahallesi,Daire | 2+1 | 4. Kat | 110 m²,30.000 TL
Ödemiş - Bengisu Mahallesi,Daire | 2+1 | Çatı katı | 80 m²,15.250 TL
Bornova - Ergene Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,32.000 TL
Karşıyaka - Mustafa Kemal Mahallesi,Daire | 3+1 | 2. Kat | 158 m²,55.000 TL
Gaziemir - Beyazevler Mahallesi,Daire | 3+1 | 4. Kat | 168 m²,72.000 TL
Karşıyaka - Demirköprü Mahallesi,Daire | 2+1 | 3. Kat | 135 m²,40.000 TL
Bornova - Evka 3 Mahallesi,Daire | 3+1 | 2. Kat | 145 m²,67.000 TL
Gaziemir - Beyazevler Mahallesi,Daire | 2+1 | 4. Kat | 125 m²,62.000 TL
Çiğli - Yeni Mahalle Mahallesi,Daire | 2+1 | 5. Kat | 156 m²,55.000 TL
Bornova - Kazımdirik Mahallesi,Daire | 1+1 | 5. Kat | 43 m²,42.000 TL
Karşıyaka - Mavişehir Mahallesi,Daire | 1+1 | 15. Kat | 70 m²,32.000 TL
Buca - Hürriyet Mahallesi,Daire | 1+1 | 1. Kat | 40 m²,22.500 TL
Bornova - Kazımdirik Mahallesi,Daire | 1+1 | 5. Kat | 50 m²,29.000 TL
Menemen - İstiklal Mahallesi,Daire | 3+1 | 3. Kat | 145 m²,27.000 TL
Bayraklı - Mansuroğlu Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,27.500 TL
Karşıyaka - Yalı Mahallesi,Daire | 1+1 | 13. Kat | 55 m²,29.000 TL
Bornova - Yıldırım Beyazıt Mahallesi,Daire | 3+1 | 1. Kat | 140 m²,25.000 TL
Bayraklı - Osmangazi Mahallesi,Daire | 3+1 | 9. Kat | 120 m²,40.000 TL
Karşıyaka - İmbatlı Mahallesi,Daire | 3+1 | 9. Kat | 100 m²,35.000 TL
Tire - Adnan Menderes Mahallesi,Daire | 3+1 | 1. Kat | 147 m²,25.000 TL
Torbalı - Fevzi Çakmak Mahallesi,Daire | 3+1 | Yüksek giriş | 120 m²,15.000 TL
Bayraklı - Mansuroğlu Mahallesi,Daire | 1+1 | 1. Kat | 50 m²,35.000 TL
Bornova - Mevlana Mahallesi,Daire | Stüdyo | Yüksek giriş | 25 m²,18.000 TL
Foça - Mustafa Kemal Atatürk Mahallesi,Daire | 2+1 | 1. Kat | 95 m²,25.000 TL
Bornova - Atatürk Mahallesi,Daire | 3+1 | 2. Kat | 140 m²,27.000 TL
Bergama - Bahçelievler Mahallesi,Daire | 3+1 | Yüksek giriş | 125 m²,16.000 TL
Karabağlar - Esenyalı Mahallesi,Daire | 2+1 | 3. Kat | 90 m²,24.000 TL
Menderes - Gümüldür Atatürk Mahallesi,Daire | 2+1 | Kot 1 (-1). Kat | 85 m²,20.000 TL
Balçova - Fevzi Çakmak Mahallesi,Daire | 3+1 | Yüksek giriş | 150 m²,28.000 TL
Konak - Murat Reis Mahallesi,Daire | 2+1 | 3. Kat | 85 m²,22.500 TL
Karşıyaka - Örnekköy Mahallesi,Daire | 3+1 | 11. Kat | 170 m²,65.000 TL
Buca - Kuruçeşme Mahallesi,Daire | 1+1 | 4. Kat | 55 m²,25.000 TL
Konak - Murat Reis Mahallesi,Daire | 3+1 | 5. Kat | 120 m²,35.000 TL
Menderes - Barbaros Mahallesi,Daire | 2+1 | 2. Kat | 94 m²,28.000 TL
Konak - Göztepe Mahallesi,Daire | 2+1 | Kot 1 (-1). Kat | 100 m²,25.000 TL
Menderes - Barbaros Mahallesi,Daire | 3+1 | Çatı Dubleks | 170 m²,45.000 TL
Bornova - Mevlana Mahallesi,Daire | 2+1 | 2. Kat | 85 m²,24.000 TL
Bergama - Ertuğrul Mahallesi,Daire | 2+1 | 2. Kat | 85 m²,18.000 TL
Bergama - İslamsaray Mahallesi,Daire | 2+1 | 3. Kat | 90 m²,20.000 TL
Buca - Menderes Mahallesi,Daire | 3+1 | Bahçe katı | 110 m²,25.000 TL
Güzelbahçe - Maltepe Mahallesi,Daire | 2+1 | Bahçe katı | 90 m²,55.000 TL
Gaziemir - Dokuz Eylül Mahallesi,Daire | 3+1 | 2. Kat | 130 m²,24.000 TL
Bornova - Erzene Mahallesi,Daire | 3+1 | 2. Kat | 120 m²,31.000 TL
Bayraklı - Muhittin Erener Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,22.000 TL
Bornova - Rafet Paşa Mahallesi,Daire | 2+1 | Yüksek giriş | 120 m²,21.000 TL
Konak - Güzelyalı Mahallesi,Daire | 3+1 | 3. Kat | 125 m²,34.800 TL
Konak - Murat Reis Mahallesi,Daire | 2+1 | 2. Kat | 110 m²,30.000 TL
Aliağa - Şakran Hasbi Efendi Mahallesi,Daire | 4+1 | 2. Kat | 140 m²,25.000 TL
Konak - Mithatpaşa Mahallesi,Daire | 3+1 | 1. Kat | 150 m²,25.000 TL
Menderes - Kemalpaşa Mahallesi,Daire | 3+1 | 4. Kat | 140 m²,32.000 TL
Karabağlar - Arap Hasan Mahallesi,Daire | 2+1 | Yüksek giriş | 110 m²,30.000 TL
Konak - Kılıç Reis Mahallesi,Daire | 3+1 | 4. Kat | 130 m²,30.000 TL
Seferihisar - Çolak İbrahim Bey Mahallesi,Daire | 1+1 | Yüksek giriş | 50 m²,16.000 TL
Karşıyaka - Tuna Mahallesi,Daire | 1+1 | Yüksek giriş | 85 m²,27.000 TL
Buca - Çamlık Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 65 m²,8.500 TL
Buca - Hürriyet Mahallesi,Daire | 3+1 | 2. Kat | 120 m²,27.000 TL
Bayraklı - Muhittin Erener Mahallesi,Daire | 2+1 | 1. Kat | 95 m²,15.000 TL
Çeşme - Dalyan Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,75.000 TL
Menemen - Atatürk Mahallesi,Daire | 2+1 | 2. Kat | 110 m²,22.000 TL
Bergama - Zafer Mahallesi,Daire | 3+1 | Yüksek giriş | 135 m²,15.000 TL
Buca - Adatepe Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,20.000 TL
Konak - Güzelyalı Mahallesi,Daire | 3+1 | 4. Kat | 135 m²,28.000 TL
Ödemiş - Akıncılar Mahallesi,Daire | 4+1 | 5. Kat | 170 m²,20.000 TL
