location,information,sales_price
Selçuklu - Bosna Hersek Mahallesi,Daire | 3+1 | Düz Giriş (Zemin) | 125 m²,15.000 TL
Selçuklu - Bosna Hersek Mahallesi,Daire | 2+1 | 8. Kat | 110 m²,18.500 TL
Selçuklu - Yazır Mahallesi,Daire | 2+1 | 2. Kat | 110 m²,25.500 TL
Selçuklu - Bosna Hersek Mahallesi,Daire | 3+1 | Düz Giriş (Zemin) | 120 m²,32.000 TL
Selçuklu - Bosna Hersek Mahallesi,Daire | 2+1 | 3. Kat | 110 m²,21.000 TL
Karatay - Gaziosmanpaşa Mahallesi,Daire | 3+1 | 4. Kat | 150 m²,25.000 TL
Selçuklu - Feritpaşa Mahallesi,Daire | 4.5+1 | 2. Kat | 220 m²,40.000 TL
Akşehir - Kozağaç Mahallesi,Daire | 2+1 | 1. Kat | 115 m²,13.000 TL
Selçuklu - Beyhekim Mahallesi,Daire | 1+1 | 3. Kat | 90 m²,19.300 TL
Akşehir - Seyran Mahallesi,Daire | 1+1 | 3. Kat | 48 m²,17.000 TL
Akşehir - Altunkalem Mahallesi,Daire | 3+1 | 5. Kat | 139 m²,15.000 TL
Akşehir - Yeni Mahallesi,Daire | 2+1 | 2. Kat | 140 m²,12.000 TL
Beyşehir - Beytepe Mahallesi,Daire | 3+1 | 2. Kat | 120 m²,14.000 TL15.000 TL
Selçuklu - Feritpaşa Mahallesi,Daire | 3+1 | 3. Kat | 180 m²,26.000 TL
Meram - Aydoğdu Mahallesi,Daire | 2+1 | Yüksek giriş | 120 m²,19.000 TL
Selçuklu - Bosna Hersek Mahallesi,Daire | 3+1 | 3. Kat | 150 m²,13.000 TL
Selçuklu - Bosna Hersek Mahallesi,Daire | 2+1 | 1. Kat | 125 m²,16.000 TL
Selçuklu - Kosova Mahallesi,Daire | 2+1 | 2. Kat | 110 m²,20.000 TL
Akşehir - Kileci Mahallesi,Daire | 3+1 | 3. Kat | 155 m²,14.000 TL
Meram - Havzan Mahallesi,Daire | 4+1 | 6. Kat | 210 m²,29.500 TL
Akşehir - Yarenler Mahallesi,Daire | 3+1 | 2. Kat | 180 m²,25.000 TL
Selçuklu - Selahaddin Eyyubi Mahallesi,Daire | 2+1 | 4. Kat | 120 m²,13.000 TL
Selçuklu - Bosna Hersek Mahallesi,Daire | 3+1 | Yüksek giriş | 120 m²,18.000 TL
Selçuklu - Şeyh Şamil Mahallesi,Daire | 4+1 | 2. Kat | 180 m²,30.000 TL
Akşehir - Yeni Mahallesi,Daire | 3+1 | 2. Kat | 180 m²,25.000 TL
Akşehir - Yeni Mahallesi,Daire | 4+1 | 3. Kat | 205 m²,21.000 TL
Selçuklu - Şeker Mahallesi,Daire | 4+1 | 7. Kat | 215 m²,35.500 TL
Seydişehir - Yeni Cami Mahallesi,Daire | 3+1 | 1. Kat | 110 m²,13.000 TL
Selçuklu - Kılınçarslan Mahallesi,Daire | 3+1 | 9. Kat | 170 m²,37.500 TL
Meram - Melikşah Mahallesi,Daire | 5+1 | 3. Kat | 225 m²,37.500 TL
Selçuklu - Bosna Hersek Mahallesi,Daire | 3+1 | 4. Kat | 115 m²,15.550 TL
Akşehir - Yarenler Mahallesi,Daire | 3+1 | Yüksek giriş | 170 m²,24.000 TL
Akşehir - Altunkalem Mahallesi,Daire | 3+1 | 4. Kat | 145 m²,17.000 TL
Cihanbeyli - Yeşilöz Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,10.000 TL
Selçuklu - Yazır Mahallesi,Daire | 5+1 | 7. Kat | 350 m²,35.000 TL
Akşehir - Selçuk Mahallesi,Daire | 3+1 | 1. Kat | 145 m²,15.000 TL
Meram - Sahibiata Mahallesi,Daire | 3+1 | 3. Kat | 160 m²,35.000 TL
Akşehir - Kileci Mahallesi,Daire | 3+1 | 2. Kat | 155 m²,21.000 TL
Selçuklu - Bosna Hersek Mahallesi,Daire | 3+1 | Düz Giriş (Zemin) | 120 m²,17.000 TL
Akşehir - Gazi Mahallesi,Daire | 3+1 | 1. Kat | 165 m²,19.000 TL
Selçuklu - Şeker Mahallesi,Daire | 4+1 | 3. Kat | 190 m²,38.000 TL
Meram - Melikşah Mahallesi,Daire | 3+1 | 4. Kat | 145 m²,25.000 TL
Akşehir - Yeni Mahallesi,Daire | 3+1 | 2. Kat | 120 m²,13.000 TL
Karapınar - Alaaddin Mahallesi,Daire | 3+1 | 1. Kat | 165 m²,15.500 TL
Karapınar - Yeni Mahallesi,Daire | 3+1 | 3. Kat | 150 m²,15.000 TL
Karapınar - Sandıklı Mahallesi,Daire | 2.5+1 | Müstakil | 135 m²,12.000 TL
Akşehir - İstasyon Mahallesi,Daire | 2+1 | 2. Kat | 110 m²,20.000 TL
Karapınar - Sandıklı Mahallesi,Daire | 2+1 | 4. Kat | 90 m²,13.000 TL
Ereğli - Doğu Elagözlü Mahallesi,Daire | 2+1 | 4. Kat | 120 m²,9.500 TL
Selçuklu - Kosova Mahallesi,Daire | 3+1 | 6. Kat | 160 m²,24.000 TL26.000 TL
Ereğli - Fatih Mahallesi,Daire | 1 Oda | 1. Kat | 65 m²,12.000 TL
Selçuklu - Fatih Mahallesi,Daire | 3+1 | 2. Kat | 180 m²,25.000 TL
Selçuklu - Kosova Mahallesi,Daire | 2+1 | 2. Kat | 75 m²,18.500 TL
Karatay - Fetih Mahallesi,Daire | 3+1 | 1. Kat | 165 m²,25.000 TL
Selçuklu - Binkonutlar Mahallesi,Daire | 2+1 | 5. Kat | 120 m²,20.000 TL
Akşehir - Yeni Mahallesi,Daire | 3+1 | Yüksek giriş | 125 m²,20.000 TL25.000 TL
Selçuklu - Kosova Mahallesi,Daire | 1+1 | 2. Kat | 75 m²,20.500 TL
Seydişehir - Yeni Cami Mahallesi,Daire | 3+1 | 4. Kat | 150 m²,13.000 TL
Selçuklu - Selçuk Mahallesi,Daire | 3+1 | 12. Kat | 140 m²,37.500 TL
Akşehir - İstasyon Mahallesi,Daire | 2+1 | 1. Kat | 110 m²,20.000 TL
Akşehir - Kileci Mahallesi,Daire | 2+1 | 3. Kat | 100 m²,18.000 TL
Selçuklu - Bosna Hersek Mahallesi,Daire | Stüdyo | 2. Kat | 45 m²,13.000 TL
Selçuklu - Bosna Hersek Mahallesi,Daire | 1+1 | 6. Kat | 55 m²,16.500 TL
Selçuklu - Kosova Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,19.000 TL
Karatay - Köprübaşı Mahallesi,Daire | 3+1 | 5. Kat | 165 m²,23.000 TL
Selçuklu - Kosova Mahallesi,Daire | 1+1 | 1. Kat | 80 m²,18.500 TL
Meram - Köyceğiz Mahallesi,Daire | 2+1 | 2. Kat | 110 m²,25.000 TL
Meram - Köyceğiz Mahallesi,Daire | 3+1 | 2. Kat | 150 m²,30.000 TL
Selçuklu - Ferhuniye Mahallesi,Daire | 2+1 | 9. Kat | 90 m²,25.500 TL
Meram - Sahibiata Mahallesi,Daire | 3+1 | Yüksek giriş | 140 m²,12.000 TL
Meram - Konevi Mahallesi,Daire | 3+1 | 6. Kat | 140 m²,20.500 TL
Karatay - Hacıveyiszade Mahallesi,Daire | 3+1 | 4. Kat | 170 m²,33.000 TL
Meram - Havzan Mahallesi,Daire | 4+1 | 4. Kat | 225 m²,28.500 TL
Meram - Aydoğdu Mahallesi,Daire | 4+1 | 3. Kat | 220 m²,30.000 TL
Karatay - Kalenderhane Mahallesi,Daire | 4+1 | 4. Kat | 210 m²,20.250 TL
Akşehir - Yarenler Mahallesi,Daire | 3+1 | 2. Kat | 195 m²,23.000 TL25.000 TL
Akşehir - Altunkalem Mahallesi,Daire | 3+1 | 3. Kat | 130 m²,12.000 TL13.000 TL
Akşehir - Yeni Mahallesi,Daire | 3+1 | 2. Kat | 180 m²,23.000 TL25.000 TL
Selçuklu - Bosna Hersek Mahallesi,Daire | 2+1 | 8. Kat | 120 m²,17.000 TL18.000 TL
Meram - Uluırmak Mahallesi,Daire | 2+1 | Çatı katı | 115 m²,10.000 TL
Akşehir - Meydan Mahallesi,Daire | 1+1 | 2. Kat | 67 m²,17.000 TL
Selçuklu - Parsana Mahallesi,Daire | 4+1 | 4. Kat | 210 m²,39.500 TL
Ereğli - Toros Mahallesi,Daire | 1+1 | 1. Kat | 65 m²,12.000 TL
Akşehir - Gazi Mahallesi,Daire | 2+0 | Yüksek giriş | 68 m²,21.000 TL
Akşehir - Yeni Mahallesi,Daire | 3+1 | 2. Kat | 185 m²,17.000 TL
Selçuklu - Kosova Mahallesi,Daire | 1+1 | 2. Kat | 85 m²,18.000 TL
Seydişehir - Hacı Seyit Ali Mahallesi,Daire | 1+1 | 2. Kat | 45 m²,16.000 TL
Akşehir - Meydan Mahallesi,Daire | 2+0 | 3. Kat | 79 m²,15.000 TL
Akşehir - Yarenler Mahallesi,Daire | 4+1 | 5. Kat | 200 m²,29.000 TL
Akşehir - Yarenler Mahallesi,Daire | 1+1 | 2. Kat | 50 m²,20.000 TL
Ereğli - Toros Mahallesi,Daire | 1+1 | 2. Kat | 75 m²,12.000 TL
Selçuklu - Beyhekim Mahallesi,Daire | 2+0 | Yüksek giriş | 95 m²,21.000 TL
Selçuklu - Sancak Mahallesi,Daire | 3+1 | 6. Kat | 160 m²,25.500 TL
Selçuklu - Hanaybaşı Mahallesi,Daire | 3+1 | 3. Kat | 160 m²,25.000 TL
Akşehir - Yarenler Mahallesi,Daire | 2+1 | Yüksek giriş | 115 m²,17.000 TL
Akşehir - Kozağaç Mahallesi,Daire | 1+1 | 2. Kat | 70 m²,16.000 TL17.500 TL
Selçuklu - Hocacihan Mahallesi,Daire | 1+1 | 1. Kat | 70 m²,19.500 TL
Akşehir - Kileci Mahallesi,Daire | 2+1 | 1. Kat | 125 m²,15.000 TL18.000 TL
Meram - Alavardı Mahallesi,Daire | 3+1 | 2. Kat | 155 m²,18.000 TL
Akşehir - Yeni Mahallesi,Daire | 3+1 | 4. Kat | 175 m²,23.000 TL
