location,information,sales_price
Eyyübiye - Batıkent Mahallesi,Daire | 2+1 | Yüksek giriş | 77 m²,8.000 TL
Eyyübiye - Batıkent Mahallesi,Daire | 3+1 | 5. Kat | 147 m²,14.000 TL
Haliliye - Ahmet Yesevi Mahallesi,Daire | 2+1 | Bodrum Kat | 120 m²,7.000 TL
Karaköprü - Seyrantepe Mahallesi,Daire | 1+1 | 3. Kat | 60 m²,13.000 TL
Karaköprü - Seyrantepe Mahallesi,Daire | 2+0 | 1. Kat | 75 m²,12.000 TL
Eyyübiye - Batıkent Mahallesi,Daire | 2+1 | Kot 4 (-4). Kat | 84 m²,9.000 TL
Karaköprü - Seyrantepe Mahallesi,Daire | 2+1 | 2. Kat | 85 m²,15.000 TL
Haliliye - Bamyasuyu Mahallesi,Daire | 3+1 | 3. Kat | 180 m²,15.000 TL
Haliliye - İpekyol Mahallesi,Daire | 2+0 | Düz Giriş (Zemin) | 70 m²,16.000 TL
Haliliye - Veysel Karani Mahallesi,Daire | 1+1 | 4. Kat | 50 m²,11.000 TL
Eyyübiye - Batıkent Mahallesi,Daire | 2+1 | 6. Kat | 87 m²,6.500 TL
Haliliye - Karsıyaka Mahallesi,Daire | 2+1 | 7. Kat | 130 m²,20.000 TL
Karaköprü - Mehmetçik Mahallesi,Daire | 3+1 | 6. Kat | 180 m²,29.000 TL
Karaköprü - Narlıkuyu Mahallesi,Daire | 2+1 | 7. Kat | 100 m²,16.000 TL
Haliliye - Yeşildirek Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,15.000 TL
Karaköprü - Doğukent Mahallesi,Daire | 2+1 | 5. Kat | 130 m²,18.000 TL
Haliliye - Mimar Sinan Mahallesi,Daire | 3+1 | 3. Kat | 180 m²,15.500 TL
Karaköprü - Ali Baba Mahallesi,Daire | 2+0 | Yüksek giriş | 70 m²,13.000 TL
Karaköprü - Doğukent Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 120 m²,10.000 TL
Haliliye - Selahaddin Eyyübi Mahallesi,Daire | 3+1 | 2. Kat | 110 m²,18.000 TL20.000 TL
Haliliye - Sırrın Mahallesi,Daire | 1+1 | 4. Kat | 55 m²,15.000 TL
Karaköprü - Seyrantepe Mahallesi,Daire | 2+1 | 3. Kat | 100 m²,15.500 TL
Karaköprü - Doğukent Mahallesi,Daire | 2+1 | 5. Kat | 120 m²,15.000 TL
Karaköprü - Narlıkuyu Mahallesi,Daire | 2+1 | 5. Kat | 120 m²,16.500 TL
Haliliye - Sırrın Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,14.000 TL
Haliliye - Sırrın Mahallesi,Daire | 1+1 | 1. Kat | 50 m²,14.000 TL
Karaköprü - Doğukent Mahallesi,Daire | 2+1 | 4. Kat | 115 m²,20.000 TL
Haliliye - Sırrın Mahallesi,Daire | 1+1 | 2. Kat | 50 m²,15.000 TL
Eyyübiye - Batıkent Mahallesi,Daire | 2+1 | 4. Kat | 77 m²,8.000 TL
Haliliye - Bamyasuyu Mahallesi,Daire | 2+1 | 4. Kat | 150 m²,12.750 TL
Karaköprü - Atakent Mahallesi,Daire | 2+1 | 7. Kat | 110 m²,18.000 TL
Haliliye - Karsıyaka Mahallesi,Daire | 4+1 | 2. Kat | 220 m²,23.500 TL25.000 TL
Karaköprü - Seyrantepe Mahallesi,Daire | 3+1 | 3. Kat | 160 m²,20.000 TL
