location,information,sales_price
Viranşehir - Yenişehir Mahallesi,Daire | 2+1 | Kot 2 (-2). Kat | 84 m²,19.000 TL
Haliliye - Karsıyaka Mahallesi,Daire | 2+0 | 4. Kat | 90 m²,14.000 TL
Haliliye - Sırrın Mahallesi,Daire | 1+1 | 2. Kat | 65 m²,12.750 TL
Haliliye - Devteyşti Mahallesi,Daire | 1+1 | 1. Kat | 65 m²,9.000 TL10.000 TL
Haliliye - İmam Bakır Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,14.500 TL
Haliliye - Şair Nabi Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,13.200 TL
Haliliye - Konuklu Mahallesi,Daire | 1+1 | 4. Kat | 65 m²,11.000 TL
Haliliye - Karsıyaka Mahallesi,Daire | 1+1 | 6. Kat | 65 m²,16.300 TL
Haliliye - Yenişehir Mahallesi,Daire | 4+1 | 5. Kat | 240 m²,21.000 TL
Haliliye - Paşabağı Mahallesi,Daire | 1+1 | 5. Kat | 60 m²,15.000 TL
Karaköprü - Batıkent Mahallesi,Daire | 2+1 | 1. Kat | 110 m²,12.000 TL
Karaköprü - Narlıkuyu Mahallesi,Daire | 1+1 | 5. Kat | 55 m²,13.000 TL
Haliliye - Veysel Karani Mahallesi,Daire | 3+1 | 8. Kat | 170 m²,12.500 TL
Haliliye - Osman Gazi Mahallesi,Daire | 3+1 | 3. Kat | 170 m²,14.000 TL
Karaköprü - Akpıyar Mahallesi,Daire | 2+1 | Yüksek giriş | 80 m²,9.250 TL
Eyyübiye - Batıkent Mahallesi,Daire | 2+1 | 4. Kat | 85 m²,10.000 TL
Eyyübiye - Batıkent Mahallesi,Daire | 2+1 | 1. Kat | 89 m²,7.500 TL
Haliliye - Dağeteği Mahallesi,Daire | 2+1 | 3. Kat | 80 m²,11.000 TL
Haliliye - Karsıyaka Mahallesi,Daire | 1+1 | 4. Kat | 50 m²,15.000 TL
Karaköprü - Mehmetçik Mahallesi,Daire | 2+1 | 6. Kat | 105 m²,13.500 TL
Karaköprü - Mehmetçik Mahallesi,Daire | 1+1 | 5. Kat | 65 m²,14.900 TL
Eyyübiye - Yenice Mahallesi,Daire | 2+1 | 4. Kat | 150 m²,8.000 TL
Karaköprü - Esentepe Mahallesi,Daire | 3+1 | 4. Kat | 160 m²,14.500 TL
Haliliye - Selahaddin Eyyübi Mahallesi,Daire | 3+1 | 2. Kat | 150 m²,15.000 TL16.000 TL
Karaköprü - Doğukent Mahallesi,Daire | 2+0 | Düz Giriş (Zemin) | 75 m²,13.000 TL
Haliliye - Sırrın Mahallesi,Daire | 1+1 | 1. Kat | 50 m²,14.000 TL15.000 TL
Haliliye - Karsıyaka Mahallesi,Daire | 1+1 | 4. Kat | 70 m²,17.000 TL
Haliliye - Devteyşti Mahallesi,Daire | 2+1 | 1. Kat | 90 m²,10.500 TL13.000 TL
Haliliye - Sırrın Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 40 m²,12.000 TL
Haliliye - Yeşildirek Mahallesi,Daire | 2+0 | 4. Kat | 95 m²,6.250 TL7.000 TL
Haliliye - İmam Bakır Mahallesi,Daire | 1+1 | 3. Kat | 60 m²,14.500 TL
Haliliye - Karsıyaka Mahallesi,Daire | 1+1 | 1. Kat | 60 m²,15.000 TL
Karaköprü - Seyrantepe Mahallesi,Daire | 1+1 | 1. Kat | 60 m²,9.500 TL
Eyyübiye - Batıkent Mahallesi,Daire | 2+1 | 1. Kat | 105 m²,8.500 TL
Karaköprü - Batıkent Mahallesi,Daire | 2+0 | 3. Kat | 70 m²,11.000 TL
Karaköprü - Atakent Mahallesi,Daire | 4+1 | Düz Giriş (Zemin) | 240 m²,25.000 TL
Haliliye - Sırrın Mahallesi,Daire | 2+0 | 1. Kat | 65 m²,13.000 TL
Karaköprü - Seyrantepe Mahallesi,Daire | 2+1 | 1. Kat | 55 m²,12.000 TL
Haliliye - Sırrın Mahallesi,Daire | 1+1 | 7. Kat | 65 m²,14.500 TL
Haliliye - Şair Nabi Mahallesi,Daire | 3+1 | 4. Kat | 160 m²,7.500 TL
Haliliye - Karsıyaka Mahallesi,Daire | 1+1 | 10. Kat | 55 m²,15.000 TL
Haliliye - Sırrın Mahallesi,Daire | 2+0 | Düz Giriş (Zemin) | 65 m²,10.000 TL
Haliliye - Bamyasuyu Mahallesi,Daire | 1+1 | 5. Kat | 60 m²,11.500 TL
Haliliye - Yeşildirek Mahallesi,Daire | 1+1 | 1. Kat | 60 m²,13.500 TL
Haliliye - Karsıyaka Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,14.500 TL
Haliliye - Karsıyaka Mahallesi,Daire | 2+1 | 4. Kat | 115 m²,18.000 TL
Haliliye - Karsıyaka Mahallesi,Daire | 2+1 | 7. Kat | 90 m²,18.500 TL
Karaköprü - Seyrantepe Mahallesi,Daire | 1+1 | 4. Kat | 50 m²,9.000 TL
Haliliye - İmam Bakır Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,14.000 TL
Haliliye - Karsıyaka Mahallesi,Daire | 1+1 | 3. Kat | 55 m²,15.000 TL
Karaköprü - Seyrantepe Mahallesi,Daire | 1+1 | 4. Kat | 50 m²,11.000 TL
Haliliye - Yenişehir Mahallesi,Daire | 4+1 | 5. Kat | 220 m²,10.000 TL12.000 TL
Karaköprü - Batıkent Mahallesi,Daire | 2+0 | 2. Kat | 80 m²,11.000 TL
Haliliye - Dağeteği Mahallesi,Daire | 1+1 | 3. Kat | 85 m²,8.000 TL
Haliliye - Karsıyaka Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,16.000 TL
Eyyübiye - Batıkent Mahallesi,Daire | 2+1 | 3. Kat | 85 m²,12.000 TL
Haliliye - Selahaddin Eyyübi Mahallesi,Daire | 1+1 | 6. Kat | 50 m²,12.500 TL
Karaköprü - Narlıkuyu Mahallesi,Daire | 1+1 | 8. Kat | 60 m²,16.000 TL
Karaköprü - Batıkent Mahallesi,Daire | 2+0 | 1. Kat | 70 m²,13.000 TL
Haliliye - Karsıyaka Mahallesi,Daire | 1+1 | 11. Kat | 60 m²,15.000 TL
Haliliye - Karsıyaka Mahallesi,Daire | 2+1 | 5. Kat | 100 m²,18.000 TL
Haliliye - Dağeteği Mahallesi,Daire | 2+1 | 4. Kat | 90 m²,7.500 TL
Haliliye - Atatürk Mahallesi,Daire | Stüdyo | 2. Kat | 45 m²,10.000 TL
Eyyübiye - Batıkent Mahallesi,Daire | 3+1 | 5. Kat | 147 m²,2.550.000 TL
Haliliye - Bahçelievler Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,10.000 TL
Haliliye - Bağlarbaşı Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 110 m²,7.500 TL8.500 TL
Haliliye - Şair Nabi Mahallesi,Daire | 1+1 | 5. Kat | 55 m²,11.000 TL
Eyyübiye - Hacıbayram Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 87 m²,6.000 TL
Haliliye - Şair Nabi Mahallesi,Daire | 1+1 | 3. Kat | 55 m²,10.500 TL
Karaköprü - Batıkent Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 50 m²,9.000 TL
Haliliye - Bamyasuyu Mahallesi,Daire | 1+1 | 6. Kat | 65 m²,12.000 TL15.000 TL
Haliliye - Bahçelievler Mahallesi,Daire | 1+1 | 4. Kat | 55 m²,13.000 TL
Karaköprü - Batıkent Mahallesi,Daire | 1+1 | 5. Kat | 70 m²,12.500 TL
Karaköprü - Seyrantepe Mahallesi,Daire | 3+1 | 9. Kat | 135 m²,16.000 TL
Haliliye - Yeşildirek Mahallesi,Daire | 2+1 | 3. Kat | 90 m²,15.000 TL
Haliliye - Sırrın Mahallesi,Daire | 1+1 | 3. Kat | 55 m²,15.500 TL
Karaköprü - Seyrantepe Mahallesi,Daire | 2+0 | 3. Kat | 65 m²,10.000 TL
Karaköprü - Seyrantepe Mahallesi,Daire | 2+1 | 6. Kat | 115 m²,14.000 TL
Haliliye - Karsıyaka Mahallesi,Daire | 1+1 | 5. Kat | 50 m²,15.000 TL
Haliliye - İpekyol Mahallesi,Daire | 2+0 | Yüksek giriş | 120 m²,8.500 TL
Haliliye - Bamyasuyu Mahallesi,Daire | Stüdyo | 1. Kat | 50 m²,8.500 TL
Haliliye - Karsıyaka Mahallesi,Daire | 2+1 | Bahçe katı | 140 m²,8.000 TL
Haliliye - Devteyşti Mahallesi,Daire | 3+1 | 2. Kat | 130 m²,12.000 TL
Haliliye - Veysel Karani Mahallesi,Daire | 3+1 | 5. Kat | 155 m²,10.000 TL
Karaköprü - Aşıkköy Mahallesi,Daire | 3+1 | 4. Kat | 110 m²,10.000 TL
Eyyübiye - Batıkent Mahallesi,Daire | 3+1 | Düz Giriş (Zemin) | 110 m²,8.500 TL
Haliliye - Bamyasuyu Mahallesi,Daire | 1+1 | 5. Kat | 80 m²,10.000 TL11.000 TL
Karaköprü - Batıkent Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,15.000 TL
Haliliye - Süleymaniye Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,10.000 TL
Haliliye - Veysel Karani Mahallesi,Daire | 3+1 | 3. Kat | 190 m²,20.000 TL22.000 TL
Haliliye - Karsıyaka Mahallesi,Daire | 1+1 | 1. Kat | 65 m²,15.000 TL16.000 TL
Haliliye - Sırrın Mahallesi,Daire | 1+1 | 2. Kat | 50 m²,14.000 TL
Haliliye - Paşabağı Mahallesi,Daire | 1+1 | 4. Kat | 50 m²,15.000 TL
Haliliye - Refahiye Mahallesi,Daire | 3+1 | 3. Kat | 150 m²,13.500 TL14.500 TL
Haliliye - Süleymaniye Mahallesi,Daire | 2+1 | 3. Kat | 150 m²,8.000 TL8.500 TL
Haliliye - İmam Bakır Mahallesi,Daire | 1+1 | 1. Kat | 50 m²,13.500 TL
Eyyübiye - Batıkent Mahallesi,Daire | 3+1 | 4. Kat | 110 m²,10.000 TL
Eyyübiye - Asya Mahallesi,Daire | 2+1 | Bahçe katı | 110 m²,8.500 TL
Eyyübiye - Batıkent Mahallesi,Daire | 2+1 | Kot 1 (-1). Kat | 87 m²,7.500 TL8.500 TL
Haliliye - Bahçelievler Mahallesi,Daire | 2+1 | 6. Kat | 115 m²,6.500 TL
Karaköprü - Seyrantepe Mahallesi,Daire | 2+1 | 8. Kat | 86 m²,12.000 TL
Karaköprü - Batıkent Mahallesi,Daire | 2+0 | Düz Giriş (Zemin) | 75 m²,8.000 TL8.500 TL
Karaköprü - Seyrantepe Mahallesi,Daire | 1+1 | 2. Kat | 45 m²,13.000 TL
Haliliye - Karsıyaka Mahallesi,Daire | 1+1 | 4. Kat | 55 m²,10.000 TL
Haliliye - Sırrın Mahallesi,Daire | 2+1 | 1. Kat | 115 m²,13.000 TL
Haliliye - Selahaddin Eyyübi Mahallesi,Daire | 2+1 | 4. Kat | 135 m²,10.000 TL11.000 TL
Karaköprü - Atakent Mahallesi,Daire | 3+1 | 2. Kat | 185 m²,21.000 TL23.000 TL
Eyyübiye - Batıkent Mahallesi,Daire | 3+1 | 4. Kat | 115 m²,8.250 TL
Karaköprü - Akpıyar Mahallesi,Daire | 1+1 | 4. Kat | 95 m²,10.000 TL
Haliliye - Ertuğrul Gazi Mahallesi,Daire | 3+1 | 3. Kat | 185 m²,17.500 TL
Eyyübiye - Yenice Mahallesi,Daire | 2+1 | 7. Kat | 100 m²,8.000 TL
Karaköprü - Batıkent Mahallesi,Daire | 1+1 | 2. Kat | 65 m²,13.000 TL15.000 TL
Karaköprü - Seyrantepe Mahallesi,Daire | 2+1 | 4. Kat | 80 m²,12.000 TL
Haliliye - Sırrın Mahallesi,Daire | 1+1 | 3. Kat | 60 m²,13.000 TL
Haliliye - Sırrın Mahallesi,Daire | 1+1 | 4. Kat | 50 m²,12.000 TL
Eyyübiye - Batıkent Mahallesi,Daire | 2+1 | 3. Kat | 85 m²,10.000 TL
Karaköprü - Seyrantepe Mahallesi,Daire | 2+1 | 5. Kat | 86 m²,9.000 TL
Haliliye - Sırrın Mahallesi,Daire | 1+1 | 3. Kat | 60 m²,9.000 TL
Haliliye - Yeşildirek Mahallesi,Daire | 3+1 | 4. Kat | 170 m²,15.000 TL16.000 TL
Karaköprü - Seyrantepe Mahallesi,Daire | 2+1 | 4. Kat | 95 m²,13.000 TL
Karaköprü - Batıkent Mahallesi,Daire | 1+1 | 1. Kat | 60 m²,10.000 TL
Eyyübiye - Yenice Mahallesi,Daire | 3+1 | 5. Kat | 115 m²,10.000 TL
Haliliye - Sırrın Mahallesi,Daire | 1+1 | 3. Kat | 50 m²,12.500 TL
Eyyübiye - Yenice Mahallesi,Daire | 2+1 | 6. Kat | 105 m²,7.000 TL8.000 TL
Eyyübiye - Akşemsettin Mahallesi,Daire | 2+1 | Yüksek giriş | 85 m²,8.500 TL
Haliliye - Karsıyaka Mahallesi,Daire | Stüdyo | Düz Giriş (Zemin) | 600 m²,100.000 TL
Haliliye - Yeşildirek Mahallesi,Daire | 1+1 | 1. Kat | 58 m²,12.000 TL
Karaköprü - Seyrantepe Mahallesi,Daire | 3+1 | 10. Kat | 140 m²,13.000 TL
Eyyübiye - Batıkent Mahallesi,Daire | 3+1 | 2. Kat | 105 m²,10.000 TL
Haliliye - Dağeteği Mahallesi,Daire | 2+1 | 3. Kat | 75 m²,1.200.000 TL
Haliliye - Konuklu Mahallesi,Daire | 1+1 | 3. Kat | 90 m²,10.000 TL12.000 TL
Haliliye - Yenişehir Mahallesi,Daire | 3+1 | 5. Kat | 150 m²,10.000 TL
Karaköprü - Batıkent Mahallesi,Daire | 2+0 | 2. Kat | 70 m²,13.500 TL
Karaköprü - Seyrantepe Mahallesi,Daire | 2+1 | 1. Kat | 110 m²,13.500 TL
Eyyübiye - Batıkent Mahallesi,Daire | 3+1 | 2. Kat | 148 m²,14.000 TL
Karaköprü - Doğukent Mahallesi,Daire | 2+1 | 3. Kat | 125 m²,14.750 TL17.000 TL
Karaköprü - Seyrantepe Mahallesi,Daire | 2+1 | 6. Kat | 86 m²,10.500 TL
Haliliye - Sırrın Mahallesi,Daire | 1+1 | 3. Kat | 50 m²,15.000 TL
Haliliye - Sırrın Mahallesi,Daire | 2+1 | 4. Kat | 110 m²,13.500 TL
Haliliye - Şair Şevket Mahallesi,Daire | 3+1 | 7. Kat | 150 m²,9.000 TL
Haliliye - Şair Nabi Mahallesi,Daire | 1+1 | 5. Kat | 48 m²,13.000 TL14.000 TL
Haliliye - Ertuğrul Gazi Mahallesi,Daire | 3+1 | 2. Kat | 180 m²,18.000 TL
Haliliye - Karsıyaka Mahallesi,Daire | 2+1 | 1. Kat | 100 m²,19.000 TL
Karaköprü - Seyrantepe Mahallesi,Daire | 2+1 | 1. Kat | 115 m²,15.000 TL
Haliliye - Ulubağ Mahallesi,Daire | 3+1 | 1. Kat | 160 m²,9.250 TL
Haliliye - Sırrın Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,15.000 TL
Eyyübiye - Selçuklu Mahallesi,Daire | 3+1 | 2. Kat | 160 m²,98.000 TL
Haliliye - Cengiz Topel Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,15.000 TL
Haliliye - Karsıyaka Mahallesi,Daire | 1+1 | 5. Kat | 60 m²,15.000 TL
Haliliye - Karsıyaka Mahallesi,Daire | 2+1 | 6. Kat | 100 m²,17.500 TL
Karaköprü - Ali Baba Mahallesi,Daire | 4+1 | 3. Kat | 240 m²,3.100.000 TL
Haliliye - Karsıyaka Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,18.000 TL
Haliliye - İpekyol Mahallesi,Daire | 1+1 | Çatı katı | 65 m²,2.000 TL
Haliliye - Konuklu Mahallesi,Daire | 3+1 | 2. Kat | 165 m²,120.000 TL
Haliliye - Ulubağ Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 55 m²,9.500 TL10.500 TL
Karaköprü - Doğukent Mahallesi,Daire | 1+1 | Yüksek giriş | 65 m²,9.500 TL
Haliliye - Ulubatlı Mahallesi,Daire | 3+1 | 5. Kat | 165 m²,10.500 TL
Karaköprü - Seyrantepe Mahallesi,Daire | 2+0 | Düz Giriş (Zemin) | 75 m²,15.000 TL
Karaköprü - Seyrantepe Mahallesi,Daire | 2+1 | 3. Kat | 75 m²,9.900 TL10.500 TL
Karaköprü - Seyrantepe Mahallesi,Daire | 2+1 | 2. Kat | 130 m²,14.000 TL15.000 TL
Haliliye - Veysel Karani Mahallesi,Daire | 1+1 | 7. Kat | 55 m²,1.500.000 TL
Karaköprü - Karşıyaka Mahallesi,Daire | 3+1 | 4. Kat | 165 m²,13.500 TL
Haliliye - Karsıyaka Mahallesi,Daire | 1+1 | 3. Kat | 55 m²,10.000 TL
