location,information,sales_price
Afyonkarahisar Merkez - Erenler Mahallesi,Daire | 2+0 | 4. Kat | 62 m²,10.000 TL
Afyonkarahisar Merkez - Erenler Mahallesi,Daire | 2+1 | 2. Kat | 55 m²,12.500 TL
Afyonkarahisar Merkez - Cumhuriyet Mahallesi,Daire | 3+1 | 2. Kat | 110 m²,17.000 TL
Afyonkarahisar Merkez - Fatih Mahallesi,Daire | 2+1 | 1. Kat | 95 m²,17.500 TL
Afyonkarahisar Merkez - Erenler Mahallesi,Daire | 1+1 | Çatı katı | 50 m²,12.500 TL
Afyonkarahisar Merkez - Erenler Mahallesi,Daire | 1+1 | 4. Kat | 60 m²,10.000 TL
Afyonkarahisar Merkez - Orhangazi Mahallesi,Daire | 3+1 | 1. Kat | 120 m²,25.500 TL
Afyonkarahisar Merkez - Erenler Mahallesi,Daire | 2+0 | 1. Kat | 45 m²,10.000 TL
Afyonkarahisar Merkez - Erenler Mahallesi,Daire | 2+0 | 2. Kat | 45 m²,10.000 TL
Afyonkarahisar Merkez - Eşrefpaşa Mahallesi,Daire | 4+1 | 3. Kat | 145 m²,17.000 TL
Afyonkarahisar Merkez - İstiklal Mahallesi,Daire | 3+1 | 1. Kat | 145 m²,13.000 TL
Afyonkarahisar Merkez - Erkmen Bld. (Fevzi Çakmak Mahallesi),Daire | 3+1 | 3. Kat | 125 m²,18.000 TL
Afyonkarahisar Merkez - Erenler Mahallesi,Daire | 2+0 | 2. Kat | 50 m²,10.750 TL
Afyonkarahisar Merkez - Erenler Mahallesi,Daire | 2+0 | 4. Kat | 50 m²,9.000 TL
Afyonkarahisar Merkez - Cumhuriyet Mahallesi,Daire | 2+1 | 1. Kat | 90 m²,14.000 TL
Afyonkarahisar Merkez - Erenler Mahallesi,Daire | 1+1 | 1. Kat | 50 m²,10.000 TL
Afyonkarahisar Merkez - Erenler Mahallesi,Daire | 2+0 | 1. Kat | 50 m²,12.000 TL
Afyonkarahisar Merkez - Dörtyol Mahallesi,Daire | 2+1 | 5. Kat | 85 m²,14.000 TL
Afyonkarahisar Merkez - Mareşal Fevzi Çakmak Mahallesi,Daire | 3+1 | 2. Kat | 120 m²,25.000 TL
Afyonkarahisar Merkez - Fatih Mahallesi,Daire | 3+1 | 3. Kat | 125 m²,22.000 TL
Afyonkarahisar Merkez - Selçuklu Mahallesi,Daire | 2+1 | 3. Kat | 85 m²,25.000 TL
Afyonkarahisar Merkez - Selçuklu Mahallesi,Daire | 4+1 | 3. Kat | 175 m²,35.000 TL
Afyonkarahisar Merkez - Erenler Mahallesi,Daire | Stüdyo | 4. Kat | 40 m²,7.500 TL
Afyonkarahisar Merkez - Erenler Mahallesi,Daire | 1+1 | 5. Kat | 65 m²,12.500 TL
Afyonkarahisar Merkez - Sahipata Mahallesi,Daire | 3+1 | 5. Kat | 120 m²,25.000 TL
Afyonkarahisar Merkez - Akmescit Mahallesi,Daire | 3+1 | 1. Kat | 100 m²,6.500 TL
Afyonkarahisar Merkez - Erenler Mahallesi,Daire | 2+0 | 1. Kat | 58 m²,10.500 TL
Afyonkarahisar Merkez - Esentepe Mahallesi,Daire | 3+1 | 2. Kat | 120 m²,16.000 TL
Bolvadin - Selçuklu Mahallesi,Daire | 3+1 | 1. Kat | 135 m²,12.000 TL
