location,information,sales_price
Ayvacık - Fatih Mahallesi,Daire | 3+1 | 3. Kat | 125 m²,18.000 TL
Çanakkale Merkez - İsmetpaşa Mahallesi,Daire | 1+1 | 2. Kat | 65 m²,18.000 TL
Çanakkale Merkez - İsmetpaşa Mahallesi,Daire | 3+1 | 5. Kat | 145 m²,40.000 TL
Ayvacık - Hamdibey Mahallesi,Daire | 3+1 | 2. Kat | 55 m²,15.000 TL
Çanakkale Merkez - İsmetpaşa Mahallesi,Daire | 1+1 | 3. Kat | 70 m²,24.000 TL
Çanakkale Merkez - Barbaros Mahallesi,Daire | 1+1 | 3. Kat | 68 m²,26.000 TL
Çanakkale Merkez - İsmetpaşa Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,20.000 TL
Gelibolu - Yazıcızade Mahallesi,Daire | 2+1 | 5. Kat | 120 m²,20.000 TL
Çanakkale Merkez - Barbaros Mahallesi,Daire | 1+1 | 3. Kat | 57 m²,18.000 TL20.000 TL
Çanakkale Merkez - Kepez Bld. (Hamidiye Mahallesi),Daire | 4+2 | 5. Kat | 180 m²,43.000 TL
Gelibolu - Yazıcızade Mahallesi,Daire | 1+1 | 3. Kat | 65 m²,20.000 TL
Gelibolu - Yazıcızade Mahallesi,Daire | 3+1 | 5. Kat | 140 m²,18.000 TL
Çanakkale Merkez - Barbaros Mahallesi,Daire | 1+1 | 2. Kat | 50 m²,18.000 TL
Çanakkale Merkez - İsmetpaşa Mahallesi,Daire | 1+1 | 3. Kat | 55 m²,16.000 TL
Çanakkale Merkez - Cevat Paşa Mahallesi,Daire | 3+1 | 3. Kat | 120 m²,30.000 TL
Çanakkale Merkez - Karacaören Köyü,Daire | 3+1 | 2. Kat | 160 m²,60.000 TL
Çan - Cumhuriyet Mahallesi,Daire | 3+1 | 3. Kat | 130 m²,12.500 TL
Çanakkale Merkez - Barbaros Mahallesi,Daire | Stüdyo | 2. Kat | 40 m²,12.750 TL
Çanakkale Merkez - Barbaros Mahallesi,Daire | 3+1 | 2. Kat | 135 m²,35.000 TL
Çanakkale Merkez - Barbaros Mahallesi,Daire | 1+1 | Yüksek giriş | 50 m²,20.000 TL
Çanakkale Merkez - İsmetpaşa Mahallesi,Daire | 1+1 | 2. Kat | 50 m²,17.000 TL
Çan - Cumhuriyet Mahallesi,Daire | 2+1 | 5. Kat | 95 m²,12.000 TL
Çanakkale Merkez - Barbaros Mahallesi,Daire | 1+1 | 2. Kat | 70 m²,18.000 TL
Çanakkale Merkez - İsmetpaşa Mahallesi,Daire | 1+1 | 2. Kat | 65 m²,18.500 TL
Çanakkale Merkez - Esenler Mahallesi,Daire | 2+1 | 3. Kat | 95 m²,27.500 TL
Çanakkale Merkez - Kepez Bld. (Cumhuriyet Mahallesi),Daire | 1+1 | 1. Kat | 60 m²,18.000 TL
Çanakkale Merkez - Barbaros Mahallesi,Daire | 3+1 | 2. Kat | 120 m²,28.000 TL
Çanakkale Merkez - Kepez Bld. (Cumhuriyet Mahallesi),Daire | 1+1 | Yüksek giriş | 74 m²,18.000 TL
Çanakkale Merkez - Karacaören Köyü,Daire | 3+1 | 7. Kat | 170 m²,52.500 TL
Çanakkale Merkez - Barbaros Mahallesi,Daire | 3+1 | 3. Kat | 135 m²,31.000 TL
Çanakkale Merkez - Barbaros Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,18.000 TL
Çanakkale Merkez - Kepez Bld. (Cumhuriyet Mahallesi),Daire | 1+1 | 3. Kat | 55 m²,18.500 TL
Çanakkale Merkez - Barbaros Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,18.000 TL
Çanakkale Merkez - Kepez Bld. (Cumhuriyet Mahallesi),Daire | 1+1 | 3. Kat | 55 m²,18.500 TL
Çanakkale Merkez - Barbaros Mahallesi,Daire | 1+1 | 2. Kat | 65 m²,25.000 TL
Çanakkale Merkez - Cevat Paşa Mahallesi,Daire | 3+1 | 4. Kat | 110 m²,20.000 TL
Çanakkale Merkez - Namık Kemal Mahallesi,Daire | 1+1 | 3. Kat | 65 m²,14.000 TL
Biga - İstiklal Mahallesi,Daire | 1+1 | 5. Kat | 75 m²,20.000 TL
Çanakkale Merkez - Karacaören Köyü,Daire | 3+1 | 1. Kat | 147 m²,35.000 TL
Çanakkale Merkez - Barbaros Mahallesi,Daire | 1+1 | 1. Kat | 70 m²,27.000 TL
Lapseki - Cumhuriyet Mahallesi,Daire | 1+1 | Yüksek giriş | 60 m²,16.000 TL
Çanakkale Merkez - Kepez Bld. (Hamidiye Mahallesi),Daire | 3+1 | 2. Kat | 120 m²,35.000 TL
Çanakkale Merkez - Kepez Bld. (Hamidiye Mahallesi),Daire | 3+1 | 3. Kat | 130 m²,65.000 TL
Gelibolu - Gazi Süleyman Paşa Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,20.000 TL
Çanakkale Merkez - Barbaros Mahallesi,Daire | 2+1 | 2. Kat | 75 m²,18.000 TL
Çanakkale Merkez - Barbaros Mahallesi,Daire | 3+2 | 3. Kat | 200 m²,40.000 TL
Çanakkale Merkez - Kepez Bld. (Cumhuriyet Mahallesi),Daire | 3.5+1 | 6. Kat | 140 m²,55.000 TL
Çanakkale Merkez - Kepez Bld. (Hamidiye Mahallesi),Daire | 2+1 | 4. Kat | 98 m²,35.000 TL
Çanakkale Merkez - Kepez Bld. (Hamidiye Mahallesi),Daire | 1+1 | 1. Kat | 80 m²,20.000 TL
Çanakkale Merkez - Barbaros Mahallesi,Daire | 1+1 | 2. Kat | 50 m²,17.500 TL
Çanakkale Merkez - Barbaros Mahallesi,Daire | 2+1 | 2. Kat | 110 m²,25.000 TL
Çanakkale Merkez - Barbaros Mahallesi,Daire | 3+1 | 3. Kat | 125 m²,35.000 TL
Lapseki - Çardak Bld. (Tekke Mahallesi),Daire | 2+1 | 5. Kat | 90 m²,14.500 TL
Biga - Sakarya Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,18.000 TL20.000 TL
Çanakkale Merkez - Kepez Bld. (Cumhuriyet Mahallesi),Daire | 1+1 | 2. Kat | 55 m²,17.000 TL
Çanakkale Merkez - Esenler Mahallesi,Daire | 3+1 | 5. Kat | 125 m²,30.000 TL
Çanakkale Merkez - Esenler Mahallesi,Daire | 1+1 | 5. Kat | 55 m²,15.000 TL
Çanakkale Merkez - Barbaros Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,22.000 TL
Çanakkale Merkez - Barbaros Mahallesi,Daire | 1+1 | 3. Kat | 70 m²,20.000 TL
Çanakkale Merkez - Kepez Bld. (Hamidiye Mahallesi),Daire | 1+1 | 3. Kat | 55 m²,20.000 TL
Biga - Cumhuriyet Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,15.000 TL
Lapseki - Dalyan Mahallesi,Daire | 2+1 | 4. Kat | 96 m²,17.000 TL
Çanakkale Merkez - Cevat Paşa Mahallesi,Daire | 3+1 | 2. Kat | 130 m²,23.000 TL
Çanakkale Merkez - Cevat Paşa Mahallesi,Daire | 2+1 | 2. Kat | 75 m²,26.000 TL
Çanakkale Merkez - Cevat Paşa Mahallesi,Daire | 2+1 | 4. Kat | 90 m²,35.000 TL
Çanakkale Merkez - Kemalpaşa Mahallesi,Daire | 2+1 | 2. Kat | 80 m²,28.000 TL
Ayvacık - Küçükkuyu Bld. (Sahil Mahallesi),Daire | 2+1 | Yüksek giriş | 91 m²,30.000 TL
Biga - Ağaköy Köyü,Daire | 1+1 | 1. Kat | 60 m²,17.000 TL
Gökçeada - Fatih Mahallesi,Daire | 1+1 | Çatı katı | 45 m²,25.000 TL
Gelibolu - Alaeddin Mahallesi,Daire | 3+1 | 2. Kat | 145 m²,25.000 TL
Çanakkale Merkez - İsmetpaşa Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 60 m²,15.000 TL
Çanakkale Merkez - Karacaören Köyü,Daire | 3+1 | 5. Kat | 136 m²,30.000 TL
Gökçeada - Fatih Mahallesi,Daire | Stüdyo | 3. Kat | 45 m²,25.000 TL
Biga - Hamdibey Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,14.000 TL15.000 TL
Çanakkale Merkez - Cevat Paşa Mahallesi,Daire | 3+1 | 1. Kat | 115 m²,30.000 TL
Çanakkale Merkez - Barbaros Mahallesi,Daire | 1+1 | 2. Kat | 75 m²,18.000 TL20.000 TL
Çanakkale Merkez - Barbaros Mahallesi,Daire | 2+1 | 5. Kat | 85 m²,31.000 TL
Çanakkale Merkez - Barbaros Mahallesi,Daire | 1+1 | Yüksek giriş | 55 m²,18.000 TL
Çanakkale Merkez - Kemalpaşa Mahallesi,Daire | 1+1 | 1. Kat | 65 m²,26.000 TL
Çanakkale Merkez - İsmetpaşa Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,16.000 TL
Biga - Hamdibey Mahallesi,Daire | 3+1 | 5. Kat | 120 m²,13.000 TL14.000 TL
Biga - Hamdibey Mahallesi,Daire | 2+1 | 1. Kat | 125 m²,25.000 TL
Biga - İstiklal Mahallesi,Daire | 2+1 | 4. Kat | 95 m²,20.000 TL
Çanakkale Merkez - Kepez Bld. (Hamidiye Mahallesi),Daire | 1+1 | 3. Kat | 50 m²,17.000 TL
Gelibolu - Alaeddin Mahallesi,Daire | 3+1 | 4. Kat | 140 m²,20.000 TL
Gelibolu - Camiikebir Mahallesi,Daire | 2+1 | 4. Kat | 110 m²,25.000 TL
Gelibolu - Yazıcızade Mahallesi,Daire | 2+1 | Yüksek giriş | 75 m²,17.000 TL
Gelibolu - Yazıcızade Mahallesi,Daire | 2+1 | 5. Kat | 140 m²,20.000 TL
Çanakkale Merkez - Kepez Bld. (Hamidiye Mahallesi),Daire | 4+1 | Yüksek giriş | 170 m²,70.000 TL
Çanakkale Merkez - Güzelyalı Köyü,Daire | 2+1 | 2. Kat | 90 m²,30.000 TL37.000 TL
Ayvacık - Küçükkuyu Bld. (Mıhlı Mahallesi),Daire | 2+1 | 1. Kat | 85 m²,30.000 TL
Biga - Sakarya Mahallesi,Daire | 2+1 | 4. Kat | 85 m²,16.000 TL
Çanakkale Merkez - Barbaros Mahallesi,Daire | 1+1 | Yüksek giriş | 90 m²,16.500 TL
Çanakkale Merkez - Barbaros Mahallesi,Daire | 1+1 | 3. Kat | 60 m²,17.000 TL
Çanakkale Merkez - Kepez Bld. (Hamidiye Mahallesi),Daire | 1+1 | 5. Kat | 55 m²,18.000 TL
Çanakkale Merkez - İsmetpaşa Mahallesi,Daire | 2+1 | 2. Kat | 95 m²,20.000 TL
Gelibolu - Yazıcızade Mahallesi,Daire | 3+1 | 2. Kat | 115 m²,18.000 TL
