location,information,sales_price
Kepez - Çankaya Mahallesi,Daire | 2+1 | 7. Kat | 95 m²,27.000 TL
Muratpaşa - Bayındır Mahallesi,Daire | 2+1 | 5. Kat | 75 m²,25.000 TL
Konyaaltı - Hurma Mahallesi,Daire | 2+1 | 1. Kat | 95 m²,30.000 TL
Konyaaltı - Hurma Mahallesi,Daire | 2+1 | 2. Kat | 105 m²,32.000 TL
Alanya - Tosmur Mahallesi,Daire | 2+1 | 4. Kat | 110 m²,45.000 TL
Alanya - Tosmur Mahallesi,Daire | 3+1 | 8. Kat | 165 m²,55.000 TL
Alanya - Oba Mahallesi,Daire | 2+1 | 1. Kat | 120 m²,30.000 TL
Alanya - Tosmur Mahallesi,Daire | 1+1 | 3. Kat | 60 m²,35.000 TL
Alanya - Tosmur Mahallesi,Daire | 2+1 | 2. Kat | 110 m²,18.000 TL
Kepez - Ahatlı Mahallesi,Daire | 1+1 | 4. Kat | 60 m²,19.000 TL
Kepez - Mehmet Akif Ersoy Mahallesi,Daire | 3+1 | 3. Kat | 145 m²,29.500 TL
Kepez - Aydoğmuş Mahallesi,Daire | 2+1 | 1. Kat | 120 m²,18.000 TL
Kepez - Mehmet Akif Ersoy Mahallesi,Daire | 3+1 | 4. Kat | 145 m²,35.000 TL
Kepez - Mehmet Akif Ersoy Mahallesi,Daire | 2+1 | Yüksek giriş | 75 m²,14.250 TL
Kepez - Ahatlı Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,18.000 TL
Kepez - Yeni Emek Mahallesi,Daire | 3+1 | 3. Kat | 135 m²,25.000 TL
Konyaaltı - Uncalı Mahallesi,Daire | 5+1 | 3. Kat | 265 m²,75.000 TL
Serik - Belek Mahallesi,Daire | 1+1 | 1. Kat | 65 m²,22.000 TL
Konyaaltı - Hurma Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,31.000 TL
Konyaaltı - Sarısu Mahallesi,Daire | 2+1 | Yüksek giriş | 65 m²,27.000 TL
Muratpaşa - Sinan Mahallesi,Daire | 1+1 | Yüksek giriş | 65 m²,17.000 TL
Kepez - Yeni Mahallesi,Daire | 2+1 | 1. Kat | 105 m²,18.000 TL
Muratpaşa - Yüksekalan Mahallesi,Daire | 1+1 | 3. Kat | 85 m²,23.000 TL
Muratpaşa - Kırcami Mahallesi,Daire | 3+1 | 5. Kat | 125 m²,50.000 TL
Aksu - Altıntaş Mahallesi,Daire | 1+1 | 3. Kat | 65 m²,20.000 TL
Alanya - Kestel Mahallesi,Daire | 2+1 | Bahçe dublex | 100 m²,25.000 TL
Alanya - Cumhuriyet Mahallesi,Daire | 4+1 | 2. Kat | 150 m²,30.000 TL
Alanya - Saray Mahallesi,Daire | 3+1 | 5. Kat | 140 m²,21.000 TL
Kepez - Santral Mahallesi,Daire | 1+1 | 10. Kat | 72 m²,18.500 TL
Manavgat - Gültepe Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 70 m²,12.000 TL
Manavgat - Salkım Evler Mahallesi,Daire | 1+1 | 3. Kat | 50 m²,19.500 TL
Alanya - Oba Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 125 m²,32.000 TL
Muratpaşa - Güzeloba Mahallesi,Daire | 3+1 | 2. Kat | 140 m²,42.000 TL
Kepez - Mehmet Akif Ersoy Mahallesi,Daire | 1+1 | Yüksek giriş | 70 m²,15.000 TL
Kepez - Sütçüler Mahallesi,Daire | 2+1 | 3. Kat | 95 m²,18.500 TL
Alanya - Saray Mahallesi,Daire | 2+1 | 4. Kat | 90 m²,21.000 TL
Manavgat - Çağlayan Mahallesi,Daire | 3+1 | 1. Kat | 140 m²,25.000 TL
Manavgat - Side Mahallesi,Daire | 3+1 | 2. Kat | 165 m²,30.000 TL
Kepez - Gazi Mahallesi,Daire | 2+1 | 2. Kat | 85 m²,27.000 TL
