location,information,sales_price
Kepez - Gülveren Mahallesi,Daire | 2+1 | 1. Kat | 100 m²,20.500 TL
Muratpaşa - Bayındır Mahallesi,Daire | 3+1 | 2. Kat | 165 m²,35.000 TL
Alanya - Oba Mahallesi,Daire | 1+1 | 4. Kat | 55 m²,17.000 TL
Serik - Belek Mahallesi,Daire | 2+1 | 3. Kat | 75 m²,22.000 TL
Kepez - Şelale Mahallesi,Daire | 3+1 | 5. Kat | 135 m²,22.250 TL
Alanya - Kestel Mahallesi,Daire | 1+1 | 3. Kat | 55 m²,24.000 TL
Kepez - Kültür Mahallesi,Daire | 2+1 | 3. Kat | 105 m²,23.000 TL
Alanya - Hacet Mahallesi,Daire | 3+1 | 4. Kat | 125 m²,23.750 TL
Manavgat - Sorgun Mahallesi,Daire | 3+1 | 2. Kat | 140 m²,58.500 TL
Kepez - Ahatlı Mahallesi,Daire | 2+1 | 1. Kat | 90 m²,23.000 TL
Kepez - Altıayak Mahallesi,Daire | 2+1 | 3. Kat | 105 m²,18.000 TL
Finike - Kum Mahallesi,Daire | 2+1 | 1. Kat | 85 m²,20.000 TL
Kepez - Varsak Karşıyaka Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,15.000 TL
Konyaaltı - Hurma Mahallesi,Daire | 2+1 | 6. Kat | 70 m²,31.500 TL
Konyaaltı - Hurma Mahallesi,Daire | 2+1 | 3. Kat | 100 m²,45.000 TL
Konyaaltı - Liman Mahallesi,Daire | 2+1 | Yüksek giriş | 115 m²,35.000 TL
Alanya - Kızlar Pınarı Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 65 m²,17.000 TL
Alanya - Güller Pınarı Mahallesi,Daire | 1+1 | 2. Kat | 65 m²,16.000 TL
Kepez - Şafak Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,22.000 TL
Alanya - Güller Pınarı Mahallesi,Daire | 2+1 | 4. Kat | 110 m²,15.000 TL
Finike - Kum Mahallesi,Daire | 1+1 | 3. Kat | 63 m²,15.000 TL
Konyaaltı - Liman Mahallesi,Daire | 1+1 | Bahçe katı | 65 m²,27.000 TL
Muratpaşa - Çaybaşı Mahallesi,Daire | 1+1 | Yüksek giriş | 75 m²,21.000 TL
Finike - Kum Mahallesi,Daire | 1+1 | 4. Kat | 63 m²,15.000 TL
Alanya - Mahmutlar Mahallesi,Daire | 1+1 | 4. Kat | 75 m²,22.000 TL
Manavgat - Mimar Sinan Mahallesi,Daire | 2+1 | 3. Kat | 90 m²,22.500 TL
Alanya - Mahmutlar Mahallesi,Daire | 1+1 | 1. Kat | 70 m²,14.000 TL
Finike - Kum Mahallesi,Daire | 2+1 | 4. Kat | 85 m²,20.000 TL
Alanya - Konaklı Mahallesi,Daire | 2+1 | 1. Kat | 125 m²,18.000 TL
Konyaaltı - Hurma Mahallesi,Daire | 3+1 | 2. Kat | 130 m²,32.000 TL
Aksu - Altıntaş Mahallesi,Daire | 1+1 | 6. Kat | 52 m²,26.500 TL
Konyaaltı - Gürsu Mahallesi,Daire | 3+1 | 4. Kat | 100 m²,99.000 TL
Muratpaşa - Güzeloba Mahallesi,Daire | 2+1 | Bahçe katı | 105 m²,35.000 TL
Gazipaşa - Pazarcı Mahallesi,Daire | 1+1 | 5. Kat | 45 m²,15.000 TL
Döşemealtı - Yeniköy Mahallesi,Daire | 1+1 | Yüksek giriş | 65 m²,15.000 TL
Muratpaşa - Çaybaşı Mahallesi,Daire | 3+1 | 2. Kat | 150 m²,30.000 TL
Alanya - Sugözü Mahallesi,Daire | 3+1 | 2. Kat | 150 m²,27.000 TL
Muratpaşa - Yıldız Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,28.000 TL
Manavgat - Aşağı Pazarcı Mahallesi,Daire | 2+1 | 2. Kat | 120 m²,20.000 TL
Kumluca - Bağlık Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 100 m²,10.000 TL
Konyaaltı - Liman Mahallesi,Daire | 3+1 | 2. Kat | 135 m²,41.000 TL
Muratpaşa - Güzeloba Mahallesi,Daire | 2+1 | 1. Kat | 90 m²,30.000 TL
Konyaaltı - Siteler Mahallesi,Daire | 1+1 | Bahçe katı | 75 m²,22.000 TL
Kepez - Kütükçü Mahallesi,Daire | 1+1 | 1. Kat | 65 m²,20.500 TL
Alanya - Payallar Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,12.000 TL
Döşemealtı - Yeniköy Mahallesi,Daire | 1+1 | Yüksek giriş | 55 m²,12.500 TL
Muratpaşa - Yenigün Mahallesi,Daire | 2+1 | Bodrum Kat | 75 m²,17.000 TL
Alanya - Payallar Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,12.000 TL
Döşemealtı - Yeniköy Mahallesi,Daire | 1+1 | Yüksek giriş | 55 m²,12.500 TL
Muratpaşa - Yenigün Mahallesi,Daire | 2+1 | Bodrum Kat | 75 m²,17.000 TL
Muratpaşa - Yenigün Mahallesi,Daire | 2+1 | Yüksek giriş | 85 m²,27.000 TL
Alanya - Fığla Mahallesi,Daire | 3+1 | 3. Kat | 155 m²,25.000 TL
Konyaaltı - Hurma Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,45.000 TL
Muratpaşa - Bahçelievler Mahallesi,Daire | 3+1 | 7. Kat | 160 m²,70.000 TL
Muratpaşa - Güzeloba Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,37.000 TL
Alanya - Cikcilli Mahallesi,Daire | 2+1 | 3. Kat | 120 m²,16.000 TL
Manavgat - Side Mahallesi,Daire | 1+1 | Müstakil | 95 m²,30.000 TL
Alanya - Fığla Mahallesi,Daire | 3+1 | 5. Kat | 170 m²,32.000 TL
Manavgat - Aşağı Pazarcı Mahallesi,Daire | 3+1 | 2. Kat | 180 m²,15.000 TL
Alanya - Kestel Mahallesi,Daire | 1+1 | 4. Kat | 70 m²,35.000 TL
Kepez - Şafak Mahallesi,Daire | 2+1 | Yüksek giriş | 80 m²,21.000 TL
Aksu - Altıntaş Mahallesi,Daire | 1+1 | Yüksek giriş | 80 m²,17.000 TL
Aksu - Altıntaş Mahallesi,Daire | 1+1 | Bahçe katı | 70 m²,16.000 TL
Kepez - Altınova Sinan Mahallesi,Daire | 2+1 | 2. Kat | 110 m²,18.000 TL
Muratpaşa - Fener Mahallesi,Daire | 2+1 | 3. Kat | 110 m²,38.000 TL
Döşemealtı - Altınkale Mahallesi,Daire | 3+1 | 2. Kat | 230 m²,35.000 TL
Döşemealtı - Yeniköy Mahallesi,Daire | 2+1 | 1. Kat | 110 m²,15.000 TL
Döşemealtı - Yeniköy Mahallesi,Daire | 2+1 | 4. Kat | 95 m²,17.500 TL
Döşemealtı - Yeniköy Mahallesi,Daire | 2+1 | 3. Kat | 90 m²,20.000 TL
Konyaaltı - Hurma Mahallesi,Daire | 3+1 | 4. Kat | 135 m²,28.000 TL
Konyaaltı - Altınkum Mahallesi,Daire | 2+1 | 2. Kat | 110 m²,42.000 TL
Kepez - Kültür Mahallesi,Daire | 1+1 | 2. Kat | 50 m²,23.000 TL
Muratpaşa - Sinan Mahallesi,Daire | Stüdyo | Düz Giriş (Zemin) | 80 m²,35.000 TL
Konyaaltı - Uncalı Mahallesi,Daire | 1+1 | Bahçe katı | 70 m²,23.000 TL
Konyaaltı - Hurma Mahallesi,Daire | 2+1 | 2. Kat | 108 m²,33.000 TL
Kemer - Yeni Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,25.000 TL
Kepez - Ahatlı Mahallesi,Daire | 2+1 | 3. Kat | 95 m²,25.000 TL
Aksu - Altıntaş Mahallesi,Daire | 2+1 | 2. Kat | 85 m²,25.000 TL
Aksu - Altıntaş Mahallesi,Daire | 1+1 | Bahçe katı | 75 m²,30.000 TL
Muratpaşa - Meydankavağı Mahallesi,Daire | 3+1 | Düz Giriş (Zemin) | 115 m²,32.000 TL
Muratpaşa - Yeşildere Mahallesi,Daire | 4+1 | 4. Kat | 155 m²,26.000 TL
Konyaaltı - Arapsuyu Mahallesi,Daire | 2+1 | 1. Kat | 100 m²,40.000 TL
Alanya - Mahmutlar Mahallesi,Daire | 1+1 | 4. Kat | 45 m²,14.000 TL
Alanya - Mahmutlar Mahallesi,Daire | 2+1 | 4. Kat | 125 m²,18.000 TL
Alanya - Mahmutlar Mahallesi,Daire | 1+1 | 2. Kat | 45 m²,18.000 TL
Kepez - Ahatlı Mahallesi,Daire | 1+1 | 1. Kat | 76 m²,20.000 TL
Kepez - Kültür Mahallesi,Daire | 1+1 | 3. Kat | 60 m²,23.500 TL
Kepez - Ahatlı Mahallesi,Daire | 2+1 | 3. Kat | 100 m²,25.000 TL
Kepez - Ahatlı Mahallesi,Daire | 2+1 | Yüksek giriş | 100 m²,20.000 TL
Kepez - Ünsal Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 60 m²,14.000 TL
Konyaaltı - Liman Mahallesi,Daire | 3+1 | Çatı Dubleks | 170 m²,35.000 TL
Alanya - Oba Mahallesi,Daire | 2+1 | 5. Kat | 90 m²,47.000 TL
Konyaaltı - Sarısu Mahallesi,Daire | 2+1 | 6. Kat | 110 m²,40.000 TL
Alanya - Güller Pınarı Mahallesi,Daire | 2+1 | 4. Kat | 120 m²,35.000 TL
Aksu - Altıntaş Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 50 m²,20.000 TL
Aksu - Altıntaş Mahallesi,Daire | 1+1 | 2. Kat | 50 m²,20.000 TL
Kepez - Yeni Emek Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 80 m²,15.000 TL
Döşemealtı - Bahçeyaka Mahallesi,Daire | 3+1 | 4. Kat | 165 m²,27.000 TL
Muratpaşa - Varlık Mahallesi,Daire | 2+1 | 4. Kat | 100 m²,22.000 TL
Alanya - Çıplaklı Mahallesi,Daire | 3+1 | 6. Kat | 140 m²,25.000 TL
Alanya - Tosmur Mahallesi,Daire | 2+1 | 4. Kat | 120 m²,19.000 TL
Konyaaltı - Sarısu Mahallesi,Daire | 2+1 | 2. Kat | 110 m²,28.000 TL
Alanya - Oba Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,15.500 TL
Alanya - Konaklı Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,12.000 TL
Gazipaşa - Pazarcı Mahallesi,Daire | 2+1 | 2. Kat | 115 m²,19.000 TL
Gazipaşa - Cumhuriyet Mahallesi,Daire | 2+1 | 4. Kat | 125 m²,18.000 TL
Alanya - Saray Mahallesi,Daire | 2+1 | 5. Kat | 110 m²,18.500 TL
Alanya - Büyükhasbahçe Mahallesi,Daire | 2+1 | 2. Kat | 120 m²,20.000 TL
Alanya - Mahmutlar Mahallesi,Daire | 2+1 | 1. Kat | 100 m²,17.000 TL
Alanya - Mahmutlar Mahallesi,Daire | 2+1 | 1. Kat | 110 m²,18.000 TL
Konyaaltı - Hurma Mahallesi,Daire | 2+1 | 1. Kat | 80 m²,28.500 TL
Konyaaltı - Hurma Mahallesi,Daire | 1+1 | Yüksek giriş | 70 m²,24.500 TL26.000 TL
Manavgat - Aşağı Hisar Mahallesi,Daire | 2+1 | 1. Kat | 120 m²,27.000 TL
Konyaaltı - Hurma Mahallesi,Daire | 3+1 | 10. Kat | 170 m²,37.000 TL
Alanya - Cikcilli Mahallesi,Daire | 1+1 | 1. Kat | 65 m²,32.900 TL
Alanya - Sugözü Mahallesi,Daire | 3+1 | 3. Kat | 135 m²,30.000 TL
Muratpaşa - Meydankavağı Mahallesi,Daire | 2+1 | 4. Kat | 115 m²,36.000 TL
Muratpaşa - Güzeloba Mahallesi,Daire | 1+1 | Yüksek giriş | 55 m²,25.000 TL
Aksu - Altıntaş Mahallesi,Daire | 1+1 | 3. Kat | 60 m²,23.000 TL
Aksu - Altıntaş Mahallesi,Daire | 1+1 | 3. Kat | 60 m²,25.000 TL
Aksu - Altıntaş Mahallesi,Daire | 1+1 | Bahçe katı | 50 m²,16.400 TL
Serik - Orta Mahallesi,Daire | 3+1 | Yüksek giriş | 130 m²,26.000 TL
Aksu - Altıntaş Mahallesi,Daire | 1+1 | 3. Kat | 45 m²,16.000 TL
Aksu - Altıntaş Mahallesi,Daire | 2+1 | Bahçe katı | 85 m²,28.000 TL
Muratpaşa - Güzeloba Mahallesi,Daire | 2+1 | 5. Kat | 95 m²,45.000 TL
Muratpaşa - Çağlayan Mahallesi,Daire | 3+1 | 3. Kat | 195 m²,95.000 TL
Döşemealtı - Yeniköy Mahallesi,Daire | 1 Oda | 1. Kat | 50 m²,14.000 TL16.000 TL
Döşemealtı - Yeniköy Mahallesi,Daire | 3+1 | 2. Kat | 130 m²,18.000 TL
Döşemealtı - Yeniköy Mahallesi,Daire | 1+1 | 3. Kat | 55 m²,17.000 TL
Elmalı - Karyağdı Mahallesi,Daire | 2+1 | 3. Kat | 120 m²,20.000 TL
Muratpaşa - Altındağ Mahallesi,Daire | 3+1 | Çatı katı | 115 m²,20.000 TL
Aksu - Altıntaş Mahallesi,Daire | 2+1 | 5. Kat | 100 m²,28.500 TL
Manavgat - Aşağı Hisar Mahallesi,Daire | 4+1 | Çatı Dubleks | 220 m²,35.000 TL
Aksu - Güzelyurt Mahallesi,Daire | 2+1 | 2. Kat | 110 m²,18.000 TL
Kepez - Yeşilyurt Mahallesi,Daire | 1 Oda | Düz Giriş (Zemin) | 40 m²,12.000 TL
Manavgat - Yukarı Hisar Mahallesi,Daire | 2+1 | 4. Kat | 120 m²,25.000 TL
Alanya - Oba Mahallesi,Daire | 2+1 | Kot 2 (-2). Kat | 120 m²,27.500 TL
Kepez - Yeşilyurt Mahallesi,Daire | 1 Oda | Düz Giriş (Zemin) | 40 m²,12.000 TL
Manavgat - Yukarı Hisar Mahallesi,Daire | 2+1 | 4. Kat | 120 m²,25.000 TL
Alanya - Oba Mahallesi,Daire | 2+1 | Kot 2 (-2). Kat | 120 m²,27.500 TL
Gazipaşa - Pazarcı Mahallesi,Daire | 3+1 | 1. Kat | 175 m²,21.000 TL
Konyaaltı - Sarısu Mahallesi,Daire | 2+1 | 2. Kat | 95 m²,28.000 TL
Alanya - Oba Mahallesi,Daire | 2+1 | 1. Kat | 125 m²,28.485 TL
Muratpaşa - Gebizli Mahallesi,Daire | 2+1 | 1. Kat | 125 m²,30.000 TL
Finike - Kum Mahallesi,Daire | 2+1 | 1. Kat | 85 m²,15.500 TL
Kepez - Göksu Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,22.000 TL
Alanya - Mahmutlar Mahallesi,Daire | 2+1 | 1. Kat | 85 m²,20.000 TL
Aksu - Altıntaş Mahallesi,Daire | 1+1 | 6. Kat | 77 m²,17.000 TL
Muratpaşa - Gençlik Mahallesi,Daire | 3+1 | 5. Kat | 120 m²,35.000 TL
Konyaaltı - Liman Mahallesi,Daire | 2+1 | 1. Kat | 95 m²,40.000 TL
Muratpaşa - Kışla Mahallesi,Daire | 1+1 | 1. Kat | 57 m²,25.000 TL
Konyaaltı - Öğretmenevleri Mahallesi,Daire | 3+1 | 4. Kat | 120 m²,35.000 TL
Alanya - Tosmur Mahallesi,Daire | 2+1 | 1. Kat | 90 m²,15.000 TL
Kepez - Göçerler Mahallesi,Daire | 2+1 | 1. Kat | 115 m²,28.500 TL
Alanya - Kadıpaşa Mahallesi,Daire | 2+1 | 4. Kat | 130 m²,20.000 TL
Kepez - Ünsal Mahallesi,Daire | 2+1 | 4. Kat | 90 m²,20.000 TL
Alanya - Saray Mahallesi,Daire | 1+1 | 6. Kat | 65 m²,20.000 TL
Manavgat - Kasaplar Mahallesi,Daire | 2+1 | 4. Kat | 200 m²,21.000 TL
Manavgat - Yukarı Pazarcı Mahallesi,Daire | 4+1 | 3. Kat | 260 m²,29.000 TL
Alanya - Cikcilli Mahallesi,Daire | 2+1 | 5. Kat | 135 m²,31.500 TL
Konyaaltı - Sarısu Mahallesi,Daire | 3+1 | Çatı Dubleks | 135 m²,50.000 TL
Alanya - Kadıpaşa Mahallesi,Daire | 2+1 | 5. Kat | 120 m²,20.000 TL
Manavgat - Ilıca Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,23.000 TL
Konyaaltı - Hurma Mahallesi,Daire | 1+1 | 1. Kat | 60 m²,23.000 TL
Konyaaltı - Hurma Mahallesi,Daire | 1+1 | 1. Kat | 60 m²,20.000 TL
Konyaaltı - Hurma Mahallesi,Daire | 3+1 | 4. Kat | 160 m²,40.000 TL
Konyaaltı - Hurma Mahallesi,Daire | 2+1 | 3. Kat | 90 m²,30.000 TL
Muratpaşa - Muratpaşa Mahallesi,Daire | 2+1 | 2. Kat | 150 m²,25.000 TL
Kepez - Göksu Mahallesi,Daire | 2+1 | 3. Kat | 90 m²,23.000 TL
Alanya - Büyükhasbahçe Mahallesi,Daire | 2+1 | 4. Kat | 100 m²,22.000 TL
Döşemealtı - Bahçeyaka Mahallesi,Daire | 2+1 | 1. Kat | 110 m²,25.000 TL
Kepez - Kültür Mahallesi,Daire | 2+1 | 1. Kat | 75 m²,25.000 TL
Finike - İskele Mahallesi,Daire | 2+1 | 1. Kat | 90 m²,20.000 TL
Manavgat - Demirciler Mahallesi,Daire | 2+1 | 1. Kat | 100 m²,12.000 TL
Konyaaltı - Altınkum Mahallesi,Daire | 2+1 | 1. Kat | 100 m²,35.000 TL
Alanya - Oba Mahallesi,Daire | 1+1 | 1. Kat | 70 m²,21.000 TL
Manavgat - Side Mahallesi,Daire | 1+1 | 2. Kat | 65 m²,27.000 TL
Muratpaşa - Varlık Mahallesi,Daire | 3+1 | 2. Kat | 165 m²,36.000 TL
Alanya - Oba Mahallesi,Daire | 1+1 | 3. Kat | 65 m²,25.000 TL
Kepez - Altınova Sinan Mahallesi,Daire | 2+1 | Yüksek giriş | 68 m²,15.000 TL
Konyaaltı - Toros Mahallesi,Daire | 3+1 | Bahçe katı | 130 m²,45.000 TL
Kepez - Göçerler Mahallesi,Daire | 3+1 | 2. Kat | 150 m²,45.000 TL
Konyaaltı - Hurma Mahallesi,Daire | 2+1 | 1. Kat | 90 m²,24.000 TL
Konyaaltı - Öğretmenevleri Mahallesi,Daire | 3+1 | 1. Kat | 155 m²,35.000 TL
Alanya - Çıplaklı Mahallesi,Daire | 1+1 | 4. Kat | 75 m²,14.500 TL15.500 TL
Muratpaşa - Bayındır Mahallesi,Daire | 2+1 | 4. Kat | 75 m²,30.000 TL
Kepez - Fevzi Çakmak Mahallesi,Daire | 1+1 | 3. Kat | 70 m²,17.000 TL18.000 TL
Alanya - Kestel Mahallesi,Daire | 2+1 | 3. Kat | 55 m²,15.000 TL
Konyaaltı - Uncalı Mahallesi,Daire | 1+1 | 6. Kat | 70 m²,35.000 TL
Alanya - Oba Mahallesi,Daire | 5+1 | 4. Kat | 270 m²,33.000 TL35.000 TL
Alanya - Mahmutlar Mahallesi,Daire | 2+1 | 5. Kat | 120 m²,21.000 TL
Kepez - Gündoğdu Mahallesi,Daire | 1+1 | 2. Kat | 65 m²,17.500 TL
Kepez - Kültür Mahallesi,Daire | 2+0 | 2. Kat | 45 m²,18.000 TL
Kepez - Kültür Mahallesi,Daire | 2+1 | 1. Kat | 100 m²,27.500 TL
Konyaaltı - Hurma Mahallesi,Daire | 2+1 | 3. Kat | 95 m²,28.500 TL
Kepez - Ahatlı Mahallesi,Daire | 2+1 | 4. Kat | 90 m²,19.000 TL
Kepez - Demirel Mahallesi,Daire | 2+1 | Yüksek giriş | 115 m²,22.000 TL
Alanya - Mahmutlar Mahallesi,Daire | 1+1 | 1. Kat | 60 m²,13.000 TL14.000 TL
Kepez - Kuzeyyaka Mahallesi,Daire | 2+1 | Yüksek giriş | 70 m²,16.500 TL
Kepez - Kültür Mahallesi,Daire | 1+1 | 4. Kat | 55 m²,19.000 TL
Kepez - Ahatlı Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,20.000 TL
Muratpaşa - Kızıltoprak Mahallesi,Daire | 3+1 | 7. Kat | 150 m²,32.000 TL
Kumluca - Karşıyaka Mahallesi,Daire | 3+1 | Yüksek giriş | 150 m²,13.250 TL
Konyaaltı - Sarısu Mahallesi,Daire | 1+1 | 1. Kat | 65 m²,20.000 TL
Kepez - Kültür Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,20.000 TL
Finike - Kum Mahallesi,Daire | 2+1 | 3. Kat | 85 m²,16.500 TL
Muratpaşa - Soğuksu Mahallesi,Daire | 3+1 | 3. Kat | 130 m²,18.000 TL20.000 TL
Alanya - Mahmutlar Mahallesi,Daire | 2+1 | 8. Kat | 100 m²,29.000 TL
Korkuteli - Aşağıpazar Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,15.000 TL
Muratpaşa - Yeşilbahçe Mahallesi,Daire | 2+1 | 3. Kat | 130 m²,35.000 TL
Döşemealtı - Çıplaklı Mahallesi,Daire | 1+1 | 4. Kat | 70 m²,12.500 TL
Alanya - Tepe Mahallesi,Daire | 2+1 | 2. Kat | 150 m²,13.500 TL
Muratpaşa - Güzeloba Mahallesi,Daire | 3+1 | 8. Kat | 220 m²,70.000 TL
Finike - Kum Mahallesi,Daire | 1+1 | 1. Kat | 50 m²,10.000 TL
Kepez - Yeşilyurt Mahallesi,Daire | 2+1 | Yüksek giriş | 100 m²,18.000 TL
Kumluca - Meydan Mahallesi,Daire | 2+1 | 3. Kat | 140 m²,16.000 TL
Kumluca - Beykonak Mahallesi,Daire | 4+1 | Villa tipi | 200 m²,25.000 TL
Alanya - Oba Mahallesi,Daire | 2+1 | 1. Kat | 120 m²,30.000 TL
Kumluca - Cumhuriyet Mahallesi,Daire | 3+1 | Bahçe katı | 160 m²,16.000 TL
Alanya - Cikcilli Mahallesi,Daire | 4+1 | 4. Kat | 140 m²,25.000 TL
Muratpaşa - Kızılarık Mahallesi,Daire | 2+1 | 4. Kat | 80 m²,20.000 TL
Alanya - Mahmutlar Mahallesi,Daire | 1+1 | 3. Kat | 70 m²,20.000 TL
Manavgat - Emek Mahallesi,Daire | 3+1 | 3. Kat | 240 m²,21.000 TL
Konyaaltı - Liman Mahallesi,Daire | 2+2 | Çatı Dubleks | 130 m²,40.000 TL
Serik - Kadriye Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 115 m²,25.000 TL
Kepez - Ahatlı Mahallesi,Daire | 2+0 | Yüksek giriş | 60 m²,18.000 TL
Aksu - Altıntaş Mahallesi,Daire | 2+1 | Yüksek giriş | 90 m²,27.000 TL
Konyaaltı - Pınarbaşı Mahallesi,Daire | 3+1 | 2. Kat | 160 m²,35.000 TL
Döşemealtı - Yeniköy Mahallesi,Daire | 3+1 | 2. Kat | 120 m²,20.000 TL
Manavgat - Aydınevler Mahallesi,Daire | 1+1 | 1. Kat | 95 m²,17.000 TL18.000 TL
Alanya - Mahmutlar Mahallesi,Daire | 1+1 | 6. Kat | 48 m²,17.000 TL
Gazipaşa - Cumhuriyet Mahallesi,Daire | 4+1 | 4. Kat | 150 m²,20.000 TL
Gazipaşa - Pazarcı Mahallesi,Daire | 1+1 | 4. Kat | 55 m²,9.000 TL
Gazipaşa - Pazarcı Mahallesi,Daire | 2+1 | 5. Kat | 120 m²,15.000 TL
Finike - Kum Mahallesi,Daire | 3+1 | 4. Kat | 150 m²,20.000 TL
Alanya - Oba Mahallesi,Daire | 1+1 | 1. Kat | 90 m²,15.000 TL
Kepez - Erenköy Mahallesi,Daire | 2+1 | 1. Kat | 90 m²,19.000 TL
Alanya - Mahmutlar Mahallesi,Daire | 1+1 | 3. Kat | 55 m²,25.000 TL
Muratpaşa - Gebizli Mahallesi,Daire | 2+1 | 2. Kat | 55 m²,20.500 TL22.000 TL
Finike - Kum Mahallesi,Daire | 1+1 | 3. Kat | 54 m²,13.000 TL
Konyaaltı - Sarısu Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,28.000 TL
Alanya - Okurcalar Mahallesi,Daire | 1+1 | 2. Kat | 70 m²,19.000 TL
Manavgat - Çenger Mahallesi,Daire | 3+1 | Bahçe dublex | 130 m²,17.000 TL18.000 TL
Konyaaltı - Hurma Mahallesi,Daire | 2+1 | 1. Kat | 100 m²,25.000 TL
Konyaaltı - Toros Mahallesi,Daire | 3+1 | 3. Kat | 140 m²,35.000 TL
Elmalı - Yeni Mahallesi,Daire | 2+1 | 1. Kat | 90 m²,18.500 TL
Muratpaşa - Kızıltoprak Mahallesi,Daire | 3+1 | 1. Kat | 175 m²,24.000 TL
Kepez - Şelale Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 70 m²,19.000 TL
Konyaaltı - Uncalı Mahallesi,Daire | 3+1 | 1. Kat | 150 m²,42.000 TL
Döşemealtı - Bahçeyaka Mahallesi,Daire | 2+1 | 1. Kat | 80 m²,15.000 TL
Kepez - Sütçüler Mahallesi,Daire | 2+1 | 1. Kat | 85 m²,20.000 TL
Alanya - Cikcilli Mahallesi,Daire | 1+1 | 1. Kat | 60 m²,17.000 TL
Kemer - Merkez Mahallesi,Daire | 2+1 | 1. Kat | 150 m²,45.000 TL
Alanya - Cikcilli Mahallesi,Daire | 5+1 | Çatı Dubleks | 250 m²,25.750 TL
Alanya - Mahmutlar Mahallesi,Daire | 2+1 | 10. Kat | 110 m²,23.750 TL
Muratpaşa - Güzelbağ Mahallesi,Daire | 2+1 | 1. Kat | 90 m²,25.000 TL
Konyaaltı - Hurma Mahallesi,Daire | 1+1 | 1. Kat | 50 m²,32.000 TL
Alanya - Mahmutlar Mahallesi,Daire | 2+1 | 10. Kat | 110 m²,23.750 TL
Muratpaşa - Güzelbağ Mahallesi,Daire | 2+1 | 1. Kat | 90 m²,25.000 TL
Konyaaltı - Hurma Mahallesi,Daire | 1+1 | 1. Kat | 50 m²,32.000 TL
Kepez - Özgürlük Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 90 m²,25.000 TL
Konyaaltı - Hurma Mahallesi,Daire | 2+1 | 1. Kat | 90 m²,39.000 TL
Döşemealtı - Çıplaklı Mahallesi,Daire | 3+1 | Kot 1 (-1). Kat | 156 m²,21.000 TL
Kepez - Fevzi Çakmak Mahallesi,Daire | 4+1 | 1. Kat | 160 m²,33.000 TL
Muratpaşa - Çaybaşı Mahallesi,Daire | 2+1 | 3. Kat | 105 m²,40.000 TL
Konyaaltı - Hurma Mahallesi,Daire | 2+1 | 1. Kat | 110 m²,40.000 TL
Muratpaşa - Etiler Mahallesi,Daire | 2+1 | 1. Kat | 90 m²,24.000 TL
Manavgat - Ilıca Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,23.000 TL
Serik - Kadriye Mahallesi,Daire | 1+1 | Yüksek giriş | 80 m²,19.000 TL
Serik - Belek Mahallesi,Daire | 2+1 | 3. Kat | 120 m²,20.000 TL
Konyaaltı - Siteler Mahallesi,Daire | 3+1 | 3. Kat | 150 m²,65.000 TL
Kepez - Kütükçü Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,20.000 TL
Manavgat - Side Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 110 m²,30.000 TL
Kepez - Yeşilyurt Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,18.000 TL
Muratpaşa - Meltem Mahallesi,Daire | 3+1 | 6. Kat | 150 m²,37.000 TL
Alanya - Güller Pınarı Mahallesi,Daire | 2+1 | 3. Kat | 145 m²,21.500 TL
Alanya - Cumhuriyet Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,12.000 TL
Gazipaşa - Pazarcı Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,15.000 TL
Döşemealtı - Çıplaklı Mahallesi,Daire | 2+1 | Yüksek giriş | 70 m²,18.000 TL
Döşemealtı - Çıplaklı Mahallesi,Daire | 2+1 | Yüksek giriş | 70 m²,14.000 TL15.000 TL
Gazipaşa - Pazarcı Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,15.500 TL
