location,information,sales_price
Çukurova - Yüzüncüyıl Mahallesi,Daire | 3+1 | Kot 3 (-3). Kat | 160 m²,285.000 TL
Çukurova - Yurt Mahallesi,Daire | 3+1 | 8. Kat | 185 m²,26.000 TL
Seyhan - Yeşilyurt Mahallesi,Daire | Stüdyo | 1. Kat | 45 m²,9.000 TL
Seyhan - Yeşilyurt Mahallesi,Daire | Stüdyo | 1. Kat | 45 m²,9.000 TL
Seyhan - Yeşilyurt Mahallesi,Daire | Stüdyo | 1. Kat | 40 m²,9.000 TL
Seyhan - Yeşilyurt Mahallesi,Daire | 1+1 | 2. Kat | 50 m²,15.000 TL
Seyhan - Reşatbey Mahallesi,Daire | 3+1 | 1. Kat | 170 m²,315.000 TL
Seyhan - Gürselpaşa Mahallesi,Daire | 4+1 | 11. Kat | 240 m²,550.000 TL
Seyhan - Yeşiloba Mahallesi,Daire | 2+1 | Kot 3 (-3). Kat | 85 m²,160.000 TL
Çukurova - Yurt Mahallesi,Daire | 3+1 | 10. Kat | 160 m²,26.000 TL
Sarıçam - Gültepe Mahallesi,Daire | 1+1 | 11. Kat | 55 m²,19.000 TL
Yüreğir - Atakent Mahallesi,Daire | 2+1 | 4. Kat | 85 m²,10.500 TL
Seyhan - Yeşilyurt Mahallesi,Daire | 1+1 | 2. Kat | 50 m²,15.000 TL
Sarıçam - Gültepe Mahallesi,Daire | 1+1 | 1. Kat | 45 m²,10.000 TL
Çukurova - Güzelyalı Mahallesi,Daire | 3+1 | 10. Kat | 165 m²,25.000 TL
Çukurova - Yüzüncüyıl Mahallesi,Daire | 3+1 | 11. Kat | 135 m²,26.000 TL
Sarıçam - Gültepe Mahallesi,Daire | 2+1 | 8. Kat | 100 m²,14.000 TL
Çukurova - Toros Mahallesi,Daire | 3+1 | 7. Kat | 180 m²,200.000 TL
Çukurova - Toros Mahallesi,Daire | 3+1 | 10. Kat | 170 m²,300.000 TL
Sarıçam - Çarkıpare Mahallesi,Daire | 1+1 | 13. Kat | 50 m²,15.000 TL
Seyhan - Bahçeşehir Mahallesi,Daire | 2+1 | 3. Kat | 100 m²,185.000 TL
Çukurova - Beyazevler Mahallesi,Daire | 1+1 | 2. Kat | 50 m²,25.000 TL
Sarıçam - Göztepe Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 110 m²,80.000 TL
Çukurova - Yüzüncüyıl Mahallesi,Daire | 2+1 | Yüksek giriş | 100 m²,18.000 TL
Sarıçam - Gültepe Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,15.000 TL
Sarıçam - Gültepe Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 65 m²,13.000 TL
Sarıçam - Mehmet Akif Ersoy Mahallesi,Daire | 2+1 | 12. Kat | 96 m²,118.000 TL
Seyhan - Mithatpaşa Mahallesi,Daire | 2+1 | 3. Kat | 130 m²,50.000 TL
Seyhan - Yeşiloba Mahallesi,Daire | 3+1 | 2. Kat | 170 m²,21.000 TL
Sarıçam - Çarkıpare Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,15.000 TL
Seyhan - Yeşilyurt Mahallesi,Daire | 1+1 | Yüksek giriş | 70 m²,11.000 TL
Seyhan - Yeşilyurt Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,12.000 TL
Çukurova - Belediye Evleri Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,15.000 TL
Çukurova - Yüzüncüyıl Mahallesi,Daire | 3+1 | 4. Kat | 120 m²,285.000 TL
Çukurova - Huzurevleri Mahallesi,Daire | 3+1 | 12. Kat | 180 m²,32.000 TL
Ceyhan - Burhaniye Mahallesi,Daire | 3+1 | 5. Kat | 150 m²,17.500 TL
Çukurova - Beyazevler Mahallesi,Daire | 1+1 | 4. Kat | 55 m²,22.000 TL
Ceyhan - Namık Kemal Mahallesi,Daire | 3+1 | 2. Kat | 160 m²,14.000 TL
Çukurova - Mahfesığmaz Mahallesi,Daire | Stüdyo | 2. Kat | 40 m²,12.000 TL
Sarıçam - Çarkıpare Mahallesi,Daire | 2+1 | 13. Kat | 120 m²,15.000 TL
Sarıçam - Osmangazi Mahallesi,Daire | 2+1 | 3. Kat | 100 m²,11.000 TL
Çukurova - Yüzüncüyıl Mahallesi,Daire | 2+1 | Yüksek giriş | 115 m²,180.000 TL
Sarıçam - Gültepe Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,14.000 TL15.000 TL
Çukurova - Yüzüncüyıl Mahallesi,Daire | 3+1 | 4. Kat | 140 m²,165.000 TL
Seyhan - Yeşilyurt Mahallesi,Daire | 2+1 | 3. Kat | 90 m²,17.500 TL
Seyhan - Kurtuluş Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,35.000 TL
Seyhan - Ziyapaşa Mahallesi,Daire | Stüdyo | 2. Kat | 45 m²,8.500 TL
Seyhan - Yenibaraj Mahallesi,Daire | Stüdyo | Kot 2 (-2). Kat | 50 m²,9.000 TL
Seyhan - Yenibaraj Mahallesi,Daire | Stüdyo | Yüksek giriş | 45 m²,9.000 TL
Seyhan - Sümer Mahallesi,Daire | 1+1 | Çatı katı | 65 m²,14.000 TL
Çukurova - Beyazevler Mahallesi,Daire | Stüdyo | 1. Kat | 40 m²,7.000 TL
Seyhan - Yeşiloba Mahallesi,Daire | 3+1 | 6. Kat | 135 m²,27.000 TL
Seyhan - Karakuyu Mahallesi,Daire | 3+1 | 4. Kat | 170 m²,13.500 TL
Çukurova - Şambayadı Mahallesi,Daire | 3+1 | 3. Kat | 135 m²,15.500 TL
Seyhan - Denizli Mahallesi,Daire | 2+1 | 2. Kat | 110 m²,130.000 TL
Seyhan - Sümer Mahallesi,Daire | 3+1 | 5. Kat | 160 m²,250.000 TL
Çukurova - Beyazevler Mahallesi,Daire | 1+1 | 3. Kat | 50 m²,15.000 TL
Yüreğir - Abdioğlu Cumhuriyet Mahallesi,Daire | 1+1 | 5. Kat | 55 m²,55.000 TL
Seyhan - Gürselpaşa Mahallesi,Daire | 2+1 | 4. Kat | 120 m²,27.000 TL
Çukurova - Toros Mahallesi,Daire | 3+1 | 6. Kat | 180 m²,25.000 TL
Sarıçam - Boynuyoğun Mahallesi,Daire | 1+1 | 5. Kat | 55 m²,8.000 TL
Çukurova - Esentepe Mahallesi,Daire | 2+1 | 1. Kat | 88 m²,18.000 TL
Seyhan - Yenibaraj Mahallesi,Daire | 2+1 | 2. Kat | 70 m²,22.000 TL
Seyhan - Yeşilyurt Mahallesi,Daire | 1+1 | 1. Kat | 50 m²,15.000 TL
Sarıçam - Gültepe Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,11.999 TL
Sarıçam - Çarkıpare Mahallesi,Daire | 1+1 | 7. Kat | 50 m²,15.000 TL
Çukurova - Huzurevleri Mahallesi,Daire | 3+1 | 4. Kat | 170 m²,19.000 TL
Sarıçam - Gültepe Mahallesi,Daire | 2+1 | 11. Kat | 80 m²,15.000 TL
Sarıçam - Mehmet Akif Ersoy Mahallesi,Daire | 3+1 | 3. Kat | 150 m²,15.000 TL
Yüreğir - Atakent Mahallesi,Daire | 2+1 | 7. Kat | 95 m²,19.900 TL
Seyhan - Sümer Mahallesi,Daire | 1+1 | 1. Kat | 45 m²,12.000 TL
Seyhan - Fatih Mahallesi,Daire | 3+1 | 2. Kat | 180 m²,18.000 TL
Çukurova - Beyazevler Mahallesi,Daire | Stüdyo | 2. Kat | 40 m²,9.000 TL
Sarıçam - Osmangazi Mahallesi,Daire | 2+1 | 8. Kat | 95 m²,12.000 TL
Seyhan - Sümer Mahallesi,Daire | 1+1 | 4. Kat | 65 m²,13.500 TL
Seyhan - Sümer Mahallesi,Daire | Stüdyo | 1. Kat | 40 m²,12.000 TL
Seyhan - Sümer Mahallesi,Daire | 1+1 | 1. Kat | 45 m²,14.000 TL
Seyhan - Sümer Mahallesi,Daire | 1+1 | 1. Kat | 45 m²,12.000 TL
Çukurova - Beyazevler Mahallesi,Daire | Stüdyo | 2. Kat | 45 m²,8.000 TL
Seyhan - Sümer Mahallesi,Daire | Stüdyo | 2. Kat | 45 m²,9.000 TL
Seyhan - Yenibaraj Mahallesi,Daire | 1+1 | Bodrum Kat | 75 m²,14.000 TL
Seyhan - Gürselpaşa Mahallesi,Daire | 2.5+1 | 5. Kat | 135 m²,270.000 TL
Seyhan - Gürselpaşa Mahallesi,Daire | 3+1 | 7. Kat | 165 m²,40.000 TL
Sarıçam - Gültepe Mahallesi,Daire | 1+1 | 1. Kat | 60 m²,10.000 TL
Çukurova - Belediye Evleri Mahallesi,Daire | 2+1 | 6. Kat | 95 m²,220.000 TL
Çukurova - Yüzüncüyıl Mahallesi,Daire | 2+1 | Yüksek giriş | 100 m²,180.000 TL
Çukurova - Kurttepe Mahallesi,Daire | 3+1 | 3. Kat | 160 m²,26.000 TL
Sarıçam - Çarkıpare Mahallesi,Daire | 1+1 | 14. Kat | 50 m²,12.750 TL
Sarıçam - Çarkıpare Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 90 m²,8.000 TL
Çukurova - Beyazevler Mahallesi,Daire | Stüdyo | 2. Kat | 45 m²,8.000 TL
Çukurova - Yüzüncüyıl Mahallesi,Daire | 2+1 | Yüksek giriş | 100 m²,180.000 TL
Seyhan - Pınar Mahallesi,Daire | 3+1 | 15. Kat | 170 m²,25.500 TL
Çukurova - Belediye Evleri Mahallesi,Daire | 2+1 | 6. Kat | 90 m²,220.000 TL
Çukurova - Belediye Evleri Mahallesi,Daire | 2+1 | 6. Kat | 90 m²,220.000 TL
Yüreğir - Atakent Mahallesi,Daire | 2+1 | 1. Kat | 110 m²,18.500 TL
Çukurova - Toros Mahallesi,Daire | 1+1 | 3. Kat | 60 m²,19.000 TL
Seyhan - Gürselpaşa Mahallesi,Daire | 4+1 | 15. Kat | 250 m²,490.000 TL
Yüreğir - Atakent Mahallesi,Daire | 2+1 | 11. Kat | 85 m²,18.500 TL20.000 TL
Çukurova - Yüzüncüyıl Mahallesi,Daire | 3+1 | 8. Kat | 140 m²,245.000 TL
Seyhan - Yeşiloba Mahallesi,Daire | 2+1 | 1. Kat | 80 m²,22.500 TL
Seyhan - Yenibaraj Mahallesi,Daire | 1+1 | 2. Kat | 50 m²,13.000 TL
Sarıçam - Gültepe Mahallesi,Daire | 1+1 | 1. Kat | 45 m²,15.000 TL
Seyhan - Gürselpaşa Mahallesi,Daire | 1+1 | 1. Kat | 60 m²,25.000 TL
Çukurova - Toros Mahallesi,Daire | 1+1 | Yüksek giriş | 65 m²,15.000 TL
Seyhan - Söğütlü Mahallesi,Daire | 3+1 | Yüksek giriş | 170 m²,130.000 TL
Yüreğir - Kazım Karabekir Mahallesi,Daire | 2+1 | 1. Kat | 85 m²,9.500 TL
Seyhan - Pınar Mahallesi,Daire | 3+1 | 15. Kat | 140 m²,25.500 TL
Çukurova - Toros Mahallesi,Daire | 1.5+1 | 1. Kat | 65 m²,21.000 TL
Yüreğir - PTT Mahallesi,Daire | 3+1 | 11. Kat | 110 m²,20.500 TL
Seyhan - Gürselpaşa Mahallesi,Daire | 3+1 | 12. Kat | 160 m²,30.000 TL
Seyhan - Pınar Mahallesi,Daire | 3+1 | 6. Kat | 165 m²,27.500 TL
Çukurova - Kurttepe Mahallesi,Daire | 3+1 | 2. Kat | 150 m²,20.500 TL
Seyhan - Tellidere Mahallesi,Daire | 2+1 | 2. Kat | 145 m²,25.000 TL26.500 TL
Seyhan - Tellidere Mahallesi,Daire | 3+1 | 12. Kat | 150 m²,220.000 TL
Seyhan - Yeşilyurt Mahallesi,Daire | 1+1 | Yüksek giriş | 50 m²,13.000 TL
Seyhan - 2000 Evler Mahallesi,Daire | 2+1 | 11. Kat | 100 m²,22.000 TL
Seyhan - Yenibaraj Mahallesi,Daire | 2+1 | 8. Kat | 100 m²,25.000 TL
Seyhan - Yeşilyurt Mahallesi,Daire | 2+1 | 6. Kat | 120 m²,14.000 TL
Çukurova - Yurt Mahallesi,Daire | 3+1 | 12. Kat | 180 m²,23.000 TL25.000 TL
Sarıçam - Orhangazi Mahallesi,Daire | 3+1 | 5. Kat | 120 m²,135.000 TL
Çukurova - Yurt Mahallesi,Daire | 3+1 | 2. Kat | 170 m²,290.000 TL
Çukurova - Toros Mahallesi,Daire | 3+1 | 7. Kat | 180 m²,280.000 TL
Seyhan - Gürselpaşa Mahallesi,Daire | 2+1 | 3. Kat | 90 m²,21.000 TL
Sarıçam - Çarkıpare Mahallesi,Daire | 2+1 | 13. Kat | 120 m²,15.000 TL
Sarıçam - Boynuyoğun Mahallesi,Daire | 2+1 | 8. Kat | 100 m²,11.500 TL
Sarıçam - Gültepe Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,13.500 TL
Sarıçam - Gültepe Mahallesi,Daire | 1+1 | 7. Kat | 60 m²,8.250 TL
Çukurova - Belediye Evleri Mahallesi,Daire | 2+1 | 5. Kat | 105 m²,22.500 TL
Yüreğir - Atakent Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,120.000 TL
Yüreğir - Atakent Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 85 m²,20.000 TL
Seyhan - Gürselpaşa Mahallesi,Daire | 3+1 | 10. Kat | 170 m²,40.000 TL
Seyhan - Tepebağ Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,13.500 TL
Seyhan - Gürselpaşa Mahallesi,Daire | 3+1 | 10. Kat | 170 m²,31.000 TL
Sarıçam - Gültepe Mahallesi,Daire | 2+1 | 6. Kat | 110 m²,12.000 TL
Seyhan - Döşeme Mahallesi,Daire | 2+1 | 1. Kat | 150 m²,20.000 TL
Çukurova - Beyazevler Mahallesi,Daire | Stüdyo | Yüksek giriş | 45 m²,7.000 TL
Sarıçam - Gültepe Mahallesi,Daire | 1+1 | 6. Kat | 50 m²,14.000 TL
Sarıçam - Çarkıpare Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 50 m²,12.250 TL
Seyhan - Gürselpaşa Mahallesi,Daire | 3+1 | 7. Kat | 130 m²,34.500 TL
Seyhan - Gürselpaşa Mahallesi,Daire | 2+1 | 5. Kat | 135 m²,250.000 TL270.000 TL
Seyhan - Cemalpaşa Mahallesi,Daire | Stüdyo | 2. Kat | 40 m²,6.500 TL
Çukurova - Toros Mahallesi,Daire | 3+1 | 4. Kat | 150 m²,24.000 TL
Seyhan - Döşeme Mahallesi,Daire | 2+1 | 3. Kat | 130 m²,26.000 TL
Seyhan - Pınar Mahallesi,Daire | 3.5+1 | 1. Kat | 160 m²,25.000 TL
Sarıçam - Çarkıpare Mahallesi,Daire | 1.5+1 | 3. Kat | 100 m²,16.500 TL
Çukurova - Yüzüncüyıl Mahallesi,Daire | 3+1 | 5. Kat | 135 m²,260.000 TL
Sarıçam - Buruk Cumhuriyet Mahallesi,Daire | 3+1 | 1. Kat | 150 m²,13.000 TL
Sarıçam - Osmangazi Mahallesi,Daire | 2+1 | 3. Kat | 120 m²,13.000 TL
Sarıçam - Gültepe Mahallesi,Daire | 2+1 | 12. Kat | 60 m²,18.000 TL
Sarıçam - Gültepe Mahallesi,Daire | 1+1 | 4. Kat | 50 m²,8.500 TL
Sarıçam - Gültepe Mahallesi,Daire | 2+1 | 9. Kat | 100 m²,13.000 TL14.000 TL
Seyhan - Yeşiloba Mahallesi,Daire | 3+1 | 7. Kat | 130 m²,34.500 TL
Sarıçam - Boynuyoğun Mahallesi,Daire | 2+1 | 9. Kat | 90 m²,12.500 TL
Seyhan - Yeşiloba Mahallesi,Daire | 2+1 | 6. Kat | 110 m²,30.900 TL
Seyhan - Sümer Mahallesi,Daire | 1+1 | 4. Kat | 50 m²,14.000 TL
Seyhan - Yeşilyurt Mahallesi,Daire | 1+1 | 2. Kat | 45 m²,12.000 TL
Seyhan - Sümer Mahallesi,Daire | 1+1 | 2. Kat | 45 m²,10.000 TL
Seyhan - Yeşilyurt Mahallesi,Daire | 1+1 | 1. Kat | 50 m²,16.000 TL
Seyhan - Cemalpaşa Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 45 m²,8.000 TL
Çukurova - Beyazevler Mahallesi,Daire | 1+1 | 2. Kat | 50 m²,11.000 TL12.000 TL
Seyhan - Yeşilyurt Mahallesi,Daire | 1+1 | 4. Kat | 50 m²,13.000 TL
Çukurova - Beyazevler Mahallesi,Daire | 2+1 | 5. Kat | 90 m²,33.000 TL
Çukurova - Toros Mahallesi,Daire | 2+1 | 20. Kat | 90 m²,34.000 TL
Seyhan - 2000 Evler Mahallesi,Daire | 2+1 | 7. Kat | 110 m²,210.000 TL
Seyhan - Gürselpaşa Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,25.000 TL
Seyhan - Sümer Mahallesi,Daire | Stüdyo | 2. Kat | 40 m²,7.000 TL
Seyhan - Sümer Mahallesi,Daire | 1+1 | Yüksek giriş | 50 m²,14.000 TL15.000 TL
Seyhan - Sümer Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 40 m²,12.000 TL
Seyhan - Sümer Mahallesi,Daire | 1+1 | Yüksek giriş | 50 m²,12.500 TL
Seyhan - Sümer Mahallesi,Daire | Stüdyo | 2. Kat | 40 m²,8.500 TL
Çukurova - Beyazevler Mahallesi,Daire | Stüdyo | 2. Kat | 45 m²,9.000 TL
Seyhan - Sümer Mahallesi,Daire | Stüdyo | 2. Kat | 40 m²,10.000 TL
Seyhan - Sümer Mahallesi,Daire | Stüdyo | Yüksek giriş | 45 m²,9.000 TL
Seyhan - Sümer Mahallesi,Daire | 1+1 | Yüksek giriş | 45 m²,12.000 TL
Sarıçam - Gültepe Mahallesi,Daire | 1+1 | 5. Kat | 55 m²,14.000 TL
Seyhan - Kuruköprü Mahallesi,Daire | Stüdyo | 5. Kat | 45 m²,9.000 TL
Seyhan - Tellidere Mahallesi,Daire | 3+1 | 8. Kat | 120 m²,19.000 TL
Seyhan - Tellidere Mahallesi,Daire | 2+1 | 1. Kat | 100 m²,19.000 TL
Çukurova - Mahfesığmaz Mahallesi,Daire | 3+1 | 9. Kat | 180 m²,330.000 TL
Seyhan - Yenibaraj Mahallesi,Daire | Stüdyo | 3. Kat | 50 m²,9.500 TL
Seyhan - Yenibaraj Mahallesi,Daire | Stüdyo | 2. Kat | 50 m²,8.500 TL
Çukurova - Belediye Evleri Mahallesi,Daire | 2+1 | 9. Kat | 130 m²,23.000 TL25.000 TL
Seyhan - Aydınlar Mahallesi,Daire | 2+1 | 4. Kat | 110 m²,21.000 TL
Seyhan - Yenibaraj Mahallesi,Daire | Stüdyo | 3. Kat | 50 m²,9.500 TL
Seyhan - Yenibaraj Mahallesi,Daire | Stüdyo | 2. Kat | 50 m²,8.500 TL
Çukurova - Belediye Evleri Mahallesi,Daire | 2+1 | 9. Kat | 130 m²,23.000 TL25.000 TL
Seyhan - Aydınlar Mahallesi,Daire | 2+1 | 4. Kat | 110 m²,21.000 TL
Sarıçam - Gültepe Mahallesi,Daire | 1+1 | 6. Kat | 60 m²,19.000 TL
Sarıçam - Gültepe Mahallesi,Daire | 1+1 | 3. Kat | 60 m²,15.000 TL
Sarıçam - Çarkıpare Mahallesi,Daire | 1+1 | 6. Kat | 60 m²,18.000 TL
Sarıçam - Çarkıpare Mahallesi,Daire | 1.5+1 | 11. Kat | 65 m²,19.000 TL
Sarıçam - Çarkıpare Mahallesi,Daire | 2+1 | 1. Kat | 60 m²,11.000 TL
Çukurova - Huzurevleri Mahallesi,Daire | 4+1 | 7. Kat | 180 m²,27.500 TL
Sarıçam - Gültepe Mahallesi,Daire | 1+1 | 7. Kat | 60 m²,9.000 TL
Çukurova - Toros Mahallesi,Daire | 2+1 | 5. Kat | 125 m²,15.500 TL
Seyhan - Pınar Mahallesi,Daire | 4+1 | 10. Kat | 250 m²,33.000 TL
Seyhan - Yeşilyurt Mahallesi,Daire | 1+1 | 3. Kat | 70 m²,13.000 TL
Seyhan - Fatih Mahallesi,Daire | 1+1 | 13. Kat | 90 m²,17.000 TL
Çukurova - Toros Mahallesi,Daire | 3+1 | 7. Kat | 120 m²,20.000 TL
Seyhan - Yeşilyurt Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 70 m²,12.000 TL
Sarıçam - Gültepe Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,9.000 TL
Çukurova - Karslılar Mahallesi,Daire | 4+1 | Bahçe dublex | 260 m²,565.000 TL
Sarıçam - Çarkıpare Mahallesi,Daire | 1+1 | 4. Kat | 40 m²,16.500 TL
Sarıçam - Kemalpaşa Mahallesi,Daire | 2+1 | 2. Kat | 95 m²,10.000 TL11.000 TL
Seyhan - Fatih Mahallesi,Daire | 2+1 | Yüksek giriş | 120 m²,110.000 TL
Seyhan - Ziyapaşa Mahallesi,Daire | 2+1 | 1. Kat | 120 m²,18.500 TL
Sarıçam - Çarkıpare Mahallesi,Daire | 1+1 | Yüksek giriş | 60 m²,9.000 TL
Seyhan - Yeşilyurt Mahallesi,Daire | 1+1 | Yüksek giriş | 50 m²,12.500 TL
Seyhan - Yeşilyurt Mahallesi,Daire | 1+1 | Yüksek giriş | 60 m²,15.000 TL
Sarıçam - Çarkıpare Mahallesi,Daire | 1+1 | 12. Kat | 45 m²,11.250 TL
Sarıçam - Gültepe Mahallesi,Daire | 1+1 | 7. Kat | 55 m²,20.000 TL
Sarıçam - Gültepe Mahallesi,Daire | 1+1 | 12. Kat | 60 m²,20.000 TL
Seyhan - Tellidere Mahallesi,Daire | 3+1 | 9. Kat | 130 m²,200.000 TL
Çukurova - Huzurevleri Mahallesi,Daire | 2+1 | Yüksek giriş | 110 m²,18.000 TL
Çukurova - Huzurevleri Mahallesi,Daire | 3+1 | 10. Kat | 190 m²,31.000 TL
Kozan - Çanaklı Mahallesi,Daire | 4+1 | 8. Kat | 160 m²,12.500 TL
Çukurova - Toros Mahallesi,Daire | 1+1 | 6. Kat | 60 m²,22.000 TL
Sarıçam - Sofudede Mahallesi,Daire | 3+1 | 1. Kat | 120 m²,11.000 TL
Sarıçam - Çarkıpare Mahallesi,Daire | 3+1 | 10. Kat | 130 m²,18.000 TL
Seyhan - Denizli Mahallesi,Daire | 2+1 | 4. Kat | 100 m²,160.000 TL
Çukurova - Mahfesığmaz Mahallesi,Daire | 3+1 | 5. Kat | 150 m²,25.500 TL
Seyhan - Gürselpaşa Mahallesi,Daire | 3+1 | 1. Kat | 160 m²,34.000 TL
Çukurova - Yüzüncüyıl Mahallesi,Daire | 3+1 | 4. Kat | 125 m²,29.000 TL
Sarıçam - Gültepe Mahallesi,Daire | 1+1 | 5. Kat | 45 m²,15.000 TL
Çukurova - Beyazevler Mahallesi,Daire | 1+1 | Bahçe katı | 70 m²,19.000 TL
Çukurova - Yüzüncüyıl Mahallesi,Daire | 3+1 | 4. Kat | 125 m²,16.500 TL
Sarıçam - Osmangazi Mahallesi,Daire | 2+1 | 3. Kat | 85 m²,15.250 TL
Kozan - Tufanpaşa Mahallesi,Daire | 4+1 | 1. Kat | 180 m²,13.000 TL
Kozan - Şevkiye Mahallesi,Daire | 4+1 | 6. Kat | 200 m²,25.000 TL
Kozan - Cumhuriyet Mahallesi,Daire | 2+1 | 5. Kat | 100 m²,16.000 TL
Sarıçam - Gültepe Mahallesi,Daire | 1+1 | 7. Kat | 50 m²,8.250 TL
Seyhan - Pınar Mahallesi,Daire | 3+1 | 12. Kat | 170 m²,310.000 TL
Çukurova - Mahfesığmaz Mahallesi,Daire | 3+1 | 7. Kat | 220 m²,29.000 TL
Sarıçam - Çarkıpare Mahallesi,Daire | 2+1 | 12. Kat | 100 m²,21.000 TL
Sarıçam - Çarkıpare Mahallesi,Daire | 2+1 | 14. Kat | 100 m²,15.000 TL
Sarıçam - Gültepe Mahallesi,Daire | 1+1 | 15. Kat | 60 m²,15.000 TL
Sarıçam - Çarkıpare Mahallesi,Daire | 1+1 | 14. Kat | 60 m²,14.750 TL
Sarıçam - Çarkıpare Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,17.500 TL
Çukurova - Toros Mahallesi,Daire | 3+1 | 2. Kat | 190 m²,30.000 TL
Çukurova - Şambayadı Mahallesi,Daire | 3+1 | 2. Kat | 128 m²,15.000 TL
Seyhan - Fevzipaşa Mahallesi,Daire | 3+1 | 1. Kat | 120 m²,110.000 TL
Seyhan - Tellidere Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,20.000 TL
Sarıçam - Gültepe Mahallesi,Daire | 2+1 | 3. Kat | 80 m²,10.500 TL
Seyhan - Gazipaşa Mahallesi,Daire | 3+1 | 3. Kat | 130 m²,13.000 TL
Sarıçam - Boynuyoğun Mahallesi,Daire | 3+1 | 5. Kat | 140 m²,14.000 TL
Çukurova - Karslılar Mahallesi,Daire | 2+1 | 3. Kat | 100 m²,21.000 TL23.500 TL
Seyhan - Barış Mahallesi,Daire | 2+1 | 1. Kat | 125 m²,120.000 TL
Kozan - Arslanpaşa Mahallesi,Daire | 1+1 | Yüksek giriş | 35 m²,10.000 TL
Sarıçam - Gültepe Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 40 m²,10.000 TL
Seyhan - Gürselpaşa Mahallesi,Daire | 5+1 | 4. Kat | 265 m²,565.000 TL
Sarıçam - Gültepe Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 95 m²,75.000 TL
Sarıçam - Osmangazi Mahallesi,Daire | 2+1 | 2. Kat | 110 m²,120.000 TL
Sarıçam - Osmangazi Mahallesi,Daire | 1+1 | 9. Kat | 45 m²,12.000 TL
Yüreğir - Yenidoğan Mahallesi,Daire | 3+1 | 2. Kat | 160 m²,18.000 TL
Sarıçam - Ertuğrulgazi Mahallesi,Daire | 1+1 | 1. Kat | 60 m²,8.500 TL
Çukurova - Beyazevler Mahallesi,Daire | 1+1 | 3. Kat | 55 m²,19.000 TL21.000 TL
Seyhan - Gürselpaşa Mahallesi,Daire | 2+1 | 2. Kat | 110 m²,28.500 TL
Çukurova - Güzelyalı Mahallesi,Daire | 1+1 | 4. Kat | 50 m²,260.000 TL
Seyhan - Yenibaraj Mahallesi,Daire | 3+1 | 7. Kat | 135 m²,32.500 TL
Çukurova - Beyazevler Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 45 m²,16.500 TL
Çukurova - Yurt Mahallesi,Daire | 4+1 | 18. Kat | 160 m²,250.000 TL
Çukurova - Toros Mahallesi,Daire | 1+1 | 2. Kat | 45 m²,15.500 TL
Çukurova - Yüzüncüyıl Mahallesi,Daire | 3+1 | 16. Kat | 130 m²,27.000 TL
Seyhan - 2000 Evler Mahallesi,Daire | 3+1 | 6. Kat | 140 m²,360.000 TL
Çukurova - Huzurevleri Mahallesi,Daire | 4+1 | 7. Kat | 180 m²,45.000 TL
Çukurova - Huzurevleri Mahallesi,Daire | 4+1 | 8. Kat | 180 m²,37.000 TL
Seyhan - Yenibaraj Mahallesi,Daire | 2+1 | 2. Kat | 120 m²,30.000 TL35.000 TL
Sarıçam - Gültepe Mahallesi,Daire | 1+1 | 6. Kat | 45 m²,7.000 TL
Sarıçam - Gültepe Mahallesi,Daire | 3+1 | 12. Kat | 135 m²,17.000 TL
Sarıçam - Osmangazi Mahallesi,Daire | 2+1 | 3. Kat | 75 m²,12.000 TL
Sarıçam - Çarkıpare Mahallesi,Daire | 1+1 | 9. Kat | 45 m²,170.000 TL
Çukurova - Esentepe Mahallesi,Daire | 4+1 | 5. Kat | 210 m²,65.000 TL
Sarıçam - Yeşiltepe Mahallesi,Daire | 1+1 | 7. Kat | 60 m²,7.550 TL8.200 TL
Seyhan - Pınar Mahallesi,Daire | 3+1 | 4. Kat | 150 m²,25.000 TL
Seyhan - Pınar Mahallesi,Daire | 1+1 | 3. Kat | 110 m²,22.500 TL
Çukurova - Huzurevleri Mahallesi,Daire | 3+1 | Yüksek giriş | 140 m²,19.000 TL
