location,information,sales_price
Sarıçam - Gültepe Mahallesi,Daire | 2+1 | 12. Kat | 90 m²,10.000 TL
Sarıçam - Osmangazi Mahallesi,Daire | 3+1 | 6. Kat | 14 m²,13.000 TL
Sarıçam - Gültepe Mahallesi,Daire | 1+1 | 11. Kat | 50 m²,10.500 TL
Sarıçam - Ertuğrulgazi Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,8.750 TL
Sarıçam - Gültepe Mahallesi,Daire | 1+1 | 5. Kat | 45 m²,16.500 TL
Sarıçam - Gültepe Mahallesi,Daire | 1+1 | 9. Kat | 60 m²,1.530.000 TL
Sarıçam - Gültepe Mahallesi,Daire | 1+1 | 5. Kat | 45 m²,16.500 TL
Sarıçam - Gültepe Mahallesi,Daire | 1+1 | 9. Kat | 60 m²,1.530.000 TL
Seyhan - Barış Mahallesi,Daire | 2+1 | 2. Kat | 120 m²,12.000 TL
Seyhan - Yeşilevler Mahallesi,Daire | 3+1 | 2. Kat | 160 m²,130.000 TL
Seyhan - Reşatbey Mahallesi,Daire | 1+1 | 4. Kat | 50 m²,25.750 TL
Seyhan - Pınar Mahallesi,Daire | 3+1 | 2. Kat | 165 m²,22.750 TL
Sarıçam - Çarkıpare Mahallesi,Daire | 1+1 | 8. Kat | 50 m²,20.000 TL
Seyhan - Aydınlar Mahallesi,Daire | 2+1 | 3. Kat | 108 m²,40.000 TL
Çukurova - Belediye Evleri Mahallesi,Daire | 2+1 | 3. Kat | 130 m²,135.000 TL
Çukurova - Karslılar Mahallesi,Daire | 2+1 | 2. Kat | 110 m²,250.000 TL
Sarıçam - Çarkıpare Mahallesi,Daire | 1+1 | 1. Kat | 90 m²,13.500 TL
Sarıçam - Çarkıpare Mahallesi,Daire | 1+1 | 1. Kat | 50 m²,10.000 TL
Seyhan - Pınar Mahallesi,Daire | 3+1 | 8. Kat | 165 m²,22.000 TL
Sarıçam - Osmangazi Mahallesi,Daire | 1+1 | 14. Kat | 60 m²,14.000 TL
Seyhan - Ulucamii Mahallesi,Daire | 1+1 | 3. Kat | 60 m²,110.000 TL
Sarıçam - Gültepe Mahallesi,Daire | 1+1 | 5. Kat | 50 m²,14.100 TL
Sarıçam - Çarkıpare Mahallesi,Daire | 1+1 | 14. Kat | 60 m²,15.750 TL
