İlan Numarası,İlan Oluşturma Tarihi,İlan Güncelleme Tarihi,Türü,Kategorisi,Tipi,Net Metrekare,Brüt Metrekare,Oda Sayısı,Binanın Yaşı,Bulunduğu Kat,Binanın Kat Sayısı,Isıtma Tipi,Kullanım Durumu,Yapı Durumu,Yapı Tipi,Eşya Durumu,Aidat,Tapu Durumu,Site İçerisinde,Depozito,Takas,Banyo Sayısı,Banyo Metrekare,Balkon Durumu,Salon Metrekare,WC Sayısı,Fiyat Durumu,Görüntülü Gezilebilir mi?,Ada,Parsel,fiyat,konum,URL,Balkon Sayısı,Balkon Tipi,Balkon Metrekare,WC Metrekare
17509603,19 Haziran 2025,19 Haziran 2025,Konut,Kiralık,Daire,150 m²,170 m²,3+1,5-10,1.Kat,5,Kombi Doğalgaz,Boş,,,Boş,,Kat Mülkiyeti,Hayır,,Yok,2,,,,,Genel Fiyat,,,,22.000TL,Gaziantep - Şahinbey - Bülbülzade Mahallesi,https://www.emlakjet.com/ilan/bulbulzade-gapgros-civari-memur-sartli-31-kiralik-4-kat-daire-17509603,,,,
17470713,11 Haziran 2025,12 Haziran 2025,Konut,Kiralık,Daire,60 m²,70 m²,2+0,5-10,4.Kat,4,Kombi Doğalgaz,Boş,,,Eşyalı,,Kat Mülkiyeti,Hayır,,Yok,1,,,,,Genel Fiyat,,,,13.000TL,Gaziantep - Şahinbey - Yeditepe Mahallesi,https://www.emlakjet.com/ilan/kentas-city-gayrimenkul-den-yeditepe-mah-20-kiralk-daire-17470713,,,,
17399711,26 Mayıs 2025,26 Mayıs 2025,Konut,Kiralık,Daire,70 m²,85 m²,1+1,16-20,2.Kat,3,Isıtma Yok,Boş,,,Boş,,Kat Mülkiyeti,Hayır,,Yok,1,,,,,Genel Fiyat,,,,10.000TL,Gaziantep - Şahinbey - Alaybey Mahallesi,https://www.emlakjet.com/ilan/arevardan-carsinin-gobeginde-kiralik-ofis-17399711,,,,
17521668,21 Haziran 2025,23 Haziran 2025,Konut,Kiralık,Daire,55 m²,75 m²,1+1,4,3.Kat,5,Kombi Doğalgaz,Boş,,,Eşyalı,,Kat Mülkiyeti,Hayır,,Yok,1,,,,,Genel Fiyat,,,,15.000TL,Gaziantep - Şahinbey - Yeditepe Mahallesi,https://www.emlakjet.com/ilan/nadir-emlaktan-universite-karsisi-11-genis-lux-memur-binasinda-17521668,,,,
17455887,05 Haziran 2025,05 Haziran 2025,Konut,Kiralık,Daire,80 m²,105 m²,2+1,5-10,7.Kat,12,Kombi Doğalgaz,Boş,,,,400 TL,Kat İrtifakı,Hayır,18500 TL,,1,,Var,,,Genel Fiyat,,215,2,18.500TL,Gaziantep - Şahinbey - Akkent Mahallesi,https://www.emlakjet.com/ilan/sahibinden-ful-esyali-arakat-sehir-hastanesine-yakin-21-daire-17455887,1,Açık Balkon,,
17515761,20 Haziran 2025,20 Haziran 2025,Konut,Kiralık,Daire,85 m²,90 m²,2+1,11-15,2.Kat,4,Kombi Doğalgaz,Boş,,,,,Hisseli Tapu,Hayır,15000 TL,,1,,,,,Genel Fiyat,,1987,318,13.500TL,Gaziantep - Şahinbey - Deniz Mahallesi,https://www.emlakjet.com/ilan/gaziantep-emlak-tan-deniz-mah-is-kur-yakini-kiralik-21-17515761,,,,
17452009,05 Haziran 2025,10 Haziran 2025,Konut,Kiralık,Daire,135 m²,165 m²,2.5+1,0 (Yeni),1.Kat,6,Kombi Doğalgaz,Boş,,,Boş,,Kat Mülkiyeti,Evet,,Yok,2,,,,,Genel Fiyat,,,,20.000TL,Gaziantep - Şahinbey - Beştepe Mahallesi,https://www.emlakjet.com/ilan/yuvam-emlak-tan-onkolojinin-en-gozde-yerinde-kiralik-2-51-daire-17452009,,,,
17535677,24 Haziran 2025,24 Haziran 2025,Konut,Kiralık,Daire,55 m²,75 m²,1+1,5-10,3.Kat,5,Merkezi Doğalgaz,Boş,,,Eşyalı,500 TL,Kat Mülkiyeti,Evet,13000 TL,,1,,Var,,,Genel Fiyat,,4077,446,13.000TL,Gaziantep - Şahinbey - Güneykent Mahallesi,https://www.emlakjet.com/ilan/nadir-emlaktan-kiralik-11-esyali-genis-daire-17535677,1,Açık Balkon,,
17413993,28 Mayıs 2025,28 Mayıs 2025,Konut,Kiralık,Daire,195 m²,210 m²,4+1,5-10,12.Kat,13,Kombi Doğalgaz,Boş,,,Boş,,Kat Mülkiyeti,Evet,,Yok,2,,,,,Genel Fiyat,,,,23.500TL,Gaziantep - Şahinbey - Beştepe Mahallesi,https://www.emlakjet.com/ilan/bestepe-41-ultra-luks-daire-miz-kiralik-17413993,,,,
17533253,23 Haziran 2025,22 Ağustos 2025,Konut,Kiralık,Daire,140 m²,155 m²,3+1,5-10,Yüksek Giriş,3,Kombi Doğalgaz,Boş,,,,,Arsa Tapulu,Evet,13000 TL,,1,,Yok,,,Genel Fiyat,,4590,6,13.000TL,Gaziantep - Şahinbey - Deniz Mahallesi,https://www.emlakjet.com/ilan/dniz-mahallesinde-kiralik-31-17533253,,,,
